"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000137959.17","IFI44L",11.2576507813306,2.19972649620732e-104,103.657631313983
"ENSG00000132530.17","XAF1",10.9499714543336,7.74831289457326e-19,18.1107928497956
"ENSG00000197110.10","IFNL3",10.7673110805956,3.59647642927939e-18,17.4441227816491
"ENSG00000119917.15","IFIT3",10.5096265670984,5.90609870655026e-178,177.228699299099
"ENSG00000227507.3","LTB",10.1061532071996,1.02897860353134e-15,14.9875936558157
"ENSG00000111335.14","OAS2",9.9897172234904,9.99999999999999e-301,300
"ENSG00000177409.12","SAMD9L",9.66053284100602,2.35425753334444e-14,13.6281460312153
"ENSG00000185745.10","IFIT1",9.58388109324694,9.99999999999999e-301,300
"ENSG00000169429.13","CXCL8",9.24643731643423,1.72796992324078e-84,83.7624638210494
"ENSG00000204482.11","LST1",9.13036009370776,1.84158420669246e-12,11.7348084181798
"ENSG00000183709.8","IFNL2",8.9227864215557,5.36220343961784e-16,15.2706567131007
"ENSG00000169245.6","CXCL10",8.66760916444628,1.41250588494412e-59,58.8500097340972
"ENSG00000119922.11","IFIT2",8.66635738198668,9.99999999999999e-301,300
"ENSG00000253775.3","ENSG00000253775",8.59864861168759,1.12730344071681e-10,9.94795916745782
"ENSG00000185885.17","IFITM1",8.45706532427145,1.33968290435799e-42,41.8729979846085
"ENSG00000137965.11","IFI44",8.45469749733244,4.58944785194939e-205,204.338239560492
"ENSG00000182393.3","IFNL1",8.3254439882047,3.88867154620136e-27,26.4101987376693
"ENSG00000163739.5","CXCL1",8.30014507249888,4.92522188118287e-14,13.3075741997648
"ENSG00000171855.7","IFNB1",8.23385845169265,1.05797630817912e-09,8.97552405757709
"ENSG00000163734.4","CXCL3",8.2089960030305,2.30682644093772e-09,8.63698507933174
"ENSG00000126709.16","IFI6",8.10900313684177,3.53437108862563e-183,182.451687854014
"ENSG00000118113.12","MMP8",8.10631374566208,5.34360563953754e-09,8.27216560047495
"ENSG00000177294.7","FBXO39",8.05360983898564,1.6029718521541e-09,8.79507410369793
"ENSG00000204371.12","EHMT2",7.94772835811288,9.99999999999999e-301,300
"ENSG00000251574.9","ENSG00000251574",7.94377815737279,6.25941288146871e-09,8.20346640070273
"ENSG00000271503.7","CCL5",7.9321692964257,9.99999999999999e-301,300
"ENSG00000233975.3","LINC02574",7.91227027212822,6.64152087928909e-09,8.17773245770273
"ENSG00000232810.5","TNF",7.89966958675894,5.60136171147091e-36,35.2517063815852
"ENSG00000135114.14","OASL",7.80074950869682,9.99999999999999e-301,300
"ENSG00000081041.9","CXCL2",7.80046155235524,6.01377764504543e-08,7.22085263365403
"ENSG00000225886.3","ENSG00000225886",7.79897014005402,1.12423098165582e-41,40.9491444505528
"ENSG00000299445.1","ENSG00000299445",7.49160176978072,2.23165053391135e-07,6.65137381290499
"ENSG00000105559.13","PLEKHA4",7.43811052065142,5.27530200429125e-41,40.277752672515
"ENSG00000272395.8","IFNL4",7.43637969055057,5.09383554945976e-07,6.29295508000747
"ENSG00000108691.10","CCL2",7.38348862319415,1.73848526976843e-49,48.7598289847537
"ENSG00000287529.1","ENSG00000287529",-7.32789447324688,7.1136301994158e-05,4.14790871527162
"ENSG00000089127.15","OAS1",7.32264267413581,9.99999999999999e-301,300
"ENSG00000288076.1","ENSG00000288076",7.29147038331566,3.37768819399296e-07,6.47138044413103
"ENSG00000305744.1","ENSG00000305744",7.15610466149566,8.1145944493395e-06,5.09073318043605
"ENSG00000275302.2","CCL4",7.1432208467803,1.12752191427663e-06,5.9478750085126
"ENSG00000135298.15","ADGRB3",7.1234206863363,6.08935373147958e-06,5.21542879698053
"ENSG00000176136.6","MC5R",7.08856480660839,4.29125507084384e-06,5.36741567037349
"ENSG00000132429.10","POPDC3",7.08517865380554,2.9394068908518e-06,5.53174029204224
"ENSG00000162654.9","GBP4",6.93361320798805,1.08682181129089e-34,33.9638416543651
"ENSG00000156510.13","HKDC1",6.89262239719201,3.74730483478798e-09,8.42628097659357
"ENSG00000136244.12","IL6",6.86847392108999,6.08547762060445e-17,16.2157053303587
"ENSG00000236388.1","ITCH-AS1",6.86393376713415,5.12643094952731e-05,4.29018488798112
"ENSG00000204010.3","IFIT1B",6.85102233394016,5.58919042100679e-06,5.25265109392968
"ENSG00000290606.3","ENSG00000290606",6.83469507744497,2.76124465448443e-09,8.55889511187385
"ENSG00000214872.9","SMTNL1",6.8251583855914,6.51817004676832e-06,5.18587431379879
"ENSG00000130303.14","BST2",6.76515585453641,4.14265339118888e-246,245.382721401867
"ENSG00000186143.11","PRR30",6.76025053180194,0.000176695836580608,3.75277368349476
"ENSG00000305241.1","ENSG00000305241",6.75175800710273,4.46981526226233e-05,4.3497104259146
"ENSG00000235005.2","ENSG00000235005",6.73883321463002,0.000211836979880134,3.67399822385077
"ENSG00000128709.13","HOXD9",-6.71797435581166,5.54743874331803e-09,8.25590748469502
"ENSG00000026751.17","SLAMF7",6.69281169832057,6.25583430931557e-06,5.20371476242629
"ENSG00000138135.7","CH25H",6.67172292605254,0.000253827433470981,3.59546144149583
"ENSG00000244675.2","ENSG00000244675",-6.66091588265103,5.5920843181675e-09,8.25242628886488
"ENSG00000115009.13","CCL20",6.62684504647616,6.56437589675663e-05,4.18280655784244
"ENSG00000134321.13","RSAD2",6.60153445571186,1.20094735238031e-151,150.920476030958
"ENSG00000225678.3","ENSG00000225678",6.56754941673326,0.000267063654833886,3.57338521186297
"ENSG00000077522.15","ACTN2",6.54122560960549,6.02975777921921e-06,5.2197001335085
"ENSG00000173198.6","CYSLTR1",-6.53437648072545,1.82801051060889e-08,7.73802131150901
"ENSG00000289066.2","ENSG00000289066",6.52125191222665,1.86452801217547e-05,4.72943108752829
"ENSG00000268916.6","CSAG3",6.52049407161533,8.14422182774423e-06,5.08915040577681
"ENSG00000179277.9","MEIS3P1",-6.51108629869681,0.00105023982906542,2.97871151564777
"ENSG00000290915.1","KLKP1",6.48860036213437,2.14530317948171e-23,22.6685113235857
"ENSG00000049249.10","TNFRSF9",6.48628281942947,0.000261633863714735,3.58230604523829
"ENSG00000118503.18","TNFAIP3",6.48297664462429,6.78038139205851e-270,269.168745876663
"ENSG00000174576.11","NPAS4",6.46580725002104,0.00034436472453079,3.46298134248626
"ENSG00000253227.3","ENSG00000253227",6.45457573785251,3.2817601833722e-25,24.4838931584577
"ENSG00000235371.1","ACO2P2",6.45062308187011,6.4040990958102e-05,4.19354195651061
"ENSG00000139269.3","INHBE",6.44401427568058,8.5807370842352e-15,14.0664754047076
"ENSG00000130176.8","CNN1",6.40661503025916,0.000266403815921313,3.57445955869956
"ENSG00000169067.4","ACTBL2",6.37846274100445,1.6040056758558e-06,5.79479409927599
"ENSG00000237596.8","PDE7B-AS1",6.35109893253368,0.00254970382766863,2.5935102640678
"ENSG00000137265.16","IRF4",6.31534068226464,0.000494603320244473,3.30574297257033
"ENSG00000236507.3","ENSG00000236507",6.31528690901444,3.15602458004611e-13,12.5008596230365
"ENSG00000134259.6","NGF",6.31153617768815,0.000378404909189302,3.42204323796793
"ENSG00000223485.6","LINC01615",6.31139163912187,0.0004318353781655,3.36468178091641
"ENSG00000112116.11","IL17F",6.31015384895534,0.000872485758371953,3.05924165332116
"ENSG00000108823.17","SGCA",6.3038953149347,0.000510239127322619,3.29222624088744
"ENSG00000149131.17","SERPING1",6.29669665075287,1.00086329070988e-07,6.99962523934885
"ENSG00000157152.17","SYN2",6.26808365553056,0.438691251123016,0.357841026700331
"ENSG00000122641.11","INHBA",6.25952082846135,1.57900157561687e-49,48.801617436628
"ENSG00000234175.1","ENSG00000234175",6.25672609609643,0.00130120933525169,2.88565282962493
"ENSG00000265107.3","GJA5",6.24927728837537,0.000492948572455922,3.30719838673417
"ENSG00000136297.16","MMD2",6.22471433932591,0.000105248918743951,3.9777823571165
"ENSG00000237761.4","ENSG00000237761",-6.21304752082455,0.00134921901856398,2.86991754563346
"ENSG00000113721.14","PDGFRB",6.20737937145844,9.33007931167655e-05,4.03011466445531
"ENSG00000166670.10","MMP10",6.19579516458352,7.13487235084335e-12,11.146613792391
"ENSG00000124253.11","PCK1",6.16421746960971,1.53321046436264e-13,12.8143982252907
