"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000132530.17","XAF1",11.8978884997252,4.29092935366088e-22,21.3674486356812
"ENSG00000137959.17","IFI44L",11.8125851780171,7.0238115245311e-115,114.153427150712
"ENSG00000197110.10","IFNL3",11.5004798963019,1.29762794043835e-20,19.8868498118324
"ENSG00000119917.15","IFIT3",11.4658680797771,6.39240270946086e-212,211.194335873089
"ENSG00000111335.14","OAS2",11.0603567077995,9.99999999999999e-301,300
"ENSG00000177409.12","SAMD9L",10.1937458833925,6.93902695966803e-16,15.1587014251755
"ENSG00000185745.10","IFIT1",10.1372121805531,9.99999999999999e-301,300
"ENSG00000227507.3","LTB",9.81771202614164,8.19323409457258e-15,14.0865446364345
"ENSG00000185885.17","IFITM1",9.6181370593628,4.86029337554411e-55,54.3133375151956
"ENSG00000183709.8","IFNL2",9.51816888754062,4.38955752087061e-18,17.357579255596
"ENSG00000177294.7","FBXO39",9.32422042875935,1.42564310831718e-12,11.8459891809971
"ENSG00000119922.11","IFIT2",9.30017218663872,9.99999999999999e-301,300
"ENSG00000169245.6","CXCL10",9.28991263152423,1.9738616973493e-68,67.7046832803301
"ENSG00000204482.11","LST1",9.17580364308496,1.55568589099516e-12,11.808078087024
"ENSG00000182393.3","IFNL1",9.06939989308011,4.226825725564e-32,31.3739856580111
"ENSG00000137965.11","IFI44",9.03356297579864,2.35182623825758e-234,233.628594768716
"ENSG00000169429.13","CXCL8",8.9576192835063,3.47910003699367e-79,78.4585330835003
"ENSG00000126709.16","IFI6",8.95577723829508,1.42761566360758e-223,222.845388695669
"ENSG00000244675.2","ENSG00000244675",-8.75208542588897,3.18174256613575e-08,7.49733496190801
"ENSG00000271503.7","CCL5",8.71109886594838,9.99999999999999e-301,300
"ENSG00000288076.1","ENSG00000288076",8.50340598939415,1.34284968513416e-09,8.8719725983293
"ENSG00000135114.14","OASL",8.43075609691734,9.99999999999999e-301,300
"ENSG00000163739.5","CXCL1",8.42913441291301,2.0583725361583e-14,13.6864760213345
"ENSG00000253775.3","ENSG00000253775",8.40110299496332,3.6679234859886e-10,9.43557973242392
"ENSG00000225886.3","ENSG00000225886",8.3743767388602,5.25584954193227e-48,47.2793570757245
"ENSG00000171855.7","IFNB1",8.32201988717963,7.39529585723128e-10,9.13104444687429
"ENSG00000105559.13","PLEKHA4",8.19314049669314,1.00616223722983e-49,48.9973319864244
"ENSG00000233975.3","LINC02574",8.01431472753331,4.40723881058885e-09,8.35583341617695
"ENSG00000214872.9","SMTNL1",7.9422913537594,8.04922583629074e-08,7.09424588748242
"ENSG00000232810.5","TNF",7.9118296947596,5.18547363374014e-36,35.2852115696268
"ENSG00000272395.8","IFNL4",7.88467970570495,8.38708213581897e-08,7.07638910385767
"ENSG00000026751.17","SLAMF7",7.80896240191998,6.7817412010209e-08,7.16865878741448
"ENSG00000089127.15","OAS1",7.8029543748426,9.99999999999999e-301,300
"ENSG00000130303.14","BST2",7.74073345856868,9.99999999999999e-301,300
"ENSG00000163734.4","CXCL3",7.68611959155085,3.2258926002234e-08,7.49135009569063
"ENSG00000268916.6","CSAG3",7.66993078552656,7.13580834016092e-08,7.14655682313983
"ENSG00000204371.12","EHMT2",7.53195544341685,9.99999999999999e-301,300
"ENSG00000162654.9","GBP4",7.44702330380797,5.80628981111263e-40,39.2361012908905
"ENSG00000204010.3","IFIT1B",7.40923268246805,6.88961642315736e-07,6.16180495660375
"ENSG00000118113.12","MMP8",7.36872400147961,1.84482778649e-07,6.73404416872869
"ENSG00000081041.9","CXCL2",7.36289606682106,4.34611870081232e-07,6.36189841644076
"ENSG00000136297.16","MMD2",7.35966257975676,2.27263299314682e-06,5.64347069270455
"ENSG00000077522.15","ACTN2",7.3566972170893,2.36674358418815e-07,6.62584879150242
"ENSG00000149131.17","SERPING1",7.32286847022368,3.09625085993185e-10,9.50916385978807
"ENSG00000299445.1","ENSG00000299445",7.28330169120705,5.92279427443698e-07,6.22747335211821
"ENSG00000275302.2","CCL4",7.20608654240474,9.55002450578488e-07,6.01999551399599
"ENSG00000174576.11","NPAS4",7.16506591735613,5.37836243535066e-05,4.26934993503031
"ENSG00000134321.13","RSAD2",7.16103843906998,1.51142605481758e-178,177.82061309544
"ENSG00000269720.3","CCDC194",7.13865740119425,2.11262284452218e-09,8.6751780283442
"ENSG00000290606.3","ENSG00000290606",7.13026877336594,5.04770116727091e-10,9.29690636399507
"ENSG00000308762.1","ENSG00000308762",-7.12443158016583,3.60116548062587e-05,4.44355692148586
"ENSG00000108691.10","CCL2",7.0748215083672,3.19461718898634e-45,44.4955811759004
"ENSG00000138135.7","CH25H",7.04950221509079,9.67437402768712e-05,4.01437712606267
"ENSG00000291144.2","ENSG00000291144",7.02251382749568,2.41053782233608e-05,4.61788604986735
"ENSG00000306510.1","ENSG00000306510",-6.99891543001724,6.28720342680151e-05,4.2015424875251
"ENSG00000187608.10","ISG15",6.96839000370281,4.07327318267937e-130,129.390056462059
"ENSG00000205837.8","LINC00487",6.9558189235995,1.10928802300076e-08,7.95495567606969
"ENSG00000007129.18","CEACAM21",-6.92807731686198,6.3453611935984e-10,9.19754365175335
"ENSG00000251574.9","ENSG00000251574",6.92058360475104,8.36867484857754e-07,6.07734330562834
"ENSG00000238015.2","ENSG00000238015",6.8739697576223,1.23102465810763e-05,4.90973324782187
"ENSG00000305744.1","ENSG00000305744",6.86713227899682,2.2901328640872e-05,4.64013932095004
"ENSG00000156587.16","UBE2L6",6.85296295698279,2.52015394481823e-171,170.59857292932
"ENSG00000132429.10","POPDC3",6.8115323379265,8.89322954882237e-06,5.05094049768768
"ENSG00000136244.12","IL6",6.81144536138135,1.38933250051307e-16,15.8571938047612
"ENSG00000135298.15","ADGRB3",6.80191615543648,1.99670885982768e-05,4.69968525500311
"ENSG00000297830.1","ENSG00000297830",-6.76629171538578,0.000351536855969126,3.45402913577953
"ENSG00000165949.13","IFI27",6.71889640532277,9.99999999999999e-301,300
"ENSG00000238160.3","LINC02863",6.70640597419766,8.77824495526849e-05,4.05659230441641
"ENSG00000115009.13","CCL20",6.7036233323704,5.54943973421457e-05,4.25575086059287
"ENSG00000268902.5","CSAG2",6.6984331224572,0.000472955478788345,3.32517973923381
"ENSG00000286349.1","ENSG00000286349",6.69836412745477,4.4957240209548e-05,4.34720035665945
"ENSG00000171102.16","OBP2B",-6.62219503284994,0.000230423837926965,3.63747259406559
"ENSG00000137265.16","IRF4",6.57582710028321,0.000262937834252171,3.58014691855419
"ENSG00000300531.1","ENSG00000300531",6.56980698632606,0.00133555606648225,2.87433787563006
"ENSG00000148798.11","INA",6.56974194226773,0.00338564187173239,2.47035898283553
"ENSG00000289066.2","ENSG00000289066",6.56766869702437,1.74337249638429e-05,4.7586098097687
"ENSG00000267714.3","ENSG00000267714",6.56402651899296,0.000212652045086968,3.67233043629482
"ENSG00000305460.1","ENSG00000305460",-6.53540393774792,6.33813935976839e-05,4.19803821599567
"ENSG00000305241.1","ENSG00000305241",6.52181907754589,9.68749575622669e-05,4.01378847473572
"ENSG00000265107.3","GJA5",6.51950349168904,0.000253667549874844,3.59573508583962
"ENSG00000162896.6","PIGR",6.51021220249729,0.000141542331012706,3.84911365642315
"ENSG00000269745.1","ENSG00000269745",6.49803235584453,0.000311323290703707,3.50678838768328
"ENSG00000134259.6","NGF",6.49502335662037,0.000244154395423766,3.61233545286212
"ENSG00000286933.1","ENSG00000286933",-6.48860407124225,0.000254492873111138,3.59432437525981
"ENSG00000118503.18","TNFAIP3",6.48707256139909,4.495598891053e-269,268.347212444586
"ENSG00000112116.11","IL17F",6.47880620295733,0.000603339038330031,3.21943857327003
"ENSG00000295410.1","ENSG00000295410",-6.45797984448476,0.000526785937631078,3.27836582689693
"ENSG00000238741.1","SCARNA7",-6.44637968853106,0.000234523948926642,3.62981280175224
"ENSG00000254503.1","ENSG00000254503",6.43871594473691,0.000952529567264986,3.02112153460171
"ENSG00000145649.8","GZMA",6.43540327499103,0.00268113777898826,2.57168086780867
"ENSG00000147655.12","RSPO2",6.43529124253048,7.55066956796829e-05,4.12201453488997
"ENSG00000168062.10","BATF2",6.43230988901353,2.01929483507441e-75,74.6948002655548
"ENSG00000124256.15","ZBP1",6.4128472538625,2.71109601346588e-27,26.566855101608
"ENSG00000155918.8","RAET1L",6.38663810468062,3.4424814600212e-34,33.4631283900201
"ENSG00000128709.13","HOXD9",-6.3703520912903,4.04824182117211e-08,7.39273355287185
"ENSG00000144596.13","GRIP2",6.36521194661414,2.10215102765349e-13,12.6773360855864
"ENSG00000225678.3","ENSG00000225678",6.36304267857499,0.000474497224397357,3.32376632366332
"ENSG00000255171.8","LINC01499",-6.3520806135417,0.000611609533541099,3.21352575358669
"ENSG00000157601.15","MX1",6.34123495485442,9.99999999999999e-301,300
"ENSG00000137752.25","CASP1",6.30212369516119,0.00338343061274526,2.47064272558242
"ENSG00000235005.2","ENSG00000235005",6.28690777051047,0.000693663493334898,3.15885116128886
"ENSG00000176136.6","MC5R",6.28634954365176,7.68304233086599e-05,4.11446677399519
"ENSG00000241112.1","RPL29P14",6.27655451339925,0.000239385178607343,3.62090274218486
"ENSG00000197343.11","ZNF655",6.27245462485726,0.00111753611011156,2.95173843493534
"ENSG00000263503.1","MAPK8IP1P2",6.27228468077212,0.00177761951731843,2.75016119005422
"ENSG00000100342.22","APOL1",6.25079085456747,1.7614134926605e-37,36.7541386812268
"ENSG00000145451.13","GLRA3",6.20618560848428,0.000345410992397224,3.46166384551351
"ENSG00000303299.1","ENSG00000303299",-6.20423092604268,0.000785963604108737,3.1045975645213
"ENSG00000244621.1","RPS17P11",6.19168043404002,0.000583777915334128,3.23375233865589
"ENSG00000185758.9","CLDN24",6.19128047157299,0.0016102147130907,2.79311620937616
"ENSG00000128422.18","KRT17",6.16627755315706,3.42901110962162e-49,48.4648311078161
"ENSG00000139269.3","INHBE",6.14024668746907,2.36347019138197e-13,12.6264498707463
"ENSG00000225708.7","ENSG00000225708",-6.13596761244461,0.00197280625823005,2.7049155630565
"ENSG00000290915.1","KLKP1",6.13255257189818,9.59644823922562e-21,20.0178894748272
"ENSG00000298116.1","ENSG00000298116",6.1219814671064,0.00838605994004119,2.07644203776645
"ENSG00000300033.1","ENSG00000300033",6.1214465834238,0.00154144576590667,2.81207175084783
"ENSG00000253396.2","ENSG00000253396",6.12105803861193,0.000630240781899886,3.2004934977329
"ENSG00000156510.13","HKDC1",6.11983239536725,2.80825672259898e-07,6.55156319279872
"ENSG00000253227.3","ENSG00000253227",6.11438858411309,1.97886990716317e-22,21.7035827557978
"ENSG00000172969.8","FRG2C",6.11344066008306,0.00252404616861,2.59790270545438
"ENSG00000236206.3","ENSG00000236206",6.1059274300819,0.000394504315505856,3.40394824165575
"ENSG00000223485.6","LINC01615",6.10564018850151,0.00076812007850551,3.11457088236963
"ENSG00000088882.8","CPXM1",6.07408885574945,4.02824724540415e-06,5.39488388121193
"ENSG00000178685.14","PARP10",6.04780586229424,4.18799197563631e-207,206.377994159118
"ENSG00000104415.14","CCN4",6.03774184042756,0.000468137267951854,3.32962678373567
"ENSG00000017427.17","IGF1",6.03521230379272,0.00211573235351558,2.67453927271585
"ENSG00000078081.8","LAMP3",6.03183617429946,9.99999999999999e-301,300
"ENSG00000229677.1","RPL17P28",6.03171716443802,0.00118953217592414,2.92462380613843
"ENSG00000289540.2","ENSG00000289540",6.03061895543635,0.00117443422875011,2.93017129978098
"ENSG00000235371.1","ACO2P2",6.02205794880992,0.000264834304975321,3.57702575980441
"ENSG00000307306.1","ENSG00000307306",-5.98176028403477,0.00211218194597249,2.67526867386152
"ENSG00000124253.11","PCK1",5.9747472373498,1.24184992522209e-12,11.9059308845024
"ENSG00000130300.9","PLVAP",5.95685223531179,7.43827122322783e-06,5.12852798991847
"ENSG00000049249.10","TNFRSF9",5.94221096149472,0.00111616486061076,2.95227165417473
"ENSG00000260953.2","ENSG00000260953",5.93909717931632,0.00347185049127375,2.45943898516975
"ENSG00000244588.6","RAD21L1",5.92652006333787,4.45163650066661e-06,5.35148030529864
"ENSG00000299311.1","ENSG00000299311",5.91613461459805,0.00465599542121432,2.33198745545059
"ENSG00000137745.13","MMP13",5.89208785974655,9.99999999999999e-301,300
"ENSG00000225964.6","NRIR",5.87822143666394,7.01262056971326e-16,15.1541196587396
"ENSG00000136514.3","RTP4",5.87725059609763,4.39706710565369e-10,9.35683690636285
"ENSG00000237761.4","ENSG00000237761",-5.85856340176282,0.00264334126635432,2.57784676402423
"ENSG00000101958.14","GLRA2",5.83644120381398,0.00781447008139045,2.1071004672329
"ENSG00000281100.1","ENSG00000281100",5.82600442352549,0.00389362934904687,2.40964539316658
"ENSG00000276070.5","CCL4L2",5.81552907356751,0.000250984132680026,3.60035373392666
"ENSG00000229292.2","RFPL4AL1",5.81143839690267,0.00338617089716487,2.47029112720087
"ENSG00000299579.1","ENSG00000299579",5.80652270103374,0.0041014788364564,2.38705952505752
"ENSG00000186994.12","KANK3",5.80638566509749,0.00602266846184043,2.22021104338035
"ENSG00000169067.4","ACTBL2",5.80281789549828,1.81112959138532e-05,4.74205047358988
"ENSG00000286628.2","ENSG00000286628",5.80078679614872,0.0204924974311591,1.68840511068241
"ENSG00000285813.1","ENSG00000285813",-5.75264999329993,0.00128857819330899,2.88988922252072
"ENSG00000117228.11","GBP1",5.75029243256957,9.52575389632648e-44,43.0211006429428
"ENSG00000220773.1","RPSAP44",5.74689238982232,2.09242657401011e-05,4.67934977302968
"ENSG00000233191.3","ENSG00000233191",5.7433339034642,5.36766627983293e-62,61.2702144930873
"ENSG00000236403.3","ENSG00000236403",-5.72592281246885,0.0163970326242353,1.78523473924028
"ENSG00000286703.2","ENSG00000286703",5.70969767759337,0.026540652946392,1.57608839693779
"ENSG00000168685.15","IL7R",5.69839822483104,0.00969571709959483,2.0134200647823
"ENSG00000279130.1","ENSG00000279130",5.69836979655453,0.00501779275439869,2.29948727994443
"ENSG00000306378.1","ENSG00000306378",5.69836687374048,0.004306239795495,2.36590178989558
"ENSG00000101076.20","HNF4A",5.67557047966466,0.000194924013192846,3.7101346557272
"ENSG00000143632.15","ACTA1",5.67122497244817,0.00961587323814808,2.01701127041784
"ENSG00000309965.1","ENSG00000309965",-5.66044597947401,0.00459207006295259,2.3379914943641
"ENSG00000230453.11","ANKRD18B",5.65276875992863,0.0073343868153484,2.13463618909299
"ENSG00000307050.1","ENSG00000307050",-5.632481886566,0.00435008687432408,2.36150206978954
"ENSG00000162738.8","VANGL2",5.62175331210859,8.03367278193002e-21,20.0950858614139
"ENSG00000236507.3","ENSG00000236507",5.61689135430351,2.01111741149451e-10,9.69656257402002
"ENSG00000263740.2","RN7SL4P",-5.61054901492415,0.0042105526223018,2.37566090058574
"ENSG00000248964.8","ENSG00000248964",-5.60507897172453,0.0127405034503662,1.89481341019565
"ENSG00000230191.1","IFITM3P4",5.59997502303331,0.0251087774789976,1.60017443213178
"ENSG00000156395.14","SORCS3",-5.59624341282033,0.00514592519959607,2.28853653091984
"ENSG00000260941.1","LINC00622",-5.59341655826123,0.00273120232057902,2.56364612722882
"ENSG00000263317.2","LINC01982",5.58784362600217,0.020876437199499,1.68034361661914
"ENSG00000132274.17","TRIM22",5.58414560076674,2.52816728607476e-242,241.597194192646
"ENSG00000122641.11","INHBA",5.5766565453856,1.10855238136869e-38,37.9552437807616
"ENSG00000174145.8","NWD2",5.57603515898152,3.31326541535296e-05,4.47974377274883
"ENSG00000295999.1","ENSG00000295999",5.57567117023471,0.0074239624644913,2.12936423257388
"ENSG00000236388.1","ITCH-AS1",5.57022494011782,0.00190010383500296,2.72122266550157
"ENSG00000249934.2","NCOA4P2",5.56992139665261,0.0129530202115374,1.88762895681244
"ENSG00000254510.4","ENSG00000254510",5.56815636714906,5.62841174964593e-14,13.2496141390166
