"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000302800.1","ENSG00000302800",-8.95737874361834,2.03839865729347e-08,7.69071087541727
"ENSG00000304899.1","ENSG00000304899",-8.88016669433093,2.29610426234286e-08,7.6390083952235
"ENSG00000147206.17","NXF3",-8.38695650459816,2.34097561222e-07,6.63060311066623
"ENSG00000251574.9","ENSG00000251574",8.26769391602078,1.30380076144229e-09,8.88478876966024
"ENSG00000183813.8","CCR4",-8.20911917947209,4.35981655132085e-07,6.36053178422343
"ENSG00000290606.3","ENSG00000290606",7.89557213933855,3.60275208996963e-12,11.4433656212142
"ENSG00000092051.18","JPH4",-7.85336389965152,1.95610278411872e-06,5.70860832879034
"ENSG00000181143.17","MUC16",7.84656654867671,1.21340587833274e-06,5.91599390545156
"ENSG00000308388.1","ENSG00000308388",-7.73750165226238,4.82032916409931e-06,5.31692330423606
"ENSG00000189325.7","BNIP5",-7.72547727947874,1.23316508749116e-06,5.90897877921359
"ENSG00000303560.1","ENSG00000303560",-7.56807803371877,8.33500863760766e-06,5.07909394577438
"ENSG00000280639.1","LINC02204",-7.23624064645478,2.3093257716778e-05,4.63651479776175
"ENSG00000145451.13","GLRA3",7.13794595881072,2.02042941932849e-05,4.69455631638271
"ENSG00000107159.14","CA9",7.01248555888848,2.94996818867354e-16,15.5301826672618
"ENSG00000305481.1","ENSG00000305481",-7.00436103883607,6.61803529788995e-05,4.17927092082108
"ENSG00000234438.5","KBTBD13",-6.98884617352077,9.39588980925692e-05,4.02706208507369
"ENSG00000241220.2","LINC03109",-6.92933297065014,5.69189482259457e-05,4.24474313360336
"ENSG00000231529.3","LINC02779",-6.90137570282042,0.000112075528089541,3.95048920610185
"ENSG00000309458.1","ENSG00000309458",-6.83187614076508,8.47753082463235e-05,4.07173062243535
"ENSG00000295410.1","ENSG00000295410",-6.82692371702276,0.000216732943258451,3.66407507119992
"ENSG00000296724.1","ENSG00000296724",-6.79675070385747,0.000270773772595871,3.56739340412468
"ENSG00000104415.14","CCN4",6.74786336879682,5.36581927931212e-05,4.27036395844738
"ENSG00000183674.13","LINC00518",-6.73666712981569,0.000138077746528284,3.85987630939188
"ENSG00000299922.1","ENSG00000299922",-6.72475552187159,0.000120192610982,3.92012223040634
"ENSG00000244675.2","ENSG00000244675",-6.70605385967045,5.63929585678426e-09,8.24877512023727
"ENSG00000239572.4","ENSG00000239572",-6.6421791897239,0.000134008597139016,3.87286733917051
"ENSG00000280278.1","FLJ30679",-6.58348095382095,0.000311796732185471,3.50612844078686
"ENSG00000310201.1","ENSG00000310201",-6.56285753066487,0.00122388450640481,2.91225956307088
"ENSG00000302626.1","ENSG00000302626",-6.54687554019882,0.000208509936273992,3.68087324444972
"ENSG00000179277.9","MEIS3P1",-6.52554601905667,0.000971729504306449,3.01245461072807
"ENSG00000295999.1","ENSG00000295999",6.52322588371469,0.0010303055242812,2.98703397157245
"ENSG00000225708.7","ENSG00000225708",-6.5049114234307,0.000926740234296609,3.03304198173589
"ENSG00000125815.9","CST8",6.47526108547919,0.00321936431208631,2.49222987457993
"ENSG00000289949.2","ENSG00000289949",-6.46781953127841,0.000177830959030005,3.74999262938683
"ENSG00000184163.3","C1QTNF12",-6.41158580291078,0.000276392736321475,3.55847337452849
"ENSG00000298965.1","ENSG00000298965",-6.39943252416458,5.06229565245313e-08,7.29565249440506
"ENSG00000130203.10","APOE",-6.36515113006596,1.30879163934358e-15,14.8831294879687
"ENSG00000307306.1","ENSG00000307306",-6.35070412215027,0.000981942022587856,3.00791415377465
"ENSG00000281732.2","ENSG00000281732",-6.34675026080849,0.00138907693416801,2.85727370015198
"ENSG00000300664.1","ENSG00000300664",-6.33339144978544,0.000583600950163391,3.23388400970117
"ENSG00000294818.1","ENSG00000294818",-6.28968641954655,0.000373480975181816,3.42773151589408
"ENSG00000164645.3","TEX47",6.2341341226575,0.001016657661156,2.99282526231803
"ENSG00000236078.3","LINC01447",-6.22524827898477,0.000900051078072971,3.04573284356536
"ENSG00000291024.2","ENSG00000291024",-6.14584011030907,0.0010927409360729,2.96148278715343
"ENSG00000101958.14","GLRA2",6.10197041352237,0.00461862963531728,2.3354868621282
"ENSG00000236403.3","ENSG00000236403",-6.09486639446407,0.00955328845968664,2.01984710861886
"ENSG00000168830.8","HTR1E",6.07998937695711,0.00576651986075483,2.23908620785832
"ENSG00000255363.4","LINC02757",-6.06501763803373,9.23674006744533e-62,61.0344812777545
"ENSG00000104805.17","NUCB1",-6.04499989411125,1.24052853049516e-09,8.90639324308534
"ENSG00000310402.1","ENSG00000310402",-6.0333288181166,0.00199426064293815,2.70021808153474
"ENSG00000309965.1","ENSG00000309965",-6.02938980041425,0.00226237877484226,2.64543468232278
"ENSG00000133519.14","ZDHHC8BP",-6.01143659997349,0.00117286465026221,2.93075210300455
"ENSG00000290326.1","ENSG00000290326",-5.99531062934705,0.00101641872221994,2.99292734393461
"ENSG00000307295.1","ENSG00000307295",5.9945249138034,0.0139802762497666,1.85448424686187
"ENSG00000127831.11","VIL1",-5.97677318181428,0.000810469820752808,3.09126315222144
"ENSG00000289066.2","ENSG00000289066",5.94073462917193,0.000131627692163487,3.88065273314898
"ENSG00000158516.12","CPA2",-5.9368293915753,0.000699001409569305,3.15552194847813
"ENSG00000305460.1","ENSG00000305460",-5.933904563091,5.1425182648204e-07,6.28882415713511
"ENSG00000252421.1","RNU6-1069P",-5.926147869104,0.00462933150459823,2.33448171844753
"ENSG00000253189.1","ENSG00000253189",-5.92244042182802,0.00996623334330096,2.00146894874015
"ENSG00000255395.2","ENSG00000255395",-5.91381278799781,1.74161905086358e-18,17.75904683337
"ENSG00000061918.14","GUCY1B1",-5.90985182207253,0.0029370718153556,2.53208543426326
"ENSG00000297781.1","ENSG00000297781",-5.8852402888704,0.00447913874884238,2.34880548434627
"ENSG00000291074.2","CCDC144NL",-5.86494760041114,0.0017922511161768,2.74660114047225
"ENSG00000299626.1","ENSG00000299626",-5.86098650624067,7.22582658044074e-07,6.14111246569374
"ENSG00000299902.1","ENSG00000299902",-5.85095394943524,1.39750756078184e-06,5.85464583381939
"ENSG00000308380.1","ENSG00000308380",-5.84060037533388,0.00242543153733089,2.61521097969759
"ENSG00000272563.1","ENSG00000272563",-5.83735375369315,0.00317626994652115,2.49808259462576
"ENSG00000230392.1","LINC03098",-5.82578212715562,1.85884787662746e-12,11.7307561503274
"ENSG00000294938.1","ENSG00000294938",-5.82105399841994,0.00172669157017115,2.76278523124282
"ENSG00000307338.1","ENSG00000307338",-5.82076555559262,0.00166282282512885,2.77915402267949
"ENSG00000296836.1","ENSG00000296836",-5.80989623893268,0.00482046525304399,2.31691104328013
"ENSG00000165568.18","AKR1E2",-5.80971008062308,0.00503217872658555,2.29824394256449
"ENSG00000273350.1","ENSG00000273350",-5.78883461873471,0.00289703545827174,2.53804618921546
"ENSG00000212743.2","LINC02656",5.78492421936621,0.0282314879173519,1.5492662321164
"ENSG00000297500.1","ENSG00000297500",-5.77934329748899,1.07960734142955e-06,5.96673417086292
"ENSG00000303874.1","ENSG00000303874",-5.75315210587496,0.00879922217278052,2.05555571659977
"ENSG00000263567.1","ENSG00000263567",-5.7509203085458,0.00315404361521562,2.50113230538996
"ENSG00000128709.13","HOXD9",-5.74816408060455,1.9814998258366e-11,10.703005961502
"ENSG00000286349.1","ENSG00000286349",5.71056555730186,0.000743527385361457,3.1287030310528
"ENSG00000211890.4","IGHA2",-5.70963372951938,0.00217708399250576,2.66212481543382
"ENSG00000260725.2","ENSG00000260725",5.70815195332047,0.0052994238264471,2.27577134598356
"ENSG00000250318.1","RPL13AP26",-5.70468079107436,0.00188277634455808,2.72520126686237
"ENSG00000180525.15","DIP2C-AS1",5.66581886373345,1.4965024951451e-09,8.82492255471631
"ENSG00000291036.2","ENSG00000291036",-5.66380941046722,0.0035607750669179,2.44845545971011
"ENSG00000299870.1","ENSG00000299870",-5.66238571563644,0.0125353080376329,1.9018649893962
"ENSG00000295346.1","ENSG00000295346",-5.65260577578838,0.00277000942672519,2.55751875296885
"ENSG00000226965.3","ENSG00000226965",5.64599372236964,0.000149915733753065,3.82415278527344
"ENSG00000305275.1","ENSG00000305275",-5.63240035352773,0.00432522707099964,2.36399108748391
"ENSG00000137491.15","SLCO2B1",-5.62953589537681,1.3775496668412e-08,7.86089273393083
"ENSG00000299082.1","ENSG00000299082",-5.62753294928664,0.00487087978132499,2.31239258916185
"ENSG00000286833.4","ENSG00000286833",-5.62223375500404,0.0043999585829527,2.35655141153194
"ENSG00000286321.2","ENSG00000286321",5.61495929521639,7.19888955413978e-05,4.14273448936075
"ENSG00000228365.2","ENSG00000228365",-5.60235534332658,0.00497206926792624,2.30346282965457
"ENSG00000105609.17","LILRB5",-5.59601224370101,0.00364968371175655,2.43774477066426
"ENSG00000309753.1","ENSG00000309753",5.59408177461707,0.0342918256200456,1.46480939340338
"ENSG00000266357.7","LINC02074",-5.58648587515032,0.00320558945372302,2.49409209938663
"ENSG00000135298.15","ADGRB3",5.58158164458731,0.000779945350476212,3.1079358265635
"ENSG00000187833.8","C2orf78",-5.56484423000301,0.0147989061730107,1.82977038329295
"ENSG00000298291.1","ENSG00000298291",-5.56214994480349,0.00385427296002404,2.41405753180967
"ENSG00000241112.1","RPL29P14",5.56059389576281,0.00147327097272807,2.83171736779586
"ENSG00000233191.3","ENSG00000233191",5.51893411316653,2.96808633710882e-57,56.5275234702446
"ENSG00000119630.14","PGF",-5.51754516823707,0.00646813694490658,2.18922079368406
