"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000119917.15","IFIT3",0.916869503914805,0.395914440586338,0.402398657498647
"ENSG00000139410.15","SDSL",-0.838177511496686,3.98333905691369e-10,9.39975272540599
"ENSG00000130303.14","BST2",-0.78769427999654,0.243730885852853,0.613089433041222
"ENSG00000137965.11","IFI44",-0.691779214886208,0.520624317355559,0.28347555069722
"ENSG00000126709.16","IFI6",-0.689815213735376,0.337544927131263,0.471668414516976
"ENSG00000204371.12","EHMT2",-0.611774876123099,5.43184238429028e-09,8.26505284046285
"ENSG00000271503.7","CCL5",-0.602055539337746,0.238877192417252,0.621825313959557
"ENSG00000065054.14","NHERF2",-0.5165582238116,0.218416635992973,0.660714286091869
"ENSG00000111335.14","OAS2",0.492262742411309,0.500397014301298,0.300685290258272
"ENSG00000264112.2","ENSG00000264112",0.466502112921368,3.98333905691369e-10,9.39975272540599
"ENSG00000171159.5","BBLN",-0.455597775908308,0.441559040130309,0.355011219405704
"ENSG00000165949.13","IFI27",0.450933444862206,0.230251224106158,0.637798052244526
"ENSG00000169692.14","AGPAT2",-0.426747637777566,0.211235699811621,0.675232682156336
"ENSG00000250182.3","EEF1A1P13",-0.423136989267648,0.453339513133653,0.343576426125433
"ENSG00000099795.7","NDUFB7",-0.422325096805874,0.426145798419396,0.370441789122748
"ENSG00000211459.2","MT-RNR1",0.41887692337007,0.0066436442262912,2.17759363249631
"ENSG00000069011.16","PITX1",-0.418848075287477,0.230251224106158,0.637798052244526
"ENSG00000184956.16","MUC6",0.417354850974291,0.404656465191428,0.392913516498338
"ENSG00000233927.5","RPS28",-0.415704604813966,0.408193250068674,0.38913418110492
"ENSG00000157601.15","MX1",-0.407383936953028,0.0932519559715221,1.03034205004228
"ENSG00000230590.13","FTX",0.403478423125681,6.76868246843276e-05,4.16949585899213
"ENSG00000100726.15","TELO2",-0.402681842721447,0.218416635992973,0.660714286091869
"ENSG00000107404.21","DVL1",-0.396985290343003,0.408193250068674,0.38913418110492
"ENSG00000135114.14","OASL",0.396984999092595,0.534007962388031,0.27245226732462
"ENSG00000233476.3","EEF1A1P6",-0.396504289289699,0.365746974142244,0.436819258145268
"ENSG00000180900.20","SCRIB",-0.388602187158536,0.418742277935971,0.378053188744875
"ENSG00000085872.15","CHERP",-0.386978703358998,0.0932519559715221,1.03034205004228
"ENSG00000078081.8","LAMP3",-0.384390682703167,0.418742277935971,0.378053188744875
"ENSG00000180211.5","RPL23P6",-0.383432484888062,0.418742277935971,0.378053188744875
"ENSG00000171223.6","JUNB",-0.381819561219598,0.243730885852853,0.613089433041222
"ENSG00000145214.14","DGKQ",-0.37901857529748,0.379992338041446,0.420225160172316
"ENSG00000127586.17","CHTF18",-0.377643520599378,0.459744950955104,0.337483031604573
"ENSG00000169710.9","FASN",-0.377307837103712,0.273686971795823,0.562745875632808
"ENSG00000176978.16","DPP7",-0.369875157062681,0.305485390983796,0.51500955388895
"ENSG00000133275.16","CSNK1G2",-0.369721236238814,0.142759775051085,0.845394145040763
"ENSG00000182809.11","CRIP2",-0.368883066727105,0.329569758653799,0.48205264604147
"ENSG00000007255.10","TRAPPC6A",-0.366739434121841,0.235328781568915,0.628324953775313
"ENSG00000168016.16","TRANK1",-0.360998473805958,0.255433490121173,0.592722162588243
"ENSG00000187608.10","ISG15",-0.359746006355782,0.626542405684727,0.203049529727087
"ENSG00000134321.13","RSAD2",0.358338871168446,0.564183848123109,0.248579351309713
"ENSG00000185900.11","POMK",0.353532056751581,2.96451587453628e-05,4.52804621973121
"ENSG00000185187.14","SIGIRR",-0.351583441304115,0.17589522186241,0.754745957853363
"ENSG00000130881.14","LRP3",-0.351489296663731,0.45006773181791,0.346722123244109
"ENSG00000104897.10","SF3A2",-0.351356009481972,0.182796444132282,0.738032256680681
"ENSG00000129925.11","PGAP6",-0.348914810188968,0.201035599480003,0.696727030695169
"ENSG00000109736.15","MFSD10",-0.347732649826226,0.442844603022519,0.353748643730501
"ENSG00000175221.16","MED16",-0.34765375878668,0.407322179176579,0.390061941419645
"ENSG00000007376.8","RPUSD1",-0.344870282730524,0.273686971795823,0.562745875632808
"ENSG00000125995.16","ROMO1",-0.344176716134877,0.258127478927082,0.588165760232712
"ENSG00000133243.10","BTBD2",-0.341568066563805,0.166978249668265,0.777340095704148
"ENSG00000158106.15","RHPN1",-0.340434816097574,0.415247810182092,0.381692649131454
"ENSG00000141985.9","SH3GL1",-0.339898526024432,0.190248167207453,0.720679518397199
"ENSG00000185340.16","GAS2L1",-0.338629870963759,0.300202098509293,0.522586276223925
"ENSG00000167716.19","WDR81",-0.338385994096427,0.230251224106158,0.637798052244526
"ENSG00000126461.15","SCAF1",-0.335283665575393,0.238641737684606,0.62225359729229
"ENSG00000130702.15","LAMA5",-0.334881066750763,0.347874793948128,0.458577037897477
"ENSG00000126705.15","AHDC1",-0.334545519869688,0.195445984337324,0.708973248220004
"ENSG00000183011.14","NAA38",-0.330118388736768,0.273686971795823,0.562745875632808
"ENSG00000099860.10","GADD45B",-0.329566475677138,0.196871266079738,0.705817665749339
"ENSG00000008710.20","PKD1",-0.328047169742664,0.258127478927082,0.588165760232712
"ENSG00000213064.10","SFT2D2",0.32759074297505,7.71117462798933e-09,8.11287946168987
"ENSG00000007541.17","PIGQ",-0.323681463575194,0.190248167207453,0.720679518397199
"ENSG00000165475.15","CRYL1",-0.323664301974518,0.126042234642351,0.899483905686558
"ENSG00000188486.4","H2AX",-0.323556904058038,0.0949754921120632,1.02238844748633
"ENSG00000095906.17","NUBP2",-0.319691129609142,0.489921496937814,0.30987350400837
"ENSG00000159069.14","FBXW5",-0.317919266775533,0.170709400288057,0.767742563356117
"ENSG00000176058.13","TPRN",-0.316660872692658,0.245878839592007,0.609278845168787
"ENSG00000099904.16","ZDHHC8",-0.315610848121407,0.522784258651176,0.281677497762983
"ENSG00000118503.18","TNFAIP3",-0.314397883022062,0.632724554130716,0.198785311555452
"ENSG00000106211.11","HSPB1",-0.314061630724646,0.361336424328262,0.442088257398384
"ENSG00000100241.22","SBF1",-0.314024745583248,0.243730885852853,0.613089433041222
"ENSG00000168350.8","DEGS2",-0.314016398580683,0.266658620728975,0.574044371574186
"ENSG00000100258.18","LMF2",-0.313593210058485,0.394849014817073,0.403568941252394
"ENSG00000062822.16","POLD1",-0.313366117993964,0.190248167207453,0.720679518397199
"ENSG00000167508.12","MVD",-0.311282223428039,0.354067305365966,0.450914174215348
"ENSG00000167702.13","KIFC2",-0.311127159380621,0.472613169921947,0.325494180408399
"ENSG00000132613.16","MTSS2",-0.308574690493038,0.0244711664637821,1.61134532869848
"ENSG00000070047.13","PHRF1",-0.308374700249734,0.201417318627848,0.695903189883988
"ENSG00000142089.17","IFITM3",-0.306967227361351,0.647243239777088,0.188932476919107
"ENSG00000113430.11","IRX4",-0.306892008087613,0.11930020846677,0.923358797437044
"ENSG00000125534.11","PPDPF",-0.306116641318383,0.282024207419983,0.549713612610741
"ENSG00000032444.17","PNPLA6",-0.305745320547178,0.218416635992973,0.660714286091869
"ENSG00000100300.18","TSPO",-0.305260050045768,0.280709686835847,0.551742600309033
"ENSG00000198744.5","MTCO3P12",-0.302542672084096,0.641996459760879,0.192467366807399
"ENSG00000164880.16","INTS1",-0.302161023162902,0.273421937181413,0.563166644067272
"ENSG00000014164.7","ZC3H3",-0.301599287375565,0.228444186945771,0.641219888645679
"ENSG00000225663.8","MCRIP1",-0.300565234685953,0.566609319761161,0.246716286350073
"ENSG00000244879.11","GABPB1-AS1",0.298606343870916,4.39974969078713e-08,7.35657203055976
"ENSG00000160446.19","ZDHHC12",-0.296662656877038,0.465894548086519,0.331712371650501
"ENSG00000168143.9","FAM83B",0.2965179959849,0.234785852955105,0.629328075093216
"ENSG00000178209.17","PLEC",-0.296474827972583,0.34177544170666,0.466259146748282
"ENSG00000229344.1","MTCO2P12",-0.295984160152573,0.605509293532615,0.217879186791849
"ENSG00000099364.18","FBXL19",-0.294686574342907,0.254793715060821,0.59381128884873
"ENSG00000130733.11","YIPF2",-0.293672699800956,0.228444186945771,0.641219888645679
"ENSG00000105699.17","LSR",-0.292412118433615,0.453047138850403,0.343856607970547
"ENSG00000142459.9","EVI5L",-0.291743489679319,0.212352207529779,0.672943219895725
"ENSG00000148400.13","NOTCH1",-0.289767130788054,0.233488411000206,0.631734670402213
"ENSG00000161847.15","RAVER1",-0.288336326365922,0.334915473522993,0.47506478703639
"ENSG00000162337.12","LRP5",-0.287769660158732,0.136401934050592,0.865179471750326
"ENSG00000160949.18","TONSL",-0.285572096881713,0.413970227352181,0.383030892119712
"ENSG00000188157.16","AGRN",-0.28534004072574,0.273686971795823,0.562745875632808
"ENSG00000105701.16","FKBP8",-0.285230313005425,0.415587177056606,0.381337861065465
"ENSG00000131408.15","NR1H2",-0.284345084527167,0.282024207419983,0.549713612610741
"ENSG00000103326.12","CAPN15",-0.284261410449065,0.400824598227987,0.397045634079749
"ENSG00000011451.21","WIZ",-0.283743912467509,0.370553494170454,0.431149087155568
"ENSG00000203485.14","INF2",-0.283708072529261,0.359978423441656,0.443723529402299
"ENSG00000141574.8","SECTM1",-0.283293031484586,0.230251224106158,0.637798052244526
"ENSG00000186174.13","BCL9L",-0.282501695892756,0.288887023341339,0.539271966005662
"ENSG00000142327.13","RNPEPL1",-0.281056056595309,0.278488152913116,0.555193275297783
"ENSG00000116809.12","ZBTB17",-0.280587531092474,0.218416635992973,0.660714286091869
