"GeneName","KO_vs_WT","KO1_vs_KO","KO2_vs_KO","KO3_vs_KO","KO4_vs_KO"
"STMN4",-4.31611796163493,7.05451808538819,6.39207335084993,5.88048717563598,5.73072533759343
"LAMC3",-5.25695851916459,5.66043871675797,5.97862218866091,5.63137989609198,4.96467235041631
"GUCY1B1",-5.90985182207253,5.22278107568105,NA,NA,NA
"SLC6A15",-5.45566814758804,5.4717793030089,7.43587356234595,4.55028057179677,NA
"JPH4",-7.85336389965152,4.9192762997288,5.71474233247957,5.58147219738397,5.96538187283564
"CYP26A1",-4.88294966997656,5.2034827912333,4.97850658986707,5.10321401865619,NA
"SLC17A9",-5.03006910196543,6.30556163853443,6.70845943459449,6.64035137356503,6.23599935682399
"LILRB5",-5.59601224370101,5.92342036906646,4.80028350331933,NA,5.57286214930408
"PGF",-5.51754516823707,5.36927480249259,4.79269264395913,4.56686222801585,4.65073387874932
"CPNE5",-4.08150233998196,5.94099254508932,7.19420809779205,6.89817926225817,7.01688505387738
"PRKCG",-4.96788397368589,5.40253801135982,5.4164104162832,NA,5.61291981749132
"VIL1",-5.97677318181428,6.29802222804479,6.62734042937658,6.87025302827117,6.88859919451973
"ZDHHC8BP",-6.01143659997349,5.95524243678804,5.39674793912751,4.72517442541434,5.46416491924234
"CXCL9",-4.34080356065592,9.5850625695006,9.54184967895382,9.47104251578216,9.51425075164889
"RHOF",-4.64708227733729,NA,4.81187965852432,5.0392651748982,NA
"SLC24A4",-5.34718176831215,NA,NA,NA,5.69121185383672
"ST8SIA2",-4.44164264180369,NA,NA,7.16556753037881,NA
"ROPN1L",-4.63574731371931,5.74178323223077,5.5189974638052,NA,5.49226131021682
"TRIM50",-4.91285561192072,4.95163016897603,6.25727844186755,5.26416556429887,5.43190795854263
"NXF3",-8.38695650459816,6.4258046869715,6.13161389237765,6.26448877126114,5.79656998370556
"GBP5",-4.33075756429692,6.57549042152289,7.3395763036646,6.86089907025868,6.45499895085884
"ARMC12",-5.09091863708841,4.81415163618201,NA,NA,4.65080242198697
"XDH",-5.13342211142285,5.68445205332154,6.13964511303429,4.54971678622436,4.46261913737987
"RHBDL2",-4.79395002545859,NA,NA,NA,5.25292621904874
"CPA2",-5.9368293915753,7.29885230730527,6.61537322453028,6.03318219470296,7.04912745589875
"SIGLEC11",-5.07827171754061,NA,NA,5.15207948965204,NA
"NPPC",-5.00591743347384,NA,NA,4.86230173947934,NA
"INSM2",-5.04653046920697,7.47076825881369,6.89093514746377,7.27130559692093,6.82612362541538
"CD163",-4.5722568441147,6.1540639401076,4.39011796002452,5.54565184545916,5.83628420210793
"LGALS7B",-5.23703420272767,5.76828414795783,6.25778202385862,5.57762037591371,4.98039352500708
"EXD1",-4.58224625582682,NA,NA,NA,5.3703863277037
"C12orf42",-4.91914408982985,NA,5.63278099457719,NA,NA
"PPP1R27",-5.00928895667713,5.45823592697825,5.80107129384691,5.76209589764151,5.55474747107236
"CMKLR2",-4.36350203901416,6.83533664884565,6.81576258065523,7.7922767548384,6.97824698072797
"LINC00518",-6.73666712981569,NA,4.80214246168737,4.88205843183424,NA
"CCR4",-8.20911917947209,NA,5.13607250756598,4.38016776482022,NA
"C1QTNF12",-6.41158580291078,6.33828571564452,6.5208960321315,6.47396317756844,5.21184616811009
"CLCNKB",-5.29754777447431,NA,5.88973029334368,NA,NA
"NDUFA4L2",-5.51694414345829,6.04863390732539,5.79407670652942,5.44224864842791,5.87611307080813
"GPAT2P2",-5.51568029230201,5.78652186164633,4.41805253477478,5.03744299309099,5.43191181642105
"BNIP5",-7.72547727947874,8.57505870689073,8.31593666930386,8.42205444666858,8.30150854350351
"PSG5",-4.71808433181878,7.65092614404993,7.0205697933322,7.2145084832825,7.6163781165511
"C2CD4B",-4.60509584279743,4.74613674838542,5.78894338882076,6.03116522020855,4.96382636974449
"C22orf42",-5.14402574424533,5.05377954940419,4.83993889084222,NA,NA
"IGHA2",-5.70963372951938,7.01750573047651,6.26341506428272,5.00958001271083,7.03347833013243
"TOMM40P2",-4.60845521199645,NA,5.95718079758182,5.34104293523983,5.66368455701048
"LY86-AS1",-4.88754989384189,4.62591965498415,NA,4.30626049447737,4.4572413613295
"MEG9",-4.74471214471892,5.06418758626227,NA,NA,NA
"RFPL4A",-4.95109748627644,7.63517054852069,7.56571559938433,7.38825940620151,7.0801657625005
"LINC01248",-4.69821933300751,5.06365761362129,5.12802371305094,NA,NA
"LINC02779",-6.90137570282042,5.01013812690019,NA,4.88175177721499,NA
"HOXB-AS3",-5.2327781795073,5.02354795681187,NA,NA,5.267001778144
"KBTBD13",-6.98884617352077,NA,NA,4.56656435040995,NA
"LINC01447",-6.22524827898477,4.48050644588484,4.38997621424529,NA,NA
"LINC03109",-6.92933297065014,4.63905168910231,6.43752052330535,6.10259492379345,5.46291329915149
"PDXP",-4.8923063409262,5.62114082209015,NA,NA,NA
"LINC00942",-5.28969161276865,5.84211475146246,5.51421686187436,5.74172071441584,4.94960916884141
"CDC42P4",-4.66291227384835,4.45762882281567,NA,NA,4.65057771417976
"RPL13AP26",-5.70468079107436,6.22426105780098,5.80536899068327,5.93280140986036,5.75577252690142
"LINC01484",-5.10452728574921,5.48930154851347,5.15029933901275,4.89738778469425,4.60832079508705
"RTL1",-4.91000068273762,5.14508742538101,NA,6.0844157359218,5.13886584204369
"LINC02323",-4.57199076665291,NA,4.79957063058052,6.18951743979094,4.47412984881206
"DKFZP434A062",-4.67665543856859,5.79420630197786,NA,NA,NA
"LINC02074",-5.58648587515032,4.76991139244686,5.62297510960369,5.391705713237,4.98030169736223
"MIR4512",-5.33613877272766,4.74645917576106,4.80540372151658,4.71416200520546,NA
"ARPC1AP2",-5.25729059923574,NA,5.28554788190372,NA,NA
"Metazoa_SRP",-4.18604815577407,4.19685274048299,4.84866423812222,4.93972979099475,4.65063253488795
"FLJ30679",-6.58348095382095,6.22073126369491,NA,5.74170509943342,5.9914642607989
"LINC02204",-7.23624064645478,5.17435225205454,4.81157420406122,5.16192235284719,4.45383108293148
"SMIM39",-5.18959185606361,4.77517341662738,4.53631623037666,4.57998445385593,NA
"LPAL2",-4.83118725050774,NA,NA,NA,5.12427915875569
"CCDC144NL",-5.86494760041114,5.02556133079182,NA,5.15182126925838,NA
"SLC66A1LP",-5.40635744948881,4.90128770128159,NA,NA,NA
