"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000169245.6","CXCL10",12.8102214218225,1.90864260370518e-17,16.7192753863103
"ENSG00000137959.17","IFI44L",11.9097175501906,1.21852479730829e-58,57.9141656283795
"ENSG00000132530.17","XAF1",11.5964564500227,2.65456037842423e-14,13.5760073921091
"ENSG00000182393.3","IFNL1",11.5899422951556,3.13853076093705e-14,13.5032736104449
"ENSG00000119917.15","IFIT3",11.5624487659351,4.91653797143442e-109,108.308340602343
"ENSG00000197110.10","IFNL3",11.1990466538369,2.34655465424054e-13,12.6295693260632
"ENSG00000183709.8","IFNL2",11.0434859350319,1.00862004035194e-12,11.9962724070595
"ENSG00000111335.14","OAS2",10.3075050833951,9.99999999999999e-301,300
"ENSG00000155918.8","RAET1L",10.2288998639995,3.25220632340676e-11,10.487821910103
"ENSG00000130303.14","BST2",9.97441629006733,7.24188404154349e-79,78.1401484334711
"ENSG00000177409.12","SAMD9L",9.89230692742061,2.18491583106466e-10,9.66056528858291
"ENSG00000185745.10","IFIT1",9.81562699493675,9.99999999999999e-301,300
"ENSG00000185885.17","IFITM1",9.7079318578324,6.53122631117335e-29,28.1850052673967
"ENSG00000138755.6","CXCL9",9.54184967895382,9.94037929331015e-10,9.00259704398811
"ENSG00000136244.12","IL6",9.31739065400196,3.06140168749806e-09,8.51407968274553
"ENSG00000271503.7","CCL5",9.24514564282607,9.99999999999999e-301,300
"ENSG00000135114.14","OASL",9.06849382364376,2.27277898573256e-162,161.643442794783
"ENSG00000120645.12","IQSEC3",8.91761547862396,6.51481742620872e-08,7.18609775061926
"ENSG00000144596.13","GRIP2",8.87664715516953,3.13222408365403e-08,7.50414717547322
"ENSG00000204482.11","LST1",8.87436167374317,2.74787156462905e-08,7.56100357003913
"ENSG00000133169.6","BEX1",8.80175893669135,0.00529156975416786,2.27641547457276
"ENSG00000119922.11","IFIT2",8.7938907577551,9.99999999999999e-301,300
"ENSG00000169429.13","CXCL8",8.79344942110601,1.79346261552685e-46,45.7463076717004
"ENSG00000126709.16","IFI6",8.77889776033207,1.70738523672463e-164,163.767668478119
"ENSG00000254510.4","ENSG00000254510",8.70081638629988,6.09743076472957e-08,7.21485312232487
"ENSG00000269720.3","CCDC194",8.66549935086077,1.19723279266508e-07,6.92182139617661
"ENSG00000078098.15","FAP",8.64649584142322,9.10214536205798e-08,7.04085623305336
"ENSG00000232810.5","TNF",8.59175472157783,2.4704961368888e-15,14.6072158208797
"ENSG00000137965.11","IFI44",8.57650508552749,1.49314934997136e-156,155.825896750464
"ENSG00000189325.7","BNIP5",8.31593666930386,1.64354119748176e-07,6.7842194052941
"ENSG00000187608.10","ISG15",8.21174411914915,7.32013020432545e-103,102.135481194008
"ENSG00000236507.3","ENSG00000236507",8.12809762462554,5.32255509828436e-07,6.27387983411566
"ENSG00000253775.3","ENSG00000253775",8.09965863158254,8.33154096068593e-07,6.07927466620064
"ENSG00000288013.3","ENSG00000288013",8.09335429272001,1.14606737685376e-06,5.94078984961501
"ENSG00000166670.10","MMP10",8.0427502789652,1.04481256227481e-06,5.98096161430997
"ENSG00000171855.7","IFNB1",8.02057555947954,1.27311281454393e-06,5.89513311043664
"ENSG00000077522.15","ACTN2",8.01703412200477,2.95556021125766e-06,5.52936018869182
"ENSG00000290915.1","KLKP1",8.0165515798694,1.65239804162037e-07,6.78188532840979
"ENSG00000225886.3","ENSG00000225886",7.95428256346225,2.21134561993414e-31,30.6553433745178
"ENSG00000153253.20","SCN3A",7.83197250133239,2.74197430016884e-06,5.5619366200597
"ENSG00000165949.13","IFI27",7.74389634481314,2.29977187704571e-232,231.638315241136
"ENSG00000089127.15","OAS1",7.74073965764262,9.99999999999999e-301,300
"ENSG00000254233.2","LINC02365",7.66691914700598,3.75867174854483e-06,5.42496560033577
"ENSG00000214872.9","SMTNL1",7.64084206464067,2.00707708437828e-05,4.69743594755375
"ENSG00000272395.8","IFNL4",7.58323254611428,2.11241744373588e-05,4.67522025488977
"ENSG00000223638.4","RFPL4A",7.56571559938433,5.82006939170489e-06,5.23507183729945
"ENSG00000220908.3","LINC02531",7.56570683299696,7.14954497017583e-06,5.14572159781154
"ENSG00000088882.8","CPXM1",7.56333327155337,1.4554670896217e-05,4.83699761018895
"ENSG00000130300.9","PLVAP",7.54907860095825,2.23809757935323e-05,4.65012098248559
"ENSG00000162654.9","GBP4",7.54531277389091,5.32060841982225e-22,21.2740387026179
"ENSG00000162494.6","LRRC38",7.54062690691034,0.000191837356709025,3.71706681826625
"ENSG00000026751.17","SLAMF7",7.50751431189152,1.94971442149564e-05,4.71002899594582
"ENSG00000047936.11","ROS1",7.48499072770977,1.60929155260773e-05,4.79336526838183
"ENSG00000174898.16","CATSPERD",7.46164273715356,1.08747809653006e-05,4.96357948163946
"ENSG00000169302.16","STK32A",7.44741718442001,1.25170627408345e-05,4.90249757089447
"ENSG00000072041.18","SLC6A15",7.43587356234595,5.21303371099792e-05,4.28290946662237
"ENSG00000082397.18","EPB41L3",7.42171966143751,0.0746467089160377,1.12698933504025
"ENSG00000163734.4","CXCL3",7.3846741553001,1.39810807881106e-05,4.85445925475846
"ENSG00000268916.6","CSAG3",7.36848213902002,2.15406552826717e-05,4.66674108927761
"ENSG00000145335.17","SNCA",7.35949693698422,0.377741547685036,0.42280524461916
"ENSG00000154451.15","GBP5",7.3395763036646,3.03880197731809e-05,4.51729759967658
"ENSG00000220773.1","RPSAP44",7.27568553272053,4.47277212605468e-05,4.34942322722818
"ENSG00000134321.13","RSAD2",7.23719521717289,5.12912719480659e-134,133.289956530937
"ENSG00000204371.12","EHMT2",7.20048368697069,9.99999999999999e-301,300
"ENSG00000124772.12","CPNE5",7.19420809779205,3.75236078949117e-05,4.42569541087078
"ENSG00000204010.3","IFIT1B",7.10778357325495,8.46936662310659e-05,4.07214906692727
"ENSG00000227507.3","LTB",7.09701766518384,3.14574012355048e-10,9.50227715824477
"ENSG00000118113.12","MMP8",7.06727693715354,4.19723716194673e-05,4.3770364905896
"ENSG00000081041.9","CXCL2",7.06145077484077,6.72250324072429e-05,4.17246897974381
"ENSG00000136297.16","MMD2",7.05821503282985,0.000168527018915117,3.77333046140951
"ENSG00000204941.14","PSG5",7.0205697933322,3.85283069728115e-05,4.41422007451984
"ENSG00000233441.7","CYP2AB1P",6.98921461360985,0.000296454296900555,3.52804225047444
"ENSG00000260420.4","LINC02182",6.98360392094831,0.00012340973948263,3.90865056447903
"ENSG00000299445.1","ENSG00000299445",6.98185270171906,8.2570847407908e-05,4.08317325830478
"ENSG00000305770.1","ENSG00000305770",6.97819065483182,0.000562177724111042,3.25012636699489
"ENSG00000105559.13","PLEKHA4",6.95388684751451,9.10537503762155e-43,42.0407021615203
"ENSG00000100342.22","APOL1",6.93804597900314,2.65145015474087e-18,17.5765165328767
"ENSG00000169248.13","CXCL11",6.9163629375416,7.58473223260249e-31,30.1200597467106
"ENSG00000275302.2","CCL4",6.90463721692315,0.000110904848435053,3.95504946735343
"ENSG00000263740.2","RN7SL4P",-6.89646655648535,0.000396922332553051,3.40129446513491
"ENSG00000168348.4","INSM2",6.89093514746377,8.50359563593924e-05,4.07039739962018
"ENSG00000174576.11","NPAS4",6.86362305090048,0.00113586423629138,2.94467357439351
"ENSG00000183671.13","CMKLR2",6.81576258065523,0.000203410929680702,3.69162571526534
"ENSG00000176049.16","JAKMIP2",6.7793935793625,0.339495493566311,0.469165986132444
"ENSG00000157152.17","SYN2",6.77459649582058,0.426011826403742,0.37057834439354
"ENSG00000303560.1","ENSG00000303560",6.76696651537259,0.000121818946136277,3.9142851619285
"ENSG00000236751.5","LINC01186",6.76516634168058,0.000141773979758394,3.84840346932423
"ENSG00000138135.7","CH25H",6.74805821615057,0.00167193685510037,2.77678012881047
"ENSG00000291144.2","ENSG00000291144",6.72106793808078,0.000735263022646214,3.13355727472527
"ENSG00000101194.18","SLC17A9",6.70845943459449,0.000353611673327819,3.45147340661661
"ENSG00000301916.1","ENSG00000301916",6.70507168128082,0.00020527720882959,3.68765926606535
"ENSG00000070808.17","CAMK2A",6.68282680359755,0.0177228404051717,1.75146667333858
"ENSG00000092054.14","MYH7",6.66470909600397,0.000305938949582387,3.51436522876268
"ENSG00000260941.1","LINC00622",-6.65525355170178,0.000331652910624815,3.47931618692961
"ENSG00000285813.1","ENSG00000285813",-6.64692897657386,0.000181346887897424,3.74148989296787
"ENSG00000197406.8","DIO3",6.6350981850121,5.30079714904862e-111,110.275658815041
"ENSG00000127831.11","VIL1",6.62734042937658,0.000224011238409313,3.64973019301978
"ENSG00000158516.12","CPA2",6.61537322453028,0.000165652924592524,3.78080089227111
"ENSG00000248746.6","ACTN3",6.61094911253081,0.000271214501194401,3.56668709349103
"ENSG00000157551.19","KCNJ15",6.61043372605347,0.00049477368234724,3.30559340911435
"ENSG00000258730.1","ITPK1-AS1",-6.59368975374812,0.00107213770889701,2.96974942884748
