"GeneID","GeneName","log2FC","padj","neg_log_padj"
"ENSG00000169245.6","CXCL10",12.4119748532075,2.3549813834695e-16,15.6280125216937
"ENSG00000137959.17","IFI44L",11.4000380596387,9.84933649150436e-54,53.006593025115
"ENSG00000119917.15","IFIT3",10.936003632024,1.51942440244488e-97,96.8183209029666
"ENSG00000182393.3","IFNL1",10.8150744984088,2.04592353380347e-12,11.6891106020353
"ENSG00000132530.17","XAF1",10.4937327242181,8.91653205371286e-12,11.0498040248601
"ENSG00000183709.8","IFNL2",10.3509290478715,3.43718673664392e-11,10.4637968727243
"ENSG00000197110.10","IFNL3",10.2642700570954,2.90917358824804e-11,10.5362303639475
"ENSG00000155918.8","RAET1L",9.90763744271679,1.76864774973837e-10,9.75235865413263
"ENSG00000185745.10","IFIT1",9.48825379088728,1.10845801666723e-313,312.955280751332
"ENSG00000138755.6","CXCL9",9.47104251578216,1.68097965284882e-09,8.77443754337728
"ENSG00000111335.14","OAS2",9.42788407959059,9.99999999999999e-301,300
"ENSG00000136244.12","IL6",9.26324284420313,4.764981057145e-09,8.32193882153011
"ENSG00000130303.14","BST2",9.23278378988315,1.37795987162442e-67,66.8607634295879
"ENSG00000177409.12","SAMD9L",9.16943230842144,6.15689795543881e-09,8.2106380443551
"ENSG00000185885.17","IFITM1",8.81088841592542,7.1098525781114e-24,23.1481394042177
"ENSG00000204482.11","LST1",8.71400929716325,6.32202269761614e-08,7.19914394926965
"ENSG00000135114.14","OASL",8.65096644490484,1.25298575463667e-147,146.90205386653
"ENSG00000271503.7","CCL5",8.63043674682577,9.72146399320879e-301,300.012268328047
"ENSG00000169429.13","CXCL8",8.62811052342816,9.29524746937892e-45,44.0317390434225
"ENSG00000144596.13","GRIP2",8.57286815978886,1.23555349437589e-07,6.90813844669305
"ENSG00000254510.4","ENSG00000254510",8.56273088481039,1.26365322635164e-07,6.8983720894589
"ENSG00000189325.7","BNIP5",8.42205444666858,1.34408295154454e-07,6.8715739274977
"ENSG00000119922.11","IFIT2",8.3922611261407,9.99999999999999e-301,300
"ENSG00000120645.12","IQSEC3",8.37217964181759,5.70587728028332e-07,6.24367757320977
"ENSG00000232810.5","TNF",8.36723506619873,1.64641051424808e-14,13.7834618690969
"ENSG00000078098.15","FAP",8.20539108309603,5.62458084469019e-07,6.24990983652697
"ENSG00000171855.7","IFNB1",8.18297249951677,8.78094026313326e-07,6.05645897734829
"ENSG00000137965.11","IFI44",8.14103496551526,6.8161604082548e-141,140.166460197643
"ENSG00000269720.3","CCDC194",8.1197700874268,1.03072408207561e-06,5.98685757687884
"ENSG00000126709.16","IFI6",8.1065156229996,3.74537089885695e-140,139.426505168258
"ENSG00000236507.3","ENSG00000236507",8.04233136563916,8.74619852681648e-07,6.05818066898494
"ENSG00000254233.2","LINC02365",7.83213587068223,2.57463958818029e-06,5.58928355723234
"ENSG00000225886.3","ENSG00000225886",7.82946218156827,2.07656788162135e-30,29.6826538675246
"ENSG00000253775.3","ENSG00000253775",7.8188964715651,2.61511377156441e-06,5.58250941223158
"ENSG00000183671.13","CMKLR2",7.7922767548384,1.67418212926491e-05,4.77619729817538
"ENSG00000220908.3","LINC02531",7.78572680289021,4.15105356880018e-06,5.38184166207217
"ENSG00000163734.4","CXCL3",7.73179448528131,5.502151995641e-06,5.25946741649879
"ENSG00000166670.10","MMP10",7.71067573344138,3.8357676557536e-06,5.41614770725741
"ENSG00000288013.3","ENSG00000288013",7.65463975839513,5.83724532980487e-06,5.23379205362465
"ENSG00000118113.12","MMP8",7.55667216494486,1.12236679922964e-05,4.94986518866949
"ENSG00000268916.6","CSAG3",7.51830212264062,1.60244997708432e-05,4.79521551876099
"ENSG00000047936.11","ROS1",7.48590285824414,1.86143558250674e-05,4.73015198853285
"ENSG00000290915.1","KLKP1",7.48035513721141,1.51315574817407e-06,5.8201163680169
"ENSG00000236751.5","LINC01186",7.45075731974036,2.3782589282174e-05,4.62374086419405
"ENSG00000204371.12","EHMT2",7.40196113121936,9.99999999999999e-301,300
"ENSG00000223638.4","RFPL4A",7.38825940620151,1.19758545671362e-05,4.92169348663576
