"GeneName","KO_vs_WT","KO1_vs_KO","KO2_vs_KO","KO3_vs_KO","KO4_vs_KO"
"TMEM176A",3.33715043842389,-2.42273334270706,NA,NA,NA
"CASP14",4.28014383552892,-2.1678061013078,NA,-2.01144500586491,NA
"CA9",7.01248555888848,-2.45463887934488,NA,-2.2344286884779,NA
"ODAM",2.09613569043779,NA,-2.02668551575091,NA,NA
"RBP2",2.05305489072268,NA,NA,NA,-2.65382986929574
"NRN1",4.89189315688595,-2.6996942722103,NA,-3.73679414941093,-2.72159062537706
"CST8",6.47526108547919,NA,NA,NA,-5.96622440008915
"EPO",4.38757491731274,-5.90408558807644,NA,NA,NA
"FATE1",2.33186938062991,NA,NA,NA,-2.56996228029322
"SLA",4.61695902123594,NA,NA,-2.4349160832855,NA
"RAET1E",2.42484237253265,NA,NA,NA,-2.53088729271293
"ATF7IP2",2.59931621529725,NA,-2.32282656722771,-2.72346475190771,-2.38934545920731
"KRT1",2.80630888132833,-2.04801466091375,-2.06652245419235,-2.12638387266748,-2.94616615271558
"DIP2C-AS1",5.66581886373345,-4.71708149744058,-4.34677661073882,-4.16816495667642,-3.79571759582253
"STARD13-AS",3.75337112826756,-2.80173968181647,-2.69519542091356,NA,NA
"ITPK1-AS1",3.89997111132592,NA,-6.59368975374812,-3.04161091539965,NA
"NR4A1AS",2.38410924304592,NA,NA,NA,-2.58999832517335
"LINC02986",3.11683382969868,-3.26976419318834,NA,NA,NA
"ELDR",2.39509830267963,NA,NA,-2.3239978372021,NA
"COPG2IT1",2.31526270150086,NA,-2.50996975053966,NA,NA
