"GeneName","KO_vs_WT","KO1_vs_KO","KO2_vs_KO","KO3_vs_KO","KO4_vs_KO"
"NDC80",0.884767848644894,-1.37504445678602,-1.31493257283628,-1.3450855140726,-1.29116744738645
"PGR",0.814977280737762,-0.794950286395783,-0.982520479862874,-0.652495662234279,-0.659911543320605
"AURKA",1.13447488517308,-1.32232822373686,-1.28985861611093,-1.36705844942579,-1.21565658279676
"TPX2",0.896953363242191,-1.05706410004345,-1.03135458202427,-1.04790911372908,-0.90567546188588
"KIF4A",0.500591313179028,-1.09165020471518,-1.09712061772947,-1.15024096724671,-1.05681226328578
"CDKN3",0.967327437653382,-1.02175871227806,-1.05759635803315,-1.10576062220967,-1.04268817832803
"FAM83D",1.24619271339072,-1.21968273539327,-1.18213355232883,-1.36537808665834,-1.28474583626845
"KIF20A",1.80137065781349,-1.35440219408021,-1.41243845511727,-1.43226906435463,-1.32519626026343
"CENPA",1.50560247163816,-1.19010358577323,-1.23767463691466,-1.34921640209361,-1.12017991549267
"CDC20",1.17370781158719,-0.74878322483727,-0.768223196372098,-0.874043368803002,-0.745554949392879
"NEK2",0.916047657409903,-1.10762141370626,-1.14852917182653,-1.20944532710213,-1.11725068556596
"DLGAP5",1.57682521043469,-1.55936092191172,-1.54663110561073,-1.61387428787055,-1.44595391451636
"CCNB1",1.26006067693055,-1.0336644308266,-0.985394759462068,-1.04789793260587,-0.959630357807995
"MKI67",0.781634039199819,-1.01285448394985,-1.0691306119095,-0.933226126993878,-0.980659259306232
"CCNB2",1.22087317347359,-1.09621249376993,-1.00528856668546,-1.17732979367739,-1.08007540810664
"BCL2",1.13403666539878,-0.73623125135693,-0.661205593469782,-0.546489148538873,NA
"UBE2C",1.22458715972802,-1.19230201461749,-1.11767699519696,-1.42120066304051,-1.24733321223981
