ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	1,0	2,2	0,0	0,2	298	149
37	0,0	0,1	0,1	0,0	296	149
129	0,0	0,1	2,0	0,0	196	149
131	2,2	0,1	13,2	0,0	237	149
132	1,0	0,1	4,0	0,0	298	149
133	0,3	0,1	1,0	0,0	298	149
134	0,3	1,2	1,0	10,4	298	149
144	8,14	1,0	17,7	0,0	298	149
145	6,11	0,0	19,7	0,2	298	149
146	19,16	18,24	32,16	11,6	298	149
149	3,2	14,5	0,0	15,9	203	149
150	5,2	0,0	8,2	0,2	298	149
152	64,39	18,24	34,26	11,6	298	149
153	7,5	1,0	8,2	2,0	298	149
154	66,42	14,5	34,26	15,9	298	149
161	5,13	18,24	9,6	11,6	298	149
162	6,13	14,5	11,4	15,9	298	149
163	4,2	6,5	8,2	4,4	298	149
164	9,15	63,39	17,6	34,26	298	149
166	14,6	6,5	1,2	4,4	298	149
167	10,6	63,39	6,0	34,26	298	149
173	3,1	18,24	1,0	11,6	209	149
174	9,6	63,39	5,4	34,26	209	149
176	3,1	5,13	1,0	9,4	209	149
178	9,4	2,3	2,2	6,0	209	149
180	1,1	14,5	0,0	15,9	298	149
181	0,1	63,39	0,0	34,26	298	149
183	0,0	64,46	1,0	35,20	237	149
185	0,0	64,46	1,0	35,20	250	149
189	0,0	64,46	1,0	35,20	298	149
190	0,0	64,46	1,0	35,20	298	149
249	3,0	5,1	1,6	1,2	298	149
525	30,45	0,0	107,26	5,1	288	149
526	64,67	0,0	155,72	1,0	298	149
527	91,69	1,0	152,123	0,0	269	149
528	126,88	0,0	230,163	0,1	298	149
529	119,96	3,0	165,130	0,0	298	149
530	14,19	8,1	6,6	3,0	298	149
531	14,15	4,0	6,3	0,0	298	149
533	123,121	0,2	183,122	0,0	298	149
535	0,1	3,4	0,0	2,1	298	149
537	153,157	0,0	220,141	2,0	234	149
538	51,74	20,14	61,37	13,15	200	149
539	31,36	20,14	45,24	13,15	221	149
543	34,27	0,1	35,35	0,0	173	149
544	44,62	0,0	76,59	0,1	173	149
545	18,30	0,0	42,22	0,1	247	149
546	49,52	53,65	76,54	79,59	247	149
547	25,16	53,65	22,27	79,59	267	149
548	130,162	1,5	175,102	3,4	263	149
549	855,744	2,0	923,794	0,0	249	149
550	1029,890	1,0	1193,977	0,0	295	149
551	889,740	7,6	906,727	0,0	211	149
552	746,639	0,3	880,641	0,0	198	149
553	0,0	374,325	0,1	341,222	298	149
554	183,166	1,2	168,97	0,0	257	149
555	884,774	1,2	808,625	0,0	249	149
556	836,809	7,14	792,669	0,0	284	149
557	0,0	450,452	0,2	388,338	237	149
558	483,447	0,1	566,422	0,0	298	149
560	375,365	1,2	376,343	0,0	281	149
562	854,809	1,2	942,765	0,0	281	149
563	363,353	4,3	273,205	0,0	249	149
564	797,783	2,0	735,635	0,0	249	149
566	1130,840	8,3	1111,741	1,1	294	149
567	385,249	5,5	416,242	0,0	204	149
569	1951,1997	0,0	1462,994	2,0	298	149
570	2232,2149	7,5	2423,1675	0,1	282	149
571	2398,2364	2,0	1996,1457	0,0	265	149
572	1027,1013	0,0	705,431	1,0	298	149
573	2631,2443	20,6	2458,1749	11,10	272	149
574	3493,3203	11,4	3150,2289	1,0	298	149
575	1507,1295	2,1	1290,869	0,0	278	149
576	1124,1459	16,14	741,449	8,9	245	149
577	1128,1013	311,352	1061,648	241,137	173	149
578	766,1000	4,0	569,351	0,0	298	149
579	1708,1851	1,1	1066,602	0,0	298	149
580	864,961	2,1	747,480	1,0	287	149
581	1,0	209,267	0,1	165,83	206	149
582	603,622	39,31	517,467	26,11	298	149
583	808,889	39,31	682,548	26,11	298	149
584	1093,1036	4,0	1031,654	0,0	298	149
586	667,543	2,1	1156,920	7,8	194	149
587	502,476	3,2	910,665	1,1	208	149
588	89,81	3,2	135,99	1,1	190	149
589	385,363	1,0	671,483	0,0	248	149
598	390,368	6,3	491,387	2,2	210	149
599	642,635	8,5	974,769	1,9	296	149
600	388,371	4,4	559,465	0,0	296	149
601	257,199	4,4	310,217	0,0	252	149
602	7,5	1,0	1,6	0,0	252	149
603	503,459	0,1	724,511	0,0	252	149
604	369,264	1,0	534,422	0,0	283	149
