ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
79	4,5	0,1	3,0	2,1	205	149
80	3,5	3,4	6,0	0,1	205	149
83	552,481	0,3	471,461	1,3	298	149
84	1349,1316	7,5	1053,880	0,3	298	149
85	4,0	209,267	0,1	292,197	298	149
86	510,412	2,1	377,335	1,5	298	149
87	437,421	12,12	386,313	3,6	167	149
89	582,555	0,0	482,371	2,0	175	149
90	32,41	15,16	34,47	4,8	153	149
91	2,0	141,124	2,0	135,83	190	149
95	22,11	49,45	10,18	33,35	168	149
96	12,7	3,9	11,5	5,6	298	149
97	11,4	2,0	11,4	0,0	298	149
108	27,26	119,75	5,15	73,92	298	149
109	0,0	57,69	1,0	43,64	153	149
110	20,14	21,30	12,15	9,12	274	149
111	78,87	3,2	34,48	0,0	208	149
112	24,20	3,2	9,12	0,0	214	149
113	0,0	54,67	2,0	27,36	155	149
116	0,0	0,2	12,0	2,0	254	149
117	5,6	34,32	4,6	27,18	161	149
118	5,4	441,426	2,4	306,348	159	149
122	2,2	14,16	0,2	7,9	155	149
123	3,8	1,3	2,2	2,0	265	149
134	93,84	0,0	70,48	4,0	200	149
135	0,1	0,0	1,0	4,0	197	149
136	93,84	0,1	70,48	1,0	152	149
138	7,2	23,10	2,1	4,4	166	149
141	4359,3430	3,3	3287,2963	3,0	298	149
149	252,207	103,85	144,169	92,76	298	149
150	24,18	23,8	16,18	5,13	156	149
151	0,1	0,2	3,2	0,0	298	149
161	57,51	0,2	46,52	1,2	298	149
163	1116,960	1,0	831,737	0,0	298	149
164	374,271	141,141	219,198	105,67	194	149
165	301,323	7,13	163,186	10,7	176	149
166	16,7	860,758	6,10	671,605	163	149
167	198,180	177,238	125,114	155,124	158	149
173	5,4	9,7	5,7	12,11	298	149
175	1,11	2,0	17,7	3,1	298	149
176	27,21	22,7	15,14	11,4	195	149
177	91,73	22,7	58,52	11,4	208	149
179	64,50	4,9	51,33	8,2	185	149
180	308,249	1,3	258,227	0,0	298	149
181	7,2	334,300	1,0	237,199	153	149
182	12,6	237,190	10,22	177,131	298	149
183	246,212	2,0	169,118	2,1	298	149
185	9,0	69,46	5,0	40,43	298	149
187	535,677	0,0	613,505	1,0	298	149
188	2,1	612,592	1,1	518,467	170	149
190	31,14	2,1	8,8	0,0	298	149
192	208,194	1,0	175,141	3,2	298	149
194	7,3	4,2	10,6	0,6	164	149
195	5,0	0,1	8,1	1,0	164	149
196	7,2	0,1	6,1	2,0	164	149
202	1415,1106	17,18	792,854	16,14	298	149
203	1200,1099	6,3	791,876	4,3	298	149
204	1323,1058	0,0	747,784	2,0	298	149
205	1321,1050	0,0	753,779	2,0	298	149
206	7,1	1095,950	3,2	745,787	298	149
207	5,9	784,796	3,6	604,555	152	149
212	9,12	376,303	19,14	260,319	197	149
213	39,21	1,0	16,20	0,0	298	149
214	39,21	0,2	16,20	3,0	298	149
215	1,0	0,2	0,0	3,0	153	149
216	26,25	2,0	23,20	5,0	153	149
220	5,10	0,0	4,3	0,1	175	149
221	41,60	28,10	32,24	15,14	210	149
222	2,7	41,50	1,3	30,22	237	149
223	0,2	139,92	0,3	101,92	152	149
