ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	0,3	2,2	0,0	0,5	298	237
11	0,3	1,0	0,0	0,1	298	298
13	64,39	19,16	31,36	11,16	298	298
14	5,13	19,16	10,13	11,16	298	298
15	3,1	19,16	1,1	11,16	209	298
18	6,13	3,2	10,13	1,1	298	203
19	5,13	64,39	10,13	31,36	298	298
20	3,1	64,39	1,1	31,36	209	298
21	6,13	66,42	10,13	32,43	298	298
31	3,1	5,13	1,1	10,13	209	298
32	9,6	9,15	1,1	15,13	209	298
34	10,6	9,15	5,7	15,13	298	298
35	0,1	9,15	2,0	15,13	298	298
38	0,1	10,6	2,0	5,7	298	298
54	3,0	2,1	1,0	0,2	298	225
55	3,0	3,1	1,0	0,2	298	236
56	3,0	2,1	1,0	0,2	298	225
86	22,23	27,25	34,21	32,18	208	200
87	18,30	44,62	10,22	71,48	247	173
88	337,293	506,435	302,199	416,263	249	295
89	183,166	375,365	109,94	299,196	257	281
90	183,164	363,353	109,95	289,286	257	249
91	482,413	419,427	316,308	304,276	249	284
92	426,388	363,353	315,296	288,288	281	249
93	1351,1321	1174,1090	1108,827	859,779	265	282
94	599,622	864,961	565,439	704,621	298	287
95	29,30	160,156	30,40	134,126	248	208
96	29,30	1,2	30,40	0,1	248	190
98	257,199	388,371	162,131	432,275	252	296
99	365,261	209,208	226,239	207,153	283	252
100	593,484	244,214	427,320	185,134	282	283
101	87,74	64,53	63,36	52,41	233	236
102	74,71	90,85	63,29	75,62	239	236
103	212,215	8,19	137,142	10,14	248	245
104	0,0	400,304	4,0	223,269	275	298
109	46,41	23,23	25,29	18,22	298	256
110	45,30	23,25	26,48	12,14	298	298
111	49,23	52,39	38,22	26,30	298	298
112	40,29	45,30	31,29	26,48	298	298
115	0,0	1,1	1,0	2,2	298	298
116	68,53	91,71	40,37	39,52	251	264
118	53,60	75,49	27,30	44,72	283	298
119	25,20	78,51	19,19	45,72	201	298
120	24,21	32,33	19,19	19,16	201	220
122	85,87	63,66	108,69	32,53	267	239
123	30,22	112,80	25,18	68,69	191	288
124	2,2	0,1	0,0	1,0	268	298
126	2,0	3,4	0,2	5,2	260	233
127	4,0	3,3	0,0	3,2	260	200
128	13,15	7,9	4,11	14,10	258	250
129	11,12	17,14	5,8	11,15	298	270
130	18,8	1,0	5,5	0,0	270	182
133	201,138	902,664	120,128	556,579	198	271
135	0,0	9,1	1,0	0,2	199	256
136	27,27	39,10	35,23	28,24	284	233
139	0,1	42,41	1,0	23,25	254	269
140	97,70	105,113	56,75	83,83	239	213
141	2,4	102,102	0,1	83,78	239	213
142	3,2	1,2	5,4	1,0	245	194
143	46,47	52,44	33,28	36,28	228	271
144	24,44	9,1	35,26	3,2	298	220
145	24,44	7,1	35,26	2,1	298	216
146	24,44	15,15	35,26	10,6	298	247
147	23,37	4,2	34,20	3,0	298	220
148	23,37	3,1	34,20	3,0	298	216
149	23,37	6,5	34,20	4,0	298	247
150	23,37	111,87	34,20	71,51	298	271
151	23,37	45,40	34,20	33,21	298	247
152	23,37	3,0	36,20	0,0	298	216
153	23,37	55,37	36,20	35,21	298	271
154	23,37	4,4	36,20	2,1	298	226
