ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	1,0	2,2	0,0	1,0	298	149
129	0,0	0,1	0,1	0,2	196	149
131	2,2	0,1	0,5	0,2	237	149
132	1,0	0,1	0,1	0,2	298	149
133	0,3	0,1	0,0	0,2	298	149
134	0,3	1,2	0,0	0,4	298	149
144	8,14	1,0	7,15	0,0	298	149
146	19,16	18,24	11,16	9,17	298	149
149	3,2	14,5	1,1	5,8	203	149
152	64,39	18,24	31,36	9,17	298	149
153	7,5	1,0	6,7	0,0	298	149
154	66,42	14,5	32,43	5,8	298	149
161	5,13	18,24	10,13	9,17	298	149
162	6,13	14,5	10,13	5,8	298	149
163	4,2	8,3	6,0	0,4	298	149
164	4,2	6,5	5,1	0,0	298	149
165	9,15	63,39	15,13	31,36	298	149
167	14,6	6,5	3,4	0,0	298	149
168	10,6	63,39	5,7	31,36	298	149
169	6,3	0,0	4,0	0,1	298	149
170	2,3	5,13	6,3	10,13	298	149
176	3,1	18,24	1,1	9,17	209	149
177	9,6	63,39	1,1	31,36	209	149
179	3,1	5,13	1,2	10,13	209	149
181	9,4	2,3	4,1	5,3	209	149
183	1,1	14,5	2,0	5,8	298	149
184	0,1	63,39	2,0	31,36	298	149
192	0,0	64,46	1,0	42,44	298	149
252	3,0	5,1	1,0	0,2	298	149
527	91,69	1,0	59,87	0,0	269	149
528	53,37	0,0	42,32	0,1	298	149
529	119,96	3,0	90,85	0,0	298	149
530	14,19	8,1	17,8	1,4	298	149
531	14,15	4,0	12,7	0,0	298	149
532	10,4	3,3	4,2	4,1	298	149
533	123,121	0,2	88,84	0,0	298	149
535	0,1	3,4	2,1	0,1	298	149
537	51,74	20,14	75,39	19,15	200	149
538	31,36	20,14	37,21	19,15	221	149
539	26,58	0,0	60,27	2,0	208	149
543	34,27	0,1	17,17	0,0	173	149
544	49,52	53,65	24,40	76,55	247	149
545	25,16	53,65	16,14	76,55	267	149
546	130,162	1,5	122,107	4,4	263	149
547	855,744	2,0	698,475	0,0	249	149
548	1029,890	1,0	816,545	2,0	295	149
549	889,740	7,6	707,535	2,2	211	149
550	746,639	0,3	618,562	1,3	198	149
551	0,0	374,325	1,0	216,191	298	149
552	3,1	0,1	1,0	0,2	298	149
553	183,164	0,1	110,95	0,2	257	149
554	183,166	1,2	109,94	1,0	257	149
555	183,164	4,3	109,95	3,2	257	149
556	884,774	1,2	605,578	0,2	249	149
557	482,413	0,0	316,308	1,1	249	149
558	419,427	0,0	304,276	1,1	284	149
559	1,2	0,0	0,3	0,1	284	149
560	836,809	7,14	605,559	8,1	284	149
562	483,447	0,1	370,335	0,0	298	149
563	1,3	1,2	0,4	1,0	298	149
564	1,2	0,2	1,3	0,0	298	149
565	375,365	1,2	299,196	1,0	281	149
566	2,1	4,3	0,0	3,2	281	149
567	854,809	1,2	668,525	0,2	281	149
