ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	1,5	2,2	0,3	0,5	337	237
11	1,5	11,2	0,3	10,11	337	411
13	86,54	33,29	41,54	18,21	378	376
14	10,16	33,29	13,20	18,21	352	376
15	3,1	33,29	1,1	18,21	209	376
18	11,16	3,2	13,20	1,1	352	203
19	10,16	86,54	13,20	41,54	352	378
20	3,1	86,54	1,1	41,54	209	378
21	11,16	88,57	13,20	42,61	352	378
31	3,1	10,16	1,1	13,20	209	352
32	9,6	14,18	1,1	18,20	209	352
34	28,24	14,18	16,26	18,20	671	352
35	0,1	14,18	2,0	18,20	420	352
38	0,1	28,24	2,0	16,26	420	671
54	3,0	2,1	1,0	0,2	362	225
55	3,0	3,1	1,0	0,2	362	236
56	3,0	2,1	1,0	0,2	362	225
86	22,23	27,25	34,21	32,18	208	200
87	18,30	44,62	10,22	71,48	247	173
88	337,293	506,435	302,199	416,263	249	295
89	183,166	375,365	109,94	299,196	257	281
90	183,164	363,353	109,95	289,286	257	249
91	482,413	419,427	316,308	304,276	249	284
92	426,388	363,353	315,296	288,288	281	249
93	1351,1321	1174,1090	1108,827	859,779	265	282
94	617,665	864,961	625,481	704,621	350	287
95	29,30	160,156	30,40	134,126	248	208
96	29,30	1,2	30,40	0,1	248	190
98	257,199	388,371	162,131	432,275	252	296
99	365,261	209,208	226,239	207,153	283	252
100	593,484	244,214	427,320	185,134	282	283
101	87,74	64,53	63,36	52,41	233	236
102	74,71	90,85	63,29	75,62	239	236
103	212,215	8,19	137,142	10,14	248	245
104	0,0	494,369	4,0	270,329	275	350
109	62,46	23,23	32,39	18,22	362	256
110	77,55	39,30	42,64	19,24	383	362
111	68,33	84,64	46,35	42,46	356	383
112	40,29	64,40	32,29	34,61	305	356
113	0,0	48,31	1,2	41,34	676	293
114	0,0	0,4	1,2	0,0	676	240
115	0,0	12,15	2,0	7,7	419	1360
116	68,53	91,71	40,37	39,52	251	264
118	53,60	84,53	27,30	47,80	283	316
119	25,20	87,55	19,19	48,80	201	316
120	24,21	32,33	19,19	19,16	201	220
122	85,87	63,66	108,69	32,53	267	239
123	30,22	112,80	25,18	68,69	191	288
124	2,2	0,1	0,0	2,0	268	531
126	2,0	3,4	0,2	5,2	260	233
127	4,0	3,3	0,0	3,2	260	200
128	13,15	7,9	4,11	14,10	258	250
129	11,12	17,14	5,8	11,15	306	270
130	18,8	1,0	5,5	0,0	270	182
133	201,138	902,664	120,128	556,579	198	271
135	0,0	9,1	1,0	0,2	199	256
136	27,27	39,10	35,23	28,24	284	233
139	0,1	42,41	1,0	23,25	254	269
140	97,70	105,113	56,75	83,83	239	213
141	2,4	102,102	0,1	83,78	239	213
142	3,2	1,2	5,4	1,0	245	194
143	46,47	52,44	33,28	36,28	228	271
144	52,75	9,1	55,36	3,2	525	220
145	52,75	7,1	55,36	2,1	525	216
146	52,75	15,15	55,36	10,6	525	247
147	51,68	4,2	54,30	3,0	525	220
148	51,68	3,1	54,30	3,0	525	216
149	51,68	6,5	54,30	4,0	525	247
150	51,68	111,87	54,30	71,51	525	271
151	51,68	45,40	54,30	33,21	525	247
152	51,68	3,0	56,30	0,0	525	216
153	51,68	55,37	56,30	35,21	525	271
154	51,68	4,4	56,30	2,1	525	226
155	53,68	57,46	54,30	38,23	525	271
156	53,68	5,4	54,30	5,3	525	226
157	9,1	15,15	3,2	10,6	220	247
158	4,2	6,5	3,0	4,0	220	247
159	4,2	111,87	3,0	71,51	220	271
160	4,2	45,40	3,0	33,21	220	247
161	0,1	53,51	2,0	37,34	220	271
162	7,1	15,15	2,1	10,6	216	247
163	3,1	6,5	3,0	4,0	216	247
164	3,1	111,87	3,0	71,51	216	271
165	3,1	45,40	3,0	33,21	216	247
166	3,0	55,37	0,0	35,21	216	271
167	3,0	4,4	0,0	2,1	216	226
168	0,1	53,51	2,0	37,34	216	271
169	6,5	111,87	4,0	71,51	247	271
170	6,5	45,40	4,0	33,21	247	247
171	53,37	30,31	35,21	23,17	271	226
172	55,37	4,4	35,21	2,1	271	226
173	57,46	5,4	38,23	5,3	271	226
174	4,14	2,1	4,8	3,1	271	226
175	0,1	0,2	1,0	0,1	257	297
177	0,0	2,1	5,3	0,0	384	260
178	4,4	8,11	0,0	19,8	335	221
179	4,4	52,48	0,0	64,47	335	227
180	24,24	8,14	37,32	20,10	262	227
181	56,46	34,28	49,30	40,32	291	262
182	49,33	31,26	40,31	41,33	280	291
183	6684,5404	6177,4520	4964,4749	4408,3797	321	307
185	228,205	4662,4113	138,159	2930,3422	393	3606
186	4559,4050	36,34	2825,3360	13,35	3606	229
187	1,3	36,34	1,3	13,35	266	229
188	572,449	464,437	413,369	291,340	345	290
189	554,491	1013,783	349,400	748,640	302	402
190	991,853	672,626	747,727	534,534	402	273
193	8,3	39,40	0,11	29,28	285	277
194	12,4	16,3	9,15	3,5	285	211
195	80,94	5,5	58,54	9,8	322	285
196	106,64	44,31	75,43	36,47	359	269
199	1,0	0,1	2,0	0,0	375	311
200	0,0	1,1	1,0	0,2	375	308
221	209,195	222,161	165,152	138,124	282	277
222	413,368	92,78	337,275	68,47	352	232
223	209,195	85,75	165,152	67,47	282	232
224	221,201	523,436	166,152	358,267	282	352
225	158,138	351,318	102,104	229,151	248	283
226	135,126	211,156	92,87	132,92	225	248
227	355,258	144,118	177,137	69,94	298	225
228	112,142	302,294	101,90	263,224	227	272
245	8,11	13,30	17,23	32,16	444	212
246	228,193	352,329	185,98	253,208	249	280
247	1,2	8,10	4,1	4,0	247	245
248	1,1	8,10	0,3	4,0	268	245
249	116,107	261,188	68,50	157,122	206	249
250	244,289	116,82	235,155	84,61	334	197
251	244,208	116,82	172,111	84,61	300	197
252	244,208	216,245	168,111	175,160	300	326
253	244,208	228,253	168,111	186,180	300	334
254	214,186	1,0	110,96	5,4	257	300
255	217,189	204,233	113,103	203,125	257	300
256	68,48	203,233	46,33	202,123	211	300
257	0,0	194,150	0,2	133,78	216	257
258	25,21	211,161	16,27	148,93	176	257
259	70,47	194,150	48,34	133,78	211	257
260	6,6	10,9	5,6	7,1	248	249
261	6,1	176,198	3,5	152,147	249	213
262	100,117	86,71	70,60	61,78	219	228
263	52,81	84,71	81,59	61,79	240	228
264	153,157	153,141	160,136	162,119	233	253
265	747,632	1979,1715	643,369	1402,1301	305	315
266	747,632	664,566	643,369	439,432	305	185
267	744,634	1922,1612	646,367	1498,1441	305	346
268	16,31	159,142	34,46	145,112	229	307
269	224,205	144,142	142,162	113,133	361	317
271	657,463	365,298	407,432	206,217	207	197
272	766,696	654,554	541,576	408,388	249	235
273	767,696	785,672	541,578	544,530	249	285
274	766,696	32,29	541,576	37,29	249	285
275	1136,1022	914,698	744,838	481,541	285	248
276	32,29	654,554	37,29	408,388	285	235
277	1162,1049	657,553	779,866	408,390	285	235
278	1,0	914,698	2,0	481,541	280	248
279	377,342	941,723	247,263	518,568	235	248
280	401,358	1142,997	273,281	773,817	541	310
281	401,358	55,48	273,281	32,32	541	475
282	25,21	1142,997	24,26	773,817	248	310
283	25,21	55,48	24,26	32,32	248	475
284	757,621	1142,997	509,486	773,817	248	310
285	1356,1088	1342,1122	758,796	871,991	310	294
286	1052,913	726,729	666,701	562,502	303	286
287	1052,913	745,748	666,701	585,528	303	289
288	1052,913	0,4	666,701	0,2	303	289
289	1004,875	7,2	640,673	5,7	303	289
290	0,0	909,733	0,1	713,696	289	425
291	0,0	0,1	0,1	0,0	289	205
292	0,3	909,733	0,1	713,696	289	425
293	545,500	958,771	422,357	735,722	289	425
295	545,503	958,771	422,357	735,722	289	425
297	1693,1529	0,0	1311,1249	2,0	425	317
298	181,179	109,79	123,128	58,66	368	265
299	146,150	117,112	103,117	90,120	286	298
300	146,150	106,107	103,117	81,112	286	283
301	82,64	102,86	59,55	74,59	298	237
302	8,9	282,211	5,11	196,261	283	492
303	125,99	102,86	94,89	74,59	283	237
304	80,62	289,212	51,76	195,263	237	492
305	163,183	191,222	146,149	133,149	270	280
306	138,112	168,102	100,93	111,109	258	296
307	205,167	302,241	137,155	180,170	372	370
308	109,103	5,1	104,115	2,6	279	260
309	109,103	324,270	104,115	217,258	279	335
311	64,42	2,0	38,40	0,0	301	188
312	28,29	38,17	20,12	15,20	330	301
313	27,31	38,17	23,12	15,20	326	301
314	14,25	41,21	20,19	16,35	258	285
315	29,28	46,43	21,28	23,23	285	358
317	151,150	116,97	143,143	77,59	266	246
318	1,2	38,24	0,2	14,23	259	260
319	1,2	17,11	0,2	10,8	259	277
320	15,18	554,457	12,6	387,355	266	737
