ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	1,0	2,2	0,0	1,0	307	149
129	0,0	0,1	0,1	0,2	196	149
131	2,2	0,1	0,5	0,2	237	149
132	11,2	0,1	10,11	0,2	411	149
133	1,5	0,1	0,3	0,2	337	149
134	1,5	1,2	0,3	0,4	337	149
144	22,27	1,0	14,20	0,0	376	149
146	33,29	18,24	18,21	9,17	376	149
149	3,2	14,5	1,1	5,8	203	149
152	86,54	18,24	41,54	9,17	378	149
153	29,20	1,0	16,25	0,0	378	149
154	88,57	14,5	42,61	5,8	378	149
161	10,16	18,24	13,20	9,17	352	149
162	11,16	14,5	13,20	5,8	352	149
163	9,5	8,3	9,7	0,4	352	149
164	9,5	6,5	8,8	0,0	352	149
165	14,18	63,39	18,20	31,36	352	149
167	32,24	6,5	14,23	0,0	671	149
168	28,24	63,39	16,26	31,36	671	149
169	24,21	0,0	15,19	0,1	671	149
170	20,21	5,13	17,22	10,13	671	149
176	3,1	18,24	1,1	9,17	209	149
177	9,6	63,39	1,1	31,36	209	149
179	3,1	5,13	1,2	10,13	209	149
181	9,4	2,3	4,1	5,3	209	149
183	1,1	14,5	2,0	5,8	420	149
184	0,1	63,39	2,0	31,36	420	149
192	0,0	64,46	2,0	42,44	390	149
193	0,0	64,46	1,0	42,44	435	149
252	3,0	5,1	1,0	0,2	362	149
527	91,69	1,0	59,87	0,0	269	149
528	102,92	0,0	83,76	0,1	429	149
529	146,115	3,0	94,99	0,0	331	149
530	14,19	8,1	17,8	1,4	301	149
531	14,15	4,0	12,7	0,0	301	149
532	11,5	3,3	4,4	4,1	320	149
533	159,156	0,2	120,110	0,0	351	149
535	0,1	3,4	2,1	0,1	302	149
537	51,74	20,14	75,39	19,15	200	149
538	31,36	20,14	37,21	19,15	221	149
539	26,58	0,0	60,27	2,0	208	149
543	34,27	0,1	17,17	0,0	173	149
544	49,52	53,65	24,40	76,55	247	149
545	25,16	53,65	16,14	76,55	267	149
546	130,162	1,5	122,107	4,4	263	149
547	855,744	2,0	698,475	0,0	249	149
548	1029,890	1,0	816,545	2,0	295	149
549	889,740	7,6	707,535	2,2	211	149
550	746,639	0,3	618,562	1,3	198	149
551	1,0	374,325	1,4	216,191	320	149
552	3,1	0,1	1,0	0,2	304	149
553	183,164	0,1	110,95	0,2	257	149
554	183,166	1,2	109,94	1,0	257	149
555	183,164	4,3	109,95	3,2	257	149
556	884,774	1,2	605,578	0,2	249	149
557	482,413	0,0	316,308	1,1	249	149
558	419,427	0,0	304,276	1,1	284	149
559	1,2	0,0	0,3	0,1	284	149
560	836,809	7,14	605,559	8,1	284	149
562	677,646	0,1	547,465	0,0	348	149
563	195,202	1,2	177,134	1,0	348	149
564	195,201	0,2	178,133	0,0	348	149
565	375,365	1,2	299,196	1,0	281	149
566	2,1	4,3	0,0	3,2	281	149
567	854,809	1,2	668,525	0,2	281	149
568	363,353	4,3	289,286	3,2	249	149
569	362,353	0,0	288,286	0,1	249	149
570	797,783	2,0	641,513	0,0	249	149
571	142,123	3,2	89,89	1,0	321	149
572	1130,840	8,3	753,656	11,6	294	149
573	385,249	5,5	226,200	0,0	204	149
575	2232,2149	7,5	1734,1444	0,3	282	149
576	1174,1090	0,0	859,779	0,1	282	149
577	2906,2937	0,0	2408,1899	0,1	937	149
578	1351,1321	0,0	1108,827	0,1	265	149
579	2398,2364	2,0	1980,1488	0,0	265	149
580	2631,2443	20,6	2174,1755	14,4	272	149
581	3863,3538	11,4	2972,2522	5,10	323	149
582	1507,1295	2,1	1197,960	0,0	278	149
583	1124,1459	16,14	1318,1053	21,11	245	149
584	1128,1013	311,352	969,658	316,213	173	149
585	1919,2647	4,0	2644,1817	0,2	747	149
586	1800,1926	1,1	1737,1324	0,0	310	149
587	1034,1197	0,0	971,790	0,1	287	149
588	864,961	2,1	704,621	2,0	287	149
589	1,0	209,267	0,0	292,197	206	149
590	629,672	39,31	635,494	25,28	629	149
591	617,665	2,1	625,481	2,0	350	149
592	826,932	39,31	917,677	25,28	350	149
593	1571,1659	4,0	1313,1200	0,0	638	149
595	667,543	2,1	494,455	1,5	194	149
596	502,476	3,2	448,352	1,0	208	149
597	89,81	3,2	66,48	1,0	190	149
598	385,363	1,0	343,271	0,0	248	149
607	390,368	6,3	368,294	2,2	210	149
608	642,635	8,5	680,467	9,7	296	149
609	388,371	4,4	432,275	2,1	296	149
610	257,199	4,4	162,131	2,1	252	149
611	7,5	1,0	7,7	0,0	252	149
612	503,459	0,1	401,318	1,0	252	149
613	369,264	1,0	227,240	0,0	283	149
614	656,510	2,3	431,398	3,2	283	149
615	1006,780	0,0	671,588	2,5	282	149
616	1,0	658,517	0,2	494,383	236	149
617	816,660	0,2	627,497	0,0	262	149
618	92,88	0,1	118,108	0,0	161	149
619	1,0	38,46	0,0	87,67	285	149
620	826,791	0,0	633,577	2,0	281	149
621	1031,936	1,3	737,667	5,2	284	149
622	549,599	0,0	547,394	5,2	287	149
