ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	25,11	2,0	18,8	0,4	245	149
14	73,62	0,1	60,27	2,0	1003	149
15	70,61	1,0	52,27	3,0	963	149
16	62,58	9,6	51,26	2,0	934	149
17	38,49	0,0	35,16	0,4	645	149
20	55,52	1,2	44,25	0,2	819	149
21	54,40	31,14	15,21	24,19	762	149
22	52,37	0,0	13,18	2,0	735	149
34	10,2	0,0	4,2	0,2	729	149
39	1,2	0,0	1,4	1,0	248	149
54	0,0	1,4	0,1	3,1	1174	149
55	56,67	9,13	34,37	15,4	246	149
56	60,55	570,494	86,71	490,498	296	149
57	840,780	1233,1153	751,660	1137,1090	850	149
58	1220,1302	7,5	1071,969	5,1	1522	149
59	398,546	1062,1061	335,333	981,1007	688	149
61	170,178	503,409	117,90	412,443	1372	149
62	180,185	2,1	119,96	2,0	1617	149
63	38,34	523,424	23,36	439,454	349	149
65	10,10	1,5	19,14	0,2	1374	149
77	39,23	0,0	43,31	1,1	204	149
78	15,4	1,1	8,8	3,0	1827	149
80	24,26	4,6	32,28	11,8	260	149
82	11,8	0,0	8,5	2,2	1220	149
83	6,4	5,9	6,11	4,7	344	149
96	29,10	1,0	9,15	0,0	750	149
97	1,3	93,84	4,3	100,82	267	149
99	1,3	0,1	4,3	0,0	270	149
100	5,2	60,53	3,0	46,57	258	149
101	61,70	1,0	45,69	1,0	283	149
102	84,90	4,2	94,107	7,2	659	149
103	7,8	5,1	10,8	6,1	888	149
104	4,1	5,2	2,5	5,2	241	149
105	376,329	6026,4730	316,275	5711,5000	1229	149
116	4462,3941	103,85	4292,3977	126,94	3420	149
117	3811,3416	7,2	3641,3424	2,5	3018	149
118	0,9	2,1	8,5	0,0	584	149
119	0,3	0,1	3,4	3,3	788	149
124	10,16	24,20	20,18	25,21	316	149
128	2,1	4,2	0,6	1,0	876	149
129	214,138	71,70	139,147	58,51	3782	149
134	37,55	1005,930	48,48	944,868	352	149
135	47,62	8,15	45,52	10,5	528	149
136	56,49	231,209	27,55	222,232	275	149
137	1,2	404,301	0,0	282,245	280	149
138	33,18	124,80	33,24	103,107	281	149
145	1,7	8,3	19,4	2,2	222	149
146	6,10	1,7	20,4	6,5	267	149
147	535,409	6,12	431,435	13,7	875	149
148	501,387	247,218	405,408	216,212	857	149
150	91,78	301,275	113,63	236,268	278	149
151	57,50	2,1	69,56	3,0	447	149
152	185,152	237,190	170,160	204,217	1561	149
153	90,60	17,12	45,71	19,7	2029	149
