ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	11,13	0,2	24,29	7,2	245	149
14	50,49	0,2	68,55	0,0	1003	149
15	49,48	0,0	67,53	4,0	963	149
16	45,45	5,4	63,51	5,2	934	149
20	43,37	0,4	51,39	10,4	819	149
21	16,36	9,25	47,30	16,13	762	149
22	16,32	1,4	45,28	0,0	735	149
39	3,4	0,2	5,2	0,2	248	149
55	41,44	11,3	65,33	13,6	246	149
56	73,60	482,403	54,48	641,479	296	149
57	717,709	923,811	649,450	1474,1033	850	149
58	1153,1002	0,3	842,605	0,1	1522	149
59	454,301	875,668	207,164	1029,695	688	149
61	128,108	373,334	97,104	939,718	1372	149
62	132,107	1,5	111,104	7,8	1617	149
63	32,21	400,388	43,31	886,727	349	149
65	4,6	0,5	4,2	0,0	1374	149
77	26,18	0,2	45,18	0,0	204	149
78	14,12	0,2	14,2	2,0	1827	149
80	24,27	3,1	18,14	15,6	260	149
82	7,6	3,1	11,4	6,0	1220	149
83	4,6	7,7	13,4	17,15	344	149
96	10,23	0,3	28,9	2,0	750	149
97	2,4	70,48	3,3	98,72	267	149
98	2,4	4,0	3,3	0,0	318	149
99	2,4	1,0	3,3	0,0	270	149
100	1,1	36,26	5,3	58,67	258	149
101	70,27	1,0	75,69	2,0	283	149
102	97,66	0,2	174,114	1,1	659	149
103	8,4	0,3	8,15	4,3	888	149
104	1,7	5,6	4,3	5,1	241	149
105	272,240	4420,4237	498,398	13221,9745	1229	149
116	2786,3298	92,76	2546,1877	220,122	3420	149
117	2391,2853	3,0	2184,1590	1,4	3018	149
118	6,6	0,2	6,0	1,0	584	149
119	2,4	1,0	4,0	3,0	788	149
124	10,5	20,23	9,6	47,32	316	149
128	0,0	2,0	1,0	5,2	876	149
129	129,97	64,65	206,92	126,73	3782	149
134	44,50	871,735	80,43	1628,1245	352	149
135	44,52	12,9	76,32	12,11	528	149
136	40,22	182,179	26,29	365,233	275	149
137	2,0	250,239	3,0	343,262	280	149
138	17,21	81,107	15,11	56,42	281	149
145	10,5	11,5	5,6	3,2	222	149
146	15,6	8,0	6,7	2,5	267	149
147	390,317	9,4	346,171	23,8	875	149
148	368,297	157,198	318,158	195,156	857	149
150	67,64	215,161	52,31	306,206	278	149
151	58,59	2,0	27,34	0,0	447	149
152	134,142	177,131	92,80	266,198	1561	149
153	36,43	15,15	62,47	10,14	2029	149
154	3,2	122,109	9,5	244,144	287	149
155	35,17	523,447	18,18	689,411	235	149
156	37,28	8,10	58,37	0,0	492	149
157	24,20	127,104	17,12	169,131	429	149
158	20,13	274,263	6,6	438,314	252	149
159	89,62	111,80	62,57	143,66	340	149
163	2,0	6,0	0,0	5,0	4549	149
165	10,20	4,4	21,6	4,2	374	149
166	116,92	818,834	135,80	1886,1372	1719	149
167	7,4	0,0	11,3	1,0	272	149
168	133,109	10,13	158,99	48,31	1722	149
169	36,52	862,934	79,34	1716,1175	1027	149
170	40,36	804,869	40,44	1551,1084	232	149
171	38,43	551,537	39,38	961,710	534	149
172	92,113	0,1	134,95	0,0	1342	149
173	80,92	37,28	127,90	6,2	827	149
174	61,62	711,669	104,73	1469,1064	356	149
175	17,16	869,990	19,5	1632,1087	228	149
176	12,12	1,0	24,21	0,0	232	149
177	12,12	613,671	24,21	1223,870	243	149
178	8,18	437,376	24,17	768,420	448	149
179	32,43	177,197	47,27	309,180	451	149
180	28,27	604,555	31,25	747,528	337	149
182	12,12	35,84	8,7	73,67	600	149
186	6,6	23,20	4,2	32,25	764	149
187	6,6	5,0	4,2	2,4	768	149
189	2,0	1,0	0,0	5,0	3928	149
190	12,9	1,3	17,2	12,10	2814	149
191	94,93	837,824	136,87	2070,1529	3454	149
193	43,53	73,96	46,27	186,105	1858	149
194	4,10	135,121	11,8	221,139	695	149
195	69,61	1,2	88,69	0,1	2473	149
196	66,57	121,103	77,63	211,168	1815	149
197	12,21	58,52	31,28	86,89	918	149
198	47,28	65,42	29,33	101,77	1141	149
199	12,9	55,41	21,14	80,55	378	149
200	3,3	0,2	6,2	10,1	291	149
202	3,3	5,11	5,2	6,2	272	149
203	15,14	45,34	20,9	49,38	230	149
204	81,55	17,19	64,32	13,9	557	149
205	76,51	38,36	59,27	62,50	434	149
206	16,19	94,85	5,3	150,104	266	149
207	141,112	8,2	211,185	3,0	269	149
208	45,40	4,7	66,55	10,3	229	149
209	11,10	0,3	29,11	0,3	1341	149
210	342,353	140,144	301,205	275,191	1677	149
211	345,356	6,0	303,207	1,0	1680	149
212	388,380	0,1	373,249	0,0	1732	149
213	630,611	99,121	885,572	174,142	2992	149
217	8,6	0,0	26,19	1,1	264	149
220	8,5	5,6	20,10	2,3	242	149
221	8,5	0,1	19,9	0,0	238	149
222	8,5	5,8	20,10	5,4	245	149
226	19,16	119,116	11,8	154,96	231	149
229	10,8	111,80	6,6	33,25	256	149
230	37,35	2,0	10,12	0,0	398	149
231	48,41	1,4	35,21	0,2	539	149
232	18,11	37,29	6,1	15,13	231	149
233	30,26	40,21	21,13	5,3	451	149
234	11,7	49,34	5,9	2,2	288	149
235	13,4	66,40	0,1	19,7	222	149
241	145,102	5,7	79,55	0,0	1402	149
245	0,2	0,2	0,1	0,0	1081	149
247	7,6	0,0	1,3	1,0	505	149
248	756,625	4,0	1265,935	1,2	1240	149
250	9,2	0,0	4,3	2,0	538	149
251	4,4	1,2	7,7	1,1	538	149
252	0,0	1,0	2,0	1,0	609	149
253	21,13	57,62	20,17	172,102	371	149
254	42,42	444,393	25,46	901,671	998	149
255	23,26	383,319	24,7	819,684	366	149
256	223,185	348,281	285,252	516,348	1062	149
257	244,243	393,353	349,341	461,321	629	149
258	34,38	68,90	41,38	198,131	2365	149
259	18,10	103,113	6,5	82,41	629	149
261	50,47	243,184	57,37	280,182	278	149
262	73,49	152,105	35,22	177,120	233	149
263	33,29	250,208	31,19	258,234	239	149
264	139,85	127,135	89,74	145,97	380	149
265	249,201	16,6	222,166	8,11	470	149
266	75,56	305,288	58,26	524,353	3186	149
267	21,22	262,263	25,23	702,476	373	149
268	12,10	1,3	1,0	16,5	744	149
269	24,25	318,321	16,18	595,446	929	149
270	20,14	356,350	17,7	577,451	294	149
271	100,84	2,0	72,83	0,0	1787	149
272	80,71	340,287	55,76	531,334	1494	149
273	75,66	5,5	51,72	6,0	1463	149
274	74,62	1,3	49,72	4,4	1452	149
275	3605,3387	18,7	4753,3738	13,16	236	149
276	92,83	0,1	60,48	0,0	605	149
277	111,105	52,36	64,58	66,39	723	149
278	3,3	68,43	9,14	100,75	323	149
280	4,2	4,1	4,2	4,5	394	149
282	306,343	1,1	337,245	1,2	5658	149
283	33,22	0,0	37,12	4,0	385	149
285	12,16	1130,979	24,19	1377,1009	733	149
286	3,12	957,980	3,5	1735,1235	583	149
291	18,6	165,131	18,5	188,136	340	149
292	14,14	127,86	6,9	106,67	325	149
293	21,37	24,24	21,11	13,9	1531	149
294	11,1	21,9	4,0	14,4	236	149
295	2,0	86,74	4,5	128,89	254	149
296	563,594	0,1	923,724	1,0	559	149
297	824,606	2,2	675,458	1,0	1075	149
298	94,78	11,9	34,23	14,3	784	149
299	5,3	158,177	7,6	194,92	347	149
300	9,25	4,1	18,9	0,0	259	149
301	17,21	33,39	24,11	77,51	237	149
304	3,10	3,2	4,9	3,1	395	149
306	23,18	0,0	14,25	3,0	1013	149
307	18,7	2,5	10,14	5,4	600	149
312	11,18	86,76	17,16	141,76	3007	149
314	133,116	17,8	257,210	12,12	230	149
318	0,4	8,4	0,4	5,1	1091	149
323	320,322	2,2	339,263	0,0	900	149
326	197,164	36,27	206,175	45,27	1045	149
327	21,32	107,89	33,29	87,72	503	149
328	0,4	88,60	7,3	89,44	293	149
329	4,9	0,0	0,1	1,0	689	149
331	1,2	6,1	0,0	0,2	269	149
332	44,48	13,0	26,28	0,2	284	149
333	47,53	7,3	28,28	0,1	343	149
337	3726,3778	2,0	4447,3391	1,0	3427	149
339	9,5	2,7	7,4	2,4	424	149
340	3,0	15,13	0,0	1,1	365	149
343	151,125	4,1	105,61	1,0	230	149
345	36,36	71,52	52,31	121,91	313	149
346	7,6	0,0	7,3	1,0	507	149
347	44,37	0,2	18,7	0,0	801	149
348	3,2	35,24	0,0	36,16	428	149
350	1,1	10,8	0,0	2,7	1692	149
354	0,4	19,9	0,0	2,0	360	149
356	0,0	0,2	1,0	0,0	742	149
357	8,6	34,28	9,2	66,44	244	149
361	59,45	0,0	21,16	0,3	432	149
362	14,12	10,5	17,14	0,2	573	149
372	47,38	6,0	86,62	1,5	960	149
373	52,40	3,0	90,65	3,3	1010	149
374	47,36	1,5	85,57	6,2	956	149
378	1,16	0,0	11,4	1,1	1370	149
