ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	11,13	0,2	17,7	0,0	245	149
14	9,16	0,2	20,17	3,0	298	149
15	8,16	0,0	17,17	2,0	298	149
16	5,14	5,4	16,21	1,2	298	149
20	14,14	0,4	14,28	4,0	298	149
21	8,15	9,25	11,11	13,21	298	149
22	8,11	1,4	9,8	1,2	298	149
39	3,4	0,2	7,2	0,0	248	149
55	41,44	11,3	36,48	5,11	246	149
56	73,60	482,403	48,91	471,494	296	149
57	263,246	923,811	193,202	907,1017	298	149
58	293,212	0,3	208,213	2,3	298	149
59	254,166	875,668	148,191	765,907	298	149
61	30,25	373,334	16,42	448,484	298	149
62	19,21	1,5	12,37	2,3	298	149
63	32,21	400,388	32,46	460,497	298	149
65	0,2	0,5	0,1	1,7	298	149
77	26,18	0,2	32,22	0,0	204	149
78	0,4	0,2	1,4	0,2	298	149
80	24,27	3,1	19,25	1,2	260	149
82	4,3	3,1	2,1	5,1	298	149
83	3,5	7,7	7,4	6,8	298	149
96	3,15	0,3	3,5	0,1	298	149
97	2,4	70,48	6,3	62,58	267	149
98	2,4	4,0	6,3	2,0	298	149
99	2,4	1,0	6,3	1,0	270	149
100	1,1	36,26	5,3	47,49	258	149
101	70,27	1,0	49,47	1,0	283	149
102	33,43	0,2	62,56	4,1	298	149
103	2,2	0,3	0,2	4,0	298	149
104	1,7	5,6	2,7	2,1	241	149
105	195,159	4420,4237	201,232	5231,5374	298	149
116	257,281	92,76	301,374	90,126	298	149
117	244,254	3,0	250,287	7,3	298	149
118	3,4	0,2	4,3	1,0	298	149
119	0,2	1,0	0,0	4,0	298	149
124	10,2	20,23	15,10	33,20	298	149
128	0,0	2,0	0,1	2,2	298	149
129	14,11	64,65	9,12	59,69	298	149
134	39,47	871,735	25,43	982,870	298	149
135	27,35	12,9	15,22	6,8	298	149
136	40,22	182,179	38,59	194,224	275	149
137	2,0	250,239	0,0	275,263	280	149
138	17,21	81,107	26,22	79,91	281	149
145	10,5	11,5	3,4	2,7	222	149
146	15,6	8,0	4,7	8,5	267	149
147	141,110	9,4	119,155	6,6	298	149
148	124,91	157,198	97,129	157,221	298	149
150	67,64	215,161	71,76	233,293	278	149
151	42,45	2,0	40,42	0,2	298	149
152	26,45	177,131	34,32	209,229	298	149
153	9,12	15,15	11,16	21,17	298	149
154	3,2	122,109	5,12	175,204	287	149
155	35,17	523,447	24,32	315,479	235	149
156	25,18	8,10	13,18	4,2	298	149
157	16,16	127,104	10,28	92,162	298	149
158	20,13	274,263	33,11	290,293	252	149
159	85,62	111,80	44,70	76,108	298	149
163	1,0	6,0	0,0	3,2	298	149
165	9,17	4,4	18,25	11,9	298	149
166	8,9	818,834	18,29	1060,1242	298	149
168	25,26	10,13	38,54	27,16	298	149
169	30,44	862,934	42,41	1059,1245	298	149
170	40,36	804,869	62,79	1061,1080	232	149
171	29,32	551,537	30,34	651,689	298	149
172	44,55	0,1	71,98	2,2	298	149
173	51,65	37,28	69,98	33,34	298	149
174	57,60	711,669	63,107	881,919	298	149
175	17,16	869,990	22,28	1082,1149	228	149
176	12,12	1,0	22,24	1,2	232	149
177	12,12	613,671	22,24	902,886	243	149
178	6,10	437,376	23,38	412,457	298	149
179	30,35	177,197	42,69	232,244	298	149
180	27,26	604,555	57,50	572,743	298	149
182	8,7	35,84	9,7	55,51	298	149
186	4,3	23,20	3,2	17,23	298	149
187	4,3	5,0	4,2	2,2	298	149
189	2,0	1,0	0,0	2,1	298	149
190	0,4	1,3	3,2	7,0	298	149
191	53,54	837,824	51,33	960,1026	298	149
193	8,16	73,96	10,10	111,120	298	149
194	0,7	135,121	1,3	151,140	298	149
195	3,7	1,2	5,19	2,8	298	149
196	5,16	121,103	9,18	115,148	298	149
197	0,7	58,52	2,1	69,84	298	149
198	5,13	65,42	6,0	68,52	298	149
199	12,9	55,41	12,11	61,42	298	149
200	3,3	0,2	1,8	2,1	291	149
202	3,3	5,11	1,8	2,7	272	149
203	15,14	45,34	20,25	29,34	230	149
204	57,34	17,19	32,45	12,15	298	149
205	60,42	38,36	30,36	32,46	298	149
206	16,19	94,85	8,10	75,102	266	149
207	141,112	8,2	103,132	1,4	269	149
208	45,40	4,7	33,33	9,12	229	149
209	1,6	0,3	8,8	4,6	298	149
210	70,86	140,144	65,78	144,121	298	149
211	73,89	6,0	69,76	1,0	298	149
212	95,87	0,1	96,102	0,0	298	149
213	50,62	99,121	74,47	144,129	298	149
220	8,5	5,6	7,10	3,2	242	149
221	8,5	0,1	7,10	2,0	238	149
222	8,5	5,8	7,10	9,4	245	149
223	8,5	0,0	7,10	1,1	241	149
226	19,16	119,116	8,15	101,96	231	149
229	10,8	111,80	10,7	36,53	256	149
230	29,31	2,0	13,35	0,2	298	149
231	22,24	1,4	49,34	5,3	298	149
232	18,11	37,29	8,10	18,24	231	149
233	18,21	40,21	27,15	17,21	298	149
234	11,7	49,34	11,10	9,20	288	149
235	13,4	66,40	4,4	15,52	222	149
241	42,32	5,7	18,31	3,10	298	149
248	175,141	4,0	123,183	5,2	298	149
249	6,2	0,0	4,3	4,1	298	149
250	6,2	0,0	4,3	2,0	298	149
251	4,4	1,2	1,4	0,0	298	149
252	0,0	1,0	0,1	1,0	298	149
253	14,13	57,62	25,16	72,80	298	149
254	15,20	444,393	19,15	507,492	298	149
255	18,25	383,319	13,20	493,477	298	149
256	64,71	348,281	63,83	278,361	298	149
257	110,107	393,353	106,89	278,357	298	149
258	4,7	68,90	2,2	88,85	298	149
259	13,7	103,113	10,6	64,71	298	149
261	50,47	243,184	57,64	173,200	278	149
262	73,49	152,105	56,50	119,119	233	149
263	33,29	250,208	46,38	215,200	239	149
264	101,73	127,135	82,122	89,103	298	149
265	184,174	16,6	176,229	11,7	298	149
266	15,12	305,288	20,17	323,330	298	149
267	21,21	262,263	28,38	345,383	298	149
268	2,7	1,3	5,4	8,7	298	149
269	12,14	318,321	21,19	339,371	298	149
270	20,14	356,350	21,22	337,397	294	149
271	24,13	2,0	29,26	1,0	298	149
272	17,24	340,287	30,25	301,358	298	149
273	13,19	5,5	26,21	2,3	298	149
274	12,15	1,3	27,21	1,0	298	149
275	3605,3387	18,7	3878,3942	26,15	236	149
276	31,30	0,1	24,16	0,0	298	149
277	36,42	52,36	23,23	32,46	298	149
278	3,3	68,43	5,6	47,53	298	149
280	3,2	4,1	3,1	2,1	298	149
282	7,23	1,1	23,23	0,3	298	149
283	33,22	0,0	14,30	1,1	298	149
285	12,14	1130,979	10,27	1301,1299	298	149
286	1,9	957,980	2,3	1277,1331	298	149
291	18,6	165,131	15,16	133,200	298	149
292	14,14	127,86	14,10	131,114	298	149
293	3,3	24,24	2,9	14,24	298	149
294	11,1	21,9	3,2	9,9	236	149
295	2,0	86,74	5,3	95,113	254	149
296	316,332	0,1	357,382	3,2	298	149
297	239,120	2,2	120,162	2,2	298	149
298	58,40	11,9	35,48	19,15	298	149
299	4,1	158,177	1,2	120,161	298	149
300	9,25	4,1	24,14	1,3	259	149
301	17,21	33,39	11,14	44,29	237	149
303	14,30	0,0	22,20	1,0	276	149
304	3,10	3,2	4,2	0,1	298	149
307	15,4	2,5	0,4	1,0	298	149
312	0,3	86,76	3,0	102,109	298	149
314	133,116	17,8	125,155	17,9	230	149
323	98,103	2,2	107,120	0,2	298	149
326	42,38	36,27	26,33	27,31	298	149
327	13,26	107,89	13,15	86,119	298	149
328	0,4	88,60	5,8	103,76	293	149
331	1,2	6,1	0,3	0,0	269	149
332	44,48	13,0	42,52	1,3	284	149
333	38,45	7,3	28,43	0,0	298	149
337	379,279	2,0	386,384	1,2	298	149
339	7,5	2,7	2,2	2,2	298	149
340	2,0	15,13	0,1	2,10	298	149
341	5,2	3,3	0,2	0,2	296	149
343	151,125	4,1	83,140	1,1	230	149
345	33,33	71,52	40,47	85,84	298	149
346	6,4	0,2	2,3	0,1	298	149
347	3,2	35,24	0,0	18,38	298	149
349	1,1	10,8	3,0	12,2	298	149
353	3,7	0,0	0,2	0,2	298	149
354	0,4	19,9	0,0	2,6	298	149
355	4,4	6,2	0,1	0,1	296	149
356	0,0	0,2	2,0	0,0	298	149
357	8,6	34,28	11,13	50,55	244	149
362	6,1	10,5	4,5	2,5	298	149
363	246,183	0,0	178,276	0,1	298	149
372	25,18	6,0	17,21	0,1	298	149
373	30,20	3,0	19,22	2,0	298	149
374	34,27	1,5	26,30	1,0	298	149
380	1,0	0,0	0,0	4,0	298	149
381	11,11	0,2	10,6	0,0	252	149
382	22,28	616,552	13,27	541,597	298	149
383	31,19	465,527	37,19	482,499	298	149
387	74,61	2,0	71,98	0,0	280	149
388	64,51	0,3	52,82	0,1	253	149
389	93,71	2,0	82,102	0,0	298	149
391	92,69	8,2	38,57	7,3	298	149
393	114,102	0,0	174,185	0,2	298	149
394	129,114	6,4	222,214	21,11	298	149
395	117,123	1220,1106	112,143	1288,1548	298	149
396	44,32	586,490	36,49	519,671	242	149
398	5,0	109,115	9,4	122,91	298	149
399	0,0	57,53	0,1	58,61	298	149
400	226,233	2,1	310,315	1,1	298	149
401	7,13	34,29	5,10	21,16	273	149
403	8,23	1,2	4,18	0,3	298	149
404	3,0	0,0	0,0	0,1	298	149
405	0,0	25,18	1,0	29,23	298	149
406	12,9	94,92	18,12	160,201	298	149
408	6,3	78,91	1,1	74,77	298	149
409	17,8	44,34	7,9	43,81	298	149
415	5,4	2,4	4,0	6,4	298	149
416	4,6	0,0	10,1	0,1	298	149
420	99,81	8,4	56,100	12,12	298	149
424	2,0	2,0	0,0	0,1	219	149
425	2,0	1,0	0,1	0,0	254	149
426	0,0	5,3	0,2	0,4	271	149
427	70,44	0,1	50,78	0,0	298	149
428	55,33	3,2	49,69	1,3	298	149
430	80,49	5,11	56,103	12,20	298	149
431	65,38	148,96	55,94	88,128	298	149
432	6,2	48,36	2,1	23,41	298	149
433	5,0	64,42	6,0	22,39	298	149
435	6,4	82,49	7,8	37,49	298	149
436	42,29	5,5	4,20	2,4	298	149
438	284,235	5,2	125,251	3,7	298	149
442	6,5	0,0	7,14	2,0	298	149
443	8,15	498,384	11,15	519,568	298	149
444	241,216	237,199	159,208	95,202	298	149
445	1,0	5,10	1,2	3,9	298	149
448	10,7	0,2	12,21	0,0	298	149
449	7,11	340,305	8,18	336,336	298	149
450	12,11	379,321	19,29	414,461	298	149
451	70,55	4,2	61,64	6,8	298	149
452	23,18	423,397	26,25	420,496	298	149
453	20,36	443,454	28,33	521,603	298	149
454	71,34	1331,1230	118,143	1304,1412	298	149
455	78,41	108,142	121,148	157,129	298	149
457	161,136	2,0	250,241	3,2	298	149
458	137,129	578,499	238,220	643,741	298	149
459	125,118	0,0	227,207	2,0	298	149
460	58,55	0,0	65,64	2,3	298	149
461	15,10	418,461	31,15	449,540	261	149
462	33,16	714,536	8,23	446,671	253	149
466	5,6	104,125	4,4	119,139	298	149
470	3,6	147,148	7,2	179,205	298	149
471	13,12	34,30	8,18	40,26	298	149
473	13,9	0,1	7,17	0,1	298	149
474	10,4	36,43	3,8	30,35	298	149
475	5,1	6,1	7,10	8,4	298	149
476	9,2	40,45	9,13	32,31	225	149
483	1,0	1,0	0,0	0,2	298	149
486	2,0	1,0	0,0	0,1	263	149
488	0,2	18,27	2,1	23,33	298	149
493	39,31	689,723	43,56	847,857	298	149
494	85,86	400,296	89,95	506,631	298	149
496	73,43	2,5	53,57	1,4	298	149
497	74,43	413,379	52,55	300,350	298	149
498	77,74	16,17	56,87	33,40	298	149
499	3,4	273,245	0,17	290,328	225	149
502	855,625	72,41	385,661	40,71	298	149
504	3,3	0,0	3,0	2,1	220	149
505	8,7	48,41	5,4	48,50	298	149
506	5,4	143,126	7,7	142,165	225	149
507	190,187	48,52	252,215	47,43	298	149
525	13,10	1,0	7,11	1,0	267	149
529	1,5	11,21	11,8	12,9	298	149
531	5,7	1,0	8,10	0,0	298	149
532	0,1	18,14	0,0	15,14	298	149
533	0,1	17,10	0,0	22,16	298	149
539	2,0	2,0	0,2	2,0	298	149
540	3,0	2,1	1,4	1,0	293	149
542	3,2	10,6	2,4	0,4	298	149
543	19,24	151,134	22,27	184,202	244	149
544	559,567	17,15	684,653	32,22	264	149
545	636,637	41,35	779,743	49,43	298	149
546	123,118	413,403	110,105	482,414	298	149
547	231,231	19,28	208,247	32,28	298	149
548	90,73	554,464	89,66	555,690	255	149
549	4,5	8,12	1,6	13,8	298	149
550	34,24	192,128	18,40	78,141	298	149
551	40,22	2,0	18,40	0,2	298	149
552	62,34	656,639	46,51	785,779	278	149
553	120,80	952,839	86,118	559,932	234	149
554	384,321	3,13	208,348	4,2	258	149
555	114,84	2227,1844	89,112	1790,2335	237	149
556	21,23	18,18	8,18	33,31	298	149
557	8,16	2,4	17,6	0,1	298	149
562	2,4	12,1	0,4	4,11	298	149
563	19,9	49,42	9,15	35,35	225	149
565	28,20	22,21	17,5	24,20	245	149
566	2,5	2,2	2,5	2,1	276	149
567	2,5	1,2	2,5	1,4	266	149
569	138,88	116,110	153,146	81,93	239	149
570	111,88	94,84	110,101	83,141	298	149
571	7,11	299,237	17,13	307,335	298	149
572	74,45	220,148	70,54	199,177	298	149
573	9,4	101,64	3,3	42,85	253	149
574	32,16	150,114	10,14	41,113	235	149
579	42,18	170,157	22,34	121,186	298	149
581	4,7	26,14	2,4	5,2	229	149
582	1,7	29,28	0,3	12,21	298	149
584	7,0	65,29	6,5	27,31	246	149
585	9,2	1,0	8,7	3,1	298	149
586	5,2	32,10	2,4	9,12	225	149
587	50,46	128,123	53,41	139,198	236	149
588	478,406	0,1	363,482	0,0	228	149
589	0,0	60,26	0,1	17,38	272	149
591	10,3	1,0	1,1	0,0	298	149
