ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
33	42,44	0,0	48,50	0,1	153	149
79	6,0	0,1	2,8	3,1	205	149
82	471,461	1,3	455,578	3,2	345	149
83	1359,1104	0,3	1160,1343	2,3	821	149
84	10,14	292,197	1,17	135,190	428	149
85	379,335	1,5	452,497	2,3	394	149
86	386,313	3,6	452,398	5,8	167	149
88	482,371	2,0	438,432	0,0	175	149
89	34,47	4,8	32,29	13,15	153	149
90	2,0	135,83	1,1	107,137	190	149
94	10,18	33,35	20,19	34,42	168	149
95	32,28	5,6	34,22	7,5	555	149
96	32,27	0,0	34,22	0,1	555	149
107	49,25	73,92	50,39	82,112	681	149
108	1,0	43,64	0,2	59,63	153	149
109	12,15	9,12	8,20	28,16	274	149
110	34,48	0,0	59,64	1,1	208	149
111	9,12	0,0	22,19	1,1	214	149
112	2,0	27,36	0,0	37,45	155	149
116	4,6	27,18	6,14	35,29	161	149
117	2,4	306,348	5,5	388,440	159	149
121	0,2	7,9	4,7	6,9	155	149
122	2,2	2,0	1,1	6,0	265	149
133	70,48	4,0	62,58	2,0	200	149
134	1,0	4,0	1,0	2,0	197	149
135	70,48	1,0	62,58	1,0	152	149
137	2,1	4,4	1,4	9,16	166	149
140	4093,3706	3,0	4592,4776	2,5	1401	149
148	398,445	92,76	516,565	90,126	551	149
149	16,18	5,13	19,23	9,16	156	149
160	223,253	1,2	204,273	1,7	780	149
163	219,198	105,67	293,329	105,113	194	149
164	163,186	10,7	286,279	5,8	176	149
165	125,114	155,124	162,141	134,159	158	149
171	9,10	12,11	2,6	6,11	408	149
173	25,9	3,1	7,10	0,3	450	149
174	15,14	11,4	17,18	17,8	195	149
175	58,52	11,4	62,64	17,8	208	149
177	51,33	8,2	34,37	6,0	185	149
178	1,0	237,199	1,3	282,318	153	149
179	78,83	177,131	84,101	209,229	1263	149
180	200,151	2,1	208,251	0,6	2137	149
182	8,1	40,43	2,6	53,73	338	149
184	620,506	1,0	357,555	0,0	346	149
185	1,1	518,467	2,3	562,605	170	149
188	178,144	3,2	219,192	2,5	336	149
190	10,6	0,6	10,9	6,2	164	149
191	8,1	1,0	7,5	0,5	164	149
197	900,939	16,14	1287,1441	23,30	1767	149
198	798,882	4,3	1062,1108	4,6	332	149
199	37,28	0,0	58,69	2,0	332	149
200	780,817	2,0	1105,1227	0,0	926	149
