ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	18,8	0,4	24,29	7,2	245	149
14	16,8	2,0	22,10	0,0	298	149
15	14,9	3,0	27,15	4,0	298	149
16	14,9	2,0	25,18	5,2	298	149
17	14,10	0,4	19,5	0,0	298	149
20	14,14	0,2	18,19	10,4	298	149
21	8,15	24,19	13,18	16,13	298	149
22	6,12	2,0	13,17	0,0	298	149
34	4,2	0,2	7,4	0,0	298	149
39	1,4	1,0	5,2	0,2	248	149
54	0,1	3,1	0,0	0,2	298	149
55	34,37	15,4	65,33	13,6	246	149
56	86,71	490,498	54,48	641,479	296	149
57	292,239	1137,1090	222,181	1474,1033	298	149
58	290,257	5,1	220,168	0,1	298	149
59	204,220	981,1007	128,104	1029,695	298	149
61	19,20	412,443	34,32	939,718	298	149
62	12,10	2,0	26,19	7,8	298	149
63	23,36	439,454	43,31	886,727	298	149
65	12,2	0,2	3,0	0,0	298	149
77	43,31	1,1	45,18	0,0	204	149
78	2,4	3,0	0,0	2,0	298	149
80	32,28	11,8	18,14	15,6	260	149
82	4,1	2,2	6,0	6,0	298	149
83	5,10	4,7	10,4	17,15	298	149
96	3,6	0,0	19,7	2,0	298	149
97	4,3	100,82	3,3	98,72	267	149
100	3,0	46,57	5,3	58,67	258	149
101	45,69	1,0	75,69	2,0	283	149
102	53,51	7,2	99,62	1,1	298	149
103	0,6	6,1	6,8	4,3	298	149
104	2,5	5,2	4,3	5,1	241	149
105	252,216	5711,5000	390,304	13221,9745	298	149
116	392,364	126,94	279,203	220,122	298	149
117	303,300	2,5	234,169	1,4	298	149
118	7,1	0,0	4,0	1,0	298	149
119	0,2	3,3	2,0	3,0	298	149
124	20,18	25,21	9,4	47,32	298	149
128	0,6	1,0	1,0	5,2	298	149
129	20,16	58,51	17,7	126,73	298	149
134	39,41	944,868	73,39	1628,1245	298	149
135	29,26	10,5	45,15	12,11	298	149
136	27,55	222,232	26,29	365,233	275	149
137	0,0	282,245	3,0	343,262	280	149
138	33,24	103,107	15,11	56,42	281	149
145	19,4	2,2	5,6	3,2	222	149
146	20,4	6,5	6,7	2,5	267	149
147	173,132	13,7	118,50	23,8	298	149
148	150,111	216,212	94,38	195,156	298	149
150	113,63	236,268	52,31	306,206	278	149
151	47,34	3,0	22,31	0,0	298	149
152	31,31	204,217	20,28	266,198	298	149
153	13,20	19,7	14,9	10,14	298	149
154	5,4	182,174	9,5	244,144	287	149
155	23,19	439,415	18,18	689,411	235	149
156	31,14	4,2	22,17	0,0	298	149
157	14,29	138,144	9,9	169,131	298	149
158	32,27	242,244	6,6	438,314	252	149
159	62,74	125,95	57,55	143,66	298	149
165	24,16	8,10	18,4	4,2	298	149
166	27,15	1068,1163	19,3	1886,1372	298	149
167	20,6	0,0	11,3	1,0	272	149
168	58,43	21,27	42,22	48,31	298	149
169	41,36	1225,1126	69,29	1716,1175	298	149
170	76,96	1207,1100	40,44	1551,1084	232	149
171	65,49	708,724	31,37	961,710	298	149
172	118,105	28,21	102,74	6,2	298	149
173	102,96	1017,984	98,69	1469,1064	298	149
174	27,28	1257,1090	19,5	1632,1087	228	149
176	25,23	1064,856	24,21	1223,870	243	149
177	20,33	506,502	17,14	768,420	298	149
178	42,64	228,222	40,24	309,180	298	149
179	65,54	700,675	28,23	747,528	298	149
181	4,11	57,59	3,3	73,67	298	149
185	1,5	14,25	2,2	32,25	298	149
186	1,5	6,3	2,2	2,4	298	149
188	1,0	5,2	0,0	5,0	298	149
189	2,1	6,6	2,0	12,10	298	149
190	57,45	1050,1028	70,61	2070,1529	298	149
191	217,201	0,2	247,189	0,0	259	149
192	11,12	89,97	12,5	186,105	298	149
193	7,1	182,152	3,1	221,139	298	149
194	13,11	3,5	10,10	0,1	298	149
195	14,17	126,117	13,11	211,168	298	149
196	8,3	75,93	7,2	86,89	298	149
197	10,20	46,74	5,4	101,77	298	149
198	18,19	38,58	21,14	80,55	298	149
199	5,5	1,0	6,2	10,1	291	149
201	4,5	1,4	5,2	6,2	272	149
202	26,23	33,41	20,9	49,38	230	149
203	45,51	9,10	48,22	13,9	298	149
204	47,43	39,40	47,19	62,50	298	149
205	18,9	78,70	5,3	150,104	266	149
206	127,100	2,1	211,185	3,0	269	149
207	45,43	6,13	66,55	10,3	229	149
208	2,7	1,0	10,7	0,3	298	149
209	55,81	161,162	57,48	275,191	298	149
210	60,80	2,0	59,50	1,0	298	149
212	68,49	0,2	40,25	0,0	298	149
213	73,50	133,112	59,32	174,142	298	149
217	10,16	0,0	26,19	1,1	264	149
220	7,8	4,0	20,10	2,3	242	149
221	7,8	0,1	19,9	0,0	238	149
222	7,8	9,3	20,10	5,4	245	149
223	7,8	0,2	19,9	0,0	241	149
226	24,11	147,135	11,8	154,96	231	149
229	13,9	59,55	6,6	33,25	256	149
230	21,16	0,1	8,7	0,0	298	149
231	29,37	4,4	23,9	0,2	298	149
232	9,9	17,11	6,1	15,13	231	149
233	31,24	18,21	18,6	5,3	298	149
234	3,20	17,12	5,9	2,2	288	149
235	4,11	40,30	0,1	19,7	222	149
241	39,29	5,2	24,20	0,0	298	149
247	4,8	0,0	1,1	1,0	298	149
248	195,158	1,3	277,187	1,2	298	149
249	2,1	2,3	4,2	0,0	298	149
250	2,3	0,0	4,2	2,0	298	149
251	10,13	1,0	6,7	1,1	298	149
252	0,1	2,1	0,0	1,0	298	149
253	8,18	87,80	19,11	172,102	298	149
254	21,7	561,489	5,22	901,671	298	149
255	7,4	533,427	24,7	819,684	298	149
256	56,86	310,321	124,111	516,348	298	149
257	125,116	372,318	118,121	461,321	298	149
258	4,1	104,112	7,8	198,131	298	149
259	6,5	80,56	1,3	82,41	298	149
261	47,33	183,172	57,37	280,182	278	149
262	49,45	129,122	35,22	177,120	233	149
263	36,48	225,206	31,19	258,234	239	149
264	99,103	112,112	81,64	145,97	298	149
265	220,176	7,9	207,149	8,11	298	149
266	20,16	351,346	13,11	524,353	298	149
267	31,24	358,321	25,23	702,476	298	149
268	5,11	1,4	0,0	16,5	298	149
269	25,16	385,370	14,16	595,446	298	149
270	35,16	418,389	17,7	577,451	294	149
271	32,21	332,324	19,15	531,334	298	149
272	28,20	8,2	16,16	6,0	298	149
273	28,18	4,2	14,16	4,4	298	149
274	4148,3878	13,12	4753,3738	13,16	236	149
275	29,29	0,1	20,14	0,0	298	149
276	40,40	45,42	17,19	66,39	298	149
277	14,10	51,50	9,14	100,75	298	149
279	5,3	2,0	4,2	4,5	298	149
281	35,19	4,0	23,18	1,2	298	149
282	17,20	0,2	37,12	4,0	298	149
284	20,21	1477,1352	24,15	1377,1009	298	149
285	4,0	1507,1346	1,3	1735,1235	298	149
290	19,9	179,171	18,5	188,136	298	149
291	20,21	133,138	6,7	106,67	298	149
292	10,6	20,15	2,0	13,9	298	149
293	6,5	6,15	4,0	14,4	236	149
294	1,2	78,84	4,5	128,89	254	149
295	358,327	0,0	481,409	1,0	298	149
296	204,161	0,0	172,131	1,0	298	149
297	54,39	6,7	18,10	14,3	298	149
298	4,9	198,177	7,3	194,92	298	149
299	33,23	0,2	18,9	0,0	259	149
300	37,12	40,45	24,11	77,51	237	149
302	26,23	0,1	28,17	0,0	276	149
303	1,11	1,2	2,5	3,1	298	149
305	10,4	0,0	7,5	3,0	298	149
306	10,5	0,3	7,7	5,4	298	149
311	2,1	108,96	3,2	141,76	298	149
313	190,173	16,15	257,210	12,12	230	149
322	130,94	2,0	93,52	0,0	298	149
323	139,131	0,2	124,96	0,0	298	149
324	127,91	3,0	96,59	0,0	298	149
326	38,40	49,40	58,38	45,27	298	149
327	12,17	96,82	16,21	87,72	298	149
328	5,5	89,74	7,3	89,44	293	149
329	3,0	0,0	0,1	1,0	298	149
331	0,2	0,0	0,0	0,2	269	149
332	27,40	5,2	26,28	0,2	284	149
333	27,30	0,0	24,22	0,1	298	149
337	481,383	1,1	400,334	1,0	298	149
339	5,6	2,2	7,4	2,4	298	149
340	1,0	13,7	0,0	1,1	298	149
343	173,143	3,1	105,61	1,0	230	149
345	53,59	109,72	49,27	121,91	298	149
346	10,1	0,2	6,3	1,0	298	149
348	2,1	31,23	0,0	36,16	298	149
350	1,1	6,4	0,0	2,7	298	149
357	10,6	42,47	9,2	66,44	244	149
361	15,28	0,0	17,15	0,3	298	149
362	17,15	14,9	9,5	0,2	298	149
363	243,214	3,2	262,144	0,0	298	149
372	32,41	2,0	35,28	1,5	298	149
373	33,45	2,0	39,30	3,3	298	149
374	42,42	6,1	60,38	6,2	298	149
378	9,4	0,4	8,1	1,1	298	149
380	1,0	2,1	0,0	3,4	298	149
382	38,28	563,478	1,0	6,3	298	149
383	25,32	551,429	0,0	3,11	298	149
388	80,64	1,0	117,73	0,0	253	149
389	77,66	0,0	69,68	1,0	298	149
390	122,90	5,3	87,73	10,8	298	149
392	134,142	0,0	170,139	1,0	298	149
393	152,168	15,13	226,154	4,7	298	149
394	125,120	1501,1362	130,82	3099,2354	298	149
395	49,35	632,580	30,27	1294,937	242	149
397	3,9	123,120	3,2	134,104	298	149
398	0,1	59,64	2,2	106,67	298	149
399	315,304	3,5	549,442	2,1	298	149
400	9,11	26,31	5,15	32,26	273	149
402	23,23	8,0	5,3	2,0	298	149
404	0,0	19,16	2,2	37,29	298	149
405	9,14	155,143	19,12	243,186	298	149
407	6,3	99,84	2,5	140,90	298	149
408	7,13	81,94	12,7	93,71	298	149
414	0,4	5,4	2,3	4,3	298	149
415	2,4	0,0	1,3	1,0	298	149
419	100,111	18,8	150,105	25,11	298	149
426	73,61	2,0	41,23	0,0	298	149
427	57,63	0,6	36,19	2,1	298	149
428	62,69	0,1	33,25	0,0	298	149
429	77,64	14,20	52,21	8,3	298	149
430	61,66	115,112	47,17	150,82	298	149
431	3,2	15,34	5,1	15,18	298	149
432	6,2	46,48	1,0	54,25	298	149
434	7,10	45,55	7,2	27,23	298	149
435	12,25	1,0	12,10	2,0	298	149
437	244,167	5,1	161,116	5,1	298	149
441	10,13	2,0	10,7	0,0	298	149
442	16,21	631,516	14,15	892,660	298	149
443	217,164	162,135	110,102	137,96	298	149
445	3,6	2,0	13,13	0,0	293	149
448	10,17	394,349	7,6	616,405	298	149
449	27,24	526,435	25,20	973,699	298	149
450	77,57	2,0	90,64	4,9	298	149
451	33,34	480,444	36,17	779,662	298	149
452	43,64	1,0	37,29	0,0	298	149
453	31,56	550,480	27,29	909,754	298	149
454	133,115	1544,1334	67,35	1238,847	298	149
455	132,120	149,156	67,35	117,68	298	149
457	342,304	3,5	135,69	1,0	298	149
458	331,285	740,707	137,71	548,397	298	149
459	87,65	3,0	66,44	1,2	298	149
460	50,26	597,551	10,16	612,488	261	149
461	23,19	493,556	19,12	952,490	253	149
465	11,14	142,134	12,8	174,132	298	149
469	6,1	191,194	2,0	360,309	298	149
470	9,17	44,36	11,6	44,37	298	149
472	12,12	0,0	12,6	2,0	298	149
473	7,9	53,39	8,1	58,31	298	149
474	1,9	2,2	1,0	1,0	298	149
475	5,14	34,39	6,1	34,48	225	149
487	3,4	33,31	3,5	67,21	298	149
492	61,47	909,869	58,35	927,637	298	149
493	126,69	612,534	174,112	747,521	298	149
494	11,18	2,0	12,6	2,0	287	149
495	45,53	6,12	40,30	6,2	298	149
496	43,55	346,340	39,30	475,340	298	149
497	99,77	35,34	56,49	31,29	298	149
498	7,11	336,353	9,0	654,521	225	149
499	6,10	1,0	7,0	0,0	211	149
501	600,587	41,49	515,298	34,22	298	149
503	4,3	0,0	6,7	3,3	220	149
504	7,5	48,65	4,7	141,83	298	149
505	21,24	158,131	14,6	209,157	225	149
506	222,230	54,62	296,222	80,49	298	149
517	1,0	0,0	1,1	0,1	298	149
524	10,11	1,1	5,3	0,0	267	149
528	12,5	14,9	12,11	19,5	298	149
531	1,0	31,16	0,0	26,16	298	149
532	2,0	17,11	2,0	7,6	298	149
541	2,3	7,1	2,1	7,2	298	149
542	17,33	192,195	17,11	345,255	244	149
543	729,642	25,28	983,767	22,21	264	149
544	824,738	45,48	1097,829	75,48	298	149
545	163,151	466,487	77,85	681,601	298	149
546	288,273	35,46	251,234	31,25	298	149
547	129,90	678,633	93,54	1187,903	255	149
548	1,4	1,9	5,5	16,4	298	149
549	43,27	108,121	8,8	56,37	298	149
550	45,28	0,0	8,8	0,1	298	149
551	64,67	869,775	66,59	1186,942	278	149
552	98,90	901,742	99,50	1139,512	234	149
553	314,257	1,3	323,159	6,3	258	149
554	119,92	2119,2079	76,59	2460,1686	237	149
555	7,17	19,28	10,7	48,25	298	149
556	10,8	0,3	9,9	2,1	298	149
561	4,0	5,1	0,0	4,2	298	149
562	16,8	70,39	10,12	27,30	225	149
563	0,0	20,13	0,1	2,0	243	149
564	11,4	20,18	9,6	23,19	245	149
565	13,8	0,2	8,3	2,0	276	149
566	12,8	5,2	8,3	0,2	266	149
568	151,119	112,93	98,90	77,53	239	149
569	135,84	110,118	77,73	74,47	298	149
570	7,21	410,368	13,9	462,317	298	149
571	72,73	223,200	43,39	253,198	298	149
572	2,8	46,66	0,1	46,29	253	149
573	29,16	77,63	3,2	52,38	235	149
578	43,52	161,128	38,26	270,134	298	149
580	3,1	8,7	0,2	7,0	229	149
581	1,0	20,12	0,0	14,6	298	149
583	8,4	38,32	2,1	21,29	246	149
584	8,6	2,4	3,1	0,0	298	149
585	6,3	15,6	1,1	7,1	225	149
586	63,52	163,166	36,25	259,186	236	149
588	0,0	28,23	2,1	43,16	272	149
592	16,18	180,174	27,19	340,242	298	149
593	15,18	4,4	28,22	2,0	298	149
596	74,71	427,433	72,52	1038,800	241	149
602	25,10	285,212	15,11	448,233	298	149
603	1463,1278	64,61	575,409	2,2	298	149
606	0,0	357,323	3,4	404,286	298	149
607	18,12	8,3	11,8	8,3	258	149
