ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
33	48,50	0,1	35,20	0,2	153	149
79	2,8	3,1	2,0	2,1	205	149
82	455,578	3,2	676,474	0,0	298	149
83	974,1094	2,3	1526,1065	0,1	298	149
84	0,8	135,190	0,2	165,83	298	149
85	449,494	2,3	945,720	7,8	298	149
86	452,398	5,8	803,583	10,10	167	149
88	32,29	13,15	46,33	8,6	153	149
89	1,1	107,137	4,2	267,148	190	149
93	20,19	34,42	23,4	64,44	168	149
94	9,7	7,5	9,7	2,4	298	149
95	9,7	0,1	7,6	0,0	298	149
100	0,0	1,0	1,0	0,0	281	149
106	15,19	82,112	19,21	216,115	298	149
107	0,2	59,63	0,2	83,48	153	149
108	8,20	28,16	5,12	42,26	274	149
109	59,64	1,1	103,81	2,0	208	149
110	22,19	1,1	26,23	2,0	214	149
115	6,14	35,29	10,23	62,34	161	149
116	5,5	388,440	10,11	897,696	159	149
120	4,7	6,9	4,1	17,7	155	149
121	1,1	6,0	3,3	1,2	265	149
132	62,58	2,0	98,72	0,0	200	149
134	62,58	1,0	98,72	0,0	152	149
136	1,4	9,16	2,0	9,2	166	149
139	3694,3789	2,5	9233,6731	0,0	298	149
147	196,233	90,126	158,117	220,122	298	149
148	19,23	9,16	19,9	2,0	156	149
154	9,14	0,0	4,12	1,0	168	149
155	57,68	0,0	72,79	0,1	168	149
161	40,48	1,7	85,54	4,0	298	149
164	293,329	105,113	590,453	238,145	194	149
165	286,279	5,8	607,411	30,12	176	149
166	162,141	134,159	163,130	184,116	158	149
172	1,5	6,11	9,6	12,11	298	149
174	4,4	0,3	6,6	1,0	298	149
175	17,18	17,8	41,33	21,10	195	149
176	62,64	17,8	94,77	21,10	208	149
177	45,46	0,0	53,46	0,2	162	149
178	34,37	6,0	41,37	5,5	185	149
179	1,3	282,318	2,2	257,208	153	149
180	8,13	209,229	5,7	266,198	298	149
181	179,216	0,6	248,201	1,0	298	149
183	1,1	53,73	0,1	95,55	298	149
185	2,3	562,605	1,0	1003,786	170	149
188	214,191	2,5	330,219	0,1	298	149
190	10,9	6,2	9,3	3,4	164	149
191	7,5	0,5	6,7	0,0	164	149
192	6,5	0,0	9,1	0,1	164	149
193	6,5	0,0	8,2	1,2	164	149
199	1152,1310	23,30	2061,1406	9,6	298	149
200	1053,1103	4,6	1635,1100	0,0	298	149
201	49,64	2,0	37,39	1,0	298	149
202	1051,1168	1,0	1990,1348	2,0	298	149
203	3,6	972,985	7,2	1472,1036	298	149
204	7,6	572,743	5,4	747,528	152	149
209	14,23	250,278	23,18	457,368	197	149
210	17,25	0,0	28,24	1,0	298	149
211	18,25	2,0	28,24	0,0	298	149
212	1,0	2,0	1,0	0,0	153	149
213	18,23	2,2	32,25	2,4	153	149
217	11,7	0,0	8,9	0,1	175	149
219	1359,1532	0,2	3210,2456	0,0	298	149
220	49,36	28,6	62,49	20,16	210	149
221	3,3	25,24	3,2	46,40	237	149
222	2,3	109,128	1,0	153,122	152	149
223	155,136	0,2	195,123	0,0	298	149
224	0,0	185,182	1,0	227,139	153	149
225	13,4	61,42	25,13	80,55	236	149
226	11,3	61,42	15,12	80,55	249	149
227	13,10	61,42	22,14	80,55	255	149
229	2,7	2,1	7,2	10,1	168	149
231	44,65	12,15	73,56	13,9	272	149
232	101,120	0,0	186,138	1,0	298	149
233	197,201	0,0	373,308	0,1	298	149
239	3,2	9,6	2,0	19,7	179	149
240	1,1	25,10	2,3	38,18	173	149
241	1,0	4,0	1,0	0,0	153	149
242	9,29	3,9	29,26	8,8	155	149
243	0,2	0,0	7,0	2,0	298	149
244	0,2	0,0	7,0	2,0	298	149
246	2,4	20,20	13,4	31,35	298	149
247	2,4	12,23	7,6	18,23	200	149
248	6,11	12,23	10,5	18,23	298	149
249	10,11	2,2	9,3	6,4	298	149
250	12,25	20,20	25,23	31,35	298	149
251	2,8	20,20	13,1	31,35	298	149
254	2,2	2,2	3,3	6,4	206	149
255	2,4	12,23	4,5	18,23	257	149
256	12,11	0,0	6,2	0,1	298	149
257	2,0	3,2	1,1	2,3	153	149
258	1,1	9,4	1,1	5,4	153	149
