ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	0,1	4,0	1,0	13,2	298	237
11	0,1	0,0	1,0	4,0	298	298
12	1,4	13,28	0,0	32,16	203	298
13	43,50	13,28	34,26	32,16	298	298
14	9,10	13,28	9,6	32,16	298	298
15	0,3	13,28	1,0	32,16	209	298
16	9,10	1,4	9,6	0,0	298	203
17	0,3	1,4	1,0	0,0	209	203
18	9,10	2,0	11,4	0,0	298	203
19	9,10	43,50	9,6	34,26	298	298
20	0,3	43,50	1,0	34,26	209	298
21	9,10	43,48	11,4	34,26	298	298
31	0,3	9,10	1,0	9,6	209	298
32	3,5	13,12	5,4	17,6	209	298
34	8,8	13,12	6,0	17,6	298	298
35	1,2	13,12	0,0	17,6	298	298
38	1,2	8,8	0,0	6,0	298	298
54	2,0	2,1	1,6	0,2	298	225
55	2,0	2,1	1,6	0,2	298	236
56	2,0	2,1	1,6	0,2	298	225
86	34,49	15,2	70,51	20,5	298	288
87	0,2	90,87	1,2	170,118	200	234
88	0,2	90,87	1,0	170,118	221	234
89	7,15	11,18	13,10	13,15	173	273
90	52,69	2,4	98,45	3,6	263	173
91	52,61	432,461	73,34	583,485	234	295
92	1254,1605	402,592	1621,1149	509,385	298	298
93	878,1061	858,968	972,769	1394,981	265	282
95	173,208	357,365	310,217	559,465	252	296
96	264,350	203,202	534,422	350,255	283	252
97	423,455	175,177	862,591	291,201	282	283
98	2,1	220,188	1,1	346,271	161	247
99	76,88	48,72	170,105	94,71	233	236
100	58,65	66,111	139,77	145,111	239	236
101	164,204	12,14	390,280	21,26	248	245
102	81,76	71,61	146,125	151,108	298	260
103	81,72	68,83	146,125	155,103	298	230
104	82,109	67,88	230,129	155,103	260	230
109	34,33	29,31	63,25	38,20	298	298
110	31,27	32,35	31,45	65,47	298	298
111	3,0	47,37	0,0	55,32	298	293
112	3,0	2,0	0,0	4,0	298	240
113	0,1	2,0	0,0	0,4	298	298
115	59,65	58,47	90,83	116,68	283	298
116	23,20	57,47	20,16	116,69	201	298
118	30,39	95,96	37,40	196,134	191	288
119	1,6	0,1	1,6	0,1	268	298
