ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
33	48,50	0,1	35,20	0,2	153	149
79	2,8	3,1	2,0	2,1	205	149
82	455,578	3,2	676,474	0,0	345	149
83	1160,1343	2,3	1667,1189	0,1	821	149
84	1,17	135,190	0,6	165,83	428	149
85	452,497	2,3	956,725	7,8	394	149
86	452,398	5,8	803,583	10,10	167	149
88	32,29	13,15	46,33	8,6	153	149
89	1,1	107,137	4,2	267,148	190	149
93	20,19	34,42	23,4	64,44	168	149
94	34,22	7,5	27,23	2,4	555	149
95	34,22	0,1	25,22	0,0	555	149
100	0,0	1,0	1,0	0,0	281	149
106	50,39	82,112	55,52	216,115	681	149
107	0,2	59,63	0,2	83,48	153	149
108	8,20	28,16	5,12	42,26	274	149
109	59,64	1,1	103,81	2,0	208	149
110	22,19	1,1	26,23	2,0	214	149
115	6,14	35,29	10,23	62,34	161	149
116	5,5	388,440	10,11	897,696	159	149
120	4,7	6,9	4,1	17,7	155	149
121	1,1	6,0	3,3	1,2	265	149
132	62,58	2,0	98,72	0,0	200	149
134	62,58	1,0	98,72	0,0	152	149
136	1,4	9,16	2,0	9,2	166	149
139	4592,4776	2,5	10747,7932	0,0	1401	149
147	516,565	90,126	363,291	220,122	551	149
148	19,23	9,16	19,9	2,0	156	149
154	9,14	0,0	4,12	1,0	168	149
155	57,68	0,0	72,79	0,1	168	149
161	204,273	1,7	395,246	4,0	780	149
164	293,329	105,113	590,453	238,145	194	149
165	286,279	5,8	607,411	30,12	176	149
166	162,141	134,159	163,130	184,116	158	149
172	2,6	6,11	12,8	12,11	408	149
174	7,10	0,3	9,8	1,0	450	149
175	17,18	17,8	41,33	21,10	195	149
176	62,64	17,8	94,77	21,10	208	149
177	45,46	0,0	53,46	0,2	162	149
178	34,37	6,0	41,37	5,5	185	149
179	1,3	282,318	2,2	257,208	153	149
180	84,101	209,229	65,46	266,198	1263	149
181	208,251	0,6	303,245	1,0	2137	149
183	2,6	53,73	1,1	95,55	338	149
185	2,3	562,605	1,0	1003,786	170	149
188	219,192	2,5	331,219	0,1	336	149
190	10,9	6,2	9,3	3,4	164	149
191	7,5	0,5	6,7	0,0	164	149
192	6,5	0,0	9,1	0,1	164	149
193	6,5	0,0	8,2	1,2	164	149
199	1287,1441	23,30	2179,1483	9,6	1767	149
200	1062,1108	4,6	1635,1102	0,0	332	149
201	58,69	2,0	37,41	1,0	332	149
202	1069,1192	1,0	2007,1359	2,0	455	149
203	3,6	972,985	7,2	1472,1036	314	149
204	7,6	572,743	5,4	747,528	152	149
209	14,23	250,278	23,18	457,368	197	149
210	25,39	0,0	32,26	1,0	916	149
211	26,39	2,0	32,26	0,0	920	149
212	1,0	2,0	1,0	0,0	153	149
213	18,23	2,2	32,25	2,4	153	149
217	11,7	0,0	8,9	0,1	175	149
219	1445,1566	0,2	3279,2482	0,0	3565	149
220	49,36	28,6	62,49	20,16	210	149
221	3,3	25,24	3,2	46,40	237	149
222	2,3	109,128	1,0	153,122	152	149
223	204,175	0,2	235,146	0,0	1950	149
224	0,0	185,182	1,0	227,139	153	149
225	13,4	61,42	25,13	80,55	236	149
226	11,3	61,42	15,12	80,55	249	149
227	13,10	61,42	22,14	80,55	255	149
229	2,7	2,1	7,2	10,1	168	149
231	44,65	12,15	73,56	13,9	272	149
232	102,120	0,0	186,138	1,0	319	149
233	200,201	0,0	377,313	0,1	312	149
239	3,2	9,6	2,0	19,7	179	149
240	1,1	25,10	2,3	38,18	173	149
241	1,0	4,0	1,0	0,0	153	149
242	9,29	3,9	29,26	8,8	155	149
243	0,4	0,0	8,2	2,0	357	149
244	0,2	0,0	7,1	2,0	306	149
246	2,6	20,20	14,6	31,35	357	149
247	2,4	12,23	7,6	18,23	200	149
248	16,23	12,23	16,8	18,23	552	149
249	16,21	2,2	15,6	6,4	501	149
250	12,25	20,20	25,24	31,35	306	149
251	16,25	20,20	23,8	31,35	709	149
254	2,2	2,2	3,3	6,4	206	149
255	2,4	12,23	4,5	18,23	257	149
256	14,19	0,0	12,4	0,1	444	149
257	2,0	3,2	1,1	2,3	153	149
258	1,1	9,4	1,1	5,4	153	149
