ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	3,6	4,0	4,3	13,2	337	237
11	3,6	4,14	4,3	7,9	337	411
12	1,4	27,41	0,0	49,28	203	376
13	56,79	27,41	57,42	49,28	378	376
14	11,17	27,41	14,13	49,28	352	376
15	0,3	27,41	1,0	49,28	209	376
16	11,17	1,4	14,13	0,0	352	203
17	0,3	1,4	1,0	0,0	209	203
18	11,17	2,0	16,11	0,0	352	203
19	11,17	56,79	14,13	57,42	352	378
20	0,3	56,79	1,0	57,42	209	378
21	11,17	56,77	16,11	57,42	352	378
31	0,3	11,17	1,0	14,13	209	352
32	3,5	15,19	5,4	22,13	209	352
34	27,26	15,19	38,15	22,13	671	352
35	1,2	15,19	0,0	22,13	420	352
38	1,2	27,26	0,0	38,15	420	671
39	2,0	0,0	3,2	1,0	435	237
40	1,0	0,0	3,2	1,0	390	237
54	2,0	2,1	2,6	0,2	362	225
55	2,0	2,1	2,6	0,2	362	236
56	2,0	2,1	2,6	0,2	362	225
86	81,86	15,2	134,91	20,5	386	288
87	0,2	90,87	1,2	170,118	200	234
88	0,2	90,87	1,0	170,118	221	234
89	7,15	11,18	13,10	13,15	173	273
90	52,69	2,4	98,45	3,6	263	173
91	52,61	432,461	73,34	583,485	234	295
92	1914,2447	427,656	2399,1647	529,397	368	353
93	878,1061	858,968	972,769	1394,981	265	282
95	173,208	357,365	310,217	559,465	252	296
96	264,350	203,202	534,422	350,255	283	252
97	423,455	175,177	862,591	291,201	282	283
98	2,1	220,188	1,1	346,271	161	247
99	76,88	48,72	170,105	94,71	233	236
100	58,65	66,111	139,77	145,111	239	236
101	164,204	12,14	390,280	21,26	248	245
102	127,113	71,61	254,180	151,108	347	260
103	127,109	68,83	254,180	155,103	347	230
104	82,109	67,88	230,129	155,103	260	230
109	53,42	51,47	83,32	55,38	356	383
110	31,27	51,44	31,45	85,54	305	356
111	4,0	47,37	0,0	55,32	676	293
112	4,0	2,0	0,0	4,0	676	240
113	0,1	11,10	1,0	24,22	419	1360
115	59,65	61,49	90,83	124,71	283	316
116	23,20	60,49	20,16	124,72	201	316
118	30,39	95,96	37,40	196,134	191	288
119	1,6	0,2	1,6	0,6	268	531
121	3,0	5,7	2,0	5,8	260	233
122	4,5	0,2	14,18	0,0	258	214
123	4,5	11,11	14,18	14,14	258	250
124	0,2	11,11	0,0	14,14	214	250
127	143,164	741,824	128,114	1607,1177	198	271
129	1,0	0,1	0,0	4,0	199	256
130	1,0	2,1	2,5	4,7	344	210
131	25,23	22,29	48,32	61,24	284	233
134	0,1	41,39	0,0	76,50	254	269
135	92,86	103,109	104,88	112,101	239	213
136	290,212	134,146	326,272	153,124	290	239
137	6,5	0,1	5,2	4,6	245	194
138	28,20	46,43	55,38	47,52	228	271
139	52,45	3,2	91,58	4,5	525	220
140	52,45	1,0	91,58	1,2	525	216
141	52,45	12,14	91,58	4,9	525	247
142	56,42	0,2	87,54	3,1	525	220
143	56,42	0,1	87,54	1,0	525	216
144	56,42	7,7	87,54	2,3	525	247
145	56,42	91,86	87,54	110,101	525	271
146	56,42	42,36	87,54	42,48	525	247
148	52,42	33,39	87,54	56,47	525	271
149	52,42	10,0	87,54	5,1	525	226
150	52,42	38,43	86,54	61,51	525	271
151	52,42	13,3	86,54	12,12	525	226
152	3,2	12,14	4,5	4,9	220	247
153	0,2	7,7	3,1	2,3	220	247
154	0,2	91,86	3,1	110,101	220	271
155	0,2	42,36	3,1	42,48	220	247
156	0,3	46,46	3,0	52,55	220	271
157	1,0	12,14	1,2	4,9	216	247
158	0,1	7,7	1,0	2,3	216	247
159	0,1	91,86	1,0	110,101	216	271
160	0,1	42,36	1,0	42,48	216	247
163	0,1	46,46	3,0	52,55	216	271
164	7,7	91,86	2,3	110,101	247	271
165	7,7	42,36	2,3	42,48	247	247
166	34,40	29,22	58,46	39,35	271	226
167	33,39	10,0	56,47	5,1	271	226
168	38,43	13,3	61,51	12,12	271	226
169	6,7	10,3	9,8	8,9	271	226
172	1,4	0,1	1,2	2,4	384	260
173	1,2	27,38	2,2	55,36	335	258
174	19,32	14,9	49,23	31,18	262	227
175	54,45	34,26	79,45	45,43	291	262
176	32,31	26,37	65,37	50,21	280	291
177	10,14	0,0	34,19	2,0	202	280
178	10,10	53,49	35,17	81,40	202	280
180	173,198	3610,3899	192,126	2691,2011	393	3606
181	3554,3887	33,36	2629,1949	32,20	3606	229
182	1,0	33,36	4,0	32,20	266	229
185	1,7	20,24	5,8	37,29	285	277
186	10,21	15,5	17,17	1,4	285	211
187	57,64	15,20	63,73	15,15	322	285
188	82,80	27,39	125,113	84,47	359	269
189	0,2	0,0	5,6	2,4	321	308
192	4,0	0,0	4,0	2,4	375	308
213	201,245	62,86	426,339	137,93	330	219
214	387,406	71,70	740,543	159,99	352	232
215	951,961	1460,1534	2011,1327	2568,1849	696	750
216	394,341	393,425	788,495	789,529	322	318
217	122,149	155,178	309,236	449,312	225	248
218	291,263	126,130	665,396	294,211	298	225
219	152,121	266,256	345,187	611,367	241	361
220	66,63	92,87	165,106	148,90	212	227
221	29,73	968,952	25,21	2002,1553	314	314
222	340,354	233,210	451,318	294,214	308	269
223	104,97	257,289	121,100	346,276	227	272
240	0,0	6,2	2,0	9,2	280	343
241	204,183	174,223	287,216	232,166	280	272
242	172,167	1,0	202,115	0,0	249	280
243	171,168	303,359	203,116	383,255	249	280
244	3,1	5,15	0,0	21,4	247	245
245	2,0	5,15	0,0	21,4	268	245
246	93,102	165,164	92,48	250,175	206	249
247	138,211	71,71	186,103	82,67	334	197
248	176,212	142,203	245,201	206,144	300	326
249	176,212	151,216	245,201	212,151	300	334
250	173,196	114,174	217,128	154,79	257	300
251	34,38	144,179	58,25	179,162	176	257
252	32,68	124,164	67,50	169,149	211	257
253	1,9	7,10	8,10	3,4	248	249
254	59,112	89,86	138,107	114,71	219	240
255	40,56	85,57	31,18	133,85	240	228
256	622,781	491,484	982,740	613,534	305	185
257	1683,1794	865,913	2574,1729	1138,885	339	238
258	170,203	133,128	423,249	176,151	361	317
259	86,70	97,136	126,73	172,129	317	266
261	553,570	308,323	915,615	539,327	207	197
262	135,133	934,1123	114,75	1437,1019	1542	282
263	252,277	934,1123	412,309	1437,1019	197	282
264	2,5	934,1123	8,12	1437,1019	194	282
265	669,687	631,677	908,677	932,693	249	285
266	666,683	34,38	908,677	6,2	249	285
267	1008,1047	546,566	1565,1038	949,700	285	235
268	321,333	749,821	444,349	1451,946	235	248
269	612,635	1019,1014	1011,723	1516,1071	248	310
270	876,970	543,712	1265,901	702,509	303	289
271	846,939	0,4	1262,898	0,0	303	289
272	0,2	681,760	0,0	1027,750	289	425
273	0,2	681,760	0,0	1027,750	289	425
274	393,440	709,783	739,406	1030,753	289	425
275	393,440	1,0	739,406	0,0	289	205
276	393,440	709,783	739,406	1030,753	289	425
278	1250,1493	0,2	1774,1278	0,0	425	317
279	144,150	76,86	241,132	166,120	368	265
280	122,108	111,124	184,133	261,151	286	298
281	122,108	100,113	184,133	228,125	286	283
282	124,109	18,18	184,132	3,0	286	283
283	77,78	55,66	99,81	159,108	298	237
284	72,71	213,283	97,81	521,301	298	492
285	92,90	55,66	141,109	159,108	283	237
286	87,83	213,283	139,109	521,301	283	492
287	148,123	155,196	214,165	308,198	270	280
288	120,153	112,111	232,159	273,154	258	296
289	305,309	211,232	461,288	302,222	370	340
290	198,215	128,140	415,253	259,176	340	291
291	158,144	818,893	224,148	1475,1107	291	903
292	3,10	46,48	8,0	53,35	284	269
294	32,39	17,24	38,39	28,28	330	301
295	33,39	17,24	37,39	28,28	326	301
297	18,26	11,4	48,29	6,3	230	236
298	82,106	211,257	212,131	356,223	237	351
299	46,62	43,43	73,60	74,65	234	211
300	119,157	92,115	280,213	191,132	266	246
301	320,317	71,115	355,223	86,77	737	299
302	91,84	47,35	246,168	151,76	230	214
303	78,84	135,108	136,101	309,232	204	245
304	986,1062	1125,1261	782,583	918,709	233	251
305	985,1061	665,761	782,583	642,510	233	190
307	970,1023	1049,1170	1032,794	1336,1018	267	266
308	795,782	1188,1286	923,633	1522,1150	266	272
309	180,169	160,145	218,169	210,187	268	330
310	190,207	63,57	300,227	119,81	330	244
311	0,1	0,0	0,0	1,0	197	173
312	131,115	108,80	195,131	169,152	319	323
313	37,58	46,53	66,48	54,58	257	228
314	31,58	62,61	94,49	86,88	230	248
315	52,54	51,77	45,29	71,47	263	401
316	52,53	81,97	45,29	106,59	263	401
317	73,76	44,46	86,56	41,36	332	263
319	1480,1422	55,59	2554,2089	118,72	227	284
320	1317,1278	500,482	2241,1776	975,807	276	227
321	1285,1432	498,483	2967,2113	978,810	310	227
322	303,336	42,53	542,321	62,61	294	295
323	303,341	1313,1375	542,323	2781,2147	294	295
324	502,474	230,237	891,732	564,366	298	208
325	201,200	401,472	410,317	849,653	208	297
326	0,2	60,51	0,0	71,57	244	266
327	116,110	47,45	231,163	125,97	234	194
330	16,10	51,63	16,17	137,87	180	254
331	70,61	21,40	104,77	38,44	269	223
332	116,110	80,99	214,153	100,104	250	307
333	52,81	114,152	98,109	160,163	260	307
334	188,216	147,117	389,268	282,200	310	308
335	68,85	363,379	103,45	463,346	236	342
337	32,29	4,3	31,31	11,7	229	247
338	35,28	1,0	35,34	0,0	229	285
339	31,27	4,2	31,29	4,2	229	261
340	35,28	12,5	35,34	16,10	229	261
344	4,11	2,3	8,8	6,1	191	243
345	4,11	1,2	8,8	1,0	191	211
346	1,2	2,3	2,5	6,1	242	243
349	2,3	1,2	4,1	1,0	243	211
350	128,93	132,133	95,87	131,108	327	251
351	87,110	20,39	128,103	22,9	255	246
352	15,24	8,3	26,21	3,4	275	298
353	109,155	147,141	265,196	222,145	392	336
354	261,214	137,161	353,243	154,94	336	287
355	19,24	16,46	26,11	15,6	209	256
356	67,80	10,37	40,44	14,6	501	256
357	16,23	8,39	15,6	14,6	239	256
358	1,0	16,46	0,1	15,6	178	256
359	11,22	8,38	20,21	14,6	215	256
360	1,0	1,9	0,1	6,1	178	239
361	17,26	1,9	26,11	6,1	209	239
362	11,22	0,2	19,21	2,0	215	178
364	11,22	0,4	19,21	2,0	215	209
365	60,75	4,2	36,42	1,0	276	215
366	8,8	4,2	3,5	1,0	338	215
369	60,77	8,10	38,42	7,2	276	215
370	80,79	10,12	125,112	17,18	332	188
371	26,29	28,33	41,31	51,60	248	260
372	15,37	36,37	19,17	76,61	326	220
373	4,2	102,91	1,0	179,98	262	259
374	75,129	16,15	139,74	11,3	270	270
375	23,22	87,88	39,19	99,73	272	267
376	76,79	59,62	124,100	56,44	322	203
377	26,42	59,62	40,30	56,44	267	203
378	5,16	59,62	21,9	56,44	263	203
379	45,40	87,102	85,56	105,101	209	251
380	6,8	13,8	19,18	20,12	306	304
381	6,12	121,156	7,7	204,181	281	236
382	0,1	97,106	0,0	114,82	210	242
383	72,90	11,15	138,120	15,10	227	278
384	8,18	7,23	56,12	14,12	207	285
385	26,63	9,18	70,72	11,5	241	290
386	2,0	9,18	10,7	11,5	236	290
387	0,0	219,246	4,0	479,332	306	260
388	112,128	132,139	222,152	266,165	237	256
389	16,14	18,22	28,10	69,44	266	390
390	16,14	47,41	28,10	122,77	266	358
391	49,41	3,4	119,49	15,2	266	221
392	92,121	125,132	136,84	242,168	292	275
394	93,74	0,2	67,98	0,0	243	199
395	9,8	0,0	3,4	0,2	291	274
396	9,8	8,10	3,4	2,7	291	310
397	0,0	8,10	0,2	2,7	274	310
398	404,408	355,330	676,464	667,470	300	254
399	404,408	97,83	676,464	153,118	300	184
400	338,306	256,285	655,461	486,331	254	241
401	19,14	762,776	19,8	1384,1001	615	241
402	19,14	218,235	19,8	405,285	615	226
403	2,2	538,521	0,0	887,733	255	307
404	422,431	239,230	689,563	376,260	302	223
405	436,449	239,230	713,580	376,260	307	223
406	441,518	264,341	802,541	443,310	341	282
407	50,71	133,150	64,41	125,97	208	311
408	177,181	151,192	162,109	281,181	355	250
409	6,7	116,92	7,11	169,139	273	267
410	95,73	116,91	139,102	169,140	273	267
411	245,277	97,92	373,227	110,90	395	243
412	119,113	118,102	140,132	141,125	287	267
413	125,114	164,184	147,87	169,122	267	324
414	127,111	45,38	147,87	37,22	267	324
415	187,152	74,90	215,167	95,64	324	227
416	154,121	152,177	206,102	208,132	315	311
419	104,119	217,212	242,182	367,231	228	220
420	100,119	245,273	243,177	583,439	228	235
421	298,282	253,267	437,394	573,436	220	235
422	38,45	124,120	69,47	235,130	266	557
423	5,9	153,166	6,1	312,196	241	557
424	16,17	64,61	22,11	101,49	235	330
426	82,114	171,206	150,88	387,273	194	229
427	384,488	5,15	598,412	13,9	2498	308
428	377,468	49,35	583,406	38,26	2498	325
429	14,26	16,16	19,7	14,19	325	224
431	7,15	123,113	8,3	223,168	289	265
432	133,89	221,330	129,124	375,259	308	402
433	11,24	3,2	30,33	4,0	311	246
434	5,8	23,50	6,2	55,32	202	313
435	24,24	17,36	36,20	21,9	333	337
436	0,3	81,67	1,0	72,38	280	365
437	20,31	16,27	27,13	13,8	292	604
438	51,55	37,38	70,46	23,19	264	196
439	51,55	2,3	70,46	3,2	264	223
440	0,0	37,38	3,0	23,19	259	196
441	0,2	6,1	0,0	9,7	227	215
442	0,6	6,1	3,2	9,7	281	215
443	302,397	436,619	304,183	377,210	219	310
444	322,408	613,611	311,159	597,438	271	219
