ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	1,0	13,2	0,0,0	0,3,6	298	237
11	1,0	4,0	0,0,0	0,2,4	298	298
12	15,9	16,13	19,18,11	34,23,22	298	298
13	0,0	16,13	4,4,2	36,23,22	298	298
14	15,9	27,19	19,18,11	51,30,23	298	298
16	34,26	32,16	59,50,18	37,25,30	298	298
17	9,6	32,16	12,11,10	37,25,30	298	298
18	1,0	32,16	1,0,1	37,25,30	209	298
21	11,4	0,0	14,13,11	3,0,0	298	203
22	9,6	34,26	12,11,10	59,50,18	298	298
23	1,0	34,26	1,0,1	59,50,18	209	298
24	11,4	34,26	14,13,11	61,52,20	298	298
34	1,0	9,6	1,0,1	12,11,10	209	298
35	5,4	17,6	6,3,3	17,14,12	209	298
37	6,0	17,6	4,4,5	17,14,12	298	298
38	0,0	17,6	2,0,0	17,14,12	298	298
41	0,0	6,0	2,0,0	4,4,5	298	298
57	1,6	0,2	1,0,2	2,0,1	298	225
58	1,6	0,2	1,0,2	2,0,1	298	236
59	1,6	0,2	1,0,2	2,0,1	298	225
60	1,6	0,0	1,0,2	1,0,0	298	229
63	0,2	0,0	2,0,1	1,0,0	225	229
89	70,51	20,5	56,68,41	19,14,10	298	288
90	1,2	170,118	2,0,1	219,162,118	200	234
91	1,0	170,118	1,0,1	219,162,118	221	234
92	15,18	42,22	34,29,33	62,35,25	208	200
93	13,10	13,15	27,29,17	30,16,27	173	273
94	98,45	3,6	115,108,69	5,5,11	263	173
95	972,769	1394,981	1803,1517,1140	1965,1438,1112	265	282
96	1290,869	1616,1117	2214,1741,1376	2607,2028,1704	278	298
97	517,465	747,480	1041,700,593	1419,1062,883	298	287
99	170,105	94,71	147,79,83	50,52,62	233	236
100	139,77	145,111	72,49,31	85,92,99	239	236
101	390,280	21,26	277,209,188	13,11,13	248	245
102	146,125	151,108	110,107,84	98,113,53	298	260
