ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	24,29	7,2	16,12,4	0,2,6	245	149
15	27,15	4,0	25,18,17	0,0,0	298	149
16	25,18	5,2	27,18,19	2,3,1	298	149
20	18,19	10,4	23,20,19	0,1,2	298	149
21	13,18	16,13	11,8,12	34,23,22	298	149
39	5,2	0,2	10,4,10	0,0,0	248	149
54	0,0	0,2	0,0,1	0,3,1	298	149
55	65,33	13,6	71,78,59	6,6,7	246	149
56	54,48	641,479	128,123,94	863,702,517	296	149
57	222,181	1474,1033	573,452,460	2053,1510,1173	298	149
58	220,168	0,1	561,424,429	0,2,0	298	149
59	128,104	1029,695	369,336,317	1522,1158,1025	298	149
61	34,32	939,718	84,59,61	1124,933,660	298	149
62	26,19	7,8	69,53,39	3,1,0	298	149
63	43,31	886,727	66,84,74	1118,868,565	298	149
65	3,0	0,0	2,2,0	2,0,0	298	149
77	45,18	0,0	55,55,38	0,1,0	204	149
78	0,0	2,0	0,6,7	0,0,2	298	149
80	18,14	15,6	50,41,26	11,6,2	260	149
82	6,0	6,0	3,0,1	8,4,3	298	149
83	10,4	17,15	23,16,10	14,20,8	298	149
96	19,7	2,0	7,13,11	0,4,0	298	149
97	3,3	98,72	5,4,2	101,91,63	267	149
100	5,3	58,67	4,5,5	107,61,46	258	149
101	75,69	2,0	118,94,70	0,2,0	283	149
102	99,62	1,1	142,92,66	2,5,5	298	149
103	6,8	4,3	16,5,2	0,0,2	298	149
104	4,3	5,1	10,6,0	6,2,4	241	149
105	390,304	13221,9745	448,358,264	11814,9806,6869	298	149
116	279,203	220,122	469,381,286	258,226,158	298	149
117	234,169	1,4	409,338,258	0,0,0	298	149
118	4,0	1,0	6,8,4	0,0,0	298	149
119	2,0	3,0	1,0,0	0,1,0	298	149
124	9,4	47,32	21,27,16	36,21,16	298	149
128	1,0	5,2	0,0,2	3,4,4	298	149
129	17,7	126,73	51,28,17	85,60,58	298	149
134	73,39	1628,1245	93,59,52	1823,1527,1121	298	149
135	45,15	12,11	62,44,31	19,17,10	298	149
136	26,29	365,233	115,100,62	363,306,252	275	149
137	3,0	343,262	1,0,0	433,358,290	280	149
138	15,11	56,42	33,28,32	85,76,44	281	149
145	5,6	3,2	15,4,10	8,9,10	222	149
146	6,7	2,5	22,6,15	7,0,1	267	149
147	118,50	23,8	219,190,171	20,8,10	298	149
148	94,38	195,156	186,167,155	281,221,187	298	149
149	133,65	0,0	296,240,186	0,2,0	298	149
150	52,31	306,206	130,87,88	318,268,238	278	149
151	22,31	0,0	70,71,53	1,0,0	298	149
152	20,28	266,198	56,49,44	339,280,196	298	149
153	14,9	10,14	22,21,19	20,17,13	298	149
154	9,5	244,144	14,9,12	266,239,169	287	149
155	18,18	689,411	52,37,50	930,840,670	235	149
156	22,17	0,0	39,46,41	1,0,2	298	149
157	9,9	169,131	43,25,27	302,241,158	298	149
158	6,6	438,314	33,26,22	511,437,358	252	149
159	57,55	143,66	131,104,97	172,155,126	298	149
165	18,4	4,2	16,16,13	6,8,4	298	149
166	19,3	1886,1372	17,10,11	2224,1763,1275	298	149
167	11,3	1,0	11,10,4	0,0,3	272	149
168	42,22	48,31	35,33,25	46,50,43	298	149
169	69,29	1716,1175	90,85,46	1942,1662,1170	298	149
170	40,44	1551,1084	51,45,44	1831,1446,1023	232	149
171	31,37	961,710	37,14,25	1220,962,732	298	149
172	102,74	6,2	128,98,73	4,1,5	298	149
173	98,69	1469,1064	129,104,72	1756,1485,1039	298	149
174	19,5	1632,1087	23,11,15	1934,1597,1036	228	149
175	24,21	0,0	24,25,12	0,0,1	232	149
176	24,21	1223,870	24,25,12	1501,1312,828	243	149
177	17,14	768,420	19,14,19	948,729,573	298	149
178	40,24	309,180	53,37,45	359,305,250	298	149
179	28,23	747,528	47,31,28	1077,909,748	298	149
181	3,3	73,67	8,3,3	74,58,68	298	149
185	2,2	32,25	21,3,6	62,30,37	298	149
186	2,2	2,4	22,3,6	1,1,1	298	149
189	2,0	12,10	0,2,3	5,11,9	298	149
190	70,61	2070,1529	128,96,73	2387,2097,1376	298	149
192	12,5	186,105	16,15,11	196,132,139	298	149
193	3,1	221,139	3,5,2	217,233,122	298	149
194	10,10	0,1	19,18,15	1,2,3	298	149
195	13,11	211,168	28,23,15	230,228,126	298	149
196	7,2	86,89	13,8,4	159,109,86	298	149
197	5,4	101,77	20,11,12	125,90,81	298	149
198	21,14	80,55	29,19,34	98,78,48	298	149
199	6,2	10,1	9,5,11	7,4,5	291	149
201	5,2	6,2	6,4,8	2,4,6	272	149
202	20,9	49,38	56,33,34	49,47,34	230	149
203	48,22	13,9	90,51,67	10,13,8	298	149
204	47,19	62,50	92,46,58	53,51,44	298	149
205	5,3	150,104	25,14,13	158,101,108	266	149
206	211,185	3,0	293,235,153	7,3,0	269	149
207	66,55	10,3	48,38,26	5,8,5	229	149
208	10,7	0,3	24,13,5	12,6,1	298	149
209	57,48	275,191	151,104,91	350,256,191	298	149
210	59,50	1,0	156,109,93	1,0,2	298	149
212	59,32	174,142	123,106,88	284,261,215	298	149
216	26,19	1,1	22,26,23	3,0,0	264	149
219	20,10	2,3	5,20,10	6,2,0	242	149
221	20,10	5,4	5,20,10	10,5,3	245	149
225	11,8	154,96	39,35,25	258,191,177	231	149
228	6,6	33,25	17,18,19	108,86,80	256	149
229	8,7	0,0	45,60,40	0,0,6	298	149
230	23,9	0,2	51,54,50	7,0,0	298	149
231	6,1	15,13	20,12,16	28,26,30	231	149
232	18,6	5,3	36,40,26	22,20,42	298	149
233	5,9	2,2	28,9,24	9,14,24	288	149
234	0,1	19,7	12,17,14	48,36,40	222	149
240	24,20	0,0	80,53,37	12,13,8	298	149
243	2,3	0,0	1,2,3	0,1,0	298	149
246	1,1	1,0	2,12,11	0,0,1	298	149
247	277,187	1,2	394,304,287	8,2,3	298	149
248	4,2	0,0	3,1,5	3,2,0	298	149
249	4,2	2,0	3,1,5	2,1,3	298	149
250	6,7	1,1	12,4,5	3,3,2	298	149
251	0,0	1,0	0,1,0	1,3,0	298	149
252	19,11	172,102	41,50,26	201,168,133	298	149
253	5,22	901,671	26,26,24	1069,873,557	298	149
