ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31	0,0	35,20	0,2,0	55,45,33	153	149
32	0,0	0,2	0,2,0	4,0,0	157	149
33	35,20	0,2	55,45,33	4,0,0	153	149
80	2,0	2,1	8,6,6	2,2,9	205	149
83	1667,1189	0,1	2708,2078,1672	0,2,0	821	149
84	0,6	165,83	10,9,0	327,280,242	428	149
85	956,725	7,8	1137,957,677	3,1,0	394	149
86	803,583	10,10	888,750,542	15,14,7	167	149
88	46,33	8,6	81,42,28	10,13,7	153	149
89	4,2	267,148	4,1,0	166,178,121	190	149
93	23,4	64,44	40,25,29	67,80,40	168	149
94	27,23	2,4	33,48,21	11,7,11	555	149
105	55,52	216,115	63,21,34	237,218,174	681	149
106	0,2	83,48	0,0,0	127,118,61	153	149
107	5,12	42,26	8,15,3	45,39,31	274	149
108	103,81	2,0	110,128,66	3,6,1	208	149
109	26,23	2,0	39,44,22	3,6,1	214	149
110	0,0	77,58	2,1,2	73,85,46	155	149
114	10,23	62,34	13,20,13	75,72,58	161	149
115	10,11	897,696	15,11,4	1009,806,554	159	149
119	4,1	17,7	2,2,2	18,13,10	155	149
120	3,3	1,2	5,7,5	6,3,1	265	149
135	2,0	9,2	5,1,0	14,7,7	166	149
145	363,291	220,122	701,551,369	258,226,158	551	149
146	19,9	2,0	31,25,11	0,1,1	156	149
152	4,12	1,0	7,11,6	0,0,0	168	149
153	72,79	0,1	88,66,60	0,0,0	168	149
159	395,246	4,0	409,335,250	6,5,3	780	149
162	590,453	238,145	643,444,403	272,169,156	194	149
163	607,411	30,12	607,482,343	20,27,8	176	149
164	163,130	184,116	245,199,139	254,242,232	158	149
170	12,8	12,11	15,15,1	8,17,11	408	149
172	9,8	1,0	29,12,18	4,4,2	450	149
173	41,33	21,10	38,36,16	29,26,19	195	149
174	94,77	21,10	131,115,92	29,26,19	208	149
175	53,46	0,2	93,79,76	0,0,0	162	149
176	41,37	5,5	77,80,57	3,5,5	185	149
177	493,276	0,0	927,792,626	1,0,0	1012	149
178	2,2	257,208	4,2,1	387,336,282	153	149
179	65,46	266,198	211,188,125	339,280,196	1263	149
180	303,245	1,0	426,316,274	5,6,2	2137	149
182	1,1	95,55	1,3,3	83,75,49	338	149
184	1,0	1003,786	4,2,4	1363,1268,896	170	149
187	331,219	0,1	409,332,258	1,3,0	336	149
189	2,1	0,0	3,0,5	0,5,1	164	149
190	9,3	3,4	8,18,9	5,5,2	164	149
191	6,7	0,0	8,10,6	0,2,0	164	149
192	9,1	0,1	10,11,5	3,2,3	164	149
193	8,2	1,2	8,10,4	2,2,1	164	149
199	2179,1483	9,6	2449,2052,1472	12,8,17	1767	149
200	2007,1359	2,0	2311,2102,1319	0,0,1	455	149
201	7,2	1472,1036	2,5,8	1767,1550,1076	314	149
202	5,4	747,528	19,7,10	1077,909,748	152	149
207	23,18	457,368	30,20,12	506,347,262	197	149
208	32,26	1,0	80,55,27	0,1,0	916	149
211	32,25	2,4	63,30,37	1,1,1	153	149
215	8,9	0,1	33,16,20	0,1,0	175	149
216	62,49	20,16	98,64,73	35,28,14	210	149
217	3,2	46,40	8,1,1	71,60,26	237	149
218	1,0	153,122	1,4,0	202,169,134	152	149
219	235,146	0,0	330,246,250	1,0,0	1950	149
220	1,0	227,139	2,0,1	284,195,151	153	149
221	25,13	80,55	27,18,29	98,78,48	236	149
222	15,12	80,55	23,15,25	98,78,48	249	149
223	22,14	80,55	25,19,33	98,78,48	255	149
224	0,0	10,1	3,1,1	7,4,5	162	149
225	7,2	10,1	5,5,9	7,4,5	168	149
227	73,56	13,9	81,67,66	10,13,8	272	149
228	186,138	1,0	198,138,137	0,0,0	319	149
229	377,313	0,1	556,451,282	0,0,0	312	149
235	2,0	19,7	0,4,0	24,22,15	179	149
236	2,3	38,18	6,4,3	44,36,30	173	149
237	1,0	0,0	0,1,0	2,1,3	153	149
238	29,26	8,8	40,51,22	10,10,11	155	149
239	8,2	2,0	0,3,4	0,0,0	357	149
240	7,1	2,0	0,2,2	0,0,0	306	149
242	14,6	31,35	11,8,7	25,35,23	357	149
243	7,6	18,23	12,6,5	31,31,21	200	149
244	16,8	18,23	8,8,4	31,31,21	552	149
245	15,6	6,4	7,7,2	11,5,3	501	149
246	25,24	31,35	31,33,23	25,35,23	306	149
247	23,8	31,35	7,10,6	25,35,23	709	149
250	3,3	6,4	2,1,2	11,5,3	206	149
251	4,5	18,23	3,2,4	31,31,21	257	149
252	12,4	0,1	5,6,0	0,0,0	444	149
253	1,1	2,3	1,1,0	6,2,0	153	149
254	1,1	5,4	1,1,0	10,5,3	153	149
256	30,16	66,48	26,33,27	73,51,49	296	149
261	10,13	4,1	10,13,6	13,21,11	298	149
265	6,4	59,37	0,3,4	61,38,35	181	149
267	78,48	4,8	201,165,119	12,5,11	847	149
270	0,0	1,0	2,0,0	0,0,0	214	149
271	58,32	229,151	91,81,58	290,208,181	204	149
272	21,6	442,239	27,23,17	523,476,352	253	149
273	5,6	883,652	8,6,6	992,852,573	224	149
274	838,585	0,0	1011,800,524	2,2,0	313	149
277	258,205	1,1	408,335,251	2,2,0	2483	149
278	1,3	0,0	7,8,7	0,2,0	235	149
280	622,437	0,1	737,587,501	2,1,0	204	149
281	171,75	1,0	157,173,131	2,0,0	204	149
282	645,420	16,6	742,634,412	14,5,4	3231	149
283	10,4	531,334	14,10,10	606,531,400	180	149
284	10,8	531,334	16,10,7	606,531,400	191	149
285	6,4	6,0	5,6,2	3,6,5	160	149
286	4,10	66,39	21,29,21	60,49,48	267	149
288	48,13	1,0	61,75,36	0,0,0	301	149
289	45,41	4,5	85,54,41	1,9,0	155	149
290	0,1	35,26	0,0,1	101,52,46	271	149
294	1,0	365,314	0,1,1	276,248,202	235	149
295	172,166	5,9	293,188,152	5,5,3	167	149
296	6,6	24,14	11,16,7	52,49,45	152	149
307	0,3	34,18	3,1,1	30,40,21	381	149
308	45,32	1,1	53,55,35	0,1,0	153	149
309	0,0	42,39	1,2,1	74,50,40	173	149
310	0,0	21,35	1,0,2	30,33,31	177	149
