ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	4,3	13,2	4,2,4	0,3,6	337	237
11	4,3	7,9	4,2,4	2,7,6	337	411
12	32,21	17,16	35,24,27	37,29,26	376	372
13	17,12	17,16	20,10,18	42,32,26	376	380
14	32,21	28,22	35,24,27	57,39,27	376	380
16	57,42	49,28	84,76,31	53,31,46	378	376
17	14,13	49,28	17,15,11	53,31,46	352	376
18	1,0	49,28	1,0,1	53,31,46	209	376
21	16,11	0,0	19,17,12	3,0,0	352	203
22	14,13	57,42	17,15,11	84,76,31	352	378
23	1,0	57,42	1,0,1	84,76,31	209	378
24	16,11	57,42	19,17,12	86,78,33	352	378
34	1,0	14,13	1,0,1	17,15,11	209	352
35	5,4	22,13	6,3,3	22,18,13	209	352
37	38,15	22,13	12,15,20	22,18,13	671	352
38	0,0	22,13	2,1,0	22,18,13	420	352
41	0,0	38,15	2,1,0	12,15,20	420	671
57	2,6	0,2	1,0,2	2,0,1	362	225
58	2,6	0,2	1,0,2	2,0,1	362	236
59	2,6	0,2	1,0,2	2,0,1	362	225
60	2,6	0,0	1,0,2	1,0,0	362	229
63	0,2	0,0	2,0,1	1,0,0	225	229
89	134,91	20,5	123,133,78	19,14,10	386	288
90	1,2	170,118	2,0,1	219,162,118	200	234
91	1,0	170,118	1,0,1	219,162,118	221	234
92	15,18	42,22	34,29,33	62,35,25	208	200
93	13,10	13,15	27,29,17	30,16,27	173	273
94	98,45	3,6	115,108,69	5,5,11	263	173
95	972,769	1394,981	1803,1517,1140	1965,1438,1112	265	282
96	1290,869	1966,1348	2214,1741,1376	3159,2490,2024	278	323
97	518,465	747,480	1051,703,604	1419,1062,883	350	287
99	170,105	94,71	147,79,83	50,52,62	233	236
100	139,77	145,111	72,49,31	85,92,99	239	236
101	390,280	21,26	277,209,188	13,11,13	248	245
102	254,180	151,108	188,154,122	98,113,53	347	260
