ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	24,29	7,2	16,12,4	0,2,6	245	149
15	67,53	4,0	64,42,41	0,0,0	963	149
16	63,51	5,2	61,40,41	2,3,1	934	149
20	51,39	10,4	55,36,39	0,1,2	819	149
21	47,30	16,13	41,32,33	34,23,22	762	149
39	5,2	0,2	10,4,10	0,0,0	248	149
54	0,0	0,2	0,0,1	0,3,1	1174	149
55	65,33	13,6	71,78,59	6,6,7	246	149
56	54,48	641,479	128,123,94	863,702,517	296	149
57	649,450	1474,1033	1762,1500,1279	2053,1510,1173	850	149
58	842,605	0,1	2416,2068,1777	0,2,0	1522	149
59	207,164	1029,695	673,593,519	1522,1158,1025	688	149
61	97,104	939,718	341,292,224	1124,933,660	1372	149
62	111,104	7,8	350,314,231	3,1,0	1617	149
63	43,31	886,727	66,84,74	1118,868,565	349	149
65	4,2	0,0	2,2,0	2,0,0	1374	149
70	6,2	2,0	6,2,2	0,0,0	3532	149
77	45,18	0,0	55,55,38	0,1,0	204	149
78	14,2	2,0	6,30,15	0,0,2	1827	149
80	18,14	15,6	50,41,26	11,6,2	260	149
82	11,4	6,0	6,6,1	8,4,3	1220	149
83	13,4	17,15	26,17,12	14,20,8	344	149
96	28,9	2,0	26,34,23	0,4,0	750	149
97	3,3	98,72	5,4,2	101,91,63	267	149
100	5,3	58,67	4,5,5	107,61,46	258	149
101	75,69	2,0	118,94,70	0,2,0	283	149
102	174,114	1,1	243,178,128	2,5,5	659	149
103	8,15	4,3	19,19,11	0,0,2	888	149
104	4,3	5,1	10,6,0	6,2,4	241	149
105	498,398	13221,9745	801,689,480	11814,9806,6869	1229	149
116	2546,1877	220,122	5066,4423,2865	258,226,158	3420	149
117	2184,1590	1,4	4365,3872,2496	0,0,0	3018	149
118	6,0	1,0	10,11,5	0,0,0	584	149
119	4,0	3,0	5,2,1	0,1,0	788	149
124	9,6	47,32	23,29,17	36,21,16	316	149
128	1,0	5,2	0,0,2	3,4,4	876	149
129	206,92	126,73	299,295,163	85,60,58	3782	149
134	80,43	1628,1245	113,68,64	1823,1527,1121	352	149
135	76,32	12,11	112,77,64	19,17,10	528	149
136	26,29	365,233	115,100,62	363,306,252	275	149
137	3,0	343,262	1,0,0	433,358,290	280	149
138	15,11	56,42	33,28,32	85,76,44	281	149
145	5,6	3,2	15,4,10	8,9,10	222	149
146	6,7	2,5	22,6,15	7,0,1	267	149
147	346,171	23,8	728,607,514	20,8,10	875	149
148	318,158	195,156	692,583,493	281,221,187	857	149
149	259,133	0,0	561,475,382	0,2,0	553	149
150	52,31	306,206	130,87,88	318,268,238	278	149
151	27,34	0,0	100,112,74	1,0,0	447	149
152	92,80	266,198	310,300,199	339,280,196	1561	149
153	62,47	10,14	147,102,84	20,17,13	2029	149
154	9,5	244,144	14,9,12	266,239,169	287	149
155	18,18	689,411	52,37,50	930,840,670	235	149
156	58,37	0,0	69,75,69	1,0,2	492	149
157	17,12	169,131	60,41,32	302,241,158	429	149
158	6,6	438,314	33,26,22	511,437,358	252	149
159	62,57	143,66	137,106,101	172,155,126	340	149
162	1,2	0,0	7,4,7	0,1,0	674	149
165	21,6	4,2	21,18,16	6,8,4	374	149
166	135,80	1886,1372	177,148,112	2224,1763,1275	1719	149
167	11,3	1,0	11,10,4	0,0,3	272	149
168	158,99	48,31	195,171,126	46,50,43	1722	149
169	79,34	1716,1175	148,121,83	1942,1662,1170	1027	149
170	40,44	1551,1084	51,45,44	1831,1446,1023	232	149
171	39,38	961,710	44,31,34	1220,962,732	534	149
172	127,90	6,2	149,122,91	4,1,5	827	149
173	104,73	1469,1064	131,105,74	1756,1485,1039	356	149
174	19,5	1632,1087	23,11,15	1934,1597,1036	228	149
175	24,21	0,0	24,25,12	0,0,1	232	149
176	24,21	1223,870	24,25,12	1501,1312,828	243	149
177	24,17	768,420	26,18,22	948,729,573	448	149
178	47,27	309,180	61,41,48	359,305,250	451	149
179	31,25	747,528	51,34,32	1077,909,748	337	149
181	8,7	73,67	9,12,7	74,58,68	600	149
185	4,2	32,25	32,15,8	62,30,37	764	149
186	4,2	2,4	33,15,8	1,1,1	768	149
188	0,0	5,0	2,0,0	5,6,5	3928	149
189	17,2	12,10	18,19,18	5,11,9	2814	149
190	136,87	2070,1529	250,209,129	2387,2097,1376	3454	149
192	46,27	186,105	97,91,90	196,132,139	1858	149
193	11,8	221,139	20,12,13	217,233,122	695	149
194	88,69	0,1	173,144,110	1,2,3	2473	149
195	77,63	211,168	157,133,97	230,228,126	1815	149
196	31,28	86,89	64,76,53	159,109,86	918	149
197	29,33	101,77	92,69,54	125,90,81	1141	149
198	21,14	80,55	29,19,35	98,78,48	378	149
199	6,2	10,1	9,5,11	7,4,5	291	149
201	5,2	6,2	6,4,8	2,4,6	272	149
202	20,9	49,38	56,33,34	49,47,34	230	149
203	64,32	13,9	142,91,105	10,13,8	557	149
204	59,27	62,50	119,76,86	53,51,44	434	149
205	5,3	150,104	25,14,13	158,101,108	266	149
206	211,185	3,0	293,235,153	7,3,0	269	149
207	66,55	10,3	48,38,26	5,8,5	229	149
208	29,11	0,3	100,49,23	12,6,1	1341	149
209	301,205	275,191	742,599,425	350,256,191	1677	149
210	303,207	1,0	748,605,428	1,0,2	1680	149
212	885,572	174,142	1352,1146,903	284,261,215	2992	149
216	26,19	1,1	22,26,23	3,0,0	264	149
219	20,10	2,3	5,20,10	6,2,0	242	149
221	20,10	5,4	5,20,10	10,5,3	245	149
225	11,8	154,96	39,35,25	258,191,177	231	149
228	6,6	33,25	17,18,19	108,86,80	256	149
229	10,12	0,0	60,72,55	0,0,6	398	149
230	35,21	0,2	75,86,77	7,0,0	539	149
231	6,1	15,13	20,12,16	28,26,30	231	149
232	21,13	5,3	53,55,40	22,20,42	451	149
233	5,9	2,2	28,9,24	9,14,24	288	149
234	0,1	19,7	12,17,14	48,36,40	222	149
240	79,55	0,0	204,175,123	12,13,8	1402	149
243	3,4	0,0	1,3,5	0,1,0	507	149
246	1,3	1,0	2,19,13	0,0,1	505	149
247	1265,935	1,2	1958,1565,1266	8,2,3	1240	149
248	4,3	0,0	3,1,7	3,2,0	495	149
249	4,3	2,0	3,1,7	2,1,3	538	149
250	7,7	1,1	12,4,9	3,3,2	538	149
251	2,0	1,0	1,1,2	1,3,0	609	149
252	20,17	172,102	45,60,30	201,168,133	371	149
253	25,46	901,671	95,87,101	1069,873,557	998	149
254	24,7	819,684	28,27,9	1087,857,608	366	149
255	285,252	516,348	396,302,284	625,516,395	1062	149
256	349,341	461,321	564,365,311	688,499,450	629	149
257	41,38	198,131	80,66,57	316,234,177	2365	149
258	6,5	82,41	53,30,40	149,138,121	629	149
260	57,37	280,182	132,115,95	398,394,332	278	149
261	35,22	177,120	154,94,99	277,227,191	233	149
262	31,19	258,234	93,114,86	435,393,300	239	149
263	89,74	145,97	228,262,211	179,173,171	380	149
264	222,166	8,11	497,517,397	16,8,13	470	149
265	58,26	524,353	114,133,87	566,443,319	3186	149
266	25,23	702,476	32,35,20	670,594,431	373	149
267	1,0	16,5	5,7,12	18,10,12	744	149
268	16,18	595,446	47,32,33	644,578,423	929	149
269	17,7	577,451	31,36,24	665,591,424	294	149
270	55,76	531,334	159,153,110	606,531,400	1494	149
271	51,72	6,0	148,149,105	3,6,5	1463	149
272	49,72	4,4	145,145,103	2,2,0	1452	149
273	4753,3738	13,16	5558,4858,3669	14,19,13	236	149
275	64,58	66,39	167,183,130	60,49,48	723	149
276	9,14	100,75	14,9,6	101,74,94	323	149
278	4,2	4,5	2,0,0	0,2,0	394	149
280	337,245	1,2	961,841,588	1,2,6	5658	149
281	37,12	4,0	56,30,46	1,2,3	385	149
283	24,19	1377,1009	32,43,22	2139,1619,1165	733	149
284	3,5	1735,1235	2,3,8	2551,1973,1350	583	149
289	18,5	188,136	28,28,32	175,180,136	340	149
290	6,9	106,67	18,11,9	153,155,124	325	149
291	21,11	13,9	76,68,45	44,42,38	1531	149
292	4,0	14,4	5,8,8	34,15,19	236	149
293	4,5	128,89	4,0,0	109,98,49	254	149
294	923,724	1,0	1002,843,557	0,0,0	559	149
295	675,458	1,0	1920,1399,1447	0,0,0	1075	149
296	34,23	14,3	277,243,217	30,29,30	784	149
297	7,6	194,92	19,13,9	471,363,252	347	149
298	18,9	0,0	36,36,20	2,1,0	259	149
299	24,11	77,51	47,50,26	73,54,43	237	149
301	28,17	0,0	34,34,19	2,0,0	276	149
302	4,9	3,1	10,13,9	7,3,0	395	149
304	14,25	3,0	28,43,20	0,0,1	1013	149
305	10,14	5,4	17,28,11	7,0,0	600	149
310	17,16	141,76	22,38,14	199,176,105	3007	149
312	257,210	12,12	393,296,196	25,16,12	230	149
315	0,4	0,0	6,7,0	0,1,0	1139	149
316	0,4	5,1	6,7,0	10,8,3	1091	149
321	339,263	0,0	734,724,505	0,0,1	900	149
324	206,175	45,27	420,333,320	56,55,44	1045	149
325	33,29	87,72	70,39,34	162,120,91	503	149
326	7,3	89,44	3,5,11	123,117,98	293	149
327	0,1	1,0	5,8,3	2,1,0	689	149
329	0,0	0,2	2,2,0	0,1,0	269	149
330	26,28	0,2	63,44,42	4,0,0	284	149
331	28,28	0,1	63,45,46	0,0,0	343	149
335	4447,3391	1,0	5552,4357,3302	0,0,0	3427	149
337	7,4	2,4	13,9,5	2,2,1	424	149
338	0,0	1,1	0,1,1	10,18,11	365	149
341	105,61	1,0	155,168,130	2,2,2	230	149
343	52,31	121,91	93,85,75	195,150,101	313	149
344	7,3	1,0	8,7,7	0,1,0	507	149
345	18,7	0,0	35,38,30	1,2,0	801	149
346	0,0	36,16	4,2,8	58,57,46	428	149
348	0,0	2,7	4,6,5	18,13,8	1692	149
349	0,0	1,2	1,0,1	3,4,2	1050	149
354	1,0	0,0	5,0,6	1,0,0	742	149
355	9,2	66,44	9,5,5	69,46,56	244	149
359	21,16	0,3	53,51,49	1,1,1	432	149
360	17,14	0,2	20,20,14	13,17,25	573	149
361	5508,3517	0,0	4650,4148,3392	1,0,0	2403	149
370	86,62	1,5	92,70,64	7,2,2	960	149
371	90,65	3,3	100,71,69	2,5,5	1010	149
372	85,57	6,2	91,55,52	5,4,8	956	149
376	11,4	1,1	10,10,10	1,1,1	1370	149
377	15,7	2,0	24,16,13	0,0,0	3944	149
379	6,4	0,0	5,11,7	0,0,1	252	149
380	1,0	6,3	1,5,1	6,11,9	2022	149
381	1,0	3,11	3,2,2	9,8,1	3144	149
387	136,103	1,0	86,121,78	0,0,0	630	149
388	141,112	10,8	156,123,120	3,0,1	589	149
390	801,623	1,0	1668,1428,1024	0,0,0	1304	149
391	888,665	4,7	1799,1519,1112	8,5,7	1437	149
392	1474,1029	3099,2354	3223,2806,1987	3494,2908,1848	3166	149
393	30,27	1294,937	67,40,38	1450,1157,797	242	149
395	20,16	134,104	74,61,42	175,165,107	2176	149
396	2,2	106,67	2,0,0	82,63,59	469	149
397	1397,1095	2,1	1306,1053,735	5,1,1	862	149
398	5,15	32,26	11,23,11	57,48,34	273	149
400	30,28	2,0	84,116,64	0,4,3	989	149
402	26,15	37,29	64,33,45	47,34,21	7915	149
403	37,16	243,186	24,20,16	227,280,160	1043	149
405	24,14	140,90	3,8,6	17,15,9	1121	149
406	14,7	93,71	14,6,1	12,17,16	363	149
412	11,9	4,3	16,6,11	10,3,5	934	149
413	11,9	1,0	16,7,14	0,0,0	964	149
417	313,235	25,11	487,356,230	30,37,25	2454	149
424	187,146	0,0	480,389,322	2,1,0	1081	149
425	175,140	2,1	453,364,281	10,3,4	1054	149
427	200,149	8,3	515,419,340	14,20,13	1141	149
428	188,143	150,82	488,394,299	212,172,184	1114	149
429	21,12	15,18	30,47,37	31,37,33	598	149
430	2,0	54,25	11,5,6	50,83,63	370	149
431	2,2	0,0	5,13,7	0,0,2	328	149
432	28,18	27,23	19,40,38	87,66,53	1116	149
433	69,43	2,0	126,141,138	2,0,4	1054	149
435	170,125	5,1	322,308,280	7,2,0	330	149
437	2,0	1,0	0,1,0	0,0,0	1021	149
439	122,104	0,0	170,192,125	1,0,0	1992	149
440	21,29	892,660	51,40,27	962,890,583	950	149
441	287,227	137,96	661,645,540	180,154,190	522	149
443	13,13	0,0	4,2,10	1,0,4	293	149
446	16,20	616,405	61,43,44	735,630,463	626	149
447	41,35	973,699	95,69,44	1192,971,656	745	149
448	111,70	4,9	195,136,143	6,8,6	653	149
449	56,23	779,662	112,98,107	1168,888,650	638	149
450	72,61	909,754	163,152,95	1419,972,730	1062	149
451	112,63	1238,847	48,42,46	1834,1682,1030	536	149
452	112,63	117,68	48,42,46	101,94,70	514	149
454	204,115	1,0	281,273,220	0,0,0	442	149
455	221,122	548,397	305,293,230	718,622,416	481	149
456	350,267	1,2	1224,1112,823	2,0,0	2589	149
457	10,16	612,488	26,24,22	870,740,543	261	149
458	19,12	952,490	29,24,22	1026,915,905	253	149
462	24,15	174,132	50,42,30	185,191,133	1623	149
466	2,3	360,309	9,13,12	279,243,162	623	149
467	19,10	44,37	17,24,17	54,55,24	600	149
469	15,9	2,0	9,21,13	0,0,0	502	149
470	14,6	58,31	8,1,5	38,43,29	765	149
471	5,6	1,0	8,4,11	3,1,3	1830	149
472	6,1	34,48	10,13,3	42,41,28	225	149
484	12,9	67,21	12,8,0	47,36,22	815	149
489	63,46	927,637	82,36,37	1126,988,600	627	149
490	945,696	747,521	1990,1687,1095	1106,903,634	1955	149
491	12,6	2,0	25,24,30	0,0,0	287	149
492	44,32	6,2	123,105,100	2,2,11	330	149
493	44,32	475,340	124,106,100	477,375,400	334	149
494	78,80	31,29	276,198,179	26,23,24	559	149
495	9,0	654,521	8,13,19	556,469,348	225	149
496	7,0	0,0	5,10,19	0,1,0	211	149
498	610,335	34,22	507,424,412	29,23,15	415	149
500	6,7	3,3	13,14,8	5,4,3	220	149
501	8,10	141,83	25,32,19	162,126,90	466	149
502	14,6	209,157	16,15,6	235,225,130	225	149
503	385,283	80,49	535,407,354	112,82,46	384	149
514	2,2	0,1	0,1,0	0,0,0	337	149
521	5,3	0,0	10,11,6	0,1,1	267	149
525	16,17	19,5	29,13,11	14,16,14	471	149
529	2,0	7,6	0,0,2	12,9,1	1369	149
533	0,5	1,3	4,0,0	0,0,0	1799	149
538	14,6	7,2	31,20,21	8,4,4	848	149
539	17,11	345,255	43,35,36	385,293,226	244	149
540	983,767	22,21	1045,980,674	20,14,11	264	149
541	1657,1272	75,48	1659,1544,1100	88,76,51	385	149
542	103,122	681,601	356,284,174	738,501,355	385	149
543	288,281	31,25	559,467,317	39,30,22	423	149
544	93,54	1187,903	230,168,124	1054,899,707	255	149
545	28,18	16,4	37,39,29	14,7,6	611	149
546	19,11	56,37	63,28,49	100,103,103	510	149
547	19,11	0,1	63,28,50	0,0,0	522	149
548	66,59	1186,942	93,84,51	1194,1048,798	278	149
549	99,50	1139,512	148,158,152	1526,1533,1487	234	149
550	323,159	6,3	555,521,529	0,4,6	258	149
551	76,59	2460,1686	158,116,90	4055,3559,2914	237	149
552	13,8	48,25	30,35,19	57,31,37	351	149
553	22,17	2,1	41,27,18	2,6,0	660	149
558	0,0	4,2	2,1,0	7,7,3	317	149
559	10,12	27,30	22,26,14	55,34,35	225	149
560	0,1	2,0	0,0,0	25,13,21	243	149
561	9,6	23,19	24,22,18	63,27,38	245	149
562	8,3	2,0	15,8,9	5,2,0	276	149
563	8,3	0,2	15,8,9	2,3,3	266	149
565	98,90	77,53	181,180,121	80,60,56	239	149
566	201,176	74,47	422,346,356	84,86,70	822	149
567	13,10	462,317	23,14,10	543,401,307	405	149
568	225,155	253,198	538,424,381	324,219,199	1617	149
569	0,1	46,29	11,4,5	74,65,65	253	149
570	3,2	52,38	22,27,24	124,113,134	235	149
575	66,53	270,134	89,58,34	73,72,65	965	149
577	0,2	7,0	4,17,2	4,9,7	229	149
578	44,28	14,6	206,183,124	48,26,31	718	149
580	2,1	21,29	15,4,8	73,68,64	246	149
581	3,1	0,0	16,10,9	5,8,3	410	149
582	1,1	7,1	2,9,3	18,10,12	225	149
583	36,25	259,186	159,164,140	413,347,241	236	149
585	2,1	43,16	0,2,0	61,52,40	272	149
587	3,2	0,0	1,4,2	0,0,1	366	149
588	0,0	32,22	1,2,0	59,61,66	287	149
589	90,53	340,242	144,118,105	355,322,232	1796	149
590	46,35	2,0	82,61,40	2,0,4	846	149
593	72,52	1038,800	128,135,107	1065,861,697	241	149
599	42,20	448,233	126,102,78	696,593,507	570	149
600	796,593	2,2	385,400,294	0,3,4	434	149
603	7,12	404,286	6,6,10	454,367,229	1626	149
604	11,8	8,3	23,28,25	4,4,3	258	149
605	248,214	2,0	441,315,246	0,0,0	879	149
606	288,189	1357,971	503,382,323	1562,1250,877	2488	149
609	44,30	2220,1640	80,58,54	2158,1924,1342	406	149
612	37,20	3,0	112,127,80	5,0,4	442	149
613	37,20	1,1	112,127,80	5,8,4	438	149
614	63,44	0,0	107,140,111	0,2,0	685	149
615	29,36	176,193	88,93,72	255,278,175	771	149
616	0,2	0,0	5,2,0	0,0,2	261	149
617	3,4	115,109	2,8,10	145,107,87	247	149
618	1,0	39,29	2,1,0	54,47,49	359	149
621	2,0	177,164	2,9,7	245,197,164	226	149
622	0,0	7,3	0,0,1	4,10,7	287	149
625	2,6	160,156	26,17,8	249,215,184	222	149
626	5,0	0,1	2,6,2	0,0,0	254	149
628	4,0	0,1	2,1,1	0,0,0	450	149
634	1,1	1,0	5,3,2	2,2,3	281	149
635	4,0	1,0	0,2,1	0,0,0	508	149
638	6,7	0,0	23,8,16	0,4,2	241	149
639	6,7	0,0	23,9,18	2,1,0	313	149
640	1,3	1,0	48,35,24	2,0,0	1768	149
645	11,14	599,467	22,14,17	519,343,274	255	149
646	13,8	1,1	29,23,18	1,0,1	788	149
648	13,10	9,1	30,24,18	3,1,6	1090	149
649	15,10	0,0	30,24,18	0,1,2	1101	149
650	15,10	0,0	30,25,18	10,0,0	1113	149
651	6,4	0,0	9,18,0	0,1,0	278	149
652	10,10	0,2	14,8,11	0,0,0	306	149
654	15,17	46,59	42,42,22	57,66,34	434	149
660	23,17	689,571	62,29,37	860,656,456	288	149
661	15,9	891,732	41,27,17	934,876,563	356	149
662	54,50	11008,8621	146,145,106	15846,12552,8833	252	149
663	141,105	9774,7459	247,212,151	13904,11196,8136	244	149
664	719,527	7181,5221	1453,1400,1031	10397,8865,6931	1994	149
665	1469,854	123,87	2531,2724,2391	144,162,121	2045	149
666	8,6	566,496	18,11,9	733,575,409	242	149
667	4,5	356,257	11,9,3	432,323,259	247	149
669	7,1	2,0	8,5,3	0,2,0	367	149
670	7,0	13,3	7,2,2	5,5,5	351	149
671	51,33	817,376	86,65,61	914,870,894	425	149
672	27,18	1981,1381	28,26,16	1762,1671,1272	235	149
674	1,1	8,0	0,3,2	5,2,0	471	149
677	12,5	261,175	18,22,11	289,256,221	224	149
678	5,3	256,176	7,6,5	314,277,212	225	149
679	0,3	30,21	2,6,7	38,21,18	355	149
680	9,4	0,1	17,18,18	0,0,0	318	149
681	0,1	0,0	9,10,2	0,1,0	577	149
685	18,16	47,29	16,5,9	51,56,42	452	149
686	16,8	0,0	10,5,8	2,0,0	369	149
687	33,21	0,0	84,40,40	6,0,4	474	149
688	2,3	0,0	7,2,1	0,1,0	250	149
689	2,3	6,13	8,6,2	13,5,6	291	149
690	744,540	1,0	1223,961,685	2,1,0	674	149
691	755,517	2,3	1153,964,725	4,3,2	743	149
692	743,512	0,0	1130,949,703	0,2,2	734	149
693	1861,1279	1,1	2883,2283,1655	0,1,0	1258	149
694	10,12	1,0	23,13,16	0,4,0	383	149
695	66,43	526,493	109,112,74	908,721,585	395	149
696	10,6	8,4	10,14,15	18,5,9	341	149
697	14,10	198,123	16,20,25	220,236,158	390	149
698	13,5	30,15	86,47,59	70,47,54	495	149
699	24,14	2,1	125,70,83	23,10,9	845	149
700	12,9	65,32	40,26,29	122,120,89	388	149
702	41,12	0,0	112,83,68	4,0,0	347	149
703	111,67	0,0	398,269,269	1,2,4	1568	149
704	91,54	93,79	285,202,191	154,97,83	734	149
