ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	19,8,6	2,0,0	16,12,4	0,2,6	245	149
15	14,16,11	1,0,1	25,18,17	0,0,0	298	149
16	12,16,11	1,0,2	27,18,19	2,3,1	298	149
20	9,13,10	2,1,0	23,20,19	0,1,2	298	149
21	4,13,17	19,15,11	11,8,12	34,23,22	298	149
54	1,0,0	0,0,2	0,0,1	0,3,1	298	149
55	49,71,42	5,7,16	71,78,59	6,6,7	246	149
56	73,118,83	602,691,474	128,123,94	863,702,517	296	149
57	424,471,349	1389,1597,1218	573,452,460	2053,1510,1173	298	149
58	382,445,350	0,0,0	561,424,429	0,2,0	298	149
59	302,301,249	1056,1247,863	369,336,317	1522,1158,1025	298	149
61	62,72,54	681,809,645	84,59,61	1124,933,660	298	149
62	50,68,47	0,0,0	69,53,39	3,1,0	298	149
63	74,64,59	668,746,597	66,84,74	1118,868,565	298	149
65	0,0,4	0,0,0	2,2,0	2,0,0	298	149
77	60,55,40	1,1,0	55,55,38	0,1,0	204	149
78	3,0,2	0,6,0	0,6,7	0,0,2	298	149
80	48,39,42	5,4,4	50,41,26	11,6,2	260	149
82	1,2,1	2,10,3	3,0,1	8,4,3	298	149
83	8,10,7	14,8,14	23,16,10	14,20,8	298	149
96	11,13,3	1,0,1	7,13,11	0,4,0	298	149
97	2,3,1	86,76,83	5,4,2	101,91,63	267	149
100	4,3,1	46,65,64	4,5,5	107,61,46	258	149
101	60,88,67	1,1,4	118,94,70	0,2,0	283	149
102	110,94,64	8,4,1	142,92,66	2,5,5	298	149
103	6,8,9	2,4,2	16,5,2	0,0,2	298	149
104	3,3,0	1,1,3	10,6,0	6,2,4	241	149
105	336,395,300	8511,8688,7481	448,358,264	11814,9806,6869	298	149
116	343,299,292	201,200,163	469,381,286	258,226,158	298	149
117	304,288,259	1,0,0	409,338,258	0,0,0	298	149
118	6,6,3	0,1,4	6,8,4	0,0,0	298	149
119	5,5,0	0,1,0	1,0,0	0,1,0	298	149
124	9,11,14	28,25,24	21,27,16	36,21,16	298	149
128	0,2,2	0,3,1	0,0,2	3,4,4	298	149
129	34,24,9	68,61,67	51,28,17	85,60,58	298	149
134	72,60,80	1301,1630,1214	93,59,52	1823,1527,1121	298	149
135	58,43,46	24,15,5	62,44,31	19,17,10	298	149
136	75,105,76	292,334,256	115,100,62	363,306,252	275	149
137	0,1,1	326,378,310	1,0,0	433,358,290	280	149
138	42,35,27	57,93,70	33,28,32	85,76,44	281	149
145	12,6,1	6,14,2	15,4,10	8,9,10	222	149
146	16,10,4	2,0,7	22,6,15	7,0,1	267	149
147	187,197,179	11,14,6	219,190,171	20,8,10	298	149
148	159,176,169	171,236,156	186,167,155	281,221,187	298	149
149	201,238,204	0,0,0	296,240,186	0,2,0	298	149
150	84,100,97	235,293,229	130,87,88	318,268,238	278	149
151	59,71,56	0,0,0	70,71,53	1,0,0	298	149
152	52,54,37	246,257,206	56,49,44	339,280,196	298	149
153	21,26,29	16,6,7	22,21,19	20,17,13	298	149
154	8,14,13	205,224,165	14,9,12	266,239,169	287	149
155	34,59,38	624,734,467	52,37,50	930,840,670	235	149
156	35,31,28	1,3,0	39,46,41	1,0,2	298	149
157	25,19,28	179,233,121	43,25,27	302,241,158	298	149
158	18,10,22	394,427,322	33,26,22	511,437,358	252	149
159	77,99,69	151,159,114	131,104,97	172,155,126	298	149
162	1,2,0	0,0,0	3,0,0	0,1,0	298	149
165	30,16,10	4,4,3	16,16,13	6,8,4	298	149
166	24,15,9	1690,1516,1302	17,10,11	2224,1763,1275	298	149
167	14,6,7	0,2,4	11,10,4	0,0,3	272	149
168	54,32,26	29,26,32	35,33,25	46,50,43	298	149
169	69,74,55	1558,1476,1231	90,85,46	1942,1662,1170	298	149
170	41,43,43	1349,1270,1144	51,45,44	1831,1446,1023	232	149
171	21,26,21	901,840,665	37,14,25	1220,962,732	298	149
172	89,83,95	0,0,2	128,98,73	4,1,5	298	149
173	83,80,95	1258,1276,1020	129,104,72	1756,1485,1039	298	149
174	13,15,12	1348,1401,1200	23,11,15	1934,1597,1036	228	149
175	19,26,15	0,0,1	24,25,12	0,0,1	232	149
176	19,26,15	1157,1096,1005	24,25,12	1501,1312,828	243	149
177	13,12,9	654,677,543	19,14,19	948,729,573	298	149
178	35,38,35	259,277,264	53,37,45	359,305,250	298	149
179	35,42,31	748,792,659	47,31,28	1077,909,748	298	149
181	7,4,3	57,78,43	8,3,3	74,58,68	298	149
185	1,7,1	35,36,43	21,3,6	62,30,37	298	149
186	1,7,1	0,1,1	22,3,6	1,1,1	298	149
189	0,0,2	15,13,18	0,2,3	5,11,9	298	149
190	87,63,49	1872,1861,1514	128,96,73	2387,2097,1376	298	149
192	17,18,15	151,130,105	16,15,11	196,132,139	298	149
193	12,5,3	186,161,165	3,5,2	217,233,122	298	149
194	32,16,14	1,1,4	19,18,15	1,2,3	298	149
195	30,24,18	177,166,144	28,23,15	230,228,126	298	149
196	4,15,11	107,118,74	13,8,4	159,109,86	298	149
197	14,16,5	73,90,78	20,11,12	125,90,81	298	149
198	21,27,22	52,82,59	29,19,34	98,78,48	298	149
199	8,5,10	5,2,4	9,5,11	7,4,5	291	149
201	3,4,10	2,4,2	6,4,8	2,4,6	272	149
202	26,39,49	39,38,28	56,33,34	49,47,34	230	149
203	76,75,77	15,13,18	90,51,67	10,13,8	298	149
204	66,80,53	53,51,39	92,46,58	53,51,44	298	149
205	25,10,4	154,149,113	25,14,13	158,101,108	266	149
206	153,203,135	1,2,0	293,235,153	7,3,0	269	149
207	53,54,33	7,9,5	48,38,26	5,8,5	229	149
208	23,15,20	2,9,1	24,13,5	12,6,1	298	149
209	146,112,94	248,253,222	151,104,91	350,256,191	298	149
210	151,111,91	4,7,2	156,109,93	1,0,2	298	149
212	112,87,92	192,234,155	123,106,88	284,261,215	298	149
216	17,24,15	0,0,0	22,26,23	3,0,0	264	149
219	10,1,4	5,4,4	5,20,10	6,2,0	242	149
221	10,1,4	10,4,2	5,20,10	10,5,3	245	149
