ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
36	0,0,0	2,2,0	2,0,0	3,3,0	193	149
37	0,0,0	2,2,0	0,0,1	3,3,0	298	149
39	2,1,0	0,0,0	3,4,0	2,0,0	258	149
40	0,2,0	0,0,0	0,0,0	0,2,0	296	149
79	0,0,0	0,0,1	1,0,0	0,0,0	298	149
80	1,0,0	0,0,0	0,0,0	1,0,0	235	149
84	2,0,0	0,0,0	0,0,0	1,0,0	246	149
103	0,0,0	0,2,0	1,0,0	2,0,0	209	149
119	0,0,1	0,2,0	5,0,2	0,0,0	298	149
121	0,0,1	0,2,0	5,0,2	0,0,0	298	149
122	0,0,1	0,2,0	5,0,2	0,0,0	298	149
124	0,0,1	0,2,0	5,0,2	0,0,0	298	149
126	0,0,1	0,2,0	5,0,2	0,0,0	298	149
137	0,0,2	2,1,0	0,0,0	0,1,2	298	149
147	28,28,18	0,0,0	52,32,41	0,2,0	298	149
148	10,16,8	0,0,0	22,11,21	2,0,0	298	149
149	9,14,7	0,1,0	20,11,20	0,0,0	298	149
150	19,18,16	10,4,7	37,25,30	17,7,1	298	149
153	0,1,1	10,5,9	3,0,0	19,16,11	203	149
154	7,6,10	0,1,0	7,3,2	0,0,0	298	149
156	27,37,45	10,4,7	59,50,18	17,7,1	298	149
157	8,9,11	0,1,0	9,5,4	2,2,1	298	149
158	28,40,46	10,5,9	61,52,20	19,16,11	298	149
160	0,0,0	27,37,45	4,0,0	57,50,18	257	149
165	20,15,25	10,4,7	12,11,10	17,7,1	298	149
166	20,15,25	10,5,9	14,13,11	19,16,11	298	149
167	7,6,10	0,2,0	5,3,3	0,0,0	298	149
168	7,6,10	4,2,1	5,3,2	5,3,2	298	149
169	27,20,35	27,37,45	17,14,12	57,50,18	298	149
171	3,2,1	4,2,1	1,3,4	5,3,2	298	149
172	2,4,0	27,37,45	4,4,5	57,50,18	298	149
174	2,2,0	20,14,25	4,4,6	12,11,10	298	149
180	1,0,0	10,4,7	1,0,1	17,7,1	209	149
181	5,2,1	27,37,45	6,3,3	57,50,18	209	149
183	1,0,0	20,14,25	1,0,1	12,11,10	209	149
185	4,0,1	2,2,0	2,3,5	4,4,5	209	149
186	0,2,0	27,37,45	2,0,0	57,50,18	298	149
187	0,2,2	27,37,45	2,0,0	57,50,18	298	149
222	16,15,13	0,2,0	11,16,11	0,0,2	297	149
224	17,16,13	0,2,0	11,16,11	0,0,2	279	149
226	15,15,13	0,2,0	11,16,11	0,0,2	275	149
228	0,0,0	0,2,0	1,0,1	0,0,2	184	149
229	25,27,19	0,2,0	28,25,27	0,0,2	252	149
234	16,19,16	0,2,0	12,18,12	0,0,2	241	149
255	2,3,2	4,2,1	1,0,2	4,0,1	298	149
256	2,3,2	0,0,0	1,0,2	2,0,0	298	149
274	2,2,1	0,0,0	2,0,1	2,0,0	225	149
283	2,2,1	0,0,0	2,0,1	2,0,0	236	149
317	0,0,0	0,1,0	0,1,0	0,0,0	209	149
326	1,0,2	0,0,0	2,0,0	0,1,0	184	149
329	0,0,1	0,0,0	0,0,0	0,1,0	211	149
531	64,62,28	0,1,2	86,62,32	3,2,0	288	149
532	104,89,51	0,0,0	125,114,63	2,0,0	298	149
533	98,89,90	0,0,1	142,153,80	0,0,0	269	149
534	147,136,136	1,2,0	192,206,113	0,0,0	298	149
535	10,4,4	0,6,5	13,4,6	8,3,1	298	149
537	0,4,2	3,3,0	6,6,0	0,2,2	298	149
538	236,248,153	0,0,2	386,296,262	0,0,0	298	149
539	0,0,2	0,0,2	0,0,0	0,0,4	206	149
540	0,0,2	3,0,7	0,0,4	2,2,9	298	149
542	43,64,46	17,17,18	99,70,53	29,24,19	200	149
543	29,45,34	17,17,18	77,48,31	29,24,19	221	149
544	18,26,19	0,0,0	43,39,42	1,0,0	208	149
545	4,2,2	0,1,0	13,8,19	0,0,0	208	149
549	66,73,50	1,4,0	112,105,72	0,0,0	173	149
550	47,60,65	68,83,51	81,70,38	116,124,76	247	149
551	14,23,12	68,83,51	31,28,17	116,124,76	267	149
552	130,171,115	3,4,2	223,228,143	6,4,11	263	149
553	839,996,726	0,0,0	1345,1225,856	0,1,0	249	149
554	883,1030,717	0,2,0	1329,1119,809	0,0,0	226	149
555	0,0,0	271,348,202	2,0,0	455,329,272	298	149
556	781,898,679	0,1,0	1019,920,729	1,0,0	284	149
557	0,0,2	428,470,365	0,0,0	500,480,402	237	149
558	771,895,688	0,0,0	1111,950,693	0,1,0	281	149
559	923,1073,948	0,5,3	1428,1166,856	0,5,6	294	149
561	2364,2750,2029	0,0,0	3486,2596,2135	0,2,0	282	149
562	2282,2618,1865	0,0,1	3313,2663,2161	0,0,1	265	149
563	2664,3010,2315	8,11,11	3882,3171,2352	14,16,10	272	149
564	3297,3792,2800	3,8,10	5053,3871,3135	12,12,13	298	149
565	2943,3490,2596	0,0,0	4611,3544,2781	0,2,0	278	149
566	903,960,777	8,12,16	1533,1286,1229	31,25,11	245	149
567	880,1063,785	344,369,275	1549,1323,1065	513,459,421	173	149
568	725,778,518	0,0,0	1069,889,805	0,0,2	298	149
569	2384,2338,1977	0,0,0	2969,2528,1865	0,0,2	267	149
570	1427,1455,1157	0,0,0	2304,1724,1699	3,0,0	298	149
571	956,1185,878	2,0,0	1687,1296,1085	0,0,1	287	149
572	816,993,748	1,3,1	1419,1062,883	2,2,2	287	149
574	623,566,498	28,42,27	1041,700,592	59,46,40	298	149
575	623,566,498	1,3,1	1041,700,593	2,2,2	298	149
576	789,800,655	28,42,27	1368,980,834	59,46,40	298	149
577	839,932,773	0,0,0	1436,1139,1041	0,2,0	247	149
579	866,985,793	0,0,0	1439,1142,755	3,1,0	194	149
580	757,740,529	2,0,4	1019,877,619	1,3,2	208	149
581	124,114,89	2,0,4	158,152,101	1,3,2	190	149
582	0,1,0	1,3,4	0,0,0	6,2,3	164	149
590	367,431,360	6,4,1	628,525,374	6,12,10	210	149
591	680,1002,658	4,10,10	1136,868,678	11,9,6	296	149
592	261,324,239	2,0,0	369,303,260	0,1,0	252	149
593	749,968,678	1,2,1	1065,950,752	2,0,4	283	149
594	2,3,2	751,838,627	2,0,0	1220,961,694	236	149
595	110,131,101	0,2,0	164,135,114	2,0,3	161	149
596	1051,1258,884	0,0,0	1469,1203,923	0,2,0	298	149
597	396,454,264	2,0,0	524,428,357	1,0,1	282	149
598	902,1012,646	6,1,1	1281,1014,807	1,0,0	284	149
599	595,613,423	0,2,2	746,632,533	0,1,2	287	149
601	117,126,93	1,0,1	186,170,125	5,0,0	298	149
602	93,109,83	1,0,0	164,147,102	0,1,0	298	149
606	2,1,2	33,46,37	1,0,0	81,42,28	298	149
607	53,40,35	1,0,0	73,64,64	0,0,0	273	149
608	137,154,103	6,4,5	193,201,148	5,3,13	215	149
609	176,180,133	0,2,0	298,222,188	0,2,0	239	149
610	91,121,73	8,8,5	158,105,102	5,10,9	233	149
611	66,89,54	2,0,1	116,75,84	4,0,0	233	149
612	78,96,75	2,4,0	127,95,91	3,1,3	233	149
613	88,91,68	0,0,0	147,79,83	1,2,0	233	149
614	66,76,42	23,39,29	88,75,63	38,41,40	239	149
615	37,49,29	33,34,23	72,49,31	59,26,32	239	149
616	36,53,34	0,0,0	50,52,62	1,2,0	236	149
617	57,88,63	33,34,23	85,92,99	59,26,32	236	149
618	75,88,57	12,12,10	94,93,102	30,16,11	236	149
619	170,219,132	8,12,3	277,209,188	11,10,6	248	149
620	30,20,13	117,150,82	37,21,21	169,139,104	245	149
621	181,214,118	0,0,0	256,201,166	1,2,0	239	149
623	237,193,163	0,0,0	275,285,205	3,1,4	298	149
624	95,67,62	0,0,0	109,107,84	3,1,4	298	149
625	217,197,170	0,0,0	261,290,170	1,0,0	260	149
626	113,107,80	0,0,0	147,148,100	0,1,0	260	149
627	67,93,75	0,0,0	99,109,63	0,1,0	230	149
628	171,184,165	0,0,0	214,251,136	0,0,2	230	149
645	1,0,1	10,9,5	0,1,0	8,3,3	185	149
646	8,5,1	1,2,0	11,7,8	0,0,0	231	149
647	12,11,12	0,2,7	15,9,10	3,2,0	231	149
648	0,0,2	2,4,5	0,0,0	0,4,2	259	149
649	9,8,8	0,2,7	9,7,6	3,2,0	295	149
650	9,8,10	7,11,16	19,16,12	14,15,11	295	149
651	16,10,23	0,1,1	27,14,20	0,2,0	298	149
652	21,25,40	4,7,4	42,23,28	6,10,2	298	149
653	211,229,188	0,0,2	302,246,198	5,1,2	298	149
654	255,255,241	0,1,1	323,275,198	4,0,1	298	149
655	31,44,26	4,9,8	49,35,30	10,12,4	298	149
656	27,49,28	4,9,8	56,34,41	10,12,4	282	149
657	7,6,3	0,2,7	1,1,1	3,2,0	189	149
658	36,15,24	87,117,96	22,29,9	146,106,84	279	149
659	0,2,0	113,111,111	1,5,0	152,145,95	275	149
660	4,17,13	94,57,62	11,19,10	101,78,68	252	149
661	192,135,149	0,3,0	243,186,144	3,0,0	298	149
662	42,33,31	2,0,2	64,65,35	0,0,0	292	149
693	0,1,0	29,36,24	0,0,0	35,31,19	215	149
694	22,24,21	0,2,0	46,33,22	0,0,0	209	149
695	48,41,36	0,1,0	78,61,44	0,0,0	295	149
696	51,49,44	1,0,0	81,70,45	0,1,0	252	149
697	57,53,53	0,0,0	82,55,38	2,0,0	298	149
698	53,60,51	0,0,0	132,85,60	1,6,2	298	149
699	21,19,13	0,0,0	33,29,18	0,1,0	253	149
700	63,46,35	2,3,5	63,44,57	4,4,0	221	149
701	55,46,47	2,2,0	73,85,47	0,0,2	257	149
713	4,2,6	0,1,0	8,4,2	0,0,0	170	149
731	308,268,189	1,0,0	341,296,182	1,4,2	226	149
732	0,1,0	0,0,0	0,1,0	1,2,0	240	149
740	7,12,6	0,6,5	15,7,5	4,0,5	236	149
741	0,6,4	25,31,37	4,0,5	52,48,35	182	149
755	5,0,2	0,0,1	2,2,3	0,0,0	271	149
756	1,0,1	0,0,0	1,3,3	0,1,0	251	149
