ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	17,15,9	1,0,0	22,6,4	0,0,0	759	149
8	0,1,0	0,0,0	2,4,0	0,2,0	153	149
19	0,0,1	0,2,0	7,0,2	0,0,0	749	149
31	0,0,0	43,35,41	0,2,0	55,45,33	153	149
33	43,35,41	0,0,0	55,45,33	4,0,0	153	149
80	10,2,2	3,0,7	8,6,6	2,2,9	205	149
83	1861,2076,1639	0,0,0	2708,2078,1672	0,2,0	821	149
84	9,2,6	168,234,157	10,9,0	327,280,242	428	149
85	701,830,668	0,0,0	1137,957,677	3,1,0	394	149
86	654,639,456	12,6,8	888,750,542	15,14,7	167	149
88	33,46,37	11,7,3	81,42,28	10,13,7	153	149
89	0,1,4	142,126,101	4,1,0	166,178,121	190	149
93	19,22,22	48,63,40	40,25,29	67,80,40	168	149
94	45,28,18	1,6,2	33,48,21	11,7,11	555	149
105	46,42,41	227,219,173	63,21,34	237,218,174	681	149
106	1,0,1	115,95,78	0,0,0	127,118,61	153	149
107	7,8,4	21,21,26	8,15,3	45,39,31	274	149
108	72,94,68	2,1,2	110,128,66	3,6,1	208	149
109	16,18,18	2,1,2	39,44,22	3,6,1	214	149
110	0,0,0	56,76,50	2,1,2	73,85,46	155	149
114	21,19,17	45,56,38	13,20,13	75,72,58	161	149
115	4,12,5	667,615,590	15,11,4	1009,806,554	159	149
119	2,1,2	7,11,14	2,2,2	18,13,10	155	149
120	6,0,4	1,0,0	5,7,5	6,3,1	265	149
135	2,0,1	5,7,8	5,1,0	14,7,7	166	149
145	470,448,461	201,200,163	701,551,369	258,226,158	551	149
146	16,9,16	0,0,2	31,25,11	0,1,1	156	149
147	4209,4041,3530	0,1,0	5507,4798,3156	0,0,0	3537	149
148	8,12,3	4,3,0	8,4,2	0,0,0	848	149
153	3,7,5	0,0,1	3,4,4	0,0,0	432	149
158	330,349,246	1,3,3	409,335,250	6,5,3	780	149
160	1468,1603,1373	0,0,2	2067,1547,1224	0,0,0	317	149
161	398,472,369	142,175,151	643,444,403	272,169,156	194	149
162	361,423,284	12,12,15	607,482,343	20,27,8	176	149
163	167,246,133	222,234,174	245,199,139	254,242,232	158	149
169	11,10,9	10,9,13	15,15,1	8,17,11	408	149
171	21,13,6	2,4,2	29,12,18	4,4,2	450	149
172	24,25,39	8,33,13	38,36,16	29,26,19	195	149
173	79,92,103	8,33,13	131,115,92	29,26,19	208	149
175	52,83,43	4,9,9	77,80,57	3,5,5	185	149
