ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10	1,0,2	2,1,0	4,2,4	0,3,6	337	237
11	1,0,2	3,2,4	4,2,4	2,7,6	337	411
12	19,22,21	22,20,21	35,24,27	37,29,26	376	372
13	10,20,13	22,20,21	20,10,18	42,32,26	376	380
14	19,22,21	32,24,28	35,24,27	57,39,27	376	380
16	45,69,61	28,35,28	84,76,31	53,31,46	378	376
17	27,26,28	28,35,28	17,15,11	53,31,46	352	376
18	1,0,0	28,35,28	1,0,1	53,31,46	209	376
21	27,26,28	0,1,1	19,17,12	3,0,0	352	203
22	27,26,28	45,69,61	17,15,11	84,76,31	352	378
23	1,0,0	45,69,61	1,0,1	84,76,31	209	378
24	27,26,28	46,72,62	19,17,12	86,78,33	352	378
34	1,0,0	27,26,28	1,0,1	17,15,11	209	352
35	5,2,1	34,31,38	6,3,3	22,18,13	209	352
37	22,17,12	34,31,38	12,15,20	22,18,13	671	352
38	0,2,2	34,31,38	2,1,0	22,18,13	420	352
41	0,2,2	22,17,12	2,1,0	12,15,20	420	671
57	2,3,3	2,2,1	1,0,2	2,0,1	362	225
58	2,3,3	2,2,1	1,0,2	2,0,1	362	236
59	2,3,3	2,2,1	1,0,2	2,0,1	362	225
60	2,3,3	0,0,0	1,0,2	1,0,0	362	229
63	2,2,1	0,0,0	2,0,1	1,0,0	225	229
89	91,87,67	11,9,7	123,133,78	19,14,10	386	288
90	49,53,63	95,103,61	93,87,39	139,113,59	269	386
91	20,19,18	28,40,27	34,29,33	62,35,25	208	200
92	20,19,18	28,46,32	34,29,33	69,45,26	208	221
93	12,11,7	9,24,14	27,29,17	30,16,27	173	273
94	69,97,68	4,3,0	115,108,69	5,5,11	263	173
95	1234,1379,1009	1312,1505,1167	1803,1517,1140	1965,1438,1112	265	282
96	1353,1683,1291	2086,2437,1765	2214,1741,1376	3159,2490,2024	278	323
97	638,573,502	816,993,748	1051,703,604	1419,1062,883	350	287
99	88,91,68	36,53,34	147,79,83	50,52,62	233	236
100	37,49,29	57,88,63	72,49,31	85,92,99	239	236
101	146,106,101	78,71,69	188,154,122	98,113,53	347	260
102	113,107,80	67,93,75	147,148,100	99,109,63	260	230
107	39,42,33	55,49,53	97,73,44	61,70,35	331	413
108	75,51,51	55,59,33	71,63,75	62,64,50	356	383
109	2,0,0	14,47,30	0,0,1	76,56,26	676	293
110	0,0,0	0,0,1	0,0,1	0,0,1	676	240
113	72,64,46	162,145,101	63,73,56	184,162,128	242	305
114	120,105,99	102,93,55	157,117,72	110,111,83	316	242
115	94,82,83	163,146,93	134,88,74	169,139,102	283	316
116	36,33,27	165,147,93	37,38,14	169,140,103	201	316
117	57,61,32	162,145,93	64,79,39	168,140,102	241	316
119	39,40,39	145,174,118	47,42,27	216,160,144	191	288
120	0,2,0	0,0,0	0,0,1	0,1,0	268	531
122	1,2,0	4,2,13	0,0,1	7,11,7	260	233
123	7,17,11	20,18,9	8,10,18	19,13,13	258	250
124	20,9,18	22,20,25	34,25,13	22,19,17	306	270
125	6,7,13	19,30,22	14,9,4	23,14,15	205	386
128	118,152,121	1076,1030,896	187,149,111	1420,1114,799	198	271
131	50,51,36	54,33,39	41,51,31	41,36,23	284	233
134	19,15,9	17,13,11	13,12,6	34,8,15	187	292
135	7,2,3	22,33,28	3,4,5	38,41,28	179	203
136	0,0,0	22,33,28	1,0,0	38,41,28	200	203
137	5,7,1	24,18,10	8,11,3	32,25,15	179	200
138	0,2,0	80,83,74	0,0,0	102,93,60	239	240
139	102,107,70	126,122,102	122,102,83	162,128,90	239	213
140	327,302,214	178,144,105	411,355,228	202,159,117	290	239
141	2,0,0	2,5,3	10,5,10	1,2,8	245	194
142	69,56,42	91,77,64	78,81,46	118,126,88	215	209
143	350,355,285	142,131,113	475,419,332	193,114,117	600	293
144	44,39,42	51,60,49	51,41,28	93,63,33	228	271
145	63,65,62	7,5,4	82,53,46	7,4,4	525	220
146	63,65,62	5,5,2	82,53,46	6,3,2	525	216
147	63,65,62	16,8,10	82,53,46	14,21,12	525	247
148	57,57,65	2,0,0	82,54,42	4,2,3	525	220
149	57,57,65	1,1,0	82,54,42	3,3,2	525	216
150	57,57,65	7,5,6	82,54,42	5,15,5	525	247
151	57,57,65	94,122,82	82,54,42	154,121,83	525	271
152	57,57,65	42,53,43	82,54,42	80,50,30	525	247
153	56,57,64	1,1,0	79,52,42	3,2,1	525	216
154	56,57,64	41,59,31	79,52,42	59,55,48	525	271
155	56,57,64	5,3,5	79,52,42	0,2,5	525	226
156	56,59,64	45,61,32	79,52,42	62,60,48	525	271
157	56,59,64	8,10,7	79,52,42	7,5,6	525	226
158	7,5,4	16,8,10	7,4,4	14,21,12	220	247
