ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12	19,8,6	2,0,0	16,12,4	0,2,6	245	149
15	38,32,30	1,0,1	64,42,41	0,0,0	963	149
16	34,31,30	1,0,2	61,40,41	2,3,1	934	149
20	25,26,25	2,1,0	55,36,39	0,1,2	819	149
21	32,27,33	19,15,11	41,32,33	34,23,22	762	149
54	2,0,0	0,0,2	0,0,1	0,3,1	1174	149
55	49,71,42	5,7,16	71,78,59	6,6,7	246	149
56	73,118,83	602,691,474	128,123,94	863,702,517	296	149
57	1200,1586,1088	1389,1597,1218	1762,1500,1279	2053,1510,1173	850	149
58	1668,2063,1509	0,0,0	2416,2068,1777	0,2,0	1522	149
59	496,510,429	1056,1247,863	673,593,519	1522,1158,1025	688	149
61	245,261,251	681,809,645	341,292,224	1124,933,660	1372	149
62	260,279,270	0,0,0	350,314,231	3,1,0	1617	149
63	75,64,59	668,746,597	66,84,74	1118,868,565	349	149
65	0,4,4	0,0,0	2,2,0	2,0,0	1374	149
77	60,55,40	1,1,0	55,55,38	0,1,0	204	149
78	13,20,12	0,6,0	6,30,15	0,0,2	1827	149
80	48,39,42	5,4,4	50,41,26	11,6,2	260	149
82	5,6,3	2,10,3	6,6,1	8,4,3	1220	149
83	10,11,7	14,8,14	26,17,12	14,20,8	344	149
96	40,19,23	1,0,1	26,34,23	0,4,0	750	149
97	2,3,1	86,76,83	5,4,2	101,91,63	267	149
100	4,3,1	46,65,64	4,5,5	107,61,46	258	149
101	60,88,67	1,1,4	118,94,70	0,2,0	283	149
102	163,177,120	8,4,1	243,178,128	2,5,5	659	149
103	14,18,17	2,4,2	19,19,11	0,0,2	888	149
104	3,3,0	1,1,3	10,6,0	6,2,4	241	149
105	609,703,528	8511,8688,7481	801,689,480	11814,9806,6869	1229	149
116	3823,3679,3192	201,200,163	5066,4423,2865	258,226,158	3420	149
117	3354,3231,2731	1,0,0	4365,3872,2496	0,0,0	3018	149
118	8,12,4	0,1,4	10,11,5	0,0,0	584	149
119	6,6,1	0,1,0	5,2,1	0,1,0	788	149
124	10,11,14	28,25,24	23,29,17	36,21,16	316	149
128	0,2,2	0,3,1	0,0,2	3,4,4	876	149
129	275,216,216	68,61,67	299,295,163	85,60,58	3782	149
134	81,67,90	1301,1630,1214	113,68,64	1823,1527,1121	352	149
135	99,78,96	24,15,5	112,77,64	19,17,10	528	149
136	75,105,76	292,334,256	115,100,62	363,306,252	275	149
137	0,1,1	326,378,310	1,0,0	433,358,290	280	149
138	42,35,27	57,93,70	33,28,32	85,76,44	281	149
145	12,6,1	6,14,2	15,4,10	8,9,10	222	149
146	16,10,4	2,0,7	22,6,15	7,0,1	267	149
147	602,648,506	11,14,6	728,607,514	20,8,10	875	149
148	568,619,490	171,236,156	692,583,493	281,221,187	857	149
149	436,484,364	0,0,0	561,475,382	0,2,0	553	149
150	84,100,97	235,293,229	130,87,88	318,268,238	278	149
151	77,112,101	0,0,0	100,112,74	1,0,0	447	149
152	258,342,256	246,257,206	310,300,199	339,280,196	1561	149
153	103,124,109	16,6,7	147,102,84	20,17,13	2029	149
154	8,14,13	205,224,165	14,9,12	266,239,169	287	149
155	34,59,38	624,734,467	52,37,50	930,840,670	235	149
156	57,55,43	1,3,0	69,75,69	1,0,2	492	149
157	39,35,40	179,233,121	60,41,32	302,241,158	429	149
158	18,10,22	394,427,322	33,26,22	511,437,358	252	149
159	82,104,70	151,159,114	137,106,101	172,155,126	340	149
162	1,5,0	0,0,0	7,4,7	0,1,0	674	149
163	0,1,1	7,0,0	0,0,0	1,0,3	4549	149
165	40,18,14	4,4,3	21,18,16	6,8,4	374	149
166	182,134,123	1690,1516,1302	177,148,112	2224,1763,1275	1719	149
167	14,6,7	0,2,4	11,10,4	0,0,3	272	149
168	212,152,140	29,26,32	195,171,126	46,50,43	1722	149
169	111,116,84	1558,1476,1231	148,121,83	1942,1662,1170	1027	149
170	41,43,43	1349,1270,1144	51,45,44	1831,1446,1023	232	149
171	24,35,22	901,840,665	44,31,34	1220,962,732	534	149
172	98,107,110	0,0,2	149,122,91	4,1,5	827	149
173	86,81,101	1258,1276,1020	131,105,74	1756,1485,1039	356	149
174	13,15,12	1348,1401,1200	23,11,15	1934,1597,1036	228	149
175	19,26,15	0,0,1	24,25,12	0,0,1	232	149
176	19,26,15	1157,1096,1005	24,25,12	1501,1312,828	243	149
177	21,14,12	654,677,543	26,18,22	948,729,573	448	149
178	43,40,38	259,277,264	61,41,48	359,305,250	451	149
179	38,50,32	748,792,659	51,34,32	1077,909,748	337	149
181	16,5,3	57,78,43	9,12,7	74,58,68	600	149
185	4,21,6	35,36,43	32,15,8	62,30,37	764	149
