ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
37	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	292137	292284	291466	291575	322697	322792	37	0,0	0,2	0,1	0,0	296	149	1	1.0	NA,0.0	NA,1.0	-1.0
129	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39162	38783	39019	39873	40028	129	0,0	3,0	2,0	0,0	196	149	1	1.0	0.0,NA	1.0,NA	-1.0
131	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	38783	39019	39873	40028	131	4,0	3,0	13,2	0,0	237	149	1	1.0	0.456,NA	1.0,1.0	-0.544
132	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	38789	39019	39873	40028	132	4,14	3,0	7,9	0,0	411	149	0.026749748297	0.26483926400769064	0.326,1.0	1.0,1.0	-0.337
133	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	38789	39019	39873	40028	133	3,6	3,0	4,3	0,0	337	149	0.0242031450491	0.24816273649354278	0.307,1.0	1.0,1.0	-0.347
134	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	134	3,6	4,0	4,3	10,4	337	149	0.0602045680887	0.4602105369799485	0.249,1.0	0.15,0.249	0.425
142	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	28352	28387	95173	95220	142	7,6	0,1	12,9	0,0	380	149	1	1.0	1.0,0.702	1.0,1.0	-0.149
144	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	47913	47967	144	20,32	2,4	34,19	0,0	376	149	0.000298706052747	0.010992712803026338	0.798,0.76	1.0,1.0	-0.221
145	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019	145	18,30	0,0	36,19	0,2	376	149	0.759974761827	1.0	1.0,1.0	1.0,0.79	0.105
146	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	146	27,41	4,4	49,28	11,6	376	149	0.13705314145	0.7874771197029143	0.728,0.802	0.638,0.649	0.122
148	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	40641	40872	95173	95232	148	1,4	4,4	0,0	11,6	203	149	0.000433865256205	0.01442926911631279	0.155,0.423	0.0,0.0	0.289
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	149	2,0	9,11	0,0	15,9	203	149	0.808868955225	1.0	0.14,0.0	0.0,0.0	0.07
150	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	63816	64019	150	19,35	0,0	31,18	0,2	378	149	0.765613266138	1.0	1.0,1.0	1.0,0.78	0.11
152	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	152	56,79	4,4	57,42	11,6	378	149	0.0119988440675	0.15323749721591962	0.847,0.886	0.671,0.734	0.164
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019	153	19,33	0,0	31,18	2,0	378	149	0.605244705542	1.0	1.0,1.0	0.859,1.0	0.071
154	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	95173	95232	154	56,77	9,11	57,42	15,9	378	149	0.159503348847	0.8629300512489492	0.71,0.734	0.6,0.648	0.098
161	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	40641	40872	95173	95232	161	11,17	4,4	14,13	11,6	352	149	0.114825306011	0.7027577007776985	0.538,0.643	0.35,0.478	0.177
162	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232	162	11,17	9,11	16,11	15,9	352	149	0.597380570271	1.0	0.341,0.395	0.311,0.341	0.042
163	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	92040	92100	163	6,9	3,2	13,9	4,4	352	149	0.836410574603	1.0	0.458,0.656	0.579,0.488	0.024
164	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	95173	95232	164	15,19	41,46	22,13	34,26	352	149	0.203968516193	1.0	0.134,0.149	0.215,0.175	-0.053
166	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	92040	92100	166	19,23	3,2	33,17	4,4	671	149	0.576534504473	1.0	0.584,0.719	0.647,0.486	0.085
167	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	95173	95232	167	27,26	41,46	38,15	34,26	671	149	0.22383329632	1.0	0.128,0.112	0.199,0.114	-0.037
173	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	40641	40872	95173	95232	173	0,3	4,4	1,0	11,6	209	149	0.292450687804	1.0	0.0,0.348	0.061,0.0	0.143
174	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	46655	48142	95173	95232	174	3,5	41,46	5,4	34,26	209	149	0.367075288919	1.0	0.05,0.072	0.095,0.099	-0.036
176	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	63816	64019	95173	95232	176	0,3	9,10	1,0	9,4	209	149	0.265987870693	1.0	0.0,0.176	0.073,0.0	0.051
178	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	88346	89058	95173	95232	178	0,6	8,6	2,2	6,0	209	149	0.253985244885	1.0	0.0,0.416	0.192,1.0	-0.388
179	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94769	47389	48142	95173	95232	179	1,0	41,46	0,0	34,26	360	149	1	1.0	0.01,0.0	0.0,0.0	0.005
180	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94829	46851	48142	95173	95232	180	1,2	41,46	0,0	34,26	420	149	1	1.0	0.009,0.015	0.0,0.0	0.012
182	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96506	96594	95173	95232	97367	97418	182	0,0	48,50	1,0	35,20	237	149	1	1.0	0.0,0.0	0.018,0.0	-0.009
184	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96745	95173	95232	97367	97417	184	0,0	48,50	1,0	35,20	250	149	1	1.0	0.0,0.0	0.017,0.0	-0.009
188	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96885	95173	95232	97367	97406	188	1,0	48,50	3,2	35,20	390	149	0.357553008565	1.0	0.008,0.0	0.032,0.037	-0.031
189	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96930	95173	95232	97367	97418	189	2,0	48,50	3,2	35,20	435	149	0.466549669347	1.0	0.014,0.0	0.029,0.033	-0.024
244	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143413	143629	142142	142240	149088	149494	244	0,1	3,2	1,1	1,2	365	149	0.425669852649	1.0	0.0,0.17	0.29,0.17	-0.145
249	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	142142	142240	149088	149164	249	2,1	3,2	2,6	1,2	362	149	0.0706870651813	0.5122669860442143	0.215,0.171	0.452,0.553	-0.31
255	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143514	143629	142142	142240	149088	149494	255	0,1	3,2	0,0	1,2	264	149	1	1.0	0.0,0.22	0.0,0.0	0.11
525	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155489010	155491666	155506897	155507134	525	49,32	1,2	107,26	5,1	288	149	0.499001386616	1.0	0.962,0.892	0.917,0.931	0.003
526	"ENSG00000185973.12"	"TMLHE"	chrX	-	155506897	155507134	155492356	155492495	155511672	155511792	526	114,114	0,0	219,112	1,0	386	149	1	1.0	1.0,1.0	0.988,1.0	0.006
527	"ENSG00000185973.12"	"TMLHE"	chrX	-	155524455	155524632	155513985	155514265	155545095	155545277	527	135,119	0,0	249,175	0,1	326	149	1	1.0	1.0,1.0	1.0,0.988	0.006
528	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065618	155065789	155065485	155065537	155070693	155071136	528	18,15	2,0	27,9	0,0	320	149	0.839753198862	1.0	0.807,1.0	1.0,1.0	-0.097
