ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97367	97448	97371	97448	95173	95232	33	53,51	0,0	48,50	0,1	153	149	1	1.0	1.0,1.0	1.0,0.98	0.01
79	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	79	2,1	1,3	2,8	3,1	205	149	0.191480194976	0.911540845391366	0.592,0.195	0.326,0.853	-0.196
82	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154450028	154450099	82	536,477	0,0	455,578	3,2	298	149	1	1.0	1.0,1.0	0.987,0.993	0.01
83	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350908	154351696	154349648	154349867	83	1627,1508	2,0	1306,1671	0,0	298	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	84	1226,1181	5,1	974,1094	2,3	298	149	1	1.0	0.992,0.998	0.996,0.995	-0.001
85	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	85	0,2	169,168	0,8	135,190	298	149	0.943706796457	1.0	0.0,0.006	0.0,0.021	-0.008
86	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	86	414,446	2,0	449,494	2,3	298	149	1	1.0	0.99,1.0	0.991,0.988	0.005
87	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	87	459,437	13,4	452,398	5,8	167	149	0.596623883261	1.0	0.969,0.99	0.988,0.978	-0.003
89	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	89	26,33	10,7	32,29	13,15	153	149	0.192233435121	0.9135059933435951	0.717,0.821	0.706,0.653	0.089
90	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	90	0,0	137,102	1,1	107,137	190	149	1	1.0	0.0,0.0	0.007,0.006	-0.007
