ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000303573.1"	"ENSG00000303573"	chrKI270750.1	+	33481	33811	33481	33807	46540	46661
1	"ENSG00000307470.1"	"ENSG00000307470"	chrKI270744.1	-	140166	140947	140776	140947	134712	134839
2	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1863729	1863935	1863839	1863935	1863173	1863417
3	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1864865	1865034	1864875	1865034	1864561	1864642
4	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1865202	1865372	1865286	1865372	1864561	1864642
5	"ENSG00000308567.1"	"ENSG00000308567"	chrKI270728.1	-	1816867	1816979	1816871	1816979	1811565	1811730
6	"ENSG00000297936.1"	"ENSG00000297936"	chrKI270728.1	+	1420436	1420726	1420436	1420491	1420833	1421063
7	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	241278	241611	241278	241607	243215	243401
8	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	350518	350614	350518	350610	351118	351207
9	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50869	50357	50786	52903	53024
10	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50893	50357	50786	52903	53024
11	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50904	50357	50786	52903	53024
12	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50893	50357	50869	52903	53024
13	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50904	50357	50869	52903	53024
14	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	50357	50904	50357	50893	52903	53024
15	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	51820	53024	52446	53024	50357	50976
16	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	51699	53024	52605	53024	51468	51603
17	"ENSG00000299852.1"	"ENSG00000299852"	chrKI270721.1	-	40618	40817	40623	40817	40025	40158
18	"ENSG00000293969.1"	"ENSG00000293969"	chrKI270706.1	-	110119	110315	110123	110315	108552	108634
19	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80000	79827	80000	77752	77811
20	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80027	79950	80027	77752	77811
21	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79629	80002	79827	80002	77752	77811
22	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79629	80002	79950	80002	77752	77811
23	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79827	80002	79950	80002	77752	77811
24	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79827	80036	79950	80036	79227	79420
25	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79827	80003	79950	80003	79227	79446
26	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79827	80036	79950	80036	79227	79468
27	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79827	80036	79950	80036	79227	79513
28	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88842	89058	88934	89058	88574	88725
29	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97363	97453	97367	97453	95173	95220
30	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96885	96775	96885	95173	95232
31	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97363	97414	97367	97414	95173	95232
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97363	97448	97371	97448	95173	95232
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97367	97448	97371	97448	95173	95232
34	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30356	30565	30356	30442	31145	31165
35	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30356	30565	30356	30442	31215	31303
36	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	30468	30354	30442	32576	32635
37	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	30565	30354	30442	32576	32635
38	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	31165	30354	30442	32576	32635
39	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	30565	30354	30468	32576	32635
40	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	31165	30354	30468	32576	32635
41	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30354	31165	30354	30565	32576	32635
42	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	67365	67499	67365	67448	67693	68327
43	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	67365	67499	67365	67448	96412	96798
44	"ENSG00000298861.1"	"ENSG00000298861"	chrGL000213.1	-	25322	25501	25333	25501	24438	24533
45	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	140413	140516	140413	140448	142142	142240
46	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149175	149088	149164	149744	150376
47	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149175	149088	149164	151954	152034
