ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000303548.1"	"ENSG00000303548"	chrKI270728.1	-	27667	28317	27667	27835	28032	28317
1	"ENSG00000297972.1"	"ENSG00000297972"	chrKI270719.1	-	162711	164568	162711	163751	164190	164568
2	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	4088	4543	4088	4378	4455	4543
3	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79980	79227	79446	79827	79980
4	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80000	79227	79420	79827	80000
5	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80000	79227	79513	79827	80000
6	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80031	79227	79468	79827	80031
7	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80036	79227	79247	79827	80036
8	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80010	79227	79513	79950	80010
9	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80031	79227	79420	79950	80031
10	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80036	79227	79446	79950	80036
11	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	80036	79227	79468	79950	80036
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203
13	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39019	39582	39770
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028
17	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39377	39873	40028
18	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39162	39873	40028
19	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39201	39873	40028
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872
23	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47455	47967	47455	47545	47913	47967
24	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88574	89058	88574	88725	88842	89058
25	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	88536	88725	88934	89058
26	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30356	31165	30356	30442	31145	31165
27	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	30356	31165	30356	30565	31145	31165
28	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	67365	68327	67365	67448	67693	68327
29	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	67365	68327	67365	67499	67693	68327
30	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	99594	100606	99594	99717	100201	100606
31	"ENSG00000298861.1"	"ENSG00000298861"	chrGL000213.1	-	23803	24533	23803	23962	24438	24533
32	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	140547	141363	140547	140597	140705	141363
33	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149492	149088	149164	149328	149492
34	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	150087	149088	149164	149744	150087
35	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	151954	153109	151954	152034	152494	153109
36	"ENSG00000303892.1"	"ENSG00000303892"	chrGL000195.1	+	93494	93854	93494	93651	93738	93854
37	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84116	83299	83958	84056	84116
38	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84116	83299	83958	84066	84116
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295
40	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19588650	19588369	19588411	19588542	19588650
41	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19589612	19588369	19588411	19589520	19589612
42	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19589612	19588369	19589389	19589520	19589612
43	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19589612	19588369	19588650	19589526	19589612
44	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19590423	19588369	19589612	19590082	19590423
45	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555389	19556189	19555389	19555554	19556010	19556189
46	"ENSG00000291032.2"	"ENSG00000291032"	chrY	-	11162816	11163137	11162816	11162962	11163075	11163137
47	"ENSG00000228927.10"	"TSPY3"	chrY	+	9398466	9398952	9398466	9398553	9398814	9398952
48	"ENSG00000229549.9"	"TSPY8"	chrY	+	9357796	9358328	9357796	9357929	9358190	9358328
49	"ENSG00000233803.9"	"TSPY4"	chrY	+	9337463	9338013	9337463	9337596	9337875	9338013
50	"ENSG00000292331.2"	"ASMTL-AS1"	chrY	+	1412742	1413586	1412742	1412888	1413223	1413586
51	"ENSG00000184033.14"	"CTAG1B"	chrX	-	154617608	154618273	154617608	154617899	154618138	154618273
52	"ENSG00000268651.4"	"CTAG1A"	chrX	+	154586151	154586816	154586151	154586286	154586525	154586816
53	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561763	154562809	154562953
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696
60	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431
64	"ENSG00000166049.11"	"PASD1"	chrX	+	151672182	151674186	151672182	151672661	151673927	151674186
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576
66	"ENSG00000165509.13"	"MAGEC3"	chrX	+	141896881	141897832	141896881	141897486	141897628	141897832
67	"ENSG00000203930.15"	"LINC00632"	chrX	+	140711620	140716289	140711620	140711656	140713516	140716289
68	"ENSG00000203930.15"	"LINC00632"	chrX	+	140772077	140775905	140772077	140774307	140774402	140775905
69	"ENSG00000102245.9"	"CD40LG"	chrX	+	136654372	136656418	136654372	136654430	136656355	136656418
70	"ENSG00000165359.16"	"INTS6L"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033
71	"ENSG00000165359.16"	"INTS6L"	chrX	+	135581527	135582510	135581527	135581564	135582240	135582510
72	"ENSG00000283638.4"	"MIR106AHG"	chrX	-	134171668	134174089	134171668	134173213	134174017	134174089
73	"ENSG00000213468.8"	"FIRRE"	chrX	-	131793751	131794466	131793751	131794115	131794296	131794466
74	"ENSG00000122126.18"	"OCRL"	chrX	+	129553235	129554446	129553235	129553273	129554393	129554446
75	"ENSG00000282815.2"	"TEX13C"	chrX	+	125319870	125325214	125319870	125323120	125323699	125325214
76	"ENSG00000291200.2"	"ENSG00000291200"	chrX	-	119999432	120000247	119999432	119999507	120000003	120000247
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842
79	"ENSG00000231728.5"	"TMSB15B-AS1"	chrX	-	103918408	103919080	103918408	103918460	103918831	103919080
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291
81	"ENSG00000284800.2"	"ENSG00000284800"	chrX	-	102369585	102370152	102369585	102369736	102369962	102370152
82	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459
83	"ENSG00000102384.14"	"CENPI"	chrX	+	101098203	101098539	101098203	101098248	101098443	101098539
84	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92099978	92100700	92099978	92100251	92100594	92100700
85	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103505	92105292	92105541
86	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103576	92105292	92105541
87	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103705	92105292	92105541
88	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103720	92105292	92105541
89	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103841	92105292	92105541
90	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92104306	92105292	92105541
91	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103576	92105503	92105541
92	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92103446	92105541	92103446	92103705	92105503	92105541
93	"ENSG00000289479.2"	"ENSG00000289479"	chrX	-	92105292	92105722	92105292	92105518	92105598	92105722
94	"ENSG00000126733.22"	"DACH2"	chrX	+	86827765	86832602	86827765	86827812	86832105	86832602
95	"ENSG00000050030.16"	"NEXMIF"	chrX	-	74732855	74739498	74732855	74737234	74739368	74739498
96	"ENSG00000050030.16"	"NEXMIF"	chrX	-	74732855	74744477	74732855	74739498	74740099	74744477
97	"ENSG00000225470.10"	"JPX"	chrX	+	73944326	73944662	73944326	73944465	73944583	73944662
98	"ENSG00000225470.10"	"JPX"	chrX	+	73944338	73944662	73944338	73944414	73944583	73944662
99	"ENSG00000225470.10"	"JPX"	chrX	+	73944338	73944662	73944338	73944462	73944583	73944662
100	"ENSG00000225470.10"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496
101	"ENSG00000225470.10"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669
102	"ENSG00000225470.10"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496
103	"ENSG00000147099.21"	"HDAC8"	chrX	-	72329567	72330876	72329567	72330076	72330815	72330876
104	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030
105	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150
106	"ENSG00000309173.1"	"ENSG00000309173"	chrX	-	71869761	71870758	71869761	71869829	71870355	71870758
107	"ENSG00000309173.1"	"ENSG00000309173"	chrX	-	71870355	71870758	71870355	71870401	71870493	71870758
