ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39059	38780	39019	39873	40028	32	4,1	0,1	5,2	0,0	189	149	1	1.0	1.0,0.441	1.0,1.0	-0.279
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39019	39873	40028	33	20,10	0,1	10,6	0,0	218	149	1	1.0	1.0,0.872	1.0,1.0	-0.064
34	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39019	39873	40028	34	35,13	0,1	26,36	0,0	507	149	1	1.0	1.0,0.793	1.0,1.0	-0.103
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39059	39873	40028	35	17,9	1,0	9,4	4,0	178	149	0.0176019156638	0.1445715971891279	0.934,1.0	0.653,1.0	0.141
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39059	39873	40028	36	32,12	1,0	25,34	4,0	467	149	1	1.0	0.911,1.0	0.666,1.0	0.123
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39088	39873	40028	37	24,9	9,6	21,32	5,2	438	149	0.0221332475009	0.1703731276912282	0.476,0.338	0.588,0.845	-0.309
38	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39019	39873	40028	38	16,7	0,1	10,9	0,0	292	149	1	1.0	1.0,0.781	1.0,1.0	-0.109
39	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39019	39873	40028	39	17,10	0,1	17,15	0,0	331	149	1	1.0	1.0,0.818	1.0,1.0	-0.091
40	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39873	40028	40	19,12	0,1	27,20	0,0	333	149	1	1.0	1.0,0.843	1.0,1.0	-0.079
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39059	39873	40028	41	13,6	1,0	9,7	4,0	252	149	0.0190335688606	0.15331539717213302	0.885,1.0	0.571,1.0	0.157
42	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39059	39873	40028	42	14,9	1,0	16,13	4,0	291	149	0.0266323521155	0.19239784420659417	0.878,1.0	0.672,1.0	0.103
43	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39059	39873	40028	43	16,11	1,0	26,18	4,0	293	149	0.0396902122429	0.25172082072364854	0.891,1.0	0.768,1.0	0.061
44	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39088	39873	40028	44	5,3	9,6	5,5	5,2	223	149	0.11848666776	0.5149033342310289	0.271,0.25	0.401,0.626	-0.253
