ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	11,13	0,2	17,7	0,0	245	149	0.932499139171	1.0	1.0,0.798	1.0,1.0	-0.101
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	50,49	0,2	52,82	3,0	1003	149	0.526930082389	1.0	1.0,0.784	0.72,1.0	0.032
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	49,48	0,0	46,81	2,0	963	149	0.761092305219	1.0	1.0,1.0	0.781,1.0	0.109
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	45,45	5,4	44,81	1,2	934	149	0.0113972641008	0.14263793799920127	0.589,0.642	0.875,0.866	-0.255
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	43,37	0,4	37,79	4,0	819	149	0.818732451278	1.0	1.0,0.627	0.627,1.0	0.0
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	16,36	9,25	30,36	13,21	762	149	0.444284121731	0.9704028212623228	0.258,0.22	0.311,0.251	-0.042
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872	22	16,32	1,4	26,32	1,2	735	149	0.353427352688	0.8880242963166091	0.764,0.619	0.841,0.764	-0.111
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	3,4	0,2	7,2	0,0	248	149	0.506281138804	1.0	1.0,0.546	1.0,1.0	-0.227
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	41,44	11,3	36,48	5,11	246	149	0.690411396073	1.0	0.693,0.899	0.813,0.726	0.027
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	73,60	482,403	48,91	471,494	296	149	0.758821441406	1.0	0.071,0.07	0.049,0.085	0.004
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	717,709	923,811	549,702	907,1017	850	149	0.0323062042543	0.25467417318463426	0.12,0.133	0.096,0.108	0.024
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	1153,1002	0,3	801,1028	2,3	1522	149	0.343118867131	0.8780987392897374	1.0,0.97	0.975,0.971	0.012
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	454,301	875,668	267,341	765,907	688	149	0.01508925962	0.17088657483095174	0.101,0.089	0.07,0.075	0.022
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	128,108	373,334	79,127	448,484	1372	149	0.0045711715661	0.08086351138952629	0.036,0.034	0.019,0.028	0.012
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	132,107	1,5	81,139	2,3	1617	149	0.673907253969	1.0	0.924,0.664	0.789,0.81	-0.006
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	32,21	400,388	32,46	460,497	349	149	0.343489419647	0.8783691855419864	0.033,0.023	0.029,0.038	-0.006
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	4,6	0,5	4,4	1,7	1374	149	0.419439321155	0.9461164383094433	1.0,0.115	0.303,0.058	0.377
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	26,18	0,2	32,22	0,0	204	149	0.811636924675	1.0	1.0,0.868	1.0,1.0	-0.066
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	14,12	0,2	4,10	0,2	1827	149	0.713727370807	1.0	1.0,0.329	1.0,0.29	0.019
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	80	24,27	3,1	19,25	1,2	260	149	0.699950523578	1.0	0.821,0.939	0.916,0.878	-0.017
82	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	82	7,6	3,1	6,13	5,1	1220	149	0.947533980569	1.0	0.222,0.423	0.128,0.614	-0.048
83	"ENSG00000102384.14"	"CENPI"	chrX	+	101098203	101098539	101098203	101098248	101098443	101098539	83	4,6	7,7	8,6	6,8	344	149	0.546807390082	1.0	0.198,0.271	0.366,0.245	-0.071
96	"ENSG00000050030.16"	"NEXMIF"	chrX	-	74732855	74744477	74732855	74739498	74740099	74744477	96	10,23	0,3	13,13	0,1	750	149	0.0601142776378	0.36289846132266995	1.0,0.604	1.0,0.721	-0.058
97	"ENSG00000225470.10"	"JPX"	chrX	+	73944326	73944662	73944326	73944465	73944583	73944662	97	2,4	70,48	6,3	62,58	267	149	0.416479583473	0.9431896665993832	0.016,0.044	0.051,0.028	-0.01
