ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1870512	1870622	1870512	1870595	1871095	1871233
1	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1870512	1870628	1870512	1870595	1871095	1871233
2	"ENSG00000310156.1"	"ENSG00000310156"	chrKI270728.1	-	1870512	1870628	1870512	1870622	1871095	1871233
3	"ENSG00000308567.1"	"ENSG00000308567"	chrKI270728.1	-	1798175	1798241	1798175	1798236	1810612	1810702
4	"ENSG00000294191.1"	"ENSG00000294191"	chrKI270721.1	+	52686	53024	52903	53024	50357	50786
5	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	50357	50976	50357	50970	51057	51180
6	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	51057	51180	51057	51123	51260	51373
7	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	51468	51603	51468	51599	51699	53025
8	"ENSG00000294171.1"	"ENSG00000294171"	chrKI270721.1	-	50357	50976	50357	50934	52446	53024
9	"ENSG00000293969.1"	"ENSG00000293969"	chrKI270706.1	-	108552	108637	108552	108634	110119	110210
10	"ENSG00000293969.1"	"ENSG00000293969"	chrKI270706.1	-	108552	108637	108552	108634	112580	112650
11	"ENSG00000293969.1"	"ENSG00000293969"	chrKI270706.1	-	110119	110315	110119	110210	112580	112650
12	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	36097	36543	36097	36341	37733	37835
13	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	23650	23747	23650	23736	77752	77811
14	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79446	79227	79420	79827	79997
15	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79420	79827	80000
16	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79446	79227	79247	79827	80003
17	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79247	79827	80003
18	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79446	79827	80003
19	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	79227	79446	79827	80031
20	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79420	79227	79247	79827	80036
21	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	79227	79247	79827	80036
22	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	79227	79420	79827	80036
23	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79468	79827	80036
24	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79446	79227	79420	79950	80036
25	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	79227	79420	79950	80036
26	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79420	79950	80036
27	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	79227	79446	79950	80036
28	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79446	79950	80036
29	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	79227	79468	79950	80036
30	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	9668	10644	9668	9922	28352	28387
31	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38783	39019	38783	39005	39115	39203
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39059	38780	39019	39873	40028
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39019	39873	40028
34	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39019	39873	40028
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39059	39873	40028
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39059	39873	40028
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39088	39873	40028
38	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39019	39873	40028
39	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39019	39873	40028
40	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39873	40028
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39059	39873	40028
42	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39059	39873	40028
43	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39059	39873	40028
44	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39088	39873	40028
45	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39088	39873	40028
46	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39088	39873	40028
47	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39162	39873	40028
48	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39162	39873	40028
49	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39201	39873	40028
50	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39019	39873	40028
51	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39019	39873	40028
52	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39059	39873	40028
53	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39059	39873	40028
54	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39088	39873	40028
55	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39088	39873	40028
56	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39111	39873	40028
57	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	39115	39162	39873	40028
