ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
129	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39162	38783	39019	39873	40028	129	0,1	0,2	2,0	0,0	196	149	1	1.0	NA,0.275	1.0,NA	-0.725
131	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	38783	39019	39873	40028	131	0,5	0,2	13,2	0,0	237	149	1	1.0	NA,0.611	1.0,1.0	-0.389
132	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	38789	39019	39873	40028	132	0,1	0,2	4,0	0,0	298	149	1	1.0	NA,0.2	1.0,NA	-0.8
133	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	38789	39019	39873	40028	133	0,0	0,2	1,0	0,0	298	149	1	1.0	NA,0.0	1.0,NA	-1.0
134	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	134	0,0	0,4	1,0	10,4	298	149	1	1.0	NA,0.0	0.048,0.0	-0.024
145	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019	145	6,8	0,0	19,7	0,2	298	149	0.662585415082	1.0	1.0,1.0	1.0,0.636	0.182
146	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	146	11,16	9,17	32,16	11,6	298	149	0.0100973765028	0.1388178170815468	0.379,0.32	0.593,0.571	-0.232
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	149	1,1	5,8	0,0	15,9	203	149	0.457128076255	1.0	0.128,0.084	0.0,0.0	0.106
150	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	63816	64019	150	5,0	0,0	8,2	0,2	298	149	1	1.0	1.0,NA	1.0,0.333	0.334
152	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	152	31,36	9,17	34,26	11,6	298	149	0.392890329215	1.0	0.633,0.514	0.607,0.684	-0.072
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019	153	6,7	0,0	8,2	2,0	298	149	0.693271072314	1.0	1.0,1.0	0.667,1.0	0.166
154	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	95173	95232	154	32,43	5,8	34,26	15,9	298	149	0.0258582113798	0.2609936030904079	0.762,0.729	0.531,0.591	0.185
161	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	40641	40872	95173	95232	161	10,13	9,17	9,6	11,6	298	149	0.926158051903	1.0	0.357,0.277	0.29,0.333	0.006
162	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232	162	10,13	5,8	11,4	15,9	298	149	0.0224061620925	0.237036948572805	0.5,0.448	0.268,0.182	0.249
163	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	88536	89058	163	6,0	0,4	8,2	0,0	298	149	0.00308987471568	0.06087237363990029	1.0,0.0	1.0,1.0	-0.5
164	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	92040	92100	164	5,1	0,0	8,2	4,4	298	149	7.02453450963e-08	1.3876927552886077e-05	1.0,1.0	0.5,0.2	0.65
165	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	95173	95232	165	15,13	31,36	17,6	34,26	298	149	0.770052305083	1.0	0.195,0.153	0.2,0.103	0.022
167	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	92040	92100	167	3,4	0,0	1,2	4,4	298	149	2.16126105901e-09	6.680784454854867e-07	1.0,1.0	0.111,0.2	0.845
168	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	95173	95232	168	5,7	31,36	6,0	34,26	298	149	0.195899570756	0.975117800819399	0.075,0.089	0.081,0.0	0.041
169	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	92040	92100	169	4,0	0,1	1,2	0,0	298	149	1	1.0	1.0,0.0	1.0,1.0	-0.5
170	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	95173	95232	170	6,3	10,13	6,0	9,4	298	149	0.915965415491	1.0	0.231,0.103	0.25,0.0	0.042
176	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	40641	40872	95173	95232	176	1,1	9,17	1,0	11,6	209	149	1	1.0	0.073,0.04	0.061,0.0	0.026
177	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	46655	48142	95173	95232	177	1,1	31,36	5,4	34,26	209	149	0.00469983351889	0.08185152206347618	0.022,0.019	0.095,0.099	-0.077
179	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	63816	64019	95173	95232	179	1,2	10,13	1,0	9,4	209	149	1	1.0	0.067,0.099	0.073,0.0	0.047
181	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	88346	89058	95173	95232	181	4,1	5,3	2,2	6,0	209	149	0.4230357661	1.0	0.363,0.192	0.192,1.0	-0.319
