ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40864	45542	45769	39873	40028	95173	95232
13	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	45542	45769	39873	40028	47913	47967
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	45542	45769	39873	40028	95173	95232
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	63816	64019	45542	45769	95173	95232
24	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	45542	45769	95173	95232
89	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155506897	155507134	155489010	155491666	155511672	155511792
90	"ENSG00000185973.12"	"TMLHE"	chrX	-	155506897	155507134	155511672	155511792	155492356	155492495	155513985	155514265
91	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507861	154508288	154508347	154507405	154507490	154508473	154508597
92	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507882	154508288	154508347	154507405	154507490	154508473	154508597
93	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508473	154508597	154511847	154511871	154508288	154508347	154512822	154512936
94	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154512822	154512936	154508473	154508597	154515759	154515812
95	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154351580	154351696	154350030	154350207	154351883	154352021
96	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353914	154354043	154353295	154353457	154354150	154354291
97	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154366023	154366224	154365135	154365259	154366307	154366470
98	"ENSG00000284987.1"	"ENSG00000284987"	chrX	-	153873227	153873242	153875760	153875944	153872591	153872697	153909069	153909166
99	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152928574	152928661	152920706	152920748	152931671	152931776
100	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776
101	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959896	152963838	152963949	152945266	152945464	152965446	152965527
102	"ENSG00000147394.20"	"ZNF185"	chrX	+	152963838	152963949	152965446	152965527	152959698	152959896	152967166	152967238
107	"ENSG00000101974.15"	"ATP11C"	chrX	-	139774689	139774953	139782546	139782728	139768259	139768434	139783163	139783267
108	"ENSG00000165675.20"	"ENOX2"	chrX	-	130669964	130670198	130679541	130679748	130667529	130667742	130688862	130689018
113	"ENSG00000125676.20"	"THOC2"	chrX	-	123668158	123668314	123671668	123671761	123667105	123667278	123686547	123686714
114	"ENSG00000125676.20"	"THOC2"	chrX	-	123671668	123671761	123686547	123686714	123668158	123668314	123696020	123696154
115	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123696020	123696154	123671668	123671761	123696720	123696835
116	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123703453	123703505	123671668	123671761	123706857	123706949
117	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123706857	123706949	123671668	123671761	123712849	123712908
119	"ENSG00000018610.15"	"STEEP1"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385
122	"ENSG00000101901.13"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725
123	"ENSG00000101901.13"	"ALG13"	chrX	+	111721602	111721711	111723797	111723898	111720094	111720170	111724933	111725061
124	"ENSG00000101901.13"	"ALG13"	chrX	+	111727613	111727770	111728184	111728305	111727331	111727445	111730394	111730427
125	"ENSG00000101901.13"	"ALG13"	chrX	+	111730524	111730580	111744667	111744904	111730394	111730427	111752789	111752830
128	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260
130	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101887197	101887304	101892704	101892754	101886631	101886731	101894453	101894904
131	"ENSG00000000003.16"	"TSPAN6"	chrX	-	100632484	100632568	100633404	100633539	100630758	100630866	100633930	100634029
134	"ENSG00000072133.12"	"RPS6KA6"	chrX	-	84119884	84120027	84134781	84134819	84117383	84117454	84135103	84135210
135	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118431	81118485	81118729	81118759	81116203	81116341	81119787	81119817
136	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118431	81118485	81118729	81118780	81116203	81116341	81119787	81119817
137	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118729	81118780	81119787	81119817	81118431	81118485	81121534	81121688
138	"ENSG00000102158.22"	"MAGT1"	chrX	-	77830804	77830895	77855500	77855590	77826387	77829235	77870807	77870925
139	"ENSG00000102158.22"	"MAGT1"	chrX	-	77853900	77853964	77855500	77855590	77841245	77841320	77856732	77856873
140	"ENSG00000102158.22"	"MAGT1"	chrX	-	77855500	77855590	77856732	77856873	77853900	77853964	77857356	77857497
141	"ENSG00000102158.22"	"MAGT1"	chrX	-	77879568	77879613	77883932	77884028	77875427	77875597	77895308	77895431
142	"ENSG00000102390.12"	"PBDC1"	chrX	+	76173584	76173650	76174889	76174949	76173039	76173168	76175472	76175613
143	"ENSG00000147100.11"	"SLC16A2"	chrX	+	74524358	74524809	74525749	74525893	74520989	74521134	74529212	74529441
179	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72464558	72464731	72567888	72568030
180	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72473415	72474729	72567888	72568030
182	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72488932	72489041	72572056	72572109
185	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572650	72572843
186	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72572056	72572109	72495155	72495268	72572650	72572843
187	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843
188	"ENSG00000285547.1"	"ENSG00000285547"	chrX	-	72568753	72568884	72572056	72572109	72567888	72568030	72572650	72572843
190	"ENSG00000147162.15"	"OGT"	chrX	+	71537828	71538072	71544566	71548023	71533086	71533336	71554512	71554592
191	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71544635	71547906	71548023	71537828	71538072	71554512	71554592
192	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71554512	71554592	71537828	71538072	71555953	71556094
193	"ENSG00000147162.15"	"OGT"	chrX	+	71547906	71548023	71554512	71554592	71537828	71538072	71555953	71556094
194	"ENSG00000147162.15"	"OGT"	chrX	+	71547906	71548023	71554512	71554592	71544566	71544635	71555953	71556094
195	"ENSG00000120509.12"	"PDZD11"	chrX	-	70286985	70287116	70287275	70287336	70281117	70282275	70287731	70287830
201	"ENSG00000165591.7"	"FAAH2"	chrX	+	57331597	57331807	57341270	57341390	57310592	57310729	57378650	57378786
226	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543840	53543968	53545028	53545161	53542442	53542539	53546435	53546592
227	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543885	53543968	53544559	53544762	53542442	53542539	53545028	53545161
228	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543885	53543968	53545028	53545161	53542442	53542539	53546435	53546592
229	"ENSG00000086758.17"	"HUWE1"	chrX	-	53544559	53544762	53545028	53545161	53543885	53543968	53546435	53546592
230	"ENSG00000086758.17"	"HUWE1"	chrX	-	53562110	53562244	53562830	53562929	53561755	53561924	53563745	53563821
231	"ENSG00000086758.17"	"HUWE1"	chrX	-	53645310	53645463	53647367	53647574	53634235	53634298	53648211	53648310
232	"ENSG00000126012.14"	"KDM5C"	chrX	-	53218275	53218398	53220838	53220916	53217795	53217966	53224739	53225422
249	"ENSG00000147144.13"	"CCDC120"	chrX	+	49064369	49064664	49065035	49065098	49063860	49064001	49065453	49065628
250	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48976240	48976363	48978304	48978435	48975154	48976111	48981214	48981314
251	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978304	48978435	48981214	48981314	48976240	48976363	48981415	48981472
