ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39059	39873	40028	35	5,1,2	1,0,1	5,5,1	0,0,0	178	149	1	1.0	0.807,1.0,0.626	1.0,1.0,1.0	-0.189
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39059	39873	40028	36	21,9,9	1,0,1	16,15,6	0,0,0	467	149	1	1.0	0.87,1.0,0.742	1.0,1.0,1.0	-0.129
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39088	39873	40028	37	17,8,9	1,0,2	13,13,6	2,3,1	438	149	0.0489479795801	0.6007832382965053	0.853,1.0,0.605	0.689,0.596,0.671	0.167
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39059	39873	40028	41	11,4,2	1,0,1	6,4,2	0,0,0	252	149	1	1.0	0.867,1.0,0.542	1.0,1.0,1.0	-0.197
42	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39059	39873	40028	42	13,6,5	1,0,1	9,6,2	0,0,0	291	149	1	1.0	0.869,1.0,0.719	1.0,1.0,1.0	-0.137
43	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39059	39873	40028	43	15,7,5	1,0,1	9,7,4	0,0,0	293	149	1	1.0	0.884,1.0,0.718	1.0,1.0,1.0	-0.133
44	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39088	39873	40028	44	7,3,2	1,0,2	3,2,2	2,3,1	223	149	0.0259353393891	0.4819303097415077	0.824,1.0,0.401	0.501,0.308,0.572	0.281
45	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39088	39873	40028	45	9,5,5	1,0,2	6,4,2	2,3,1	262	149	0.0206800605682	0.4409965683528701	0.837,1.0,0.587	0.63,0.431,0.532	0.277
46	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39088	39873	40028	46	11,6,5	1,0,2	6,5,4	2,3,1	264	149	0.0276784247394	0.49158049467454423	0.861,1.0,0.585	0.629,0.485,0.693	0.213
52	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39059	39873	40028	52	4,1,0	1,0,1	4,2,0	0,0,0	201	149	1	1.0	0.748,1.0,0.0	1.0,1.0,NA	-0.417
