ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
82	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154450028	154450099
83	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207
87	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790795	153790851	153790809	153790851	153790194	153790292
94	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149500948	149501037
95	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149502086	149502223
123	"ENSG00000281566.5"	"LINC03077"	chrX	+	98731530	98731584	98731530	98731577	98732379	98733390
139	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72275052	72275150	72273231	72273389
154	"ENSG00000235437.11"	"LINC01278"	chrX	-	63432363	63432491	63432382	63432491	63426557	63427072
155	"ENSG00000235437.11"	"LINC01278"	chrX	-	63432363	63432491	63432382	63432491	63426574	63428981
188	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48482402	48482506
190	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46471141	46471185
191	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472024	46472526
192	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472752	46473594
193	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46497121	46497422
200	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342494	41342836	41342494	41342653	41343215	41343351
201	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342494	41342836	41342494	41342653	41344029	41344128
210	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287860	38288041	38276586	38276772
212	"ENSG00000156313.15"	"RPGR"	chrX	-	38287860	38288041	38287864	38288041	38276586	38276772
218	"ENSG00000225882.2"	"LINC01456"	chrX	-	17995788	17995888	17995793	17995888	17991275	17991324
219	"ENSG00000102054.18"	"RBBP7"	chrX	-	16845827	16849301	16849243	16849301	16844653	16845103
223	"ENSG00000046651.16"	"OFD1"	chrX	+	13753367	13755242	13753367	13753441	13756577	13756767
232	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154420031	154420264	154420031	154420094	154420657	154420735
233	"ENSG00000005302.19"	"MSL3"	chrX	+	11759633	11759875	11759633	11759712	11760402	11760498
273	"ENSG00000167077.13"	"MEI1"	chr22	+	41758364	41758547	41758364	41758533	41759348	41759446
279	"ENSG00000100412.17"	"ACO2"	chr22	+	41517596	41518572	41517596	41517631	41522829	41522987
280	"ENSG00000100412.17"	"ACO2"	chr22	+	41522829	41522987	41522829	41522982	41523829	41523941
282	"ENSG00000100412.17"	"ACO2"	chr22	+	41522829	41523278	41522829	41522987	41523829	41523941
284	"ENSG00000100412.17"	"ACO2"	chr22	+	41525192	41526453	41525192	41525348	41527900	41528022
288	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409464	40409525
289	"ENSG00000239900.14"	"ADSL"	chr22	+	40346528	40346711	40346528	40346656	40349831	40353117
294	"ENSG00000128272.19"	"ATF4"	chr22	+	39521353	39521671	39521353	39521475	39521772	39522602
297	"ENSG00000184381.20"	"PLA2G6"	chr22	-	38139981	38140169	38140133	38140169	38134987	38135084
329	"ENSG00000239282.8"	"CASTOR1"	chr22	-	30287154	30287287	30287221	30287287	30286346	30286376
349	"ENSG00000197077.14"	"KIAA1671"	chr22	+	25174239	25177522	25174239	25174489	25181698	25181823
374	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23659711	23660000	23659864	23660000	23659512	23659581
386	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23686837	23686995
402	"ENSG00000100038.20"	"TOP3B"	chr22	-	21962127	21962602	21962428	21962602	21960320	21960449
416	"ENSG00000278558.6"	"TMEM191B"	chr22	+	18529605	18529724	18529605	18529689	18529935	18530008
442	"ENSG00000157601.15"	"MX1"	chr21	+	41441715	41443866	41441715	41441914	41445447	41445570
462	"ENSG00000156256.15"	"USP16"	chr21	+	29042471	29043599	29042471	29042528	29046666	29047321
464	"ENSG00000154734.16"	"ADAMTS1"	chr21	-	26838438	26839762	26839586	26839762	26836286	26838278
483	"ENSG00000197114.12"	"ZGPAT"	chr20	+	63733586	63733775	63733586	63733739	63734704	63735185
496	"ENSG00000215440.12"	"NPEPL1"	chr20	+	58713419	58714093	58713419	58713543	58714559	58714670
498	"ENSG00000087589.17"	"CASS4"	chr20	+	56437163	56437586	56437163	56437424	56450598	56450679
499	"ENSG00000087589.17"	"CASS4"	chr20	+	56437163	56437586	56437163	56437424	56451818	56453129
508	"ENSG00000130826.19"	"DKC1"	chrX	+	154776186	154776328	154776186	154776324	154776803	154777684
519	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49278639	49278720	49278639	49278716	49279108	49279208
520	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49280484	49280574	49280484	49280570	49280902	49280964
524	"ENSG00000124228.15"	"DDX27"	chr20	+	49233567	49236231	49233567	49233709	49236332	49236510
531	"ENSG00000101040.20"	"ZMYND8"	chr20	-	47238757	47239138	47238895	47239138	47229725	47229806
566	"ENSG00000101019.22"	"UQCC1"	chr20	-	35381917	35382025	35381983	35382025	35347266	35347272
568	"ENSG00000101019.22"	"UQCC1"	chr20	-	35381917	35382025	35381983	35382025	35374183	35374256
598	"ENSG00000213742.9"	"ZNF337-AS1"	chr20	+	25624132	25624312	25624132	25624215	25634048	25634170
