ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
64	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40028	45542	45769
157	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507882	154507810	154507861	154508473	154508597
163	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351883	154352021
169	"ENSG00000147394.20"	"ZNF185"	chrX	+	152920706	152920748	152920709	152920748	152918982	152919081
198	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104115251	104115842	104113194	104113246
202	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103685170	103685260
204	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103685170	103685260
205	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585969	103586291	103586218	103586291	103585562	103585624
206	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103586218	103586291	103585614	103585683
217	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486092	101486025	101486092	101418909	101419000
218	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486092	101486025	101486092	101445997	101446044
254	"ENSG00000225470.10"	"JPX"	chrX	+	73994839	73994961	73994845	73994961	73984443	73984541
312	"ENSG00000126012.14"	"KDM5C"	chrX	-	53198489	53198888	53198489	53198637	53198976	53199158
324	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976363	48975154	48976111	48978304	48978435
340	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991110	48990925	48991102	48993427	48994207
344	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49000565	49000685	49000565	49000665	49000860	49002247
345	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49000565	49000689	49000565	49000685	49002187	49002262
372	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347639	41349886	41346858	41347012
374	"ENSG00000124486.15"	"USP9X"	chrX	+	41152932	41153081	41152947	41153081	41148368	41148575
378	"ENSG00000297686.1"	"ENSG00000297686"	chrX	+	39764389	39764535	39764392	39764535	39759776	39759926
388	"ENSG00000169249.14"	"ZRSR2"	chrX	+	15799871	15799953	15799882	15799953	15790933	15791013
389	"ENSG00000169249.14"	"ZRSR2"	chrX	+	15799871	15799953	15799882	15799953	15796141	15796250
390	"ENSG00000169249.14"	"ZRSR2"	chrX	+	15822730	15823201	15822844	15823201	15818586	15818642
397	"ENSG00000046651.16"	"OFD1"	chrX	+	13736477	13736678	13736655	13736678	13736107	13736296
398	"ENSG00000046651.16"	"OFD1"	chrX	+	13752703	13753441	13753367	13753441	13749426	13749533
400	"ENSG00000046651.16"	"OFD1"	chrX	+	13753367	13755242	13755150	13755242	13751248	13751368
402	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13768053	13768224	13763744	13763855
403	"ENSG00000176896.9"	"TCEANC"	chrX	+	13660865	13661122	13661027	13661122	13655288	13655373
404	"ENSG00000176896.9"	"TCEANC"	chrX	+	13660865	13661122	13661030	13661122	13655288	13655373
405	"ENSG00000176896.9"	"TCEANC"	chrX	+	13661027	13661122	13661030	13661122	13655288	13655373
410	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154419542	154419746	154419704	154419746	154414100	154414190
411	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154419542	154420094	154420031	154420094	154414100	154414190
429	"ENSG00000079974.19"	"RABL2B"	chr22	-	50769424	50769552	50769424	50769549	50775771	50775851
443	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157
450	"ENSG00000100429.18"	"HDAC10"	chr22	-	50248830	50248890	50248830	50248859	50249327	50249454
460	"ENSG00000100416.15"	"TRMU"	chr22	+	46350290	46350463	46350345	46350463	46347372	46347495
461	"ENSG00000186951.17"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
463	"ENSG00000186951.17"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
