ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
79	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154560406	154560736
83	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154450028	154450099
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207
88	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790795	153790851	153790809	153790851	153790194	153790292
89	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153694343	153694446	153694343	153694420	153694532	153694633
96	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149500948	149501037
97	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149502086	149502223
125	"ENSG00000281566.5"	"LINC03077"	chrX	+	98731530	98731584	98731530	98731577	98732379	98733390
141	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72275052	72275150	72273231	72273389
166	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431973	53432116	53431987	53432116	53431824	53431906
180	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48976017	48976111	48973727	48974285
187	"ENSG00000126768.13"	"TIMM17B"	chrX	-	48893899	48894225	48894096	48894225	48893448	48893817
190	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48477960	48478518	48477960	48478168	48479037	48479116
192	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48482402	48482506
194	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46471141	46471185
195	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472024	46472526
196	"ENSG00000147121.16"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472752	46473594
203	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342494	41342836	41342494	41342653	41343215	41343351
204	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41344128	41343215	41343351	41344238	41344399
213	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287860	38288041	38276586	38276772
215	"ENSG00000156313.15"	"RPGR"	chrX	-	38287860	38288041	38287864	38288041	38276586	38276772
232	"ENSG00000005302.19"	"MSL3"	chrX	+	11759633	11759875	11759633	11759712	11760402	11760498
234	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11768572	11768682
235	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11772155	11772255
236	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11768682	11763779	11763938	11772155	11772255
262	"ENSG00000205560.14"	"CPT1B"	chr22	-	50577323	50577463	50577355	50577463	50576197	50576335
276	"ENSG00000167077.13"	"MEI1"	chr22	+	41758364	41758547	41758364	41758533	41763173	41763321
282	"ENSG00000100412.17"	"ACO2"	chr22	+	41517596	41518572	41517596	41517631	41522829	41522987
283	"ENSG00000100412.17"	"ACO2"	chr22	+	41517596	41518572	41517596	41517631	41523204	41523278
286	"ENSG00000100412.17"	"ACO2"	chr22	+	41525192	41526453	41525192	41525348	41527900	41528022
290	"ENSG00000239900.14"	"ADSL"	chr22	+	40346528	40346711	40346528	40346656	40349831	40353117
291	"ENSG00000239900.14"	"ADSL"	chr22	+	40346528	40346711	40346528	40346656	40353072	40353117
296	"ENSG00000128272.19"	"ATF4"	chr22	+	39521353	39521671	39521353	39521475	39521772	39522602
370	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23652478	23652576	23652480	23652576	23651411	23651529
385	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23695133	23695517	23695172	23695517	23683724	23683867
386	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23686837	23686995
390	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23695133	23695517	23695172	23695517	23694118	23694729
394	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23717030	23717325	23717107	23717325	23714186	23714342
404	"ENSG00000100038.20"	"TOP3B"	chr22	-	21962127	21962602	21962428	21962602	21960320	21960449
411	"ENSG00000099917.17"	"MED15"	chr22	+	20537116	20537215	20537116	20537204	20554935	20555148
412	"ENSG00000099917.17"	"MED15"	chr22	+	20537116	20537215	20537116	20537204	20564449	20564688
442	"ENSG00000160193.12"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42859661	42859722
446	"ENSG00000157601.15"	"MX1"	chr21	+	41441715	41443866	41441715	41441914	41445447	41445570
449	"ENSG00000235123.6"	"DSCAM-AS1"	chr21	+	40383505	40383584	40383505	40383520	40384065	40384138
467	"ENSG00000156256.15"	"USP16"	chr21	+	29042471	29043599	29042471	29042528	29046666	29047321
469	"ENSG00000154734.16"	"ADAMTS1"	chr21	-	26838438	26839762	26839586	26839762	26836286	26838278
486	"ENSG00000197114.12"	"ZGPAT"	chr20	+	63733586	63733739	63733586	63733712	63734644	63734824
487	"ENSG00000197114.12"	"ZGPAT"	chr20	+	63733586	63733775	63733586	63733712	63734644	63734824
490	"ENSG00000197114.12"	"ZGPAT"	chr20	+	63733586	63733775	63733586	63733739	63734704	63735185
503	"ENSG00000215440.12"	"NPEPL1"	chr20	+	58713419	58714093	58713419	58713543	58714559	58714670
505	"ENSG00000087589.17"	"CASS4"	chr20	+	56437163	56437586	56437163	56437424	56450598	56450679
514	"ENSG00000130826.19"	"DKC1"	chrX	+	154776186	154776328	154776186	154776324	154776803	154777684
525	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49278639	49278720	49278639	49278716	49279108	49279208
526	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49278641	49279208	49278641	49278716	49280484	49280570
530	"ENSG00000124228.15"	"DDX27"	chr20	+	49233567	49236231	49233567	49233709	49236332	49236510
531	"ENSG00000124126.14"	"PREX1"	chr20	-	48632276	48632639	48632495	48632639	48630727	48630794
539	"ENSG00000062598.18"	"ELMO2"	chr20	-	46368890	46370525	46370442	46370525	46366049	46367560
568	"ENSG00000131051.24"	"RBM39"	chr20	-	35704667	35705330	35705224	35705330	35704376	35704581
569	"ENSG00000131051.24"	"RBM39"	chr20	-	35738967	35740887	35740823	35740887	35731940	35732135
571	"ENSG00000214078.13"	"CPNE1"	chr20	-	35630438	35631034	35630900	35631034	35627279	35627413
577	"ENSG00000101019.22"	"UQCC1"	chr20	-	35381917	35382025	35381983	35382025	35374183	35374256
