ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97367	97448	97371	97448	95173	95232	33	42,44	0,0	35,20	0,2	153	149	0.732787809966	1.0	1.0,1.0	1.0,0.907	0.046
79	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	79	6,0	0,1	2,0	2,1	205	149	0.0157445494625	0.1355966753945331	1.0,0.0	0.421,0.0	0.289
82	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154450028	154450099	82	471,461	1,3	676,474	0,0	298	149	1	1.0	0.996,0.987	1.0,1.0	-0.008
83	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	83	1053,880	0,3	1526,1065	0,1	298	149	1	1.0	1.0,0.993	1.0,0.998	-0.003
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	84	0,1	292,197	0,2	165,83	298	149	1	1.0	0.0,0.003	0.0,0.012	-0.005
85	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	85	377,335	1,5	945,720	7,8	298	149	0.649381011758	1.0	0.995,0.971	0.985,0.978	0.001
86	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	86	386,313	3,6	803,583	10,10	167	149	0.609348441518	1.0	0.991,0.979	0.986,0.981	0.001
88	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153694343	153694446	153694343	153694420	153694532	153694633	88	482,371	2,0	648,426	0,0	175	149	1	1.0	0.995,1.0	1.0,1.0	-0.002
89	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	89	34,47	4,8	46,33	8,6	153	149	0.652853603985	1.0	0.892,0.851	0.848,0.843	0.026
90	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	90	2,0	135,83	4,2	267,148	190	149	1	1.0	0.011,0.0	0.012,0.01	-0.005
94	"ENSG00000197620.11"	"EOLA1"	chrX	+	149542018	149542085	149542018	149542066	149545367	149545500	94	10,18	33,35	23,4	64,44	168	149	0.130543254715	0.563804477684345	0.212,0.313	0.242,0.075	0.104
