ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	282656	282814	243215	243401	291466	291575	35	1,0	2,2	0,0	1,0	307	149	1	1.0	0.195,0.0	0.0,NA	0.098
129	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39162	38783	39019	39873	40028	129	0,0	0,1	0,1	0,2	196	149	1	1.0	NA,0.0	NA,0.275	-0.275
131	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	38783	39019	39873	40028	131	2,2	0,1	0,5	0,2	237	149	1	1.0	1.0,0.557	NA,0.611	0.167
132	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	38789	39019	39873	40028	132	11,2	0,1	10,11	0,2	411	149	0.649950342862	1.0	1.0,0.42	1.0,0.666	-0.123
133	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	38789	39019	39873	40028	133	1,5	0,1	0,3	0,2	337	149	1	1.0	1.0,0.689	NA,0.399	0.446
134	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	134	1,5	1,2	0,3	0,4	337	149	1	1.0	0.307,0.525	NA,0.249	0.167
144	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	47913	47967	144	22,27	1,0	14,20	0,0	376	149	1	1.0	0.897,1.0	1.0,1.0	-0.051
146	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	146	33,29	18,24	18,21	9,17	376	149	0.96559271925	1.0	0.421,0.324	0.442,0.329	-0.013
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	149	3,2	14,5	1,1	5,8	203	149	0.319507707618	1.0	0.136,0.227	0.128,0.084	0.075
152	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	152	86,54	18,24	41,54	9,17	378	149	0.723654030823	1.0	0.653,0.47	0.642,0.556	-0.037
