ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	25,11	2,0	24,29	7,2	245	149	0.0207380199111	0.09229761280103214	0.884,1.0	0.676,0.898	0.155
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	36,21	0,1	22,10	0,0	298	149	1	1.0	1.0,0.913	1.0,1.0	-0.043
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	35,22	1,0	27,15	4,0	298	149	0.0329236293971	0.13032762164725953	0.946,1.0	0.771,1.0	0.088
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	33,20	9,6	25,18	5,2	298	149	0.20076656271	0.4845375511904157	0.647,0.625	0.714,0.818	-0.13
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	37,16	1,2	18,19	10,4	298	149	0.00114495586843	0.009835922326901992	0.949,0.8	0.474,0.704	0.286
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	15,15	31,14	13,18	16,13	298	149	0.280067404407	0.6094563438250947	0.195,0.349	0.289,0.409	-0.077
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	1,2	0,0	5,2	0,2	248	149	0.33702651351	0.6900465969877333	1.0,1.0	1.0,0.375	0.312
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	56,67	9,13	65,33	13,6	246	149	0.834865627689	1.0	0.79,0.757	0.752,0.769	0.013
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	60,55	570,494	54,48	641,479	296	149	0.336323164042	0.6888143925976087	0.05,0.053	0.041,0.048	0.007
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	284,250	1233,1153	222,181	1474,1033	298	149	0.00884048407834	0.0480471910886839	0.103,0.098	0.07,0.081	0.025
