ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
46	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149175	149088	149164	149744	150376	46	1,0	0,0	0,0	0,2	160	149	1	1.0	1.0,NA	NA,0.0	1.0
79	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154560406	154560736	79	4,5	0,1	2,1	0,0	205	149	1	1.0	1.0,0.784	1.0,1.0	-0.108
80	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	80	3,5	3,4	2,1	1,3	205	149	0.38715864562	1.0	0.421,0.476	0.592,0.195	0.055
83	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154450028	154450099	83	552,481	0,3	536,477	0,0	345	149	1	1.0	1.0,0.986	1.0,1.0	-0.007
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350908	154351696	154349648	154349867	84	3015,2994	0,0	2689,2458	2,0	1027	149	1	1.0	1.0,1.0	0.995,1.0	0.002
85	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	85	1615,1677	7,5	1460,1401	5,1	821	149	0.217050278183	0.9114502707955063	0.977,0.984	0.981,0.996	-0.008
86	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	86	12,7	209,267	7,16	169,168	428	149	0.117498720105	0.6796725672597482	0.02,0.009	0.014,0.032	-0.009
87	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	87	515,417	2,1	419,449	2,0	394	149	1	1.0	0.99,0.994	0.988,1.0	-0.002
88	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	88	437,421	12,12	459,437	13,4	167	149	0.23358284234	0.9439353628776506	0.97,0.969	0.969,0.99	-0.01
90	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	90	32,41	15,16	26,33	10,7	153	149	0.25441029246	0.982001874535687	0.675,0.714	0.717,0.821	-0.074
91	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	91	2,0	141,124	0,0	137,102	190	149	1	1.0	0.011,0.0	0.0,0.0	0.005
95	"ENSG00000197620.11"	"EOLA1"	chrX	+	149542018	149542085	149542018	149542066	149545367	149545500	95	22,11	49,45	20,14	23,38	168	149	0.19760787225	0.8752417346008584	0.285,0.178	0.435,0.246	-0.109
96	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149500948	149501037	96	26,30	3,9	17,36	0,14	555	149	0.52337793557	1.0	0.699,0.472	1.0,0.408	-0.119
97	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149502086	149502223	97	25,27	2,0	16,33	0,0	555	149	0.805741340262	1.0	0.77,1.0	1.0,1.0	-0.115
108	"ENSG00000125676.20"	"THOC2"	chrX	-	123620374	123620965	123620906	123620965	123619400	123619436	108	51,60	119,75	38,44	103,108	681	149	0.0487597281824	0.4467928034116475	0.086,0.149	0.075,0.082	0.039
110	"ENSG00000101901.13"	"ALG13"	chrX	+	111681169	111681424	111681169	111681299	111682131	111682294	110	20,14	21,30	3,14	20,16	274	149	0.326639633173	1.0	0.341,0.202	0.075,0.322	0.073
111	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682294	111682131	111682235	111684964	111685103	111	78,87	3,2	65,78	0,2	208	149	0.15207897779	0.7707575448951749	0.949,0.969	1.0,0.965	-0.023
112	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682235	111684964	111685103	112	24,20	3,2	16,19	0,2	214	149	0.0880364919479	0.5919626679446307	0.848,0.874	1.0,0.869	-0.074
113	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682294	111684964	111685103	113	0,0	54,67	0,3	49,62	155	149	0.441010682999	1.0	0.0,0.0	0.0,0.044	-0.022
117	"ENSG00000172465.14"	"TCEAL1"	chrX	+	103629493	103629573	103629493	103629561	103629884	103630953	117	5,6	34,32	13,5	26,44	161	149	0.346732249895	1.0	0.12,0.148	0.316,0.095	-0.072
118	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103586218	103586301	103586218	103586291	103586648	103587518	118	5,4	441,426	2,6	476,414	159	149	1	1.0	0.011,0.009	0.004,0.013	0.001
122	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486098	101486022	101486092	101487192	101487272	122	2,2	14,16	0,1	12,9	155	149	0.0392461933792	0.39466086789120003	0.121,0.107	0.0,0.097	0.065
123	"ENSG00000102385.13"	"DRP2"	chrX	+	101242903	101243098	101242903	101242982	101245016	101245077	123	3,8	1,3	5,0	1,2	265	149	0.225603168213	0.9275795601426932	0.628,0.6	0.738,0.0	0.245
136	"ENSG00000225470.10"	"JPX"	chrX	+	73944338	73944465	73944338	73944462	73944583	73944662	136	93,84	0,1	100,82	0,0	152	149	1	1.0	1.0,0.988	1.0,1.0	-0.006
138	"ENSG00000230590.13"	"FTX"	chrX	-	74280376	74280494	74280393	74280494	74274341	74274410	138	7,2	23,10	2,3	9,13	166	149	0.661778250883	1.0	0.215,0.152	0.166,0.172	0.015
141	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72275052	72275150	72273231	72273389	141	5375,4423	3,3	4874,4689	1,2	1401	149	1	1.0	0.995,0.994	0.998,0.996	-0.003
149	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71545037	71544566	71544635	71547906	71548023	149	658,527	103,85	653,558	126,94	551	149	0.369165728795	1.0	0.633,0.626	0.584,0.616	0.029
150	"ENSG00000147162.15"	"OGT"	chrX	+	71546343	71546496	71546343	71546489	71547906	71548023	150	24,18	23,8	28,24	20,7	156	149	0.420663069449	1.0	0.499,0.682	0.572,0.766	-0.079
