ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696
172	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41344128	41342736	41342836	41344029	41344128
213	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11768682	11763779	11763938	11768572	11768682
231	"ENSG00000188130.14"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199
271	"ENSG00000239900.14"	"ADSL"	chr22	+	40361272	40363071	40361272	40361342	40362980	40363071
282	"ENSG00000100360.15"	"IFT27"	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036
298	"ENSG00000185133.15"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532
323	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23694118	23695517	23694118	23694729	23695133	23695517
347	"ENSG00000093010.15"	"COMT"	chr22	+	19961696	19962815	19961696	19961874	19962232	19962815
458	"ENSG00000124228.15"	"DDX27"	chr20	+	49233567	49236231	49233567	49233709	49236149	49236231
496	"ENSG00000214078.13"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
523	"ENSG00000101310.17"	"SEC23B"	chr20	+	18507939	18508297	18507939	18507972	18508090	18508297
583	"ENSG00000039650.12"	"PNKP"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881
692	"ENSG00000232677.12"	"LINC00665"	chr19	-	36324923	36327225	36324923	36325887	36326481	36327225
693	"ENSG00000232677.12"	"LINC00665"	chr19	-	36324923	36327225	36324923	36325887	36326996	36327225
702	"ENSG00000075702.19"	"WDR62"	chr19	+	36102013	36102851	36102013	36102248	36102446	36102851
706	"ENSG00000075702.19"	"WDR62"	chr19	+	36101213	36102851	36101213	36101317	36102751	36102851
710	"ENSG00000075702.19"	"WDR62"	chr19	+	36102947	36103981	36102947	36103074	36103342	36103981
713	"ENSG00000075702.19"	"WDR62"	chr19	+	36102947	36104675	36102947	36103042	36104537	36104675
716	"ENSG00000267796.8"	"LIN37"	chr19	+	35752433	35752999	35752433	35752484	35752913	35752999
831	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15397713	15400864	15397713	15397855	15400793	15400864
832	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15397713	15400864	15397713	15399410	15400793	15400864
835	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15401149	15403715	15401149	15401293	15403652	15403715
836	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15401149	15403715	15401149	15401603	15403652	15403715
838	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15401149	15403715	15401149	15401293	15403657	15403715
850	"ENSG00000123143.13"	"PKN1"	chr19	+	14469340	14469988	14469340	14469517	14469911	14469988
865	"ENSG00000182093.16"	"GET1"	chr21	+	39390697	39391476	39390697	39390919	39391226	39391476
984	"ENSG00000011304.22"	"PTBP1"	chr19	+	805012	807902	805012	805187	807868	807902
1052	"ENSG00000132199.20"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1067	"ENSG00000169738.8"	"DCXR"	chr17	-	82036190	82036643	82036190	82036308	82036543	82036643
1069	"ENSG00000169738.8"	"DCXR"	chr17	-	82036190	82036763	82036190	82036308	82036720	82036763
1070	"ENSG00000169738.8"	"DCXR"	chr17	-	82036190	82036763	82036190	82036448	82036720	82036763
1126	"ENSG00000132471.12"	"WBP2"	chr17	-	75846907	75848662	75846907	75846984	75848569	75848662
1144	"ENSG00000167861.16"	"HID1"	chr17	-	74962964	74964632	74962964	74963081	74964482	74964632
1170	"ENSG00000136492.10"	"BRIP1"	chr17	-	61776400	61781005	61776400	61776562	61780839	61781005
1194	"ENSG00000006282.22"	"SPATA20"	chr17	+	50550997	50552180	50550997	50551190	50551968	50552180
1202	"ENSG00000005884.18"	"ITGA3"	chr17	+	50076583	50077447	50076583	50076681	50077378	50077447
1260	"ENSG00000131462.9"	"TUBG1"	chr17	+	42613646	42614657	42613646	42613733	42614259	42614657
1276	"ENSG00000171346.16"	"KRT15"	chr17	-	41513745	41515692	41513745	41514120	41515471	41515692
1282	"ENSG00000125691.15"	"RPL23"	chr17	-	38850080	38852732	38850080	38850214	38852603	38852732
1297	"ENSG00000108691.10"	"CCL2"	chr17	+	34255284	34257203	34255284	34255425	34256721	34257203
1299	"ENSG00000108671.11"	"PSMD11"	chr17	+	32479250	32480197	32479250	32479376	32480145	32480197
1426	"ENSG00000170037.14"	"CNTROB"	chr17	+	7948486	7949578	7948486	7948619	7949384	7949578
1501	"ENSG00000185324.22"	"CDK10"	chr16	+	89693273	89694232	89693273	89693326	89694172	89694232
1512	"ENSG00000167526.15"	"RPL13"	chr16	+	89561226	89561751	89561226	89561368	89561595	89561751
1537	"ENSG00000131143.10"	"COX4I1"	chr16	+	85804936	85807002	85804936	85805104	85806737	85807002
1570	"ENSG00000108604.18"	"SMARCD2"	chr17	-	63836921	63837625	63836921	63837044	63837440	63837625
1574	"ENSG00000157353.17"	"FCSK"	chr16	+	70466881	70467966	70466881	70466954	70467885	70467966
1626	"ENSG00000187193.9"	"MT1X"	chr16	+	56682469	56684196	56682469	56682568	56683957	56684196
1699	"ENSG00000149927.18"	"DOC2A"	chr16	-	30007030	30009105	30007030	30007090	30008995	30009105
1731	"ENSG00000168488.19"	"ATXN2L"	chr16	+	28835932	28836485	28835932	28836176	28836448	28836485
1735	"ENSG00000168488.19"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836176	28836747	28837237
1743	"ENSG00000188603.22"	"CLN3"	chr16	-	28482104	28482672	28482104	28482382	28482625	28482672
1791	"ENSG00000100316.16"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
1870	"ENSG00000167962.15"	"ZNF598"	chr16	-	2002520	2003728	2002520	2002732	2003615	2003728
2020	"ENSG00000041357.16"	"PSMA4"	chr15	+	78540443	78542645	78540443	78540539	78542176	78542645
2050	"ENSG00000178761.15"	"FAM219B"	chr15	-	74899991	74902786	74899991	74900137	74902603	74902786
2106	"ENSG00000137845.15"	"ADAM10"	chr15	-	58610296	58611991	58610296	58610517	58611807	58611991
2195	"ENSG00000198690.10"	"FAN1"	chr15	+	30925126	30928656	30925126	30925291	30928552	30928656
2215	"ENSG00000224078.16"	"SNHG14"	chr15	+	25053827	25055230	25053827	25053967	25054969	25055230
2219	"ENSG00000224078.16"	"SNHG14"	chr15	+	25053827	25055230	25053827	25053967	25055078	25055230
2242	"ENSG00000140365.16"	"COMMD4"	chr15	+	75338984	75339878	75338984	75339104	75339701	75339878
2256	"ENSG00000187531.14"	"SIRT7"	chr17	-	81914293	81915512	81914293	81914530	81915439	81915512
2259	"ENSG00000075413.19"	"MARK3"	chr14	+	103465556	103466442	103465556	103465793	103466342	103466442
2284	"ENSG00000258498.11"	"DIO3OS"	chr14	-	101552222	101555676	101552222	101554242	101555212	101555676
2366	"ENSG00000140043.12"	"PTGR2"	chr14	+	73876997	73880176	73876997	73877168	73880054	73880176
2403	"ENSG00000291140.2"	"AMZ2P1"	chr17	-	64974950	64975571	64974950	64975117	64975518	64975571
2440	"ENSG00000100906.12"	"NFKBIA"	chr14	-	35402770	35403798	35402770	35402859	35403689	35403798
2457	"ENSG00000129467.14"	"ADCY4"	chr14	-	24322065	24323454	24322065	24322224	24323343	24323454
2489	"ENSG00000092098.18"	"RNF31"	chr14	+	24149405	24151379	24149405	24149583	24150597	24151379
2490	"ENSG00000092098.18"	"RNF31"	chr14	+	24149405	24151379	24149405	24149583	24151130	24151379
2512	"ENSG00000213983.12"	"AP1G2"	chr14	-	23563715	23564221	23563715	23563853	23564045	23564221
