ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
145	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019
162	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232
194	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	31215	31303	30356	30565	32466	32655
311	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	84056	84116	49960	50132	86517	86682
525	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155489010	155491666	155506897	155507134
526	"ENSG00000185973.12"	"TMLHE"	chrX	-	155506897	155507134	155492356	155492495	155511672	155511792
527	"ENSG00000185973.12"	"TMLHE"	chrX	-	155524455	155524632	155513985	155514265	155545095	155545277
528	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065618	155065789	155065485	155065537	155070693	155071136
535	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507202	154507329	154507810	154507861
541	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154508452	154508597	154512822	154512936
545	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445632	154445717	154444140	154444346	154448483	154448560
546	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445811	154445911	154445632	154445717	154448483	154448560
547	"ENSG00000071859.15"	"FAM50A"	chrX	+	154446414	154446560	154444140	154444346	154448483	154448560
548	"ENSG00000071859.15"	"FAM50A"	chrX	+	154446414	154446560	154445811	154445911	154448483	154448560
549	"ENSG00000071859.15"	"FAM50A"	chrX	+	154448892	154448954	154448689	154448756	154449220	154449297
550	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449882	154449931	154449680	154449735	154450028	154450099
552	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154438005	154438630	154439940	154439972
553	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438764	154438864	154439940	154439972
555	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154439940	154440139	154441095	154441195
556	"ENSG00000203879.12"	"GDI1"	chrX	+	154441622	154441794	154437153	154437299	154442519	154443467
557	"ENSG00000203879.12"	"GDI1"	chrX	+	154442110	154442255	154440523	154441794	154442373	154442428
558	"ENSG00000203879.12"	"GDI1"	chrX	+	154442373	154442428	154440523	154441794	154442519	154442728
560	"ENSG00000196924.19"	"FLNA"	chrX	-	154349361	154349565	154348523	154349036	154349648	154349867
561	"ENSG00000196924.19"	"FLNA"	chrX	-	154349648	154349867	154349361	154349565	154350030	154350207
562	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154350030	154350207	154351580	154351696
563	"ENSG00000196924.19"	"FLNA"	chrX	-	154351580	154351696	154350908	154351041	154351883	154352021
564	"ENSG00000196924.19"	"FLNA"	chrX	-	154352180	154352447	154351727	154352021	154352771	154352924
567	"ENSG00000196924.19"	"FLNA"	chrX	-	154353914	154354043	154353295	154353457	154354150	154354291
568	"ENSG00000196924.19"	"FLNA"	chrX	-	154354615	154354711	154354380	154354483	154354824	154354889
570	"ENSG00000196924.19"	"FLNA"	chrX	-	154361669	154361787	154361307	154361570	154361978	154362148
571	"ENSG00000196924.19"	"FLNA"	chrX	-	154365135	154365259	154364820	154364957	154366307	154366470
572	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365135	154365259	154366307	154366470
574	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470
575	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334
576	"ENSG00000196924.19"	"FLNA"	chrX	-	154366731	154366850	154366561	154366639	154367396	154367544
579	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153932538	153932584	153934376	153934475
580	"ENSG00000102030.16"	"NAA10"	chrX	-	153933960	153934001	153932538	153932584	153934376	153934475
589	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786211	153786272	153785767	153785973	153786354	153786449
590	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153785766	153786449	153787050	153787153
591	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153785766	153786449	153787463	153787553
592	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153785766	153786449	153787463	153787553
593	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153785766	153786449	153787822	153787955
594	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153786800	153786947	153787463	153787553
595	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153785766	153786449	153787822	153787955
596	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153785766	153786449	153788074	153788135
597	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153787050	153787153	153787822	153787955
598	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787822	153787955	153785766	153786449	153788074	153788135
599	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787822	153787955	153787390	153787597	153788074	153788135
601	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790194	153790292	153789711	153789824	153790563	153790575
602	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790575	153789837	153790292	153790809	153790851
603	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153690374	153690506	153687925	153688836	153691303	153691553
604	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693040	153693175	153691974	153692107	153693262	153693366
605	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693262	153693366	153690374	153690506	153694343	153694446
606	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693461	153693586	153693262	153693366	153694343	153694446
607	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693491	153693586	153693266	153693366	153694343	153694420
608	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693904	153694017	153693461	153693586	153694343	153694420
609	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153694129	153694267	153693904	153694017	153694343	153694420
610	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153694203	153694267	153693491	153693586	153694343	153694446
613	"ENSG00000262919.8"	"CCNQ"	chrX	-	153592505	153592733	153587924	153588454	153596003	153596187
614	"ENSG00000262919.8"	"CCNQ"	chrX	-	153592505	153592733	153587931	153588394	153594546	153594679
616	"ENSG00000262919.8"	"CCNQ"	chrX	-	153594546	153594679	153587931	153588394	153596003	153596063
617	"ENSG00000262919.8"	"CCNQ"	chrX	-	153594546	153594679	153588054	153588454	153596003	153596063
620	"ENSG00000147394.20"	"ZNF185"	chrX	+	152915137	152915203	152914709	152914833	152917130	152917169
621	"ENSG00000147394.20"	"ZNF185"	chrX	+	152918064	152918154	152917284	152917362	152918982	152919081
623	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152920706	152920748	152928574	152928661
624	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152920706	152920748	152931671	152931776
625	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152922172	152922256	152928574	152928661
627	"ENSG00000147394.20"	"ZNF185"	chrX	+	152928574	152928661	152920706	152920748	152931671	152931776
