ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
18	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	63816	64019	45542	45769	95173	95232
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	45542	45769	95173	95232
86	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155506897	155507134	155489010	155491666	155511672	155511792
87	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507810	154507861	154507202	154507329	154508288	154508347
88	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507810	154507882	154507202	154507329	154508288	154508347
89	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507861	154508288	154508347	154507405	154507490	154508473	154508597
90	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508473	154508597	154511847	154511871	154508288	154508347	154512822	154512936
91	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154512822	154512936	154508473	154508597	154515759	154515812
92	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154441095	154441195	154437153	154437299	154441622	154441794
93	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154439005	154439140	154438005	154438630	154439940	154441794
94	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154366023	154366224	154365135	154365259	154366307	154366470
95	"ENSG00000284987.1"	"ENSG00000284987"	chrX	-	153873227	153873242	153875760	153875944	153872591	153872697	153909069	153909166
96	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153787050	153787153	153785766	153786449	153787463	153787597
97	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153787463	153787597	153786800	153786947	153787822	153787955
98	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153787822	153787955	153787050	153787153	153788074	153788135
99	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152928574	152928661	152920706	152920748	152931671	152931776
100	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776
101	"ENSG00000147394.20"	"ZNF185"	chrX	+	152932872	152932971	152936417	152936513	152931671	152931776	152938073	152938163
102	"ENSG00000010404.18"	"IDS"	chrX	-	149498106	149498307	149499228	149499354	149496345	149496516	149500948	149501037
107	"ENSG00000165675.20"	"ENOX2"	chrX	-	130679541	130679748	130688862	130689018	130669964	130670198	130703119	130703254
112	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123703453	123703505	123671668	123671761	123706857	123706949
114	"ENSG00000018610.15"	"STEEP1"	chrX	-	119542504	119542594	119560267	119560385	119541327	119541420	119565231	119565408
115	"ENSG00000018610.15"	"STEEP1"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385
118	"ENSG00000101901.13"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725
119	"ENSG00000101901.13"	"ALG13"	chrX	+	111721602	111721711	111723797	111723898	111720094	111720170	111724933	111725061
120	"ENSG00000101901.13"	"ALG13"	chrX	+	111728184	111728305	111730394	111730427	111727642	111727770	111735050	111735122
123	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260
125	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101887197	101887304	101892704	101892754	101886631	101886731	101894453	101894904
126	"ENSG00000000003.16"	"TSPAN6"	chrX	-	100632484	100632568	100633404	100633539	100630758	100630866	100633930	100634029
129	"ENSG00000102158.22"	"MAGT1"	chrX	-	77853900	77853964	77855500	77855590	77841245	77841320	77856732	77856873
130	"ENSG00000102158.22"	"MAGT1"	chrX	-	77879568	77879613	77883932	77884028	77875427	77875597	77895308	77895431
169	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843
170	"ENSG00000285547.1"	"ENSG00000285547"	chrX	-	72568753	72568884	72572056	72572109	72567888	72568030	72572650	72572843
172	"ENSG00000147162.15"	"OGT"	chrX	+	71537828	71538072	71544566	71548023	71533086	71533336	71554512	71554592
173	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71554512	71554592	71537828	71538072	71555953	71556094
174	"ENSG00000147162.15"	"OGT"	chrX	+	71547906	71548023	71554512	71554592	71537828	71538072	71555953	71556094
204	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543885	53543968	53544559	53544762	53542442	53542539	53545028	53545161
205	"ENSG00000086758.17"	"HUWE1"	chrX	-	53562110	53562244	53562830	53562929	53561755	53561924	53563745	53563821
206	"ENSG00000086758.17"	"HUWE1"	chrX	-	53562830	53562929	53563745	53563821	53562110	53562244	53564573	53564722
207	"ENSG00000086758.17"	"HUWE1"	chrX	-	53563745	53563821	53564573	53564722	53562830	53562929	53565066	53565239
208	"ENSG00000086758.17"	"HUWE1"	chrX	-	53614533	53614745	53615743	53615835	53608851	53608909	53616969	53617147
209	"ENSG00000126012.14"	"KDM5C"	chrX	-	53218275	53218398	53220838	53220916	53217795	53217966	53224739	53225422
226	"ENSG00000171365.17"	"CLCN5"	chrX	+	50050282	50050413	50054439	50054633	50042337	50042462	50069878	50070030
227	"ENSG00000147144.13"	"CCDC120"	chrX	+	49064369	49064664	49065035	49065098	49063860	49064001	49065453	49065628
228	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978304	48978435	48981214	48981314	48976240	48976363	48981415	48981472
233	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990684	48990732	48993427	48993578	48989971	48990003	48997249	48997357
236	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48989971	48990003	48998153	48998180
238	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48993427	48993578	48999237	48999299	48990925	48991110	48999437	48999504
239	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48997357	48999437	48999504	48993186	48993578	49002187	49002244
243	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48478616	48478707	48479037	48479116	48478448	48478518	48481150	48481203
244	"ENSG00000068438.15"	"FTSJ1"	chrX	+	48481631	48481715	48482402	48482506	48481425	48481528	48482596	48482794
245	"ENSG00000130985.17"	"UBA1"	chrX	+	47203540	47203696	47206077	47206113	47203133	47203214	47206247	47206664
246	"ENSG00000130985.17"	"UBA1"	chrX	+	47211035	47211225	47212423	47212512	47210841	47210916	47212770	47212863
247	"ENSG00000102221.14"	"JADE3"	chrX	+	47027891	47028103	47033620	47033788	47024723	47024914	47038948	47039065
249	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41337465	41339035	41339083	41334161	41334297	41341483	41341616
250	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41342836	41343736	41343822	41340011	41342653	41344029	41344128
251	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41342836	41343215	41343351	41341483	41342653	41343736	41343822
252	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41342836	41343215	41343351	41342494	41342653	41344029	41344128
253	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41344029	41344128	41340005	41342836	41344238	41344399
254	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342494	41342653	41344029	41344128
256	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343220	41343351	41344029	41344128	41342736	41342836	41344238	41344399
