ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
36	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	272947	272991	243215	243401	291466	291575	36	0,0,0	2,2,0	2,0,0	3,3,0	193	149	1	1.0	0.0,0.0,NA	0.34,0.0,NA	-0.17
37	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	282656	282814	243215	243401	291466	291575	37	0,0,0	2,2,0	0,0,1	3,3,0	307	149	1	1.0	0.0,0.0,NA	0.0,0.0,1.0	-0.333
39	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	291466	291575	243215	243401	322697	322792	39	2,1,0	0,0,0	3,4,0	2,0,0	258	149	1	1.0	1.0,1.0,NA	0.464,1.0,NA	0.268
40	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	292137	292284	291466	291575	322697	322792	40	0,2,0	0,0,0	0,0,0	0,2,0	296	149	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
79	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	22463	22648	18788	19406	77752	77811	79	0,0,0	0,0,1	1,0,0	0,0,0	334	149	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
80	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	23650	23736	22299	22648	77752	77811	80	1,0,0	0,0,0	0,0,0	1,0,0	235	149	1	1.0	1.0,NA,NA	0.0,NA,NA	1.0
84	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	23650	23747	22238	22648	77752	77811	84	2,0,0	0,0,0	0,0,0	1,0,0	246	149	1	1.0	1.0,NA,NA	0.0,NA,NA	1.0
103	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	73797	73857	4088	4543	77752	77811	103	0,0,0	0,2,0	1,0,0	2,0,0	209	149	1	1.0	NA,0.0,NA	0.263,NA,NA	-0.263
119	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79420	77742	77811	79827	79951	119	0,0,1	0,2,0	7,0,2	0,0,0	342	149	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
121	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79427	77752	77811	79827	79939	121	0,0,1	0,2,0	7,0,2	0,0,0	349	149	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
122	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79446	77729	77811	79827	79934	122	0,0,1	0,2,0	7,0,2	0,0,0	368	149	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
124	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79468	77752	77811	79827	80031	124	0,0,1	0,2,0	7,0,2	0,0,0	390	149	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
126	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	79227	79513	77740	77811	79827	80000	126	0,0,1	0,2,0	7,0,2	0,0,0	435	149	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
137	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	137	1,0,2	2,1,0	4,2,4	0,1,2	337	149	0.0146064405976	0.4480129874381435	0.181,0.0,1.0	1.0,0.469,0.469	-0.252
147	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	38780	40028	45542	45769	147	31,33,28	0,0,0	58,41,45	0,2,0	380	149	1	1.0	1.0,1.0,1.0	1.0,0.889,1.0	0.037
148	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	47913	47967	148	19,33,20	0,0,0	38,17,37	2,0,0	376	149	1	1.0	1.0,1.0,1.0	0.883,1.0,1.0	0.039
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019	149	18,31,19	0,1,0	36,17,36	0,0,0	376	149	1	1.0	1.0,0.925,1.0	1.0,1.0,1.0	-0.025
150	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	150	28,35,28	10,4,7	53,31,46	17,7,1	376	149	0.473499136565	1.0	0.526,0.776,0.613	0.553,0.637,0.948	-0.074
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	153	0,1,1	10,5,9	3,0,0	19,16,11	203	149	1	1.0	0.0,0.128,0.075	0.104,0.0,0.0	0.033
154	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	63816	64019	154	25,38,26	0,1,0	32,29,15	0,0,0	378	149	1	1.0	1.0,0.937,1.0	1.0,1.0,1.0	-0.021
156	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	156	45,69,61	10,4,7	84,76,31	17,7,1	378	149	0.932657745254	1.0	0.639,0.872,0.775	0.661,0.811,0.924	-0.037
157	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019	157	26,41,27	0,1,0	34,31,17	2,2,1	378	149	0.0170295114132	0.48203644466729795	1.0,0.942,1.0	0.87,0.859,0.87	0.114
158	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	95173	95232	158	46,72,62	10,5,9	86,78,33	19,16,11	378	149	0.0655121083203	0.9388214742969783	0.645,0.85,0.731	0.641,0.658,0.542	0.128
160	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	56860	56968	47987	48142	95173	95232	160	0,0,0	27,37,45	4,0,0	57,50,18	257	149	0.895308474449	1.0	0.0,0.0,0.0	0.039,0.0,0.0	-0.013
165	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	40641	40872	95173	95232	165	27,26,28	10,4,7	17,15,11	17,7,1	352	149	0.301980957744	1.0	0.533,0.733,0.629	0.297,0.476,0.823	0.1
166	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232	166	27,26,28	10,5,9	19,17,12	19,16,11	352	149	0.000229829614655	0.03982344246936504	0.533,0.688,0.568	0.297,0.31,0.316	0.289
167	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	88536	89058	167	14,17,13	0,2,0	10,7,4	0,0,0	352	149	1	1.0	1.0,0.783,1.0	1.0,1.0,1.0	-0.072
168	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	92040	92100	168	14,17,13	4,2,1	10,7,3	5,3,2	352	149	0.026025443318	0.6031738088214298	0.597,0.783,0.846	0.458,0.497,0.388	0.294
169	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	95173	95232	169	34,31,38	27,37,45	22,18,13	57,50,18	352	149	0.00074320127203	0.07856327410428277	0.348,0.262,0.263	0.14,0.132,0.234	0.122
171	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	92040	92100	171	23,15,13	4,2,1	9,14,19	5,3,2	671	149	0.266926056104	1.0	0.561,0.625,0.743	0.286,0.509,0.678	0.152
172	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	95173	95232	172	22,17,12	27,37,45	12,15,20	57,50,18	671	149	0.531646546574	1.0	0.153,0.093,0.056	0.045,0.062,0.198	-0.001
174	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	95173	95232	174	22,15,12	20,14,25	12,15,21	12,11,10	671	149	0.0953173750497	1.0	0.196,0.192,0.096	0.182,0.232,0.318	-0.083
180	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	40641	40872	95173	95232	180	1,0,0	10,4,7	1,0,1	17,7,1	209	149	1	1.0	0.067,0.0,0.0	0.04,0.0,0.416	-0.13
181	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	46655	48142	95173	95232	181	5,2,1	27,37,45	6,3,3	57,50,18	209	149	0.451022034367	1.0	0.117,0.037,0.016	0.07,0.041,0.106	-0.016
183	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	63816	64019	95173	95232	183	1,0,0	20,14,25	1,0,1	12,11,10	209	149	1	1.0	0.034,0.0,0.0	0.056,0.0,0.067	-0.03
185	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	88346	89058	95173	95232	185	4,0,1	2,2,0	2,3,5	4,4,5	209	149	0.544656351837	1.0	0.588,0.0,1.0	0.263,0.348,0.416	0.187
186	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94769	47389	48142	95173	95232	186	0,2,0	27,37,45	2,1,0	57,50,18	360	149	1	1.0	0.0,0.022,0.0	0.014,0.008,0.0	0.0
187	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94829	46851	48142	95173	95232	187	0,2,2	27,37,45	2,1,0	57,50,18	420	149	1	1.0	0.0,0.019,0.016	0.012,0.007,0.0	0.005
