ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	1,0	2,2	0,0	0,2	307	149
37	0,0	0,1	0,1	0,0	296	149
129	0,0	0,1	2,0	0,0	196	149
131	2,2	0,1	13,2	0,0	237	149
132	11,2	0,1	7,9	0,0	411	149
133	1,5	0,1	4,3	0,0	337	149
134	1,5	1,2	4,3	10,4	337	149
144	22,27	1,0	34,19	0,0	376	149
145	20,24	0,0	36,19	0,2	376	149
146	33,29	18,24	49,28	11,6	376	149
149	3,2	14,5	0,0	15,9	203	149
150	27,17	0,0	31,18	0,2	378	149
152	86,54	18,24	57,42	11,6	378	149
153	29,20	1,0	31,18	2,0	378	149
154	88,57	14,5	57,42	15,9	378	149
161	10,16	18,24	14,13	11,6	352	149
162	11,16	14,5	16,11	15,9	352	149
163	9,5	6,5	13,9	4,4	352	149
164	14,18	63,39	22,13	34,26	352	149
166	32,24	6,5	33,17	4,4	671	149
167	28,24	63,39	38,15	34,26	671	149
173	3,1	18,24	1,0	11,6	209	149
174	9,6	63,39	5,4	34,26	209	149
176	3,1	5,13	1,0	9,4	209	149
178	9,4	2,3	2,2	6,0	209	149
180	1,1	14,5	0,0	15,9	420	149
181	0,1	63,39	0,0	34,26	420	149
183	0,0	64,46	1,0	35,20	237	149
185	0,0	64,46	1,0	35,20	250	149
189	0,0	64,46	3,2	35,20	390	149
190	0,0	64,46	3,2	35,20	435	149
244	0,0	5,1	1,1	1,2	365	149
249	3,0	5,1	2,6	1,2	362	149
525	30,45	0,0	107,26	5,1	288	149
526	109,100	0,0	219,112	1,0	386	149
527	91,69	1,0	152,123	0,0	269	149
528	138,99	0,0	249,175	0,1	326	149
529	146,115	3,0	187,150	0,0	331	149
530	14,19	8,1	6,7	3,0	301	149
531	14,15	4,0	6,4	0,0	301	149
533	159,156	0,2	212,142	0,0	351	149
535	0,1	3,4	0,0	2,1	302	149
537	153,157	0,0	220,141	2,0	234	149
538	51,74	20,14	61,37	13,15	200	149
539	31,36	20,14	45,24	13,15	221	149
543	34,27	0,1	35,35	0,0	173	149
544	44,62	0,0	76,59	0,1	173	149
545	18,30	0,0	42,22	0,1	247	149
546	49,52	53,65	76,54	79,59	247	149
547	25,16	53,65	22,27	79,59	267	149
548	130,162	1,5	175,102	3,4	263	149
549	855,744	2,0	923,794	0,0	249	149
550	1029,890	1,0	1193,977	0,0	295	149
551	889,740	7,6	906,727	0,0	211	149
552	746,639	0,3	880,641	0,0	198	149
553	1,0	374,325	2,2	341,222	320	149
554	183,166	1,2	168,97	0,0	257	149
555	884,774	1,2	808,625	0,0	249	149
556	836,809	7,14	792,669	0,0	284	149
557	0,0	450,452	0,2	388,338	237	149
558	677,646	0,1	750,560	0,0	348	149
559	195,202	1,2	184,138	0,0	348	149
560	375,365	1,2	376,343	0,0	281	149
562	854,809	1,2	942,765	0,0	281	149
563	363,353	4,3	273,205	0,0	249	149
564	797,783	2,0	735,635	0,0	249	149
565	142,123	3,2	109,79	0,0	321	149
566	1130,840	8,3	1111,741	1,1	294	149
567	385,249	5,5	416,242	0,0	204	149
569	1997,2124	0,0	1482,1006	2,0	353	149
570	2232,2149	7,5	2423,1675	0,1	282	149
571	2398,2364	2,0	1996,1457	0,0	265	149
572	1660,1682	0,0	1218,779	1,0	416	149
573	2631,2443	20,6	2458,1749	11,10	272	149
574	3863,3538	11,4	3500,2520	1,0	323	149
575	1507,1295	2,1	1290,869	0,0	278	149
576	1124,1459	16,14	741,449	8,9	245	149
577	1128,1013	311,352	1061,648	241,137	173	149
578	1919,2647	4,0	1274,813	0,0	747	149
579	1800,1926	1,1	1142,644	0,0	310	149
580	864,961	2,1	747,480	1,0	287	149
581	1,0	209,267	0,1	165,83	206	149
582	629,672	39,31	518,471	26,11	629	149
583	826,932	39,31	683,548	26,11	350	149
584	1571,1659	4,0	1344,786	0,0	638	149
586	667,543	2,1	1156,920	7,8	194	149
587	502,476	3,2	910,665	1,1	208	149
588	89,81	3,2	135,99	1,1	190	149
589	385,363	1,0	671,483	0,0	248	149
598	390,368	6,3	491,387	2,2	210	149
599	642,635	8,5	974,769	1,9	296	149
600	388,371	4,4	559,465	0,0	296	149
601	257,199	4,4	310,217	0,0	252	149
602	7,5	1,0	1,6	0,0	252	149
603	503,459	0,1	724,511	0,0	252	149
604	369,264	1,0	534,422	0,0	283	149
605	656,510	2,3	900,679	0,0	283	149
606	1,0	658,517	0,0	850,573	236	149
607	816,660	0,2	1100,772	0,0	262	149
608	92,88	0,1	114,86	1,0	161	149
609	1,0	38,46	0,0	41,28	285	149
610	1031,936	1,3	995,754	4,2	284	149
611	549,599	0,0	687,434	1,1	287	149
613	138,168	6,2	121,116	0,0	377	149
614	51,57	4,0	44,44	0,0	377	149
615	130,140	0,0	111,91	2,0	377	149
616	43,29	1,0	34,19	0,0	377	149
617	144,115	1,0	192,165	0,0	282	149
618	150,117	4,0	190,165	0,0	282	149
620	1,2	32,41	3,0	46,33	434	149
621	178,207	4,8	302,186	6,9	215	149
622	205,217	0,0	348,262	1,2	239	149
623	111,112	2,2	266,147	3,6	233	149
624	77,77	3,0	170,105	0,0	233	149
625	87,74	0,2	170,105	0,2	233	149
626	92,98	30,32	158,126	51,40	239	149
627	74,71	40,29	139,77	51,41	239	149
628	64,53	0,2	94,71	0,2	236	149
629	90,85	40,29	145,111	51,41	236	149
630	113,116	30,36	179,144	66,24	236	149
631	113,109	1,1	185,125	0,2	248	149
632	212,215	5,7	390,280	9,13	248	149
633	8,19	5,7	21,26	9,13	245	149
634	23,40	119,127	50,40	240,173	245	149
635	195,210	2,1	347,237	2,0	239	149
637	278,252	0,0	521,328	7,1	347	149
638	139,128	0,0	258,182	7,1	388	149
639	221,212	0,1	407,268	0,0	252	149
656	2,0	19,11	1,0	4,1	185	149
657	24,18	5,2	6,4	0,0	231	149
658	0,0	2,3	3,1	6,2	259	149
659	12,3	14,14	9,5	9,4	295	149
660	24,27	2,0	24,10	0,0	332	149
661	32,34	2,3	23,14	2,3	332	149
662	384,344	4,6	243,190	4,1	323	149
663	207,168	0,1	140,99	0,0	320	149
664	494,369	6,10	370,269	2,1	350	149
665	61,55	5,12	52,41	5,3	688	149
666	38,34	5,12	27,22	5,3	282	149
667	12,7	5,2	4,1	0,0	189	149
668	32,31	190,145	26,10	125,83	279	149
669	1,0	205,145	0,0	163,106	275	149
670	34,38	167,116	11,6	121,86	252	149
671	364,306	1,1	294,187	0,0	327	149
672	58,75	1,0	55,39	0,0	286	149
673	61,76	2,1	63,43	0,0	292	149
700	27,30	3,1	36,28	0,0	254	149
703	39,20	1,0	27,29	0,0	215	149
704	59,41	0,1	53,41	0,0	209	149
705	32,18	4,0	55,16	0,5	221	149
730	6,0	0,1	2,0	0,0	278	149
735	271,238	0,1	374,285	0,0	215	149
736	188,202	0,0	326,223	2,0	226	149
745	1,0	2,0	2,9	6,2	236	149
746	2,0	49,38	6,2	34,17	182	149
771	44,47	0,2	72,65	0,0	256	149
772	83,69	0,1	90,66	0,0	362	149
773	123,93	2,0	118,83	0,0	383	149
774	111,62	6,0	148,78	2,1	356	149
775	81,52	0,1	92,69	0,1	305	149
776	6,4	29,21	4,3	26,19	238	149
778	48,31	6,0	55,32	2,5	293	149
779	0,4	19,11	4,0	29,14	240	149
782	0,0	56,50	1,0	79,47	419	149
783	12,15	56,50	24,22	79,47	1360	149
785	126,116	7,4	158,83	6,7	239	149
786	182,160	1,0	311,169	0,0	264	149
789	33,28	53,60	46,34	104,68	173	149
790	11,7	97,90	4,3	140,89	277	149
798	219,157	0,3	281,274	2,0	307	149
799	69,43	3,1	94,98	0,1	219	149
800	55,23	1,0	69,66	0,0	185	149
801	73,43	1,0	94,88	0,0	266	149
802	7,5	60,60	14,10	97,83	215	149
803	227,173	0,0	314,213	0,1	329	149
804	165,124	0,0	283,178	3,1	305	149
805	40,26	0,0	65,31	1,0	242	149
806	44,33	0,0	100,56	0,1	242	149
807	84,55	1,0	124,71	0,1	316	149
808	87,55	3,3	124,72	2,0	316	149
809	111,131	1,0	168,134	0,0	283	149
811	90,112	0,1	157,86	0,0	220	149
812	25,20	3,3	20,16	2,0	201	149
813	25,22	4,2	20,15	0,1	201	149
814	83,99	1,1	128,74	0,1	201	149
835	4,7	33,33	7,4	37,28	251	149
841	0,1	15,16	0,0	16,20	247	149
842	237,152	2,1	373,250	0,0	288	149
843	112,80	0,0	196,134	0,1	288	149
844	30,22	0,0	37,40	0,1	191	149
845	139,89	0,0	211,151	3,1	191	149
846	8220,7110	4,0	14780,10620	0,0	636	149
848	1259,1036	0,2	2203,1637	5,2	305	149
849	154,120	1,0	264,192	0,0	945	149
850	25,26	1,0	48,38	0,0	346	149
851	34,36	1,0	74,34	5,2	282	149
853	4,1	6,3	0,0	11,2	223	149
854	297,208	0,3	449,337	0,0	230	149
855	2,2	265,191	1,6	397,308	268	149
856	0,1	265,191	0,6	397,308	531	149
858	600,439	1,0	822,576	2,0	345	149
863	2,0	0,0	6,4	1,0	248	149
864	4,3	92,44	6,0	85,45	187	149
865	2,0	6,9	0,0	8,2	260	149
866	2,0	0,2	2,0	0,0	260	149
867	28,31	0,3	38,16	0,3	516	149
868	27,26	0,2	25,9	0,0	516	149
869	22,22	0,0	30,14	1,0	516	149
870	3,4	0,2	5,8	0,0	233	149
872	3,1	2,0	6,1	0,0	200	149
873	0,2	12,5	6,4	22,11	201	149
874	21,7	1,0	34,18	0,0	231	149
875	33,20	0,1	28,32	0,2	258	149
876	13,14	0,0	13,19	1,1	258	149
878	3,6	0,0	2,8	1,1	214	149
879	22,11	0,0	16,20	0,1	214	149
881	37,23	1,0	43,27	0,0	306	149
882	15,25	5,0	34,17	0,0	205	149
883	48,23	0,4	26,23	0,0	386	149
886	0,0	1,0	0,2	0,0	221	149
887	0,6	0,0	2,0	0,1	311	149
890	0,2	187,159	0,0	232,183	241	149
892	359,330	3,6	467,350	0,2	333	149
893	223,198	4,0	265,207	0,0	333	149
894	223,198	0,1	263,207	0,0	333	149
895	78,68	4,0	138,86	0,0	248	149
896	3,6	0,1	0,2	0,0	248	149
897	205,190	0,0	340,225	2,0	248	149
899	75,62	0,0	138,83	2,0	246	149
900	158,149	0,1	236,149	0,0	274	149
904	0,1	173,163	0,0	270,186	217	149
906	4,0	295,204	0,0	266,204	271	149
907	1,0	295,204	0,0	266,204	247	149
909	3,1	1,0	4,2	0,3	195	149
913	880,599	32,15	1532,1087	4,0	251	149
914	1366,1024	178,138	2197,1638	154,95	251	149
915	875,637	32,15	1552,1139	4,0	271	149
916	902,664	178,138	1607,1177	154,95	271	149
917	1093,781	32,15	1829,1345	4,0	302	149
918	1567,1103	178,138	2352,1767	154,95	302	149
919	201,138	178,138	128,114	154,95	198	149
920	256,176	576,481	246,174	788,611	198	149
921	179,139	37,43	131,120	63,44	198	149
922	260,196	566,395	194,168	593,476	198	149
923	551,482	3,0	774,609	1,0	239	149
924	54,66	0,2	86,69	0,0	239	149
