ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	39582	39770	38789	39019	39873	40028	10	1,0	13,2	0,0,0	0,3,6	298	237	1	1.0	0.058,0.0	NA,0.0,0.0	0.029
11	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	39582	39770	38789	39019	39873	40028	11	1,0	4,0	0,0,0	0,2,4	298	298	1	1.0	0.2,NA	NA,0.0,0.0	0.2
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40864	45542	45769	39873	40028	95173	95232	12	15,9	16,13	19,18,11	34,23,22	298	298	0.375453859165	0.9195583963368195	0.484,0.409	0.358,0.439,0.333	0.07
13	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	45542	45769	39873	40028	47913	47967	13	0,0	16,13	4,4,2	36,23,22	298	298	0.00164361448778	0.04929914867584192	0.0,0.0	0.1,0.148,0.083	-0.11
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	45542	45769	39873	40028	95173	95232	14	15,9	27,19	19,18,11	51,30,23	298	298	0.726751397208	1.0	0.357,0.321	0.271,0.375,0.324	0.016
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	47913	48142	40641	40872	95173	95232	16	34,26	32,16	59,50,18	37,25,30	298	298	0.988304722542	1.0	0.515,0.619	0.615,0.667,0.375	0.015
17	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	63816	64019	40641	40872	95173	95232	17	9,6	32,16	12,11,10	37,25,30	298	298	0.672375735009	1.0	0.22,0.273	0.245,0.306,0.25	-0.02
18	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	92040	92100	40641	40872	95173	95232	18	1,0	32,16	1,0,1	37,25,30	209	298	1	1.0	0.043,0.0	0.037,0.0,0.045	-0.006
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	63816	64019	45542	45769	95173	95232	21	11,4	0,0	14,13,11	3,0,0	298	203	0.710974502558	1.0	1.0,1.0	0.761,1.0,1.0	0.08
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	40641	40872	95173	95232	22	9,6	34,26	12,11,10	59,50,18	298	298	0.790236696091	1.0	0.209,0.188	0.169,0.18,0.357	-0.037
