"","exon","WT1","WT2","WT3","WT+M1","WT+M2","WT+M2","KO-0-1","KO-0-2","KO-1-1","KO-1-2","KO-2-1","KO-2-2","KO-3-1","KO-3-2","KO-4-1","KO-4-2"
"1","chr1:100017682-100017815",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2","chr1:100017682-100017881",0,0,0,0,0,0.817073170731707,0,0,0,0,0,0,0,0,0,0
"3","chr1:100038095-100038316",0.550691244239631,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"4","chr1:100078451-100078548",0.449308755760369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","chr1:100078451-100080659",0.797142857142857,0,0,0.935361216730038,0.936,0,0,0,0,0,0.878260869565217,0,0,0,0.667701863354037,0
"6","chr1:1001138-1001281",0,0,0,1,0,0,0,0,0,0,0,0.0107794361525705,0,0,0,0
"7","chr1:100132750-100132955",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"8","chr1:100133150-100133315",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","chr1:100249770-100249834",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","chr1:100266004-100266182",1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1
"11","chr1:100266216-100266420",0.308510638297872,1,1,0.25,0.353846153846154,0,0.265625,0,1,1,1,1,0.376470588235294,0.369565217391304,0.236111111111111,1
"12","chr1:100266524-100266929",0.691489361702128,0,0,0.75,0.646153846153846,1,0.734375,1,0,0,0,0,0.623529411764706,0.630434782608696,0.763888888888889,0
"13","chr1:10032832-10033694",0.654891304347826,1,1,1,1,1,1,1,1,1,0.524324324324324,1,1,1,1,1
"14","chr1:100352467-100353003",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"15","chr1:100894633-100895179",1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
"16","chr1:100896076-100896342",1,1,1,1,1,1,1,1,1,0.587155963302752,1,1,1,1,1,1
"17","chr1:100912112-100912238",0,0,0,0,0,0,0,0,0,0.412844036697248,0,0,0,0,0,0
"18","chr1:101021641-101026088",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","chr1:101025844-101027130",1,1,1,1,1,1,1,1,1,1,1,1,1,0.487179487179487,1,1
"20","chr1:10102948-10103185",0.345108695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","chr1:101072660-101072830",0,0,0,0,0,0,0,0,0,0,0,0,0,0.512820512820513,0,0
"22","chr1:1013497-1013576",0,0,0,0,0,0,0,0,1,1,1,0.98922056384743,1,1,1,1
"23","chr1:10134988-10135186",0,0,0,0,0,0,0,0,0,0,0.475675675675676,0,0,0,0,0
"24","chr1:1020120-1020373",0.14136546184739,0.149105367793241,0.134706814580032,0.114799446749654,0.170289855072464,0.148,0.191850594227504,0.136929460580913,0.137771918259723,0.159210526315789,0.192307692307692,0.16,0.210197710718002,0.144301470588235,0.275244299674267,0.149875104079933
"25","chr1:10210570-10210878",0.0769230769230769,0.104347826086957,0,0.227272727272727,0,0,0.116788321167883,0,0,0,0,0,0,0,0,0
"26","chr1:10232250-10232434",0.923076923076923,0.895652173913044,1,0.772727272727273,0.644859813084112,1,0.883211678832117,1,1,1,1,0.739583333333333,1,1,1,1
"27","chr1:10272241-10272306",0,0,0,0,0.355140186915888,0,0,0,0,0,0,0,0,0,0,0
"28","chr1:10336657-10336742",0,0,0,0,0,0,0,0,0,0,0,0.260416666666667,0,0,0,0
"29","chr1:103525691-103526262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","chr1:103553815-103555109",1,1,1,0.41025641025641,1,1,1,0.396946564885496,1,1,1,1,1,0,1,1
"31","chr1:103573708-103573938",0,0,0,0.58974358974359,0,0,0,0.603053435114504,0,0,0,0,0,0,0,0
"32","chr1:103619554-103619784",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","chr1:103662657-103662775",1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0
"34","chr1:103689194-103689312",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"35","chr1:10399044-10399125",0.460674157303371,0.457260556127703,0.464285714285714,0.494597839135654,0.46375,0.48567335243553,0.495210727969349,0.439093484419263,0.422558922558923,0.420948616600791,0.451685393258427,0.488469601677149,0.412751677852349,0.434262948207171,0.454545454545455,0.456273764258555
"36","chr1:10399498-10400008",0.539325842696629,0.542739443872297,0.535714285714286,0.505402160864346,0.53625,0.51432664756447,0.504789272030651,0.560906515580737,0.577441077441077,0.579051383399209,0.548314606741573,0.511530398322851,0.587248322147651,0.565737051792829,0.545454545454545,0.543726235741445
"37","chr1:1041173-1041397",0,0,0,0,0,0,0,0,0,0,0.0171849427168576,0,0,0,0,0
"38","chr1:10430102-10430568",0.50251256281407,0.581632653061224,0.514563106796116,0.470588235294118,0.476190476190476,0.52112676056338,0.435897435897436,0.417391304347826,0.493975903614458,0.4,0.475609756097561,0.628571428571429,0.176100628930818,0.727272727272727,1,0.188571428571429
"39","chr1:10430433-10430568",0.50251256281407,0.581632653061224,0.514563106796116,0.470588235294118,0.476190476190476,0.52112676056338,0.435897435897436,0.417391304347826,0.493975903614458,0.4,0.475609756097561,0.628571428571429,0.176100628930818,0.727272727272727,1,0.188571428571429
"40","chr1:10430783-10431401",0.49748743718593,0.418367346938776,0.485436893203884,0.529411764705882,0.523809523809524,0.47887323943662,0.564102564102564,0.582608695652174,0.506024096385542,0.6,0.524390243902439,0.371428571428571,0.163522012578616,0,0,0.182857142857143
"41","chr1:10430804-10431401",0.49748743718593,0.418367346938776,0.485436893203884,0.529411764705882,0.523809523809524,0.47887323943662,0.564102564102564,0.582608695652174,0.506024096385542,0.6,0.524390243902439,0.371428571428571,0.163522012578616,0,0,0.182857142857143
"42","chr1:10433842-10433965",0,0,0,0,0,0,0,0,0,0,0,0,0.660377358490566,0,0,0.628571428571429
"43","chr1:10434657-10434690",0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0,0
"44","chr1:1043538-1043732",0.0449799196787149,0.0556660039761431,0.0649762282091918,0.0304287690179806,0.0235507246376812,0.056,0.032258064516129,0,0.042188529993408,0.0572368421052632,0.0711947626841244,0.0715384615384615,0,0.0257352941176471,0.0358306188925081,0.0291423813488759
"45","chr1:1044109-1044257",0.072289156626506,0.0666003976143141,0.126782884310618,0.0663900414937759,0.0507246376811594,0,0.0475382003395586,0.0228215767634855,0.0764667106130521,0.0828947368421053,0,0.09,0.0894901144640999,0.0670955882352941,0.0846905537459283,0.0874271440466278
