ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	24,29	7,2	16,12,4	0,2,6	245	149	0.871015448847	1.0	0.676,0.898	1.0,0.785,0.288	0.096
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	67,53	4,0	64,42,41	0,0,0	963	149	0.0152803944009	0.05705226127580433	0.722,1.0	1.0,1.0,1.0	-0.139
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	63,51	5,2	61,40,41	2,3,1	934	149	0.385030415163	0.7325225139878558	0.668,0.803	0.83,0.68,0.867	-0.057
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	51,39	10,4	55,36,39	0,1,2	819	149	4.72756926332e-05	0.0004082852328873995	0.481,0.639	1.0,0.868,0.78	-0.323
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	47,30	16,13	41,32,33	34,23,22	762	149	0.01360993893	0.05213517565143357	0.365,0.311	0.191,0.214,0.227	0.127
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	5,2	0,2	10,4,10	0,0,0	248	149	0.340878313943	0.6735881962455209	1.0,0.375	1.0,1.0,1.0	-0.312
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953	54	0,0	0,2	0,0,1	0,3,1	1174	149	1	1.0	NA,0.0	NA,0.0,0.113	-0.057
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	65,33	13,6	71,78,59	6,6,7	246	149	0.03272809308	0.10662351139784197	0.752,0.769	0.878,0.887,0.836	-0.107
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	54,48	641,479	128,123,94	863,702,517	296	149	3.73992035955e-05	0.00033234587760589746	0.041,0.048	0.069,0.081,0.084	-0.034
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	649,450	1474,1033	1762,1500,1279	2053,1510,1173	850	149	1.7763568394e-15	1.9461258001940856e-13	0.072,0.071	0.131,0.148,0.16	-0.075
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	842,605	0,1	2416,2068,1777	0,2,0	1522	149	1	1.0	1.0,0.983	1.0,0.99,1.0	-0.005
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	207,164	1029,695	673,593,519	1522,1158,1025	688	149	3.91908727693e-13	2.3298821958741218e-11	0.042,0.049	0.087,0.1,0.099	-0.05
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	97,104	939,718	341,292,224	1124,933,660	1372	149	7.1054273576e-15	6.8114403006793e-13	0.011,0.015	0.032,0.033,0.036	-0.021
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	111,104	7,8	350,314,231	3,1,0	1617	149	2.44182141174e-09	6.119715165566686e-08	0.594,0.545	0.915,0.967,1.0	-0.391
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	43,31	886,727	66,84,74	1118,868,565	349	149	2.70208949575e-05	0.00024817154901684733	0.02,0.018	0.025,0.04,0.053	-0.02
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	4,2	0,0	2,2,0	2,0,0	1374	149	1	1.0	1.0,1.0	0.098,1.0,NA	0.451
70	"ENSG00000165359.16"	"INTS6L"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033	70	6,2	2,0	6,2,2	0,0,0	3532	149	0.00147084915676	0.007882559177632732	0.112,1.0	1.0,1.0,1.0	-0.444
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	45,18	0,0	55,55,38	0,1,0	204	149	1	1.0	1.0,1.0	1.0,0.976,1.0	0.008
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	14,2	2,0	6,30,15	0,0,2	1827	149	0.408336626331	0.765094939489968	0.363,1.0	1.0,1.0,0.38	-0.112
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	80	18,14	15,6	50,41,26	11,6,2	260	149	0.000836616304793	0.004920253406025703	0.407,0.572	0.723,0.797,0.882	-0.311
