ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
36	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	272947	272991	243215	243401	291466	291575	36	0,0	0,2	2,0,0	3,3,0	193	149	1	1.0	NA,0.0	0.34,0.0,NA	-0.17
37	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	282656	282814	243215	243401	291466	291575	37	0,0	0,2	0,0,1	3,3,0	307	149	1	1.0	NA,0.0	0.0,0.0,1.0	-0.333
39	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	291466	291575	243215	243401	322697	322792	39	0,2	0,0	3,4,0	2,0,0	258	149	1	1.0	NA,1.0	0.464,1.0,NA	0.268
40	"ENSG00000297236.1"	"ENSG00000297236"	chrKI270727.1	+	292137	292284	291466	291575	322697	322792	40	0,1	0,0	0,0,0	0,2,0	296	149	1	1.0	NA,1.0	NA,0.0,NA	1.0
137	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	137	4,3	10,4	4,2,4	0,1,2	337	149	0.0102788009639	0.19378989875115965	0.15,0.249	1.0,0.469,0.469	-0.446
147	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	38780	40028	45542	45769	147	34,23	0,0	58,41,45	0,2,0	380	149	1	1.0	1.0,1.0	1.0,0.889,1.0	0.037
148	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	47913	47967	148	34,19	0,0	38,17,37	2,0,0	376	149	1	1.0	1.0,1.0	0.883,1.0,1.0	0.039
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019	149	36,19	0,2	36,17,36	0,0,0	376	149	0.759962409962	1.0	1.0,0.79	1.0,1.0,1.0	-0.105
150	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	150	49,28	11,6	53,31,46	17,7,1	376	149	0.475167541292	1.0	0.638,0.649	0.553,0.637,0.948	-0.069
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	153	0,0	15,9	3,0,0	19,16,11	203	149	0.854298259941	1.0	0.0,0.0	0.104,0.0,0.0	-0.035
154	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	63816	64019	154	31,18	0,2	32,29,15	0,0,0	378	149	0.765600902346	1.0	1.0,0.78	1.0,1.0,1.0	-0.11
156	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	156	57,42	11,6	84,76,31	17,7,1	378	149	0.336775186657	1.0	0.671,0.734	0.661,0.811,0.924	-0.096
157	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019	157	31,18	2,0	34,31,17	2,2,1	378	149	0.199560756462	1.0	0.859,1.0	0.87,0.859,0.87	0.063
158	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	95173	95232	158	57,42	15,9	86,78,33	19,16,11	378	149	0.907910782144	1.0	0.6,0.648	0.641,0.658,0.542	0.01
160	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	56860	56968	47987	48142	95173	95232	160	0,0	34,26	4,0,0	57,50,18	257	149	0.888559873367	1.0	0.0,0.0	0.039,0.0,0.0	-0.013
165	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	40641	40872	95173	95232	165	14,13	11,6	17,15,11	17,7,1	352	149	0.551794083074	1.0	0.35,0.478	0.297,0.476,0.823	-0.118
166	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232	166	16,11	15,9	19,17,12	19,16,11	352	149	0.837233118951	1.0	0.311,0.341	0.297,0.31,0.316	0.018
168	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	92040	92100	168	13,9	4,4	10,7,3	5,3,2	352	149	0.528386028091	1.0	0.579,0.488	0.458,0.497,0.388	0.086
169	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	95173	95232	169	22,13	34,26	22,18,13	57,50,18	352	149	0.307001927522	1.0	0.215,0.175	0.14,0.132,0.234	0.026
171	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	92040	92100	171	33,17	4,4	9,14,19	5,3,2	671	149	0.477198962148	1.0	0.647,0.486	0.286,0.509,0.678	0.076
172	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	95173	95232	172	38,15	34,26	12,15,20	57,50,18	671	149	0.00714684493628	0.1540788517925879	0.199,0.114	0.045,0.062,0.198	0.055
174	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	95173	95232	174	38,15	9,4	12,15,21	12,11,10	671	149	0.00613660276067	0.13916571117676854	0.484,0.454	0.182,0.232,0.318	0.225
180	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	40641	40872	95173	95232	180	1,0	11,6	1,0,1	17,7,1	209	149	1	1.0	0.061,0.0	0.04,0.0,0.416	-0.121
181	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	46655	48142	95173	95232	181	5,4	34,26	6,3,3	57,50,18	209	149	0.369054253017	1.0	0.095,0.099	0.07,0.041,0.106	0.025
183	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	63816	64019	95173	95232	183	1,0	9,4	1,0,1	12,11,10	209	149	1	1.0	0.073,0.0	0.056,0.0,0.067	-0.005
185	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	88346	89058	95173	95232	185	2,2	6,0	2,3,5	4,4,5	209	149	0.532319851081	1.0	0.192,1.0	0.263,0.348,0.416	0.254
186	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94769	47389	48142	95173	95232	186	0,0	34,26	2,1,0	57,50,18	360	149	1	1.0	0.0,0.0	0.014,0.008,0.0	-0.007
187	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94829	46851	48142	95173	95232	187	0,0	34,26	2,1,0	57,50,18	420	149	1	1.0	0.0,0.0	0.012,0.007,0.0	-0.006
189	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96506	96594	95173	95232	97367	97418	189	1,0	35,20	0,0,0	55,45,33	237	149	1	1.0	0.018,0.0	0.0,0.0,0.0	0.009
