ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39059	39873	40028	35	9,4	4,0	5,5,1	0,0,0	178	149	0.0101279203434	0.1411574632239335	0.653,1.0	1.0,1.0,1.0	-0.173
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39059	39873	40028	36	16,14	4,0	9,6,2	0,0,0	298	149	0.0126636533633	0.16342214011252715	0.667,1.0	1.0,1.0,1.0	-0.166
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39088	39873	40028	37	14,17	5,2	11,6,4	2,3,1	298	149	0.961645367801	1.0	0.583,0.81	0.733,0.5,0.667	0.063
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39059	39873	40028	41	9,7	4,0	6,4,2	0,0,0	252	149	0.00791130156681	0.11930388381316051	0.571,1.0	1.0,1.0,1.0	-0.215
42	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39059	39873	40028	42	16,13	4,0	9,6,2	0,0,0	291	149	0.0126276111861	0.16342214011252715	0.672,1.0	1.0,1.0,1.0	-0.164
43	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39059	39873	40028	43	26,18	4,0	9,7,4	0,0,0	293	149	0.024925112468	0.24726972459220956	0.768,1.0	1.0,1.0,1.0	-0.116
44	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39088	39873	40028	44	5,5	5,2	3,2,2	2,3,1	223	149	0.727631093928	1.0	0.401,0.626	0.501,0.308,0.572	0.053
45	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39088	39873	40028	45	12,11	5,2	6,4,2	2,3,1	262	149	0.486591077047	1.0	0.577,0.758	0.63,0.431,0.532	0.136
46	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39088	39873	40028	46	22,16	5,2	6,5,4	2,3,1	264	149	0.346171227516	1.0	0.713,0.819	0.629,0.485,0.693	0.164
52	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39059	39873	40028	52	5,5	4,0	4,2,0	0,0,0	201	149	1	1.0	0.481,1.0	1.0,1.0,NA	-0.26
53	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39770	38789	39059	39873	40028	53	17,14	4,0	9,6,2	0,0,0	298	149	0.0133619774382	0.1690567237630327	0.68,1.0	1.0,1.0,1.0	-0.16
54	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38789	39111	38789	39088	39873	40028	54	1,3	5,2	1,0,0	2,3,1	172	149	0.00388972595426	0.0746800182337121	0.148,0.565	0.302,0.0,0.0	0.256
