ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
132	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	38783	39019	39873	40028	132	2,2	0,1	0,3	2,0	237	149	0.055074096301	0.6305406387528694	1.0,0.557	0.0,1.0	0.278
133	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	38789	39019	39873	40028	133	1,0	0,1	0,7	2,0	298	149	0.0924661932132	0.8280942357421398	1.0,0.0	0.0,1.0	0.0
134	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	38789	39019	39873	40028	134	0,3	0,1	4,0	2,0	298	149	1	1.0	NA,0.6	0.5,NA	0.1
135	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39582	39770	39115	39203	39873	40028	135	0,3	1,2	4,0	0,2	298	149	0.754372784081	1.0	0.0,0.429	1.0,0.0	-0.285
143	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	40641	40872	28352	28387	95173	95220	143	18,24	0,0	10,15	3,0	298	149	0.0927435143165	0.829592601644996	1.0,1.0	0.625,1.0	0.188
145	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	47913	47967	145	8,14	1,0	14,8	2,0	298	149	0.890741987652	1.0	0.8,1.0	0.778,1.0	0.011
146	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019	146	6,11	0,0	13,6	2,0	298	149	0.914780328696	1.0	1.0,1.0	0.765,1.0	0.117
147	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	95173	95232	147	19,16	18,24	29,29	10,15	298	149	0.00349438088677	0.13988463134598855	0.345,0.25	0.592,0.492	-0.245
149	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	40641	40872	95173	95232	149	0,0	18,24	1,0	10,15	203	149	1	1.0	0.0,0.0	0.068,0.0	-0.034
150	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	45542	45769	95173	95232	150	3,2	14,5	1,1	16,23	203	149	0.0330421015521	0.4806749923478482	0.136,0.227	0.044,0.031	0.144
151	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	63816	64019	151	5,2	0,0	6,1	2,0	298	149	0.600739750313	1.0	1.0,1.0	0.6,1.0	0.2
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	40469	40872	95173	95232	153	64,39	18,24	52,30	10,15	298	149	0.49399251065	1.0	0.64,0.448	0.722,0.5	-0.067
154	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019	154	7,5	1,0	5,3	0,0	298	149	1	1.0	0.778,1.0	1.0,1.0	-0.111
155	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	95173	95232	155	66,42	14,5	51,32	16,23	298	149	0.00934468449199	0.2407263799666282	0.702,0.808	0.614,0.41	0.243
162	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	40641	40872	95173	95232	162	5,13	18,24	11,9	10,15	298	149	0.152034678498	1.0	0.122,0.213	0.355,0.231	-0.126
163	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232	163	6,13	14,5	9,9	16,23	298	149	0.199692307022	1.0	0.176,0.565	0.22,0.164	0.178
164	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	92040	92100	164	4,2	6,5	4,1	0,6	298	149	0.436318951074	1.0	0.25,0.167	1.0,0.077	-0.33
165	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	95173	95232	165	9,15	63,39	13,10	50,30	298	149	0.611835377338	1.0	0.067,0.161	0.115,0.143	-0.015
167	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	92040	92100	167	14,6	6,5	4,3	0,6	298	149	0.690441470382	1.0	0.538,0.375	1.0,0.2	-0.143
168	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	46851	48142	95173	95232	168	10,6	63,39	2,1	50,30	298	149	0.00273606497835	0.12030791329901283	0.074,0.071	0.02,0.016	0.054
174	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	40641	40872	95173	95232	174	3,1	18,24	1,3	10,15	209	149	0.616818209987	1.0	0.106,0.029	0.067,0.125	-0.028
175	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	46655	48142	95173	95232	175	9,6	63,39	1,9	50,30	209	149	0.687539030021	1.0	0.092,0.099	0.014,0.176	0.001
177	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	63816	64019	95173	95232	177	3,1	5,13	1,3	9,9	209	149	0.771037915544	1.0	0.3,0.052	0.073,0.192	0.043
179	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	92040	92100	88346	89058	95173	95232	179	9,4	2,3	5,6	2,1	209	149	0.514628310212	1.0	0.762,0.487	0.641,0.811	-0.101
180	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94769	47389	48142	95173	95232	180	0,0	63,39	2,0	50,30	298	149	1	1.0	0.0,0.0	0.02,0.0	-0.01
181	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94829	45542	45769	95173	95232	181	1,1	14,5	0,4	16,23	298	149	0.621142388314	1.0	0.034,0.091	0.0,0.08	0.022
182	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	94558	94829	46851	48142	95173	95232	182	0,1	63,39	2,4	50,30	298	149	0.125438149819	0.9677945651953086	0.0,0.013	0.02,0.062	-0.035
185	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96664	95173	95232	97367	97432	185	0,0	64,46	0,1	53,51	169	149	1	1.0	0.0,0.0	0.0,0.017	-0.009
186	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96745	95173	95232	97367	97417	186	0,0	64,46	0,1	53,51	250	149	1	1.0	0.0,0.0	0.0,0.012	-0.006
190	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96885	95173	95232	97367	97406	190	0,0	64,46	0,2	53,51	298	149	1	1.0	0.0,0.0	0.0,0.019	-0.009
191	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96930	95173	95232	97367	97418	191	0,0	64,46	0,2	53,51	298	149	1	1.0	0.0,0.0	0.0,0.019	-0.009
250	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	142142	142240	149088	149164	250	3,0	5,1	2,3	1,0	298	149	0.000401885622899	0.03858118657553261	0.231,0.0	0.5,1.0	-0.634
525	"ENSG00000185973.12"	"TMLHE"	chrX	-	155511672	155511792	155506897	155507134	155513985	155514265	525	91,69	1,0	101,100	0,0	269	149	1	1.0	0.981,1.0	1.0,1.0	-0.01
526	"ENSG00000185973.12"	"TMLHE"	chrX	-	155545095	155545277	155524270	155524632	155612791	155612877	526	119,96	3,0	111,111	0,0	298	149	0.433067577286	1.0	0.952,1.0	1.0,1.0	-0.024
527	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065905	155066057	155065618	155065789	155070693	155071136	527	14,19	8,1	9,7	1,4	298	149	0.833785661572	1.0	0.467,0.905	0.818,0.467	0.044
528	"ENSG00000214827.11"	"MTCP1"	chrX	-	155065905	155066057	155065618	155065789	155147659	155147775	528	14,15	4,0	7,6	0,0	298	149	0.0124299567321	0.28388326761977595	0.636,1.0	1.0,1.0	-0.182
529	"ENSG00000269335.7"	"IKBKG"	chrX	+	154542281	154542452	154541254	154541391	154551987	154552189	529	10,4	3,3	8,4	8,2	298	149	0.341202783949	1.0	0.625,0.4	0.333,0.5	0.096
530	"ENSG00000269335.7"	"IKBKG"	chrX	+	154551987	154552189	154541198	154541391	154556164	154556376	530	123,121	0,2	147,111	0,0	298	149	1	1.0	1.0,0.968	1.0,1.0	-0.016
531	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558650	154556164	154556376	154561687	154561784	531	7,18	0,0	9,11	3,0	268	149	0.0882279287229	0.8074942317265698	1.0,1.0	0.625,1.0	0.188
532	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154556164	154556376	154561687	154561784	532	5,15	0,0	8,8	3,0	298	149	0.0634312922293	0.6798665109991234	1.0,1.0	0.571,1.0	0.215
533	"ENSG00000269335.7"	"IKBKG"	chrX	+	154559466	154559523	154558531	154558650	154560406	154560559	533	0,0	0,1	1,0	0,0	206	149	1	1.0	NA,0.0	1.0,NA	-1.0
534	"ENSG00000269335.7"	"IKBKG"	chrX	+	154560406	154560559	154558531	154558650	154561687	154561763	534	0,1	3,4	0,0	1,3	298	149	1	1.0	0.0,0.111	0.0,0.0	0.056
536	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507861	154507405	154507490	154508288	154508347	536	51,74	20,14	75,51	5,14	200	149	0.119636566036	0.9465466992560665	0.655,0.797	0.918,0.731	-0.099
537	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507882	154507405	154507490	154508288	154508347	537	31,36	20,14	44,35	5,14	221	149	0.0650665940592	0.6891805569174352	0.511,0.634	0.856,0.628	-0.169
541	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154508452	154508597	154512313	154512411	541	34,27	0,1	20,9	0,0	173	149	1	1.0	1.0,0.959	1.0,1.0	-0.02
542	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154508473	154508652	154512822	154512936	542	19,14	0,0	8,18	2,0	173	149	0.750035407628	1.0	1.0,1.0	0.775,1.0	0.113
543	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512313	154512411	154511847	154511871	154512822	154512936	543	49,52	53,65	57,19	56,76	247	149	0.159619338745	1.0	0.358,0.326	0.38,0.131	0.086
544	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512313	154512431	154511867	154511871	154512822	154512936	544	25,16	53,65	13,7	56,76	267	149	0.00699601208796	0.20538623231036027	0.208,0.121	0.115,0.049	0.082
545	"ENSG00000071889.17"	"FAM3A"	chrX	-	154512822	154512936	154511847	154511871	154515759	154515812	545	130,162	1,5	114,126	3,2	263	149	0.810733401369	1.0	0.987,0.948	0.956,0.973	0.003
546	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445811	154445911	154445632	154445717	154446414	154446560	546	855,744	2,0	746,723	0,1	249	149	1	1.0	0.996,1.0	1.0,0.998	-0.001
547	"ENSG00000071859.15"	"FAM50A"	chrX	+	154446414	154446560	154445811	154445911	154448483	154448560	547	1029,890	1,0	880,940	0,1	295	149	1	1.0	0.998,1.0	1.0,0.998	0.0
548	"ENSG00000071859.15"	"FAM50A"	chrX	+	154448892	154448954	154448689	154448756	154449220	154449297	548	889,740	7,6	878,745	3,0	211	149	0.821269578003	1.0	0.989,0.989	0.995,1.0	-0.009
549	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449882	154449931	154449680	154449735	154450028	154450099	549	746,639	0,3	647,625	0,0	198	149	1	1.0	1.0,0.994	1.0,1.0	-0.003
551	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154437153	154437299	154439940	154439972	551	3,1	0,1	1,1	0,0	298	149	1	1.0	1.0,0.333	1.0,1.0	-0.334
552	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154436912	154437299	154439940	154440139	552	183,164	0,1	142,161	0,0	257	149	1	1.0	1.0,0.99	1.0,1.0	-0.005
553	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154436912	154437299	154441095	154441195	553	183,166	1,2	141,160	0,1	257	149	1	1.0	0.991,0.98	1.0,0.989	-0.009
554	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154438005	154438630	154439005	154439052	554	884,774	1,2	710,755	0,0	249	149	1	1.0	0.998,0.996	1.0,1.0	-0.003
555	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154438005	154438630	154439940	154439972	555	482,413	0,0	366,409	1,1	249	149	1	1.0	1.0,1.0	0.995,0.996	0.004
556	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438005	154438630	154439940	154439972	556	419,427	0,0	427,393	1,1	284	149	1	1.0	1.0,1.0	0.996,0.995	0.004
557	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438764	154438864	154439940	154439972	557	836,809	7,14	794,761	18,11	284	149	0.203275254107	1.0	0.984,0.968	0.959,0.973	0.01
559	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154440139	154437153	154437299	154440374	154440506	559	483,447	0,1	410,403	0,0	298	149	1	1.0	1.0,0.996	1.0,1.0	-0.002
560	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154440139	154437153	154437299	154441095	154441195	560	1,3	1,2	0,0	0,1	298	149	1	1.0	0.333,0.429	NA,0.0	0.381
561	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154440139	154438522	154438630	154441095	154441195	561	1,2	0,2	1,1	0,0	298	149	0.290829114434	1.0	1.0,0.333	1.0,1.0	-0.334
562	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154437153	154437299	154441095	154441195	562	375,365	1,2	351,331	0,1	281	149	1	1.0	0.995,0.99	1.0,0.994	-0.005
563	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154437153	154437299	154441622	154441794	563	2,1	4,3	0,0	2,3	281	149	0.0889202317596	0.8115603431421954	0.21,0.15	0.0,0.0	0.18
