ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
18	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	63816	64019	45542	45769	95173	95232
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	45542	45769	95173	95232
86	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508473	154508652	154511847	154511871	154508288	154508347	154512822	154512936
87	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154512313	154512411	154508473	154508597	154512822	154512936
88	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445811	154445911	154446414	154446560	154445632	154445717	154448483	154448560
89	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154440374	154440506	154437153	154437299	154441095	154441195
90	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154439005	154439140	154438005	154438630	154439940	154441794
91	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154441095	154441195	154439940	154440139	154441622	154441794
92	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154350207	154350908	154351041	154349648	154349867	154351139	154351203
93	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154350207	154350908	154351041	154349648	154349867	154351580	154351696
94	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154351580	154351696	154350030	154350207	154351883	154352021
95	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353914	154354043	154353295	154353457	154354150	154354291
96	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153934376	153934475	153932538	153932584	153934883	153934958
97	"ENSG00000102030.16"	"NAA10"	chrX	-	153933960	153934001	153934376	153934475	153932538	153932584	153934883	153935015
98	"ENSG00000284987.1"	"ENSG00000284987"	chrX	-	153873227	153873242	153875760	153875944	153872591	153872697	153909069	153909166
99	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153787050	153787153	153785766	153786449	153787463	153787597
100	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153787463	153787597	153786800	153786947	153787822	153787955
101	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153787822	153787955	153787050	153787153	153788074	153788135
102	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790575	153790809	153790851	153789837	153790292	153794245	153794325
103	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790575	153790795	153790851	153790194	153790292	153794245	153794356
104	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790575	153790809	153790971	153790194	153790292	153794245	153794356
105	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152928574	152928661	152920706	152920748	152931671	152931776
106	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776
107	"ENSG00000147394.20"	"ZNF185"	chrX	+	152932872	152932971	152936417	152936513	152931671	152931776	152938073	152938163
108	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959896	152963838	152963949	152945266	152945464	152965446	152965527
109	"ENSG00000147394.20"	"ZNF185"	chrX	+	152963838	152963949	152965446	152965527	152959698	152959896	152967166	152967238
110	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149496345	149496516	149498106	149498307	149490313	149490440	149500948	149501037
115	"ENSG00000165675.20"	"ENOX2"	chrX	-	130665642	130665749	130667529	130667742	130656580	130656695	130669964	130670198
116	"ENSG00000165675.20"	"ENOX2"	chrX	-	130667529	130667742	130669964	130670198	130665642	130665749	130679541	130679748
117	"ENSG00000165675.20"	"ENOX2"	chrX	-	130669964	130670198	130679541	130679748	130667529	130667742	130688862	130689018
118	"ENSG00000165675.20"	"ENOX2"	chrX	-	130679541	130679748	130688862	130689018	130669964	130670198	130703119	130703254
122	"ENSG00000122126.18"	"OCRL"	chrX	+	129560549	129560651	129561178	129561293	129558839	129559001	129562383	129562500
124	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123703453	123703505	123671668	123671761	123706857	123706949
125	"ENSG00000125676.20"	"THOC2"	chrX	-	123697680	123697751	123703453	123703505	123696720	123696842	123706857	123706949
126	"ENSG00000125676.20"	"THOC2"	chrX	-	123703453	123703505	123706857	123706949	123697680	123697751	123712849	123712908
128	"ENSG00000018610.15"	"STEEP1"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385
131	"ENSG00000101901.13"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725
132	"ENSG00000101901.13"	"ALG13"	chrX	+	111689086	111689197	111711674	111711725	111684964	111685103	111712483	111712530
133	"ENSG00000101901.13"	"ALG13"	chrX	+	111721602	111721711	111723797	111723898	111720094	111720170	111724933	111725061
134	"ENSG00000101901.13"	"ALG13"	chrX	+	111727613	111727770	111728184	111728305	111727331	111727445	111730394	111730427
137	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260
139	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101887197	101887304	101892704	101892754	101886631	101886731	101894453	101894904
140	"ENSG00000102384.14"	"CENPI"	chrX	+	101132391	101132456	101140665	101140760	101132189	101132307	101145063	101145199
141	"ENSG00000000003.16"	"TSPAN6"	chrX	-	100632484	100632568	100633404	100633539	100630758	100630866	100633930	100634029
144	"ENSG00000155008.16"	"APOOL"	chrX	+	85046445	85046550	85051388	85051508	85003876	85003927	85054343	85054398
145	"ENSG00000155008.16"	"APOOL"	chrX	+	85051388	85051508	85054343	85054398	85046445	85046550	85055826	85055925
146	"ENSG00000155008.16"	"APOOL"	chrX	+	85054343	85054398	85055826	85055925	85051388	85051508	85067126	85067218
147	"ENSG00000102158.22"	"MAGT1"	chrX	-	77853900	77853964	77855500	77855590	77841245	77841320	77856732	77856873
148	"ENSG00000102158.22"	"MAGT1"	chrX	-	77853900	77853964	77855500	77855590	77841245	77841320	77870807	77870925
149	"ENSG00000102158.22"	"MAGT1"	chrX	-	77879568	77879613	77883932	77884028	77875427	77875597	77895308	77895431
150	"ENSG00000102390.12"	"PBDC1"	chrX	+	76173584	76173650	76174889	76174949	76173039	76173168	76175472	76175613
186	"ENSG00000147099.21"	"HDAC8"	chrX	-	72490928	72491000	72494195	72494381	72488932	72489041	72495155	72495268
187	"ENSG00000147099.21"	"HDAC8"	chrX	-	72490928	72491006	72494195	72494381	72488932	72489041	72495155	72495268
191	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843
192	"ENSG00000285547.1"	"ENSG00000285547"	chrX	-	72568753	72568884	72572056	72572109	72567888	72568030	72572650	72572843
193	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273231	72273389	72273800	72273972	72272041	72272772	72275052	72275150
195	"ENSG00000147162.15"	"OGT"	chrX	+	71537828	71538072	71544566	71548023	71533086	71533336	71554512	71554592
196	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71554512	71554592	71537828	71538072	71555953	71556094
197	"ENSG00000147162.15"	"OGT"	chrX	+	71547906	71548023	71554512	71554592	71537828	71538072	71555953	71556094
198	"ENSG00000147162.15"	"OGT"	chrX	+	71555189	71555385	71555953	71556094	71554512	71554592	71556679	71556780
199	"ENSG00000147162.15"	"OGT"	chrX	+	71564600	71564753	71567499	71567752	71563328	71563499	71567992	71568116
