ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	25,11	2,0	18,8	0,4	245	149	0.13716828313	0.5844263030329963	0.884,1.0	1.0,0.549	0.167
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	36,21	0,1	16,8	2,0	298	149	0.961482503313	1.0	1.0,0.913	0.8,1.0	0.056
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	35,22	1,0	14,9	3,0	298	149	0.168396590358	0.6403554603390044	0.946,1.0	0.7,1.0	0.123
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	33,20	9,6	14,9	2,0	298	149	0.00949343477534	0.14587787510308753	0.647,0.625	0.778,1.0	-0.253
17	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39377	39873	40028	17	25,27	0,0	14,10	0,4	298	149	0.00956957814802	0.14620307008944117	1.0,1.0	1.0,0.556	0.222
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	37,16	1,2	14,14	0,2	298	149	0.466958998169	0.9873945214530256	0.949,0.8	1.0,0.778	-0.014
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	15,15	31,14	8,15	24,19	298	149	0.518080398372	1.0	0.195,0.349	0.143,0.283	0.059
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872	22	15,13	0,0	6,12	2,0	298	149	0.613644458658	1.0	1.0,1.0	0.6,1.0	0.2
34	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	150087	149088	149164	149744	150087	34	9,1	0,0	4,2	0,2	298	149	0.299892291496	0.8382672449620947	1.0,1.0	1.0,0.333	0.334
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	1,2	0,0	1,4	1,0	248	149	1	1.0	1.0,1.0	0.375,1.0	0.312
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953	54	0,0	1,4	0,1	3,1	298	149	1	1.0	0.0,0.0	0.0,0.333	-0.167
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	56,67	9,13	34,37	15,4	246	149	0.504451991765	1.0	0.79,0.757	0.579,0.849	0.06
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	60,55	570,494	86,71	490,498	296	149	0.0187924601377	0.2135186796339453	0.05,0.053	0.081,0.067	-0.023
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	284,250	1233,1153	292,239	1137,1090	298	149	0.618178763122	1.0	0.103,0.098	0.114,0.099	-0.006
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	287,303	7,5	290,257	5,1	298	149	0.150111838073	0.6091192230239625	0.953,0.968	0.967,0.992	-0.019
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	243,331	1062,1061	204,220	981,1007	298	149	0.0601379277566	0.3906251391796312	0.103,0.135	0.094,0.098	0.023
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	44,47	503,409	19,20	412,443	298	149	0.000202777308542	0.0151506513649967	0.042,0.054	0.023,0.022	0.026
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	28,35	2,1	12,10	2,0	298	149	0.576545248688	1.0	0.875,0.946	0.75,1.0	0.035
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	38,34	523,424	23,36	439,454	298	149	0.483654299251	1.0	0.035,0.039	0.026,0.038	0.005
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	0,3	1,5	12,2	0,2	298	149	0.00400159221163	0.09302538638489859	0.0,0.231	1.0,0.333	-0.551
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	39,23	0,0	43,31	1,1	204	149	0.31942278202	0.8609123943578577	1.0,1.0	0.969,0.958	0.036
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	3,2	1,1	2,4	3,0	298	149	0.679253858267	1.0	0.6,0.5	0.25,1.0	-0.075
